Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Snow_World,AmitG17,3.0 of 5 bubbles,Dec 2022 • Family,Not that much worth...!!,"We visited in afternoon time for slot of 5.30 PM. Ticket price was ₹600 for adult and ₹450 for kids over 2.5 years. You will get equipments like jacket, shoes, gloves , socks etc from the staff there, but sometimes they are very oversized.. They have kept it well with snow games, dance etc but considering ticket prices, it is not that worth really! It's overpriced place.. but if you've never been to any snow place in India, then it can be a good place to enjoy it"
Snow_World,Krishna Sandeep Siram,5.0 of 5 bubbles,Sep 2019,Good But Over Priced,Best place for experiencing snow and ice in summer for fun But limited time is permitted. Litlle bit overpriced but good.
Snow_World,sivaprasadsahu,4.0 of 5 bubbles,Jan 2020 • Couples,Weekend Visit to Snow World,"Just casually we were roaming around necklace road seeing the decorations of Republic Day when we came across Snow World. This was a place which she wanted to go long back but as we stay in Lingampally don't come this side often, so thought to give it a whirl. The snow world didn't dissapoint us, the inside was freezing and I guess it would be 2-3 degrees. The snow was quite clean on the floor. Not much to do inside apart from clicking pics and going on the snow slide. I would recommend to go in larger groups to enjoy as there is a mini volley ball area, and a DJ floor too. This place would be great for kids too. The jackets were good but the gloves were really thin and the gum boots were too large so the snow was going inside from the top. Should add more games or attractions inside.The other attractions that came with the packahe was the Living Dead (Scary House) which was a completely joke if u ask me but then again it costs 30/ head so mehhh... Then there is the Rain forest which is also below okayish.... Amd at last there is the Kaleddo which is essentially the Mirror Maze which was around average as the area was not so big that you would puzzle out, the mirrors were also a little dusty so one could figure out the way.Overall worth to go once. Package is 500/head if only Snow world and 600/  head for all the things that I mentioned above."
Snow_World,Eshita Shah,4.0 of 5 bubbles,Jan 2020,Funtime in Hyderabad,I went there with kids and they had a lot of fun in the snow playing with various activities.Go here if there are kids with you.
Snow_World,srinivas m,3.0 of 5 bubbles,Dec 2019 • Family,Not upto to the expectations,"The hall was small and not too many games we cannot play ,only hand ball and slide,shoes bit skiddy ,would have provided with anti skid shoes "
Snow_World,sunil,4.0 of 5 bubbles,Feb 2019 • Family,Hill station for Hyderabad people,I have visited the snow world to have some chill experiences.It is of great  experience specially to those who have never visited any hill station.
Snow_World,mayur,4.0 of 5 bubbles,Nov 2019 • Friends,Fun in snow,"Ok but snacks and drinks are horrible inside.And don't buy 600/- tkt , only mirror house is good, rain forest and haunted house waste , .It's waste of time.Also no proper warm clothes provided entering the snow chamber.Snow is fun, worth one time visit."
Snow_World,rggg,3.0 of 5 bubbles,Oct 2019 • Family,So so,"It's timepass attraction. Crowd is not very good. Hygiene could be an issue as you need to wear boots, gloves and jackets worn by many people. Inside is in dilapidated state and requires a fresh quote of paint and maintenance. There's a nearby attraction called Kallido which is in illusion of mirrors...we liked that attraction more. "
Snow_World,Abhishek807,5.0 of 5 bubbles,Oct 2019,One of the Best for Kids,"One of the Best Snow World in India.... Its a Independent Snow World, unlike Snow world in MALL. Kids will surely enjoy... 500 for Adults & 350 for KIds .. Unlimited MMasti"
Snow_World,Abhishek K,3.0 of 5 bubbles,Oct 2019,Good place for children & snow enthusiasts.,"if you want to experience snow fall and really low temperature, you can plan visit to snow world Though tickets charges are on higher side (Rs500 per hour per adult), you may consider to visit as childrens will love the ambience inside the snow room. However, we left room within half hour due to extreme cold. Though not much to do inside snow room (slide is there & some photo ops). One may go there, if having spare time & missing snow."
Snow_World,jainms,5.0 of 5 bubbles,May 2019,Snow world,"Amazing coolness, the temperature is around 5 degree. best time is summer with kids is enjoyable visit."
Snow_World,Sampath,3.0 of 5 bubbles,Jun 2019 • Couples,Good in summer,Best place for experiencing snow and ice in summer for fun. Have fun with family. 1 hour is the time permitted. But we can stay to max 40min because of the coldness.litlle bit overpriced but good.
Snow_World,BIPIN M,4.0 of 5 bubbles,Oct 2018 • Couples,Entry fees is huge,We went last year here but there was not much to do than just play with snow found entry fees huge than what is offered for that amount but its heaven for kids and teens as its adventure for them.
Snow_World,Ravi Movva,2.0 of 5 bubbles,Jun 2019 • Family,Snow World,Snow world is good but others like living dead and rain forest is worst and waste of money. even child are not scared while inside living dead which is scary zone.
