Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Growel_s_101_Mall,ankushsunkale,5.0 of 5 bubbles,Jan 2020,nice shopping and eating place with ample parking,"we were here to see movie in multiplex, had food on top floor, very good varieties of food available. They also have point based parking, i mean more you shop ,eat more you get points using which parking is free. We also shopped in Big Bazzar"
Growel_s_101_Mall,shubham Gupta,5.0 of 5 bubbles,Oct 2019 • Friends,Beautiful mall,The collection of the mall is best in this city which is many people can visit once a day I will it twice a day because I will do one at that city this maall shows up interior best
Growel_s_101_Mall,Payal G,4.0 of 5 bubbles,Jan 2020 • Friends,Good ,This was the first mall in the area and remains the best. Apart from the range of branded shops and supermarket (Big Bazaar) it's a great place to hangout thanks to the movie theaters and eating places suitable for all budgets. The overall decor is well thought out and the flea markets blend into the decor. Washrooms are clean and there is ample parking place available. Location is good being right on the highway.
Growel_s_101_Mall,dream destinations in india,5.0 of 5 bubbles,Jan 2020,excellent mall in suburbs,"growels 101 is a perfect mall with everything for everyone it out beats the infinity mall as it has equal space & activity options for each & every budget plus it has a lot of open spaces for kids. it has a big bazzzar, branded clothing , PVR cinemas & lots of food options from just simple tibbs frankie to fine dine, star bucks etc.you can spend a good 5 hours here , movervoer the location is perfect on the western express highway."
Growel_s_101_Mall,Indradeep R,4.0 of 5 bubbles,Nov 2019 • Friends,Unlimited options ,"This is one of the mall I like because you never find it difficult to get a parking. Maybe a little bit difficult on weekends though. Second it has a Starbucks which is always buzzing with energy which helps me to pick up some energy after a long day. Thirdly it has a PVR where I am sure the cost of tickets are lowest across all PVR’s. Lastly it has flea market which allows you to pick up inexpensive stuff when you need a bit of retail therapy. Kind of mall which I like If you are looking at options to eat out, it has it aplenty. So give it a try "
Growel_s_101_Mall,Nikhil Patil,5.0 of 5 bubbles,Sep 2019 • Friends,Services Bundled Mall!,"Nice and pleasant Mall found in the eastern outskirts of Mumbai. Has all the shops adhering to the daily necessities and luxurious requirements of us. Also comprises of known brands of food like mcd, kfc, pizza hut, Burger King etc. Has plenty of well designed place around the premises of mall where one can spend time.❤️❤️"
Growel_s_101_Mall,Bharat111450,4.0 of 5 bubbles,Aug 2019,Window shopping,Good varieties of different shops. Nice restaurants also... Cozy cinema hall... Enjoy evening with family
Growel_s_101_Mall,ashwin k,5.0 of 5 bubbles,Jul 2019 • Friends,Too good to hangout,This mall is about half km from kandivali east station is an amazing place for hangout with friends. You can spend long hours
Growel_s_101_Mall,Mysuccessrulezz,4.0 of 5 bubbles,May 2019 • Friends,Decent place,"This is a nice place to hangout with friends and family. Shopping, restaurants and kids play area will keep you busy. Also has PVR movie theatre if you would like to catch up on new releases"
Growel_s_101_Mall,Santkal,5.0 of 5 bubbles,Jul 2019 • Solo,Nice place,Awesome place for food lovers and people who lives to shop as this place has all things available for all.
Growel_s_101_Mall,Dobanjare,5.0 of 5 bubbles,Jun 2019,Great mall with great brands,"The mall is really good and accessible to everyone. A very big game zone area is there for kids and also a huge food court with a varieties of food corners. On every tuesday most of these food corners have thoos day offers going on which gives you 40% off on your meal. The mall has brands for clothing like pantaloons, AND, global desi wtc footwear like mochi and otherd electronics like chroma and apptronix etc. Adjacent the mall there is big bazar to buy all your groceries."
Growel_s_101_Mall,Kush S,5.0 of 5 bubbles,Dec 2018 • Family,Good place to hangout,"A must visit place for someone visiting Mumbai. Ensure you carry atleast 3-4 hours before you enter the mall. Decent eateries, great mobile games for kids"
Growel_s_101_Mall,Santosh Kumar,5.0 of 5 bubbles,Apr 2019 • Family,Awsome place,One of the best mall that I have found in Mumbai as it has child care room as well which I have not found anywhere else.Also food stalls and kids playing area is also there.
Growel_s_101_Mall,Santkal,5.0 of 5 bubbles,Mar 2019 • Family,Awsome place,"This place is filled with activities for all age group as it has theatre, playing area, shopping place and also food junctions."
Growel_s_101_Mall,Pratik1310,4.0 of 5 bubbles,Sep 2018 • Couples,Yet another mall,I have been to all the malls on the western line and this is one of those.  Nice and hugh mall.  One gets different experience with the way it is built.  Dont get all the major brands. Nice playing area for kids.  Good place for spending some quality time. 
