Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Patalathri_Narasimhar_Temple,ABDESH,5.0 of 5 bubbles,Jan 2023,Lord Narasimha with a third eye on his forehead and Goddess Lakshmi,"This Temple is located in Singaperumal Koil town(near GST Road) in Chengalpattu District around 25kms from Tambaram.It is well connected by roads and railways. It is more than 1000 years old. It is built on Small Hill.This temple is dedicated to Lord Narasimha. We can see, worship beautiful and extremely rare golden opportunity: Lord Narasimha with a third eye on his forehead and goddess Lakshmi. Various festivals are celebrated in the temple every year.This temple is well maintained by Tamilnadu Government. Prasadam is delicious."
Patalathri_Narasimhar_Temple,Adventurer769553,5.0 of 5 bubbles,May 2022 • Family,Memorable,Padalathri narsimhar temple at singaperumal koil is good place to visit. i was wondering if it is located on hills .The narsimhar  and thayar sannidhi is just on plain surface area .. The pradakshina area is well shaded with just few steps  to climb up and down and plain areas .   Prasadams  and drinking water available as we do the pradakshina.A great experience
Patalathri_Narasimhar_Temple,Sridhar,5.0 of 5 bubbles,Jan 2022 • Couples,Divine experience,"Singaperumal koil town is located near chengalpet town . Famous for Padalatri Narasimha temple . It's  an old  temple built during Pallava  empire times. This temple is built on a small hill lock.  Well connected by road and also has a railway station.Local trains running from Chennai Beach station to Chengalpet railway junction  stops  at this station. Lord Narasimha in Yogic posture with Goddese Lakshmi . There are some couple of hotels available. Recommend to try at Gupta Bhavan  for North Indian  fare. The hotel os located opposite to the temple on GST  Main road.  Alternatively people   can buy prasadams from the temple stall. Fairly priced , hygienic and good  quality .  Curd rice , Tamarind rice , Sugar pongal  and dosas are offered as prasadams. Not much crowded during non festival and week days. One  can have a good darshan within  half an hour during weekdays and non festival times. Lord Narasimha in this temple has a  3rd eye  which is very special . Dont miss ."
Patalathri_Narasimhar_Temple,Karthik R,5.0 of 5 bubbles,Mar 2020,Excellent temple of Lord Narasimha,The Patalathri Narasimhar Temple known commonly as Singaperumal temple is located almost on the highway near Chengalpattu - travelling towards Chengalpattu from Tambaram. The temple is a cave temple hosting Lord Narasimha. The temple stall sells hot dosas very popular there. Do plan enough time when you goto the temple.
Patalathri_Narasimhar_Temple,Karpagavalli,5.0 of 5 bubbles,Jun 2019,Divine place,The temple is dedicated to lord vishnu as narashimar and the history of the temple is said to be that lord narashimar after killing hiranyakashibu went on to do meditation to get rid of his anger and after he atains shantham gave darshan to praha lath as shantha narashimar here.
Patalathri_Narasimhar_Temple,KRAMA200,5.0 of 5 bubbles,Feb 2019 • Couples,An Ancient Abimana Sthalam-Narasimhar Temple,"Pataladri, commonly known as Singaperumal Koil is a very famous Narasimha Kshetra situated in Chengalpattu District, Tamilnadu.This place houses a beautiful rock-cut Narasimha temple, which is situated on a small hill. The name of the place, ‘PatalAdri’ also gives a similar expression, as in Sanskrit “Patal” means red and “adri” means hill.This Narasimha Swamy temple is constructed on the hill; rather it appears as if the hill by itself is the temple. It was originally a cave temple, which was later extended by Gopuras and Mandapams. It is considered as one of the Abimana Sthalams of Lord Vishnu.The Garbhagriha of this temple is a cave. The Moolavar  of this Temple is Ugra Narasimha Swamy (gigantic deity) in a sitting posture with Abhaya Hastha, holding the Paanchajanya and Sudharsana Chakra .A unique feature here is that, in this temple devotees can worship the third eye of Ugra Narasimha Swamy. It is a very thrilling experience to witness the priest lifting the Naamam on the forehead of the Lord, beneath which the third eye is seen. It is said that if one gets to worship the third eye of the Lord, all miseries get destroyed.The Garbhagriha is a cave and the Moolavar is part of the hillock itself. Hence, devotees who want to do Pradakshina , have to go around the entire small hillock. Hence, Giri Pradhakshinam is very popular hereWhile walking around the temple, one can spot an Azhinjal tree. This tree is considered most sacred and is said to have been mentioned in the ‘Naachiyaar Thirumozhi’ composed by Aandaal. Devotees praying for marriage or children tie a small piece of thread from their clothes on the branches of this tree. By doing this with a wish, it is believed that their wishes are granted."
Patalathri_Narasimhar_Temple,rameushakris,4.0 of 5 bubbles,Sep 2018,inspiring ancient temple,"The god is very attractiveA place worth visitingExcept the inhuman office staff,  rest all fineNo system / norms  exists and aSeem to be in placeYummy yummy Prasadam are availableImproved drinking water facility, clean toilets, improved hygiene are a must and need of the dayOverlook all this and visitIt is worth it"
Patalathri_Narasimhar_Temple,meghashyam,5.0 of 5 bubbles,Jan 2018 • Solo,Lord Narasimha swami temple,"Very old and hallowed temple for lord narasimha , lord has three eyes third eye is shown when arati is performed , lord is highly benevolent , abisekam done to utsava murthi during pradosham is very famous . A circumbulation of the hill which takes 10 minutes is equal to a giri vala . Panakam can be offered thru temple management ."
Patalathri_Narasimhar_Temple,WVR7933,5.0 of 5 bubbles,Dec 2017 • Couples,Great Ancient Narasimhar Temple,"This temple of Narasimha is located at Singaperumal Kovil, near to Chennai city, Kanchipuram District. Well connected by bus and EMU Trains. This temple is constructed in the Rock-cut architecture, dedicated to Lord Vishnu who is here worshipped as Lord Narasimhar. Thayar is as Ahobilavalli. Understand that this temple was built by the Pallavas during the 8th century. Such an ancient temple.This temple is open from 7 am to 12 noon and 4.30 pm to 8.30 pm.. Going around the Hill on Poornima Days is very much important. Even on other days, People take this Girivalam. This God here has 3 eyes and it is certain that your misery and worries get removed once you have the Dharshan of the third eye. The temple priest used to show this 3rd eye during Aarthi. Sundays Karthigai month is famous for worship of Narasimhar... There used to be lot of crowd during Karthigai Sundays.However Special entry Darshan is there for Rs.50 and you can have a quick dharshan within 30 minutes... You can also pay Rs.100 and Temple authorities will arrange ""Panagam"" (Jaggery water) and you can distribute to devotees. Apart from this, the temple has a small catering facility (Pathu Kadai).. You can get good Pepper Dosa, Tamarind rice etc... at a reasonable cost..."
Patalathri_Narasimhar_Temple,Vijay,5.0 of 5 bubbles,Dec 2017 • Family,POWERFUL ALMIGHTY!!!,"Temple of Lord Narasimha, located on a small hillock close to Chengalpattu, Must visit temple for absolute peace of mind, powerful deity. The Lord has three eyes.It is believed that if one gets the darshan of the Third Eye, all misery in life would be removed. Temple priest shows third eye during arathi by lifting the Thirunamam."
