Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Park_Street,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Eatopia!,"Flury's, Moulin Rouge, Petercat, Mocambo, Burma Burma and so many more of Kolkata's fancy restaurants are located here. You can find virtually every cuisine here. It also has a Starbucks and a Barista. Do not foget to check it out during Christmas and New Year."
Park_Street,Roy C,4.0 of 5 bubbles,Nov 2021,Amazing building and history,A must see if you are in Kolkata. The building it self is amazing and the well maintained park around is worth a walk as well. 
Park_Street,Adhiera,5.0 of 5 bubbles,Aug 2022,The City of Joy,"The picture, Is The Victoria memorial, It is really beautiful & Calcutta truly Does justice to its name-The City of Joy.Park Street on the other hand is superb! the journey till there on the metro is the best, It's fun, The restaurant Trincas is a must-go!"
Park_Street,Jaggy,5.0 of 5 bubbles,Jun 2022,best place to stay for a night,"Awesome street with restaurants -   Kusum rolls ;  Flurrys ,  hard rock cafe, Park Hotel - trincus restaurant, cafe.shopping area..  nearby Punjabi Dhaba - awesome singada. "
Park_Street,Amod,4.0 of 5 bubbles,Apr 2022,The happening place!!!,With a string of restaurants on either side of the road Park Street has an Old world charm. A visit to any of these restaurants takes you back to the Colonial days as the decor & ambience is stuck in time.Park Street has a lot of shops which offer the famous Bengali Mithai
Park_Street,Anjan Sengupta,5.0 of 5 bubbles,Mar 2021,Walking Down a Lane of Legacy!!,Walking on this street takes you to a time travel where you witness something that has remained as one of the India's most happening streets for more than a century. There are still some restaurants and pubs that are being run by Anglo Indian families since the time of the British Raj. There are lot of food and shopping options and all the major attractions of the city are very near to this place.
Park_Street,Raktim G,4.0 of 5 bubbles,Dec 2021,glitzy wining and dining street,"sometimes u wish that Park Street could have been a little longer. the glitz, the illuminations take u by surprise. Arguably,the poshest address of Kolkata, it also bears some remnants of the colonial past. The cuisine, the architecture, the cemetery, the saree shops, the watering holes... all go on to make this place a must visit during a short trip to Kolkata."
Park_Street,K K Deb,1.0 of 5 bubbles,Sep 2021 • Solo,Very traumatic. I will advise others not to visit this shop if you have some self respect & don't want to be badly treat,I had a terrible experience getting medicines from Park Street branch of Life line pharmacy of Kolkata. The staff there are very rude & takes unusually long time to deliver you the medicines. They will keep gossiping and if you complain about being late they will abuse you & threaten you. They will make you feel like beggar as they are selling medicines with some discount.
Park_Street,Anirban0408,4.0 of 5 bubbles,Feb 2021 • Family,Park Street Galore...,"Park Street on a lazy Valentine’s Day afternoon, with the perfect weather & the great company of the loved ones... the vibes, the mood & the nostalgia are just out of their world & that’s why I guess Park Street never gets old for anyone who’s been visiting the places for decades. We keep longing to visit the magical street due to the great Restuarants & eateries, bars/ pubs, so many great shopping options & more..."
Park_Street,Kunaljha,4.0 of 5 bubbles,Nov 2020,Food walks,We went to this area and walked around. Their was heavy traffic so we decided to walk. While walking we decided to try the famous Kolkata street Food. Overall it was a good experience and better than many other Indian cities
Park_Street,vikas parihar,5.0 of 5 bubbles,Nov 2020,Heart of the city,the most happening and important place in Kolkata. right from restaurants to lounges to offices it is the the most important place in Kolkata. Situated strategically at the centre of the city connecting old and new Kolkata.
Park_Street,Wellness expert,4.0 of 5 bubbles,Jan 2020,A happening place,"The mos happening place in kolkata. All top brands restaurant are located in and around park street area. To name a few are mainland china, B-R-B-Q, Starbucks, Rajdhani, Mogambo etc"
Park_Street,Akanksha C,5.0 of 5 bubbles,Dec 2019,best part of the city,park street is my favourite place to visit whenever i am in the city. lot of good restaurants with great food and live music. love the oxford book store and the flurry's restaurant. park street is always bustling with good crowd. loved the music shops as well
Park_Street,Kashyap R,5.0 of 5 bubbles,Jan 2020 • Solo,Victoria Memorial : The place for all seasons,"Victoria Memorial is seasonal for me.Every season I see different sunrises, flowers, squirrels and same people."
Park_Street,Nish Mukerjee,5.0 of 5 bubbles,Nov 2019 • Friends,Park Street ,Park Street is the main hub of restaurants and bars and has an ambient atmosphere.  It is within walking distance to Newmarket the main shopping area. 100's of roadside side shops en route to the market.
Park_Street,Somsubhra,5.0 of 5 bubbles,May 2020 • Friends,"""IFFTARMENU""","I heard about The Park Hotel kolkata quite often but this was my first experiance the hotel has a great ambience and great food taste . I have ordered chicken biriyani along with chicken rezela from ""IFTARMENU"", the food was so delicious &satisfying to eat. The guy who gave me the delivery was very helpfull and soft spoken he is also following the standard and the protocol . I am very much satisfied with the services and looking forward for my next visit to The Park Kolkata."
Park_Street,jonas_rock,5.0 of 5 bubbles,Apr 2020 • Business,Old chruch,If u are in culcutta and have time do visit this chruch its big and one of the oldest one looks like as u go inside the seating arrangement is completly different the alter also well maintain i was late but would love to hear a mass in these type of chruch were u harldy get to see nowdays
Park_Street,Joan Patricia,5.0 of 5 bubbles,Apr 2020,"Mr,Mrs",Very interesting lots to see markets food stalls very busy church very good restaurants local characters 
Park_Street,Ritobhash Bhattaharya,4.0 of 5 bubbles,Dec 2019,I went during the Christmas week,The road was beautifully decorated with carols playing all around.People enjoying and stalls selling street food and books.A programme is held at Allen park with chocolate and other Christmas food stalls...
Park_Street,Parwathi H,4.0 of 5 bubbles,Jan 2020,Park Street,"Park Street is a nice place to go in Kolkata to get a feel of the place. The street is lined up with restaurants, pubs and cafes and also lots of shops. A nice place to taste some authentic Bengali food."
Park_Street,Chandan,5.0 of 5 bubbles,Oct 2019 • Family,Kolkata best place for chilout.,Best place in kolkata to chill out full of restaurant and bar.if u r in kolkata you should visit Park Street.
Park_Street,Pritam Bhattacharjee,5.0 of 5 bubbles,Oct 2019,Just Kolkata!!!,"One of the most posche places of the city. Its in the heart of the city and also consists of a lot of good restaurants to have lunch or dine. Visit to this place is highlly recommende during festivals, especially Christmas and New Year."
Park_Street,Ankur B,5.0 of 5 bubbles,Nov 2019,The most happening place in Kolkata,Park Street is the heart of Kolkata.Best pace to hang out with friends.The street is dotted with numerous pubs and restaurants and of course shops.
Park_Street,Rasputin21,1.0 of 5 bubbles,Feb 2020,No comparison to Paris,Park Street is often touted as the Paris end of Calcutta.  It is quite the opposite.  The grand mansions are in rack and ruin and the whole area has an air of decay and filth.  There is nothing for the foreigner to see and the bars and nightclubs are living on their glory of the 50s and 60s.
Park_Street,Ronit saha,5.0 of 5 bubbles,Feb 2020 • Friends,Best place for hangout with friends,"Best place in Kolkata to hangout with friends and family and all type of groups and couple.There are so many pubs,resto and malls.Must visit place."
Park_Street,Mrudula,5.0 of 5 bubbles,Apr 2019,Mother Teresa sarani,Park Street is a major access route in Kolkata. It is one of the major hangouts in the city as it has a number of pubs and restaurants.
Park_Street,Dr Oscar C Nigli,4.0 of 5 bubbles,Feb 2020 • Couples,Dr Oscar C Nigli,"Park Street in Kolkotta is really a happening place when it comes to both food shopping and looking around and spending time. It really flies. Christmas time Park Street stands out in the country. The street being many kilometers is all decked up, lit and food on the street during Christmas time. It's an experience that doesn't drill holes in your pocket. It's the heart of the city."
Park_Street,A Kundu,5.0 of 5 bubbles,Apr 2019,Down memory lane,"Park Street, presently renamed as Mother Teresa sarani, is another milestone in the history of Kolkata which has seen many rulers and withstood the passage of time. Park Street houses many reputed restaurants and considered ideal for fine dining by both middle & upper class Kolkattans. It also houses a few important historical buildings eg, St Xavier's College, Archbishop's House, Asiatic  society and South Park street cemetery. This place draws huge crowd during Christmas & New year.  One cannot help but falling in love with this place irrespective of the season."
Park_Street,mausumee,4.0 of 5 bubbles,Feb 2020,Park Street,"Park Street is associated with heritage. The place is now a very busy thoroughfare but nevertheless it has a charm to it.The Burial Ground of the eighteenth century is a landmark and a visit will take you to an old world in history.The street is lined with fantastic restaurants ,some of which have a legacy of the old world charm. There are now some very good garment shops .The iconic St. Xavier's School and College is situated on this street. The New Market, Victoria Memorial, Birla Planetarium, Indian Museum and the Asiatic Society are all located around this zone.This street is decorated with lights ,fairs are held with food and music and becomes a very popular joint for Christmas  or New Year celebrations.If in Kolkata, then one must not miss to visit this place."
Park_Street,Bonvoyage003,4.0 of 5 bubbles,Feb 2020,Too noisy,"Park street could have been a pedestrian paradise, but unfortunately the lion's share of the pavement is occupied by vendors, beggars and random carts."
Park_Street,eleena100,4.0 of 5 bubbles,Jan 2020,Park Street revisited,"I visited Park Street after several decades.I studied in St. Xaviers College there.A few of my colleagues used to follow the girls from Loreto school.But in those days, following means following. Nothing beyond that.Park Street has a lot of lovely restaurants. It has retained its old charm."
Park_Street,ShekharMukherjee,4.0 of 5 bubbles,Jan 2020,Park Street,"In 1773 Park Street, then Burial Ground Road was built to connect Chowringhee and Circular Road. The stress was given to reach the cemeteries located near to Circular Road crossing. Park Street cemetery was opened in 1767 on a marshy land and was in use till 1830. This cemetery was one of the oldest non-church cemeteries in the world and probably the largest Christian cemetery in 18th and 19th century outside Europe and America.Park Street at present is the most elite part of Kolkata with most popular food joints. Illuminated Park Street during Christmas/New Year remains heavily crowded."
Park_Street,Happiness636726,5.0 of 5 bubbles,Dec 2019 • Couples,Christmas 🎄 time ,"Park Street-The best place to be in kolkata during Christmas , it’s beautifully lit up with live music at Allen park , Christmas pudding at Flury’s and Beef steak at Mocambo 🥂Christmas at Park Street is full of life .. vendors selling pretty head gears which will surely lift up your mood ❄️❄️If you are looking for a “pocket friendly “ place try Olypub."
Park_Street,Vishal S,4.0 of 5 bubbles,Jan 2020 • Family,Amazing ambience,"Park Street is a heritage road just for the vibes and ambience. Lined up with great places to eat party and libraries, this is a place to visit at night time when you are in Kolkata . Very few places can match up to this ambience. "
Park_Street,Mitesh,5.0 of 5 bubbles,Dec 2019 • Business,Wonderful time,It is said that Park Street never sleeps and is always bustling with activities. It is one of the major hangouts in the city as it has a number of pubs and restaurants.
Park_Street,fizzahdsouza,5.0 of 5 bubbles,Dec 2019,A street with a new and old vibe,"Amazing Moulin Rouge, Trinca's, Flurry's a must visit when you are at park street. The muri sellers or the chai sellers equally good and amazing...all and all a street that leaves you wanting more!"
Park_Street,Amit,5.0 of 5 bubbles,Jan 2020 • Family,Enjyble place,"Center if attractipon place, where everything can be seen and have full enjoyment with full family and friends. "
Park_Street,c krishnan,3.0 of 5 bubbles,Jan 2020,Evening walk down Park Street,"Park Street used to be a high end area. However, it looked somewhat run down to me since I went there after more than 15 years. More crowded and dirty. Flurry's, the well known confectionery shop, is still there and seemed to maintain its standard. "
Park_Street,Tobias R,2.0 of 5 bubbles,Jan 2020 • Solo,Just a busy street with overpriced western shops,"If you go to India to spend time in western shops, eat western food and have overpriced beers, this place is just for you. "
Park_Street,K72,5.0 of 5 bubbles,Jan 2020 • Friends,Bustling ,"Great place to walk, shop and eat.  Lots of modern restaurants and shops these days, certainly much more upmarket than it used to be. Plenty of variety too. Still crazy busy and typical India, just slightly nicer facade! "
Park_Street,Anuradha,3.0 of 5 bubbles,Jan 2020,Over hyped ,"A little different from the rest of Kolkata, as it looks more like any other Indian metropolitan city. The Stephen’s court offers an excellent old world charm to the road, rest all is very modern. Flury’s is over hyped, their cakes are good while food was very average. "
Park_Street,Naresh Sharma,4.0 of 5 bubbles,Jan 2020 • Family,Park street visit,Its awsome area once you visit the street.you will feel like u are visiting orchard road of singapore.you will find all varieties of people around the street.i like most the starbucks as it was totally a new feeling as its a different taste of coffee in Kolkata that also in park street.
Park_Street,uofmpanther,5.0 of 5 bubbles,Jan 2020 • Friends,Worth seeing for a different view,"I would call this street a contemporary view of Kolkata. It is good for westerners who do not want to stray much from what they know because the style of the bars and resraurants is very western world. There is a Starbucks and lots of ""trendy"" coffee shops and stores. It is not my style of travel because it feels like a tourist trap. But I still recommend seeing it especially around Christmas / New Year and at night. The entire street is decorated with lights around Christmas. There is also a very active, very young night life. It  reminds me of New York. Beware of cars if you are not used to Indian driving. Crossing the street is like a game of human Frogger. "
Park_Street,Ram H,4.0 of 5 bubbles,Dec 2019 • Solo,Walked down in Christmas week,"This is the happening heart of kolkata. The Park hotel is near the chowringhee junction and variety of restaurants and fast food all along the street with some good old ones like Oasis ( indian and continental) still holding the flag, alongwith Flury's (cakes and snacks) the grand old lady of PARK street.  Visited in the evening on Christmas eve so could see the Christmas decorations as Park street is lit up and full of life for the 2 weeks during Christmas each year."
Park_Street,Anand,5.0 of 5 bubbles,Dec 2019 • Family,Park Street Kolkata,Ideal place to hangout for young and old for Fun Music and Patty.Great fun filled Christmas and New year Celebration with Friends and Family.All under one single street
Park_Street,rajveer0072016,3.0 of 5 bubbles,Dec 2019 • Solo,Park Street,Park Street is well-known street of Kolkata.Many offices and restaurants make this street more famous. In Christmas this street decorated with lights.
Park_Street,Nehchal D,5.0 of 5 bubbles,Dec 2019 • Couples,Illuminati Xmas,The ambience is totally mesmerising and the walk on park street during this festive time of the year is absolutely enchanting. Joy and merry...cheerful crowd amidst the magical musical moments. The music groups performing in Allen Park keep the audience a bit wanting more of the magic!
Park_Street,Natalie1204,4.0 of 5 bubbles,Dec 2019 • Friends,The spirit of Calcutta ,"The hub of the city, it’s a definite must-visit if you’re visiting the city. It’s where all the action is. Some of the city’s finest restaurants are down this street. Just walk down, grab rolls from Kusum or Golden Spoon, stroll into Allen Gardens, eat Chelo kebab at Peter Cat or Fish muniere at Mocambo. If you like Chinese, BarBQ and Flavors of China serve the most authentic and delicious ‘Calcutta Chinese’ In December, the Park Street festivalIs a must. Live bands play every night at Allen Gardens and the streets are beautifully lit "
Park_Street,Rafiq Huq,5.0 of 5 bubbles,Dec 2019 • Friends,Victoria Memorials,Great historical museum. Learned a lot about the emperors who ruled India. I was surprised to see a copy of the holy Quran.
Park_Street,Sumit M,5.0 of 5 bubbles,Nov 2019,Xmas at Park Street: The top spot,"Come December, every year the area lits up in its fullest colour and glamour of festivity. The celebration starts from second week of December and remains bubbling till mid January with people of all walks flood the street in their festive fever mode. All restaurants, hotels, shops and churches around glow in multicoloured moods. "
Park_Street,Jeewan Joshi,5.0 of 5 bubbles,Dec 2019 • Friends,Shopping place,A must visit place if you are in kolkata . Best place to eat kolkata street food with local shopping areas and lot of choices available . 
Park_Street,Yogi,3.0 of 5 bubbles,Dec 2019,Not Pedestrian Friendly,"While you will love the ambiance and will find a lot of options for meals and shopping, the place is less pedestrian friendly which doesn't add to your experience. Kolkata traffic makes it difficult to enjoy the area to its fullest."
Park_Street,anigangs,3.0 of 5 bubbles,Nov 2019 • Couples,Park street,A visit to Kolkata is incomplete without a visit to Park street located in the heart of the city. It has beautiful eating joints and pubs. U can have Bengali doses and ice cream in the shops on the street. Parking vehicles on the road or getting a parking place is a challenge. Better to reach by cab of metro
Park_Street,Shreya Sharma,5.0 of 5 bubbles,Nov 2019,Great place for shopping,Park street has everything which a shopper would like to visit in the city. It is very well loacted as well. 
Park_Street,Damien,3.0 of 5 bubbles,Nov 2019 • Solo,Ok,Only place in city with real bars Nice enough LongSome high end shops A few restaurants but quality not great Beware of police scams 
Park_Street,Lavina,5.0 of 5 bubbles,Nov 2019 • Family,Park street,Awesome place to shop n eat!! Nice to see the yellow ambassadors plying the streets. Pretty old restaurants serving good food! Nice place to walk.
Park_Street,Sanjay,5.0 of 5 bubbles,Nov 2019 • Family,Park street ,This is the heart and soul of KOLKATA.  All good restaurants in Kolkata are in park street. From Christmas to new year park street is lighted up and on eve of new year there is no place to walk at twelve in the night . It is the most posh place in KOLKATA and a place to  see if you are in KOLKATA because in KOLKATA park street is a must see place 
Park_Street,Raffee,5.0 of 5 bubbles,Oct 2019,The place to be,"so park street is full of life, full of options and laugh and fun. Its a place where one can stroll around for hours and can have a great time."
Park_Street,misiddiqui2017,4.0 of 5 bubbles,Oct 2019,Piccadily of Kolkata!,"My stay at Park Circus turned out convenient as Park Street from there is a stone's throw! A beautiful, sparkling, high-end shopping place! I like to call it a Cultured Market!"
