Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mughal_Garden,Anandarup,2.0 of 5 bubbles,Feb 2023,Very overcrowded - not a good experience,"We went on Sunday for the 4pm slot and the place was very very overcrowded. Instead of being able to enjoy and see the flowers, we were jostling with the crowd for most of the time. The concerned authorities should really do some capacity planning and only allow the number of people whom they can manage. Limiting the number of people allowed to enter will also let them enjoy the majestic place in a much better manner. The whole joy was lost in the massive crowd. Very very disappointed with the experience.Few points to note - Cars can be parked in the whole of the North Avenue (we had parked in the Museum parking on the Mother Teresa Crescent and walked from there). Phones are allowed inside. No one checked our ID cards. I feel it will be less crowded during weekdays or during the morning hours (but not sure)"
Mughal_Garden,jayant_bhalla,5.0 of 5 bubbles,Feb 2023 • Family,Mugal Gardens have been renamed as Amrit Udyan recently. Wonderful place to visit with family.,President House Gardens. Perfect place to go and see the beautiful and perfectly manicured lawns and gardens. Wonderful weather to see the blooming buds and flower 🌺🌹 varities. 
Mughal_Garden,asheesha317,5.0 of 5 bubbles,Feb 2022,Treat to the eyes..,Take your best camera along... Beautiful collection of flowers with a backdrop of Rashtrapati Bhawan... 3 gardens in all. Rose garden is good too.It will be a 2 hours well spent . The show lasts from second week of Feb for a month .Try to go in the earlier days (february ) as it gets hotter towards the  last days. wheelchair accessible which you can get at the check in. Toilets and drinking water easily accessible. This time it was online booking. Tickets could blow up really fast in that case...
Mughal_Garden,A Choudhury,5.0 of 5 bubbles,Feb 2021 • Friends,Wonderful Garden,It is open to the general public only for a short duration in February - March every year. The garden is simply amazing with beautiful flowers and greenery all around. Definitely worth a visit.
Mughal_Garden,skagarwal74,5.0 of 5 bubbles,Mar 2021,Simply Marvellous,"After a month-long effort to book my online ticket, I got successful in getting a slot just before the closeout of Mughal gardens for visitors on (21st Mar) this season. A dream come true..Though I was trying unsuccessfully since a month, I was really happy to get a last minute solo entry ticket for 20th Mar after the slots were booked a week back. The entry is free and no money is charged anywhere.You are asked ID details etc. and ticket is obtained on your mail.I went through Central Secretariat metro station which is about 2.3 Kms from Gate 35 which is the entry gate for Mughal gardens. (North Avenue Police Station for google map to avoid any confusions)Your ticket (Mobile or paper) is scanned and you are allowed inside but you have to leave your belongings behind. There is no spot ticket, only those who got online ticket are allowed. There is no deposit room and even water bottles are to be thrown in the dustbin here. There is yet another security gate where IDs are checked and sanitisers are to be left behind.Now the real attraction after the necessary procedures. After all its the Rashtrapati Bhavan of India and a wonderful & beautiful place..There is a herbal garden and Bonsai plantation at the entry which is just ok. The Main Mughal garden is just after.A real beautiful garden full of colourful flowers, fountains and our Tricolour Fluttering high on the top of the dome of Rashtrapati Bhavan in the background. Simply Marvellous !! Mobile snaps are allowed inside. So its a great time for photography.You will find mineral water with disposable glasses at the exit, also the washrooms. An hour which is the allotted time is sufficient for going through the Mughal gardens."
Mughal_Garden,Vicky_The_explorer,4.0 of 5 bubbles,Feb 2021,Beautiful flowers and large green spaces,"Mughal gardens at President's house, New Delhi. It's open now and is a great family get together venue. Enjoy the beautiful flowers, musical fountains and vast green spaces all around you"
Mughal_Garden,Urmila,5.0 of 5 bubbles,Feb 2020 • Family,Beautiful,Just wow place to visit . It opens only for short time when flowers are in full bloom . Beautiful gardens with loads of flowers and greenery.
Mughal_Garden,Rakesh S,5.0 of 5 bubbles,Feb 2020,Garden in the presdent house,"This is a historic garden located in Rashtrapati Bhawan, New Delhi. It is open for a few months in a year and has variety of flowers which can be grown in the prevailing climatic conditions. "
Mughal_Garden,Kapil Vijan,4.0 of 5 bubbles,Feb 2020 • Family,Good for one time visit,"During Feb, Mar month, Mughal Garden in Delhi's Rashtrapati Bhawan opens for public.One time visit is fine, but try to avoid weekends. Online booking option saves some time."
Mughal_Garden,manansomani,3.0 of 5 bubbles,Mar 2020 • Friends,Ok place ..,Its definitely a one time go..get down at udyog bhawan metro and u will have to take an auto or uber.. it was totally worth it but not a repeat visit.. flowers rhere are cool to look at with a number of rare species bit still a lot to be desired in their maintainence..
