Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Next_Galleria_Mall,Hema,1.0 of 5 bubbles,Jan 2023 • Friends,Worst,"Staff are very rude they wont even allow to touch the playing equipment if your not buying their game card , you can't even try or even touch the gaming stuff unless you pay for them.They are so mean and behaviour is so rudeImax is much better it atleast allows the customers to touch and try before playing and buyingWaste of such staff"
Next_Galleria_Mall,Chichuu,5.0 of 5 bubbles,May 2022 • Friends,Craving for redvelvet and thickshake,Creamstone  & thickshake kosam ma chichu ostundi ready ga petandi ayya babu...2..3mnths nunchiwaiting
Next_Galleria_Mall,jai srikar,4.0 of 5 bubbles,Mar 2020,Big mall,It was good to see all brands come together at one place....connected to panjagutta metro station. But everything is costly there...especially PVR hall
Next_Galleria_Mall,Niya1315,4.0 of 5 bubbles,Feb 2020,Big Mall,Next Galleria Mall is connected with Punjagutta Metro Station on the second floor. The mall is big with almost all brands. The food court is on the top floor. Many eating joints are there.
Next_Galleria_Mall,Georgio Valentino Rayala,4.0 of 5 bubbles,Sep 2019,Mall Directly Connected To Metro,"I am a big fan of this mall as it is directly connected to metro and so very easy to get there. Other good thing is that it has a really nice multiplex. Also it has a good collection of restaurants and fast food outlets like bade miyan kebabs, nor-fest dhaba, kfc, mamu, taco bell, burger king, ibaco etc. For shopping you have multiple stores like Shoppers stop, Hamleys, Pantaloons, Big Baazar, Miniso etc."
Next_Galleria_Mall,vamsikrishna,5.0 of 5 bubbles,Feb 2020 • Friends,Mall cum  food cum movies cum shopping,"I share my wonderful experiences about PVR central mall it is located in Panjagutta Hyderabad.It is one of the nice place to watch the cinemas and good and attractive mall in Hyderabad.In this mall we can find the different categorizes, gadgets and theater in different complexes.The Ambience was very beautiful and good.It is thee very large screen .They provide what are the updated movies in cinema industry and they offer movie tickets with less price and reasonable cost just Rs.150 it is less amount compare to other theaters.In this mall we get the good parking place no need to worry about vehicle parking with good security.Picture quality is very good and coming to sound system is very high quality.Entire theater consists of full ac and they provide good sitting arrangements.Value for products is worthy and reasonable . So I always preferred this theater it is very good for enjoying the movies."
Next_Galleria_Mall,prudhvi,4.0 of 5 bubbles,Aug 2019 • Family,NEW MALL INTO HYDERABAD,"This mall is easy to locate, which lies in connection to panjagutta metro.You can directly enter into the mall from panjagutta metro station.This mall looks like a giant ship from outside.Mall is well maintained.There are wide varieties of clothings, gaming zones, what not everything.Dominos,subway ,burger king and many other food stalls are available.Rest rooms are tidy.Best place to enjoy with friends."
Next_Galleria_Mall,Vikas Singh,2.0 of 5 bubbles,Jan 2020,Poor food court. Many outlets still to open up,The only positive about this mall is that it is never too crowded even though it is next to the metro station. The food court can hardly be called one given a few outlets that at best serve ice creams and Coca cola! The highlight of the mall is Decathlon store. The PVR theater here is quite nice though.
Next_Galleria_Mall,Prudhvi,5.0 of 5 bubbles,Jan 2020 • Friends,Good place to visit in free time,"The mall has several brand store like pantaloons, max, brand factory and many more. There is a food court to eat. There's a box office to watch cinemas and play zone for kids. Overall it was a good experience."
Next_Galleria_Mall,SMF Abdi,5.0 of 5 bubbles,Dec 2019 • Family,A whole new world,Very nice mall with a lot of premium brands as well as mid range. Nice and spacious. Located in panjagutta. Easily accessible. Parking is ample.
Next_Galleria_Mall,anand887,5.0 of 5 bubbles,Dec 2019 • Friends,Lovely Time,Beautiful ❤️ place to visit near Ameerpet we really enjoyed...Must visit.....!!!You will be glad to see people around you and the decor
Next_Galleria_Mall,VijayMadari,5.0 of 5 bubbles,Nov 2019 • Family,Went to movies with family,Nice Place to watch movies. House keeping Dept. Aruna/Raviteja/Anuradha helped my children very well.
Next_Galleria_Mall,Rajesh D,5.0 of 5 bubbles,Oct 2019,Good place for weekend,"It is for all kind of people to shop, dine and play, one place for all kind of enjoyment.PVR cinemas also available to watch favorite movies in once place."
Next_Galleria_Mall,Stay282088,5.0 of 5 bubbles,Aug 2019,Mall in the shape of a Ship!!,"We went to this mall with my six year old girl on her birthday. She very much enjoyed the play area in this mall. Also the food options like chat, ice creams, cakes, etc.,are great. Moreover, the metro is directly linked with skywalk to this mall. Overall a nice experience."
Next_Galleria_Mall,Wilayat,4.0 of 5 bubbles,Oct 2019 • Solo,Browsing around ,"This is brand new mall in irrum manzil near the metro station, their are some new fast food chain added like pizzetto, wafl cafe, dounken monkey, frankee & in the basement their is decathlon store for sports lover "
Next_Galleria_Mall,jainms,5.0 of 5 bubbles,Aug 2019,Very large mall,The construction of the mall is very nice and even the maintenance too. been her for movie and it was good experience.
Next_Galleria_Mall,Georgio Valentino Rayala,4.0 of 5 bubbles,May 2019 • Friends,Nice Mall With Various Eating Options,This is a nice mall which is directly connected to the metro and has different eating outlets.I love their multiplex and mostly watch movies here. But this time I visited this place to buy a messenger bag as well as eat dinner. I bought a nice messenger bag from Shoppers stop outlet and did have a delicious kebab dinner at Nor-Fest dhaba on the 3 rd floor.
