Tourist Attraction,Name,Rating,Date and criteria,Title,Review
1857_Memorial_Museum,silva s,3.0 of 5 bubbles,Jan 2022,very small museum,A small museum within residency. did not attract us much. The rifle and canon shots in wall have been preserved here. 
1857_Memorial_Museum,John Muriango,4.0 of 5 bubbles,Mar 2021 • Solo,Alright,"As you visit the British Residency, make sure to also visit this site within it and you'll definitely learn a lot especially if you're a history junkie."
1857_Memorial_Museum,pilgrim_gsa,4.0 of 5 bubbles,Feb 2020,Awadh and 1857,Though ill kept yet the displays are worth the visit  what with many cpis of original sketches  of the period  that weave their own story .They also show  a film n residency at specified hours and if around stay to see this .One's bags need to be kept out  so be prepared .
1857_Memorial_Museum,Tanvi,4.0 of 5 bubbles,Jan 2020 • Family,Dedicated to first war of Independence,"It is dedicated to first war of Independence . It contained photos , maps and paintings related to war . Visit this place if u love history ."
1857_Memorial_Museum,Reyan11,5.0 of 5 bubbles,Nov 2018 • Friends,Treasure,"Part of main residency building. It includes some old photographs , maps and paintings of major sites associated with the rebellion"
1857_Memorial_Museum,durham05,2.0 of 5 bubbles,Jul 2019 • Solo,Poor museum ,This museum is within  the residentiary and is pretty poor with very few original artifacts on display. Model was badly labelled. Maiming pictures of those involved in the 1857 siege. 
1857_Memorial_Museum,niya27,5.0 of 5 bubbles,May 2019 • Solo,Great museum,This museum is in the middle of British Residency and there is no separate ticket for this museum. The museum exhibits many paintings and photos in the era of 1857. Remember to go in the basement. 
1857_Memorial_Museum,William899,5.0 of 5 bubbles,Dec 2018 • Couples,Excellent 1857 artefacts,"The museum is located at the centre of the 1857 seige estate and it has some brilliant memorabilia from that time with documents, portraits, artefacts etc.. Photography is permitted and the rooms are light and airey."
1857_Memorial_Museum,felicityjg1,4.0 of 5 bubbles,Nov 2018 • Couples,Part of the Residency,Definitely worth a visit whilst at the Residency.  The pictures are excellent.  There is also a short video.
1857_Memorial_Museum,592abck,2.0 of 5 bubbles,Mar 2018 • Family,History but nothing great,History but nothing great. One can spend good time but nothing much to see here. Kids got bored and we left
