Tourist Attraction,Name,Rating,Date and criteria,Title,Review
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Yatree2,5.0 of 5 bubbles,Jan 2023 • Couples,Beautiful and quiet oasis ,Lovely quiet place in the middle of Kolkata. The rose garden was in bloom and very colorful. Had a very pleasant walk around the entire garden.  Unfortunately we will miss the flower show. 
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,RAJATkanti BERA,5.0 of 5 bubbles,Feb 2022,Agri-Horticultural Society of India,"Must see annual flower show of  Agri-Horticultural Society of India. The Agri Horticultural Society of India was founded in 1820 by William Carey on the Alipore Road, Kolkata. It has a flower garden, greenhouses, a research laboratory and a library. It houses a massive collection of plants and flowers. It has a significant collection of botanical varieties, including Cannas for which it has a long and distinguished tradition, with facilities for gardeners and plant/flower lovers. "
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Kunal_Bhowmick,5.0 of 5 bubbles,Jan 2020,A secluded hidden gem,"The Agri Horticultural Garden of Kolkata is a famous green space, owned by the Agri-Horticultural Society of India...Covering 21 acres of land in a bustling part of the city, this garden is known for its fabulous collection of trees, flowering plants and other varieties of vegetation...it has an impressive infrastructure, which makes it one of the most well-maintained gardens across the country...There is a sprawling and well-manicured field in the garden, encompassed by tall trees. On the left of this field lies the Darbhanga House – a greenhouse where several ornamental plants are preserved...The Rose Garden at this place has 250 species of this beautiful flower, whereas the William Carey Xero Garden houses different varieties of xerophytes...an Orchidarium is also present here, where visitors can spot more than 56 types of native and hybrid orchids... Bhesaj Udyan is another section of this garden, which has a collection of aromatic and memorial plants... A beautiful Japanese-style garden with an equally enchanting waterfall is present towards the southwest of this sprawling place...in addition, there is a fenced orchard where many fruits are grown...Other attractions of the Agri Horticultural Garden include a research laboratory, library and training centre, which facilitate horticulture studies...Nurseries and a florist shop are also present within this garden's complex, from where visitors can buy plant saplings and flower bouquets..."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Malcolm Manners,5.0 of 5 bubbles,Jan 2020,Beautiful gardens and a wonderful annual flower show in January,"This is a delightful, peaceful garden.  In January, they have a major flower show, featuring many types of plants, including roses and dahlias."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,scvrose,4.0 of 5 bubbles,Jan 2020,Nice place in the center of town,We were here off and on while attending their 200th anniversary. The park is rather large and contains many specimens of plants. Nice place to cool down. 
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Amolak Rattan K,4.0 of 5 bubbles,Jan 2019 • Friends,You can enjoy seeing different flowers,This is a great attraction for most of the tourists and residents of Kolkata. The variety of flowers is enormous and you need to spend time to appreciate this garden.Governor Amolak Rattan Kohli 
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Ayan S,5.0 of 5 bubbles,Feb 2019 • Friends,Soothing greenery amidst city hustle and bustle,"Morning walker's Paradise in the heart of Kolkata. Once inside for a little premium one can get lost in the green cover with the chirping birds tune. The trees bear tags with all details of species, flowering timing etc. for enlightening novice of my kind. Fantastic show are held occasionally and the AFS is a grand event with variety of orchids, cactii, flowering plants, potted fruits / vegetables,  agricultural produces and what not... A must visit place for nature lovers."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Vanichandra,5.0 of 5 bubbles,Feb 2019 • Couples,Adorable Place,The flower show is being organised in alipore for the last 200 years as far as I heard.Today was the last day . Really nice place to love and spend time. I could see variety of flowers with different colours at one place. It appears this flower show is organised every year in the month of February starting from 2nd Thursday to Sunday.Good place to love and enjoy valuable time of minimum 2 hours.
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Dishaa S,4.0 of 5 bubbles,Jun 2018 • Family,a fine garden,"popular amongst the locals as a morning walk place, this expanse of lush greenery is a wonderful place to soak in the nature and enjoy yourself."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,RanjanaKanpur,5.0 of 5 bubbles,Apr 2018 • Couples,Lovely piece of green,This place was just right to laze around and walk through. Very well maintained this garden houses a nice collection of trees. The counter sells a lot of plants and people of the vicinity go there for morning walks. We enjoyed our brief stay there.
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Pooja S,4.0 of 5 bubbles,Feb 2018 • Friends,Picturesque,The garden is very picturesque. They have a open air gym. It's a small place to walk around but a beautiful one. A must visit. 
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Shruti_daisy,5.0 of 5 bubbles,Jan 2018 • Couples,flower show of kolkata,recently visited horticulture on 6th jan 2018.it was a very good experience visiting horticulture.there was beautiful collection of flowers.many varieties of flowers but this year collection was small due to rain.but still whatever collection they had it was very beautiful.we went to winter flower show.the annual flower show will be held on feb 2018.overall i really enjoyed at horticulture.
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Dr Anshuman Das,4.0 of 5 bubbles,Feb 2017 • Friends,Plants,Opposite the Eastern Command Hospital. Right in the heart of Alipore. Real visual treat if you visit during one of the flower shows. Especially  the dahlia and other seasonal flowers. 
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Tanumita D,5.0 of 5 bubbles,Jan 2017 • Family,Beautifully decorated huge area with a wide range of plants,"It covers a huge expanse of land adorned with rare species of plants and herbs. The garden is very well maintained. I visited during the rose exhibition. I have seen never seen so many varieties of roses ever. The collection was outstanding. Apart from roses there were dahlias, hibiscus and many more flowers."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,HwenTsang,5.0 of 5 bubbles,Dec 2016 • Couples,Lovely Gardens,Very well kept...Famous for annual flower shows..but walking here is a treat with so many trees and greenery all around...romantic area around the lake..
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,AMUK,5.0 of 5 bubbles,May 2017 • Solo,It is a beautiful Botanical Garden.,"The actual name is Agri Horticultural Society of India and located on the Alipore Road, Kolkata. Whenever I visit to Kolkata, I try to do a morning walk in the gardens of this beautiful place, to freshen myself up for the whole day. Apart from gardens, the open area Gym and the fountains in the pond are the added beauty. It is a beautiful Botanical Garden."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,debikaghosh,4.0 of 5 bubbles,Feb 2017,Nicely maintained Greens in city heart,"Agri-Horticultural Garden at Alipore has lot of flora and fauna and very nicely maintained. It is much better maintained than the Shibpur Botanical Gardens. Located in the heart of the city , within posh Alipore area, it provides a jogging track for patrons. There are flower shows at least once held every winter , which is a delight.A must visit when you are in Kolkata !"
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,gudnuse,4.0 of 5 bubbles,Jan 2017 • Couples,"An Oasis in Alipore, Kolkata","The Agri-Horticultural Society’s garden and Nursery  is located on Alipore main Road, within walking distance from another renowned tourist location- The Zoological Garden and two major institutions such as The National Library and the Eastern Command Hospital. It is definitely the pride of Kolkata having its origins during the British rule . The garden is well maintained and is a joy to hundreds of local residents who patronize it and enjoy its benefits. There are well laid walking paths all around the place, lined with trees and shrubs and flower beds which turn into a riot of colours during winters . To a lot of local residents the day does not start without an invigorating brisk walk around the sprawling garden taking in the beautiful sights and amid the chirping of many bird species such as Black headed Oriole, Rufous Tree pie, Cuckoos, Babblers to name a few. There are nurseries with rows and rows of potted plants , a dedicated rose garden, a bonsai garden, a herb garden , an orchard with rare trees all carrying the names of the genus , an orchid garden and a large pond at the entrance . The five fountains in the pond when  active is a glorious sight . In short , this is a garden that should please everyone regardless of age .The A-H Society has a membership roll with annual fees for the use of  garden facilities. Non-members are allowed admission on payment of a small fee of Rs 20/- every visit. I thought it is indeed a good idea to charge a small fee from non-members , which ensures vagrants and other undesirable elements are kept out . There are well maintained toilets inside . One could buy potted plants and flowering plants from the nursery. The A-H Society is famous for the annual flower shows it conducts on more than one occasion. These flower shows draw large crowds to witness the massive variety of flowers, orchids and bonsai . The next flower show is scheduled for 9 to 12 Feb 2017 . The A-H Society is a must visit for nature lovers ."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Sandipan B,4.0 of 5 bubbles,Feb 2016 • Family,A garden in the heart of Kolkata,"This is an oasis amongst the constructions in Kolkata, with lots of gardens,rosariums, lawns, waterbodies , trees and plants of exotic varieties. The flower shows in winter are particularly attractive"
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Jaffathecat1,4.0 of 5 bubbles,Sep 2016 • Couples,Great respite from a noisy chaotic city,"There's significantly more evidence of care, maintenance and management at these wonderfully peaceful gardens, compared to the Indian Botanical Gardens in Howrah. The gardens are well laid out and the Orchid nursery is interesting. There's even a few places to shelter should the monsoon rains strike. If you need some peace & quiet whilst in the city this is definitely the place to head for!"
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,KSBan,5.0 of 5 bubbles,Apr 2016 • Solo,Green Lung,"This is the green lung of south Kolkata, a lush and exotic garden housing a variety of plants and flowers with a pond which has fountains which colour the evening sky with brilliant plumes of spray. There are well laid out walking tracks, seating and adequate lighting. A circuit of the garden is approximately 1 km.  the horticulture garden hosts flower shows and even wedding receptions. A great place to relax, and enjoy the greenery next to- but far from the madding crowd."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,ShekharMukherjee,4.0 of 5 bubbles,Nov 2015 • Solo,The Agri Horticultural Society,"The Agri Horticultural Society of India was established in 1820 by William Carey on the Alipore Road, Kolkata. It has a flower garden, greenhouses, a research laboratory and a library. It houses massive collection of plants and flowers."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Doyel K,4.0 of 5 bubbles,Jan 2016,Elegant,"His place exudes peaceful charm like no others. It is quiet and well maintained, safely tucked away from public eye. Yet accessible. Best in the mornings."
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,99emgee147,3.0 of 5 bubbles,Feb 2016 • Family,A garden which is green and nice,The horticultural garden is very green and lively. Nothing more. This garden is good only during winter months or when you have flower shows. Lovers of Botany may find it interesting. Does not merit a visit when visiting Kolkata I feel.
The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.ht,Behind_Lens,4.0 of 5 bubbles,Feb 2016 • Family,Varities of Flora & Fauna,"Ideal for nature lovers, this place is near the alipur zoo. It hosts a variety of plants and also we spotted rare breed of woodpeckers and other birds. Do see the Elephant Foot Tree. Also they organize winter flower shows between dec-feb every year. The Agro - Horticulture Society provides short courses on Bonsai, Roof Top Gardening, Flower Arrangement, etc.."
