Tourist Attraction,Name,Rating,Date and criteria,Title,Review
St_Michael_s_Church,Mysuccessrulezz,5.0 of 5 bubbles,Nov 2019 • Family,Peaceful,A quiet place to relax and be peaceful. One can pray at peace without any disturbance. You can visit the stalls near by if souvenir is needed.
St_Michael_s_Church,Nikhil P,4.0 of 5 bubbles,Jul 2019 • Solo,Calm and serene church,"Located in the Mahim area,  this is one of the oldest churches in Mumbai but not as aesthetic appealing as other churches in Mumbai. However, you can feel the divine ambiance once you are inside the  church. There is so much calmness and serenity with in the church. Most importantly , it works out as one of the landmarks for my monthly long runs to nariman point."
St_Michael_s_Church,Lenoj Anthony,5.0 of 5 bubbles,Dec 2018,VERY FAMOUS SHRINE - HOPE FOR ALL WHO BELIEVE,"St Michaels church has novenas on Wednesdays from 7.30 in the morning till 9 pm in the night, thousands of people come here to worship OUR MOTHER MARY and find peace and tranquillity. A must visit on wednesdays  if you want to experience a spiritual bliss"
St_Michael_s_Church,nanklesaria,3.0 of 5 bubbles,Oct 2018 • Friends,Historical Value,St Michaels church is not as beautifully done up as the other churches in Mumbai even though it is one of the oldest. 
St_Michael_s_Church,Holy Land Israel Tour,5.0 of 5 bubbles,Dec 2018 • Family,Peaceful and serene,"Ultimate peace and worshipping place, mother had blessed me and all my wishes got fulfilled i visit the church on wednesday evening 5.00 many a time its said that continues 7 wednesday if anyone visits all his prayers are fulfilled"
St_Michael_s_Church,Sunil G,3.0 of 5 bubbles,Jan 2019 • Family,Good place to attend sunday mass,I visited St Michaels church with a friend on a sunday mass. The church is well maintained and its clean. 
St_Michael_s_Church,BomiPardiwalla,4.0 of 5 bubbles,Jan 2019 • Family,Peaceful,"Very old-world, peaceful and wonderful architecture of yesteryear. Say a quiet prayer, and go out on the noisy road. Nothing much to do anyway"
St_Michael_s_Church,Sagar2307,5.0 of 5 bubbles,Feb 2018 • Friends,Church,Yu can visit the church at any time during the week but is visited mainly on Wednesdays by people from all over the city for the Novenas that are held hourly basis.
St_Michael_s_Church,MANCHIMASTER,5.0 of 5 bubbles,Dec 2018 • Family,st Michael chuech,st Michel church. one of the oldest church . known for novena service held every wednesday in English tamil Marathi and Hindi. 9 novenas Grant your desure 
St_Michael_s_Church,Mahesh Kulkarni,5.0 of 5 bubbles,Dec 2018 • Solo,Peace and Calm at Mahim's crowded junction,"St. Michaels Church MahimLocated exactly in the square is the Holy Cross of this St. Michael's Church.More than 50 years of history of the Jesus monument, has been serving to the society for all strata of walks of life.Here you can reach by SV Road, Western express Highway or by Local train from Bandra or Mahim as well.Many stalls come up during the festive season of Christmas for selling candles, balloons and sweet goodies.Statue of Jesus on the Holy Cross reminds everybody about the sufferings in life but remain calm and passionate for whatever is the situation.A must visit Cathedral in Mahim."
