Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Vadapalani_Murugan_Temple,ABDESH,5.0 of 5 bubbles,Dec 2022,"Arulmigu Vadapalani Andavar(Murugan) Temple, Chennai","Vadapalani Andavar Temple is a Hindu temple dedicated to Lord Muruga. It is located in Vadapalani, Chennai, Tamil Nadu, India. It is around 25 kms from Tambaram. The Moolavar (main deity) resembles the Palani temple idol and is in standing position.The temple courtyard houses several Sannidhis including that of Varasiddhi Vinayaka, Chokkanathar, Meenakshi Amman, Kali, Bhairava, Shanmuga with Valli and Deivanai. Some Divine Events have been described beautifully on the walls.The temple tank is in front of the temple.Only in this temple, one can see Murugan wearing footwear, a symbol that denotes shedding of arrogance. He is seen in a standing pose with his left foot forward to indicate he is in a rush to help his devotees."
Vadapalani_Murugan_Temple,Melanie R,4.0 of 5 bubbles,Jun 2022,Interesting huge temple - someone may look after your shoes!,"Feels very local and authentic, beautiful interesting temple in heart of Chennai. Left our shoes outside and found people offering us other people's when we left! Made us laugh. The street as you approach is full of smels, flowers to leave at the temple and local stalls."
Vadapalani_Murugan_Temple,Sangeetha Vikram,5.0 of 5 bubbles,Nov 2020 • Family,Vadapalani Murugan temple - Replica of Palani Murugan,"Vadapalani Murugan temple is one of the most popular temples dedicated to Lord Murugan. Got to visit this temple few times with family & friends.On 31st March 2016, got to visit this temple again with my mom. Lord Murugan idol seems to be so beautiful, it is also believed that worshipping Lord Murugan here is as pious as praying to him at the Original Palani temple.Had a great day with the blessings of Lord Muruga. Offered our pranams & had a great dharshan."
Vadapalani_Murugan_Temple,SherylWalton,5.0 of 5 bubbles,Jan 2021,Vadapalani Murugan Temple,One of the best places to see lord Murugan. Very famous temple. I have been here plenty times with my friends.
Vadapalani_Murugan_Temple,anu_v,5.0 of 5 bubbles,Sep 2019,Holy place,This is one of the most crowded temples I ever seen in India. The temple is often crowded and it is well known for its healing prayers. A lot of people esp hindus come here to pray for their health and well being. 
Vadapalani_Murugan_Temple,Nagarjuna,5.0 of 5 bubbles,Feb 2020 • Friends,Great temple of vadapalani,Recently i had been to vadapalani temple.Had a great darshan of andavar.Lord Ganesh.Because of large pilgrimage with full of devotees temple looks small Eventhough it's big.PRASADam is great and reasonably priced.We have to appreciate temple organisers and disciplined devotees so that every devotee had great darshan.Don't miss lord anjaneyar temple inside.Request to authorities  to pay attention on parking for two wheeler and four wheeler and make proper arrangements.Regards
Vadapalani_Murugan_Temple,T. Gowrisankar,5.0 of 5 bubbles,Feb 2020 • Couples,Vada palani murugar temple,"Oldest temple there is separate sannidhi for chevvai (Mars). Any one having chevvai dosham can do abishegam with milk mixed with saffron to please the planet. Lord muruga is controlling Mars planet. Good especially for anusham. Kettai, ashvini bharani. The vel a kind of spear or armourwas given to Lord muruga by parvati to win sura padma an asura"
Vadapalani_Murugan_Temple,KARTHIKb87,5.0 of 5 bubbles,Dec 2019,Palani Murugan temple  in chennai,Its Palani Murugan temple in chennai i.e in north of Palani. Hence its called as VADAPALANI(Vada is referred to vadakku i.e. north)Its one of biggest murugan temple in chennai. Its must visit in chennai . Temple also had lot of other deities. Temple is governed by TN Hindu Religious and endowments department.
Vadapalani_Murugan_Temple,Mrudula,5.0 of 5 bubbles,Aug 2019,Belief,This is a temple where people believe that all the troubles will vanish upon the visit and they be with peace
Vadapalani_Murugan_Temple,Ansi,4.0 of 5 bubbles,Jan 2020,very recommendable,definetely worth to visit. Very impressive and  wonderful. We would definitely go again if we could. recommendable
