Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kalideh_Palace,Sunnilbgautam,3.0 of 5 bubbles,Oct 2019,Could be best monument for tourist in Malwa,"The palace and its surroundings are so beautiful. You imagine the grandeur of this place. If maintain well by ASI or government funding. This place can be the best tourist attraction for Ujjain, Malwa. This place got all the box tick for tourist attraction, like grandeur, greenery and history."
Kalideh_Palace,aliasgarkb,3.0 of 5 bubbles,Oct 2019 • Solo,Dilapidated and neglected,"This is a beautiful monsoon gateaway of Ujjain town. With spectacular water bodies and a rich history it is worth a visit. But due to vandalism by local visitors and administration's apathy this is in bad shape. Garbage is littered all around the river and palace premises. Locals use it for secret datings, drinking and gambling. The watchmen and on-duty policemen too join them. Only the Sun temple is open for visitors while other chambers and halls are inaccessible. The administration is unable to guard and preseve it so they find an easy solution of locking it."
Kalideh_Palace,OnAir57972109282,3.0 of 5 bubbles,Sep 2019,Visit to Kalideh palace,"There is a sun temple in a small part of the palace and rest of the palace is shabby and not accessible. looks like there is no administration in this palace which is situated in the banks of shipra river.  We saw that lot of people settled in the corridors of palace and it is not maintained well. However, the river view was fine. "
Kalideh_Palace,Gdj,4.0 of 5 bubbles,Jul 2019 • Family,KD PALACE UJJAIN,This is one of most favourite picnic destination in ujjain for rainy season at the shipra river.economoc and convenient placr for middle class people.
Kalideh_Palace,Himanshu Bhatt,5.0 of 5 bubbles,Jul 2018 • Family,Heritage marvel of ujjain,"Its of the heritage marvel of ujjain , althoughd dont expect much cause the main building is damaged but if you are visiting this place in monsoon than ambiance is really cool. there are 52 small kund in front of palace which is a main attraction during monsoon"
Kalideh_Palace,rathod2017,5.0 of 5 bubbles,Oct 2018 • Family,Kalideh Palace,Situated on an island based in the Shipra River. well maintained place. yoh have to pay first to visit this place.
Kalideh_Palace,RanjithKumarPrabhu,4.0 of 5 bubbles,Dec 2018 • Family,Palace maintained by ASI,"Located in the banks of Kshipra. This palace is in ruins and entry is denied inside due to its damaged condition. Seems ASI is reluctant in maintaining it. Built during the era of Muhammed Khilji, the boards show that Akbar and Jehangir also visited here. The palace was later in the hands of Scindia dynasty. There is also a surya mandir inside."
Kalideh_Palace,Karpagavalli,5.0 of 5 bubbles,Nov 2018,Maintained  by the asi.,"The palace is maintained by asi of india and has a entry fees for a visit, and views From the place were extremely nice."
Kalideh_Palace,akankshacoolgirl,3.0 of 5 bubbles,Sep 2018 • Family,Needs Maintenance,"Kalideh Palace is a very old palace and is centuries old. However, the place needs maintenance and improvement"
Kalideh_Palace,Richs V,1.0 of 5 bubbles,Mar 2018 • Couples,Disappointing,I went for this place specially but totally wastage of time.There are 52 kunds in which there is no water and palace is nothing but a ruined palace.
Kalideh_Palace,Masayoshi,4.0 of 5 bubbles,Jun 2017 • Solo,Good for me,"I'm visiting lots of forts in the world.From that perspective, this is a unique fort to me.Looks intentionally built the structure along the rivers to protect themselves from enemies.Imagined the life of the days when prosperity was here.Enjoyed the view."
Kalideh_Palace,blacksteallion,4.0 of 5 bubbles,May 2017 • Family,Ruined yet Beautiful,This is one of the famous attraction for tourists coming to Ujjain. This is located right on the bank of Shipra River and has good photography spots. Though this is a ruined palace it is sparkling and attractive.
Kalideh_Palace,R_Saksena,4.0 of 5 bubbles,Mar 2017,An old Palace on the bank of river Shipra,"It is an old palace, may be more than 500 years old of Muslim era, was also renovated by Scindias. It is away form the main city of Ujjain, located in a serene place. It has a main structure with beautiful carvings, domes and gates, a nice architectural marvel. There is a pond surrounded by small structures with domes and gates. It has an ancient Sun Temple within. The building upkeep is not up-to-the-mark, if properly developed it has a potential for becoming the best picnic spot in the vicinity of Ujjain."
Kalideh_Palace,Manish B,5.0 of 5 bubbles,Aug 2016 • Family,Ancient Structure,Kalideh Palace is situated at the bannk of river kshripa and its one of the most visited place in the list of MP tourism. It was build around 1458 A.D and since than it was restored many times.
Kalideh_Palace,perplexed_soul,4.0 of 5 bubbles,Aug 2015 • Friends,Historical and nice outing spot,"one more place in Ujjain with historical significance. Lately, it has turned out into a good picnic spot as well. It is generally a good family outing place during spring or autumn."
Kalideh_Palace,road2parin,5.0 of 5 bubbles,Dec 2015 • Family,Aarti at the ghats,"When in Ujjain, visit this Shipra river ghat in the evening around 6 or 7pm and it will remind you of the famous aarti we see in Haridwar.. There are pandits who pray with lights on the both the banks of the river and it is a beautiful sight."
Kalideh_Palace,shailesh j,3.0 of 5 bubbles,Feb 2015 • Friends,good to visit in rainy season only,"the palace is not well maintained and it is very old. there are not well maintained roads to reach there, one have to ask villagers to reach the place. back-side of the palace there is river shipra. when I visited the flow was decent and people use to njoy there. apart from that their is nothing near Palace"
Kalideh_Palace,Vikas Singh,5.0 of 5 bubbles,Jun 2015 • Family,A stunning piece of rich heritage,"The Kaliadeh Palace is located on the banks of the River Shipra .The Avanti-mahatmya of Skanda Purana has recorded a description of the Sun temple and two tanks here- Surya Kunda and Brahma Kunda. A fragmented inscription recovered from this place records building of the palace in 1458 AD, by Sultan of Malwa, Mahmud Khilji. The palace is built over a mound and gives a beautiful view of the surrounding area. The central dome of the palace is a beautiful example of Persian architecture. There are several underground chambers some of which once served as royal kitchen.  Colonel Stewart records in his book “History of Central India” that later Sultan Naseeruddin Khilji diverted the flow of Shipra River through 52 tanks so that water cooled down considerably. Addicted to mercury, the Sultan used to lie down intoxicated in the tanks. He is later believed to have drowned in one of these tanks while lying down intoxicated. Two Persian inscriptions found in one of the long corridors of the palace record the visits of Emperor Akbar and Jahangir to this palace According to Abul Fazal’s Akbarnama, Mughal emperor Akbar rested at this the palace on 25 Jan, 1599 during his Deccan military campaign. Later in 1616, Jahangir stayed with Sir Thomas Roe in this palace. During his stay here, Jahangir used to visit regularly saint Jadrup who had his hut in the jungles nearby. He used to travel by boat to listen to holy discourses.The palace was destroyed in the time of the Pindaris. In 1886 Sir Michale Filose partially restored the palace and used it as his residence. After his death the palace again fell into ruins. It was then restored by Madhav Rao Scindia in 1920. He added many buildings such as the court, guest house and other state offices. The Sun Temple was also restored by the family."
Kalideh_Palace,Sonia Sandhu,3.0 of 5 bubbles,Jun 2014 • Couples,Not sure if its worth a visit!,I visited this palace with a great expectation of a heritage site and it was a huge disappointment. The palace is not maintained at all. Its terrible to see such a negligence to the heritage property. All garbage around. Sadly i wont recommend anyone to visit this place.
Kalideh_Palace,mayaKasaragod,4.0 of 5 bubbles,Feb 2015 • Family,Requires lot of attention.,"This is the only place in MP tourist area appeared very dirty and neglected. This property belongs to Scindia family. There is a Raja mahal and Rani Mahal and near the bridge the water storage area is there. But Palace in ruins Where MP tourism started maintaining. The Water body requires cleaning, which will be  very dirty during winter and Summer when water level goes down. The Rani Mahal can be converted into either a beautiful resort or a school.Difficult locate easily, because very few will be knowing about this place.Should ask about Bhavan kund, to locate this."
Kalideh_Palace,VivekRastogi,4.0 of 5 bubbles,Feb 2015 • Family,The place of Kalia Naag and Surya Temple,"Kalideh palace is also called KD palace. It is well known as Sindhia's palace, earlier Sindhia dynasty was staying at KD palace as and when they pay visit to ujjain. As Mahakal is the only one Maharaja of Ujjain. At the back of KD Palace Kshipra River front is very attractive.. Its very good picnic spot."
Kalideh_Palace,electron2014,1.0 of 5 bubbles,Nov 2014 • Family,"Terrible place, Nothing is there","I went to Kalideh Palace and found very hard to search this place. There were no signboards marking this and I could find the signboard 500 mtrs just before the place. When I reached there in evening, I was surprise by its condition -- the walls are broken and ceiling is falling. Building is unstable and I would recommend not to go inside and be safe. Disklikes* No signboards* As marketed on Incredible India portal, you won't find it like that. Its waste of time. * Place is not safe, building might fall anytime. * Place is not maintained"
Kalideh_Palace,vinodkhedkar,4.0 of 5 bubbles,Jul 2014 • Friends,Palace in bad shape !,"Situated on the banks of the Shipra, the island-like site immediately conjures up the natural beauty of ancient Ujjain which poets down the ages have waxed lyrical. The glorious landscape of the flowing river on both sides of the palace and the man-made tanks and channels, with water gurgling through them, provide a spectacular backdrop to the imposing building.The central dome of the palace is a beautiful example of Persian architecture. Two Persian inscriptions found in one of the long corridors of the palace record the visits of Emperor Akbar and Jehangir to this palace.The palace was broken down in the time of the Pindaris and was restored by Madhav Rao Scindia in 1920 to its present glory. The Sun Temple was also restored by the family.Present MP government should take initiative to restore the glory."
