Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Prithvi_Theatre,JD,1.0 of 5 bubbles,Nov 2022 • Friends,Very bad experience.,"Allow at least 15 mins for people to enter after the show starts. We pay for the play and they don’t even allow you to enter if you’re 5 mins late, but allow people to go to the washroom in a 1.5 hours play? Ridiculous. So we have to wait outside for so long with no place to sit, and we see people going in and out throughout the play to use the washroom, but we can’t even go in and sit in our seats if we are 5-10 mins late. Some logic here!"
Prithvi_Theatre,Seema,1.0 of 5 bubbles,Aug 2022 • Friends,Bad experience,"Though we reached 15 minutes late , they did not allow late entry and strictly not allowing it to exchange with next show .it was delay on our part because of traffic jam but there is no consideration and human element to situation  . I can not review the show but surely experience of visiting theatre was bad."
Prithvi_Theatre,Rani75,5.0 of 5 bubbles,Feb 2021,Feel the Reel,Sitting style is great..Shows are superIts right in the heart of the cityhappening placeenjoyed the showTheater lovers must visit
Prithvi_Theatre,MumbaiRiders,4.0 of 5 bubbles,Feb 2021 • Solo,"Saw "" DANCE LIKE A MAN "" .Excellent.","If a tourist in Mumbai and having ample time in the city then a mandatory visit to Prithvi Theatre is a must do activity.A small cost theatre having a seating capacity of 200 + viewing a concert in this theatre is akin to being a part of the play as the stage is in close proximity to the viewing audience unlike large auditoriums.The theater also has a excellent outdoor cafe that is a watering hole of wannabe actors, established actors as well as common theatre audience.Please book your tickets online in advance if wanting to view a popular play as accomodation is less due to small capacity of this iconic cute homely theatre.A landmark of Mumbai's cultural scene.Ahoy !"
Prithvi_Theatre,Kesha,4.0 of 5 bubbles,Apr 2020 • Family,Nice,It is one of the amazing theatre in Mumbai the canteen over there is amazing must try food over there love it
Prithvi_Theatre,SalimM,4.0 of 5 bubbles,Dec 2019,Worth it,We were keen to watch a play while in Mumbai. So when we saw a comedy play advertised we jumped at the chance and booked our tickets. Staying at Nariman Point meant a long drive on New Years Eve all the way to Juhu. We had been warned that you do not get allocated seat numbers so get there early. The drive was nearly ninety minutes and when we got there there was already a long queue. We joined in and after some time the doors opened and we slowly made our way in. The theatre is small and seating is circular and such that it's up-close to the performance stage. We were lucky to see some empty space on the benches at the far end and we rushed over. Seats are usually sold out as most of the plays/performances are popular. Within minutes the theatre was packed. After a few minutes the play started. It was funny and a real experience. All in all well worth it. The journey back to Nariman Point at about midnight with new years celebrations in full swing was quite something.There is a cafe outside which seems to be the hang out place to be seen. It was packed with young people. They have a nice line in parathas and shakes. Give them a try if you can find a space to sit.
Prithvi_Theatre,Adityasaraswat1801,5.0 of 5 bubbles,Feb 2020 • Couples,Prithvi Theatre - Best Theatre cum dining experience in Mumbai,"We are theatre aficionados and as per the play that we wanna watch keep going to the key theatre venues like NCPA, Opera House, Godrej Experimental Theatre ect, This venue at Juhu if Prithvi Theatre is best in terms of free seating, inexpensive prices and a great cafe to have something to eat, The venue has a great cafe and the venue also is nostalgic in nature as it’s a very old theatre venue and many of today’s key Theatre and film actors have been strugglers here and they respect this venue like a temple, This is also a place where a lot of strugglers who want to make an impact in the theatre and film industry hangout to share ideas and influence them by getting themselves spotted. I recommend that anyone interested in the art scene and good food scene should come around and explore the cafe and the theatre. "
Prithvi_Theatre,Mani D,5.0 of 5 bubbles,Dec 2019,Excellent place to hang out,"Everyone knows Prithvi for the drama and the cafe. Just to add that excellent place to hang out and take a breather from the hectic pace of Bombay. If you are watching a play, strongly recommend landing up at least an hour before. Just to soak in the ambience. And most importantly grab a bite at the Prithvi Cafe. The menu is great and something for everyone."
Prithvi_Theatre,Khushbu T,5.0 of 5 bubbles,Oct 2019 • Family,Comfortable,Very comfortable place to hang out even with young children.good variety of food and so is the taste.I liked the ambience too.
Prithvi_Theatre,sharjeelcool,4.0 of 5 bubbles,Sep 2019 • Family,Great,I had a pretty good time watching a play at this please i also enjoy sipping coffee at the small yet amazing canteen
Prithvi_Theatre,Lenoj Anthony,4.0 of 5 bubbles,Sep 2019 • Family,Nostalgic visit ,Prithvis.......I am returning to this place after a decade and it's still holds the charm.An open air cafe right next to the theater with a casual be your self awesomeness. The Irish coffee was and is still the best ( non alcoholic ) . The food is awesome and surprisingly very aptly priced. It's a must do if your visiting the city .Chilly cheese toastKheema pav ( local bread with mince meat) Irish coffeeMasala Soda Must Try 
Prithvi_Theatre,Lopa Bhatt,5.0 of 5 bubbles,Aug 2019 • Couples,"Creative, inspiring, artistic and an offbeat getaway","The place gets thronged by the elite of all ages and backgrounds. It hums with talent and arts in that it hosts some of the best plays and shows India has on offer. Impressive interior and acoustics. It has a cafe that serves snacks at reasonable prices. Irish coffee is a signature, must-have. Always busy and happening the hideout is tucked away from the hustle and bustle of Mumbai In a remote corner of the Juhu suburb."
Prithvi_Theatre,Aryeman R,4.0 of 5 bubbles,Jun 2019 • Friends,A good combo - theatre with networking,Prithvi theatre is synonmuous for promoting quality theatre and talent. Their cafe has earned good brownie points for its value for money menu options. I still miss their original Irish coffee which was a hotseller at one time. Now it lacks the punch. Its worth trying the menu and noticing the actors deep in conversation. Worth a trip. 
Prithvi_Theatre,rjpriyanka,4.0 of 5 bubbles,Oct 2018 • Friends,Theater,"This place is the center of performing arts in mumbai, run by kapoor family, extremly famous among youngsters"
Prithvi_Theatre,Umang A,4.0 of 5 bubbles,Nov 2018 • Friends,Art,This theater is starred by kapoor family and center of theater art in Mumbai. The cafe here is also very famous amoung youngsters 
Prithvi_Theatre,Pratik1310,5.0 of 5 bubbles,Sep 2018 • Family,Famous,Visited the theater after 10 years.  The look and feel has changed a bit but everything remains the same. Must visit when you are near juhu.  Nice place to hang out
Prithvi_Theatre,GeetaAcharya,5.0 of 5 bubbles,Jul 2018,Dinner and show👍🏼,"Every time we are in Mumbai, we visit Prithvi theater. If there is an interesting show, that is a bonus. The paratha dinner is a must. And don’t forget the Irish coffee."
Prithvi_Theatre,Vivek Dhadha,5.0 of 5 bubbles,Feb 2019,Famous Theatre ,"Prtithvi Theatre is another iconic junction of Mumbai situated Juhu.Comparatively it’s a small intimate theatre.The atmosphere here making it an ideal place to unwind.There’s a cozy, artsy, open- air cafe is warm and inviting."
Prithvi_Theatre,arjunajb,5.0 of 5 bubbles,Feb 2019 • Friends,"Character, Class & Creativity","Was visiting Prithvi Theater after 23 years with family and friends..what an incredible experience..the whole approach and access is infectious..the location, external environment, the layout, the hustle bustle, the posters, the queue prepares one for the event..we managed the best row with ample Leg space..the play Dekh Behen was absorbing and superbly performed..an extremely difficult role enacted with perfection..my salute to Prithvi"
Prithvi_Theatre,Nitin P,5.0 of 5 bubbles,Jan 2019 • Friends,Best small Theatre in Mumbai ,"If you love historical Theatres, this a must visit. If you just want to see fantastic independent theatre, with great stage actors this is a must. If you just want to do something different in Mumbai, this is a must. Not sure it comes across how much I love this place. "
Prithvi_Theatre,rjpriyanka,4.0 of 5 bubbles,Aug 2018 • Friends,Art,This is miner of the oldest and most iconic theatre I  india. Still many known celebrity artist perform here
Prithvi_Theatre,Umang A,4.0 of 5 bubbles,Sep 2018 • Couples,Histroy,This is the most iconinc theater of Mumbai. Many celebrate artist started their journey from here and even perform today as well.
Prithvi_Theatre,VED_PRAKASH_Patel,4.0 of 5 bubbles,Jan 2019 • Friends,Good for hang out and for theatre lovers,This Theatre was dedicated to Prithvi Raj Kapoor which was built by Shashi Kapoor and his wife Jennifer Kapoor.One who loves play and enjoy the shows here. Also it's good place for hangout too.Lot's of young crowd can be visible here at its open nicely decorated dining space.There's also a book stall for the readers.
Prithvi_Theatre,Jasvir C,5.0 of 5 bubbles,Dec 2018 • Couples,Theatre & Cafe,"Worth a visit If you are in Mumbai for few days, Theatre has been in the Prithvi Family for generations and is well looked after,  plays are being performed daily, nearly 3 to 4 performances, worth watching one if you have the chance, you wont be disappointed, my husband and I watched a play called ""Chalona Aajao""  excellent performace with some good comedy and a great message for people to take away with them. The Cafe is a busy place, but worth the wait which is not that long, good service and tasty food, famous for their Paranthas. just like to mention a name "" Athishaya"" young man who saved a poster of the play I watched, which I collected the next day and enjoyed another lunch this time a Parantha."
Prithvi_Theatre,Rohit G,4.0 of 5 bubbles,Dec 2018 • Solo,Visit for the Theatre and Cafe, A vibrant environment discussing creative stuff. Watch a play from renowned actors and come take a break at Prithvi Cafe with Parantha and Sulemani Tea
Prithvi_Theatre,@niharika,5.0 of 5 bubbles,Oct 2018 • Friends,favorite spot!,"Prithvi theatre has been my favorite spot since i moved to Mumbai 2 years ago! crowded yet so rich in culture through their menu and ambience. i got to catch a play there as well, pretty amazing experience!"
Prithvi_Theatre,Culture45720392316,5.0 of 5 bubbles,Nov 2018 • Friends,Amazing!!,This place can never disappoint you . My usual hangout place where the food is amazing and not a hole in your pocket. The paranthas are fabulous and the ambience energises you . The ice teas are good and pasta is also worth a try.
Prithvi_Theatre,Sunita Vij,5.0 of 5 bubbles,Sep 2018 • Family,My first visit to Prithvi Cafe,Its a beautiful crowdy place in Mumbai which serves very delicious food at a very reasonable prices.  It has a book shop also.  Waiting time during evening times is approximately 30 minutes.  Must visit once you are in Mumbai.  Try the stuffed Amritsari kulcha for authentic taste.
Prithvi_Theatre,Piyush Thakur,4.0 of 5 bubbles,Sep 2018 • Friends,Can be visited for its Cafe :) ,"Prithvi is an iconic theatre of Mumbai which has kept alive the tradition of live plays. Apart from NCPA , this place still has some of the best plays being organized on a frequent basis. But the icing on the cake is their cafe. Fantastic food which complements the theatre for a complete outing Tip : Booking can be done online as well. Please note it is closed on Monday. "
