Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Dr_Ram_Manohar_Lohia_Park,Pawan_Shrotria,4.0 of 5 bubbles,Mar 2022,Sprawling Greenery,"Huge Park ! Very peaceful ! ... The park is located in remote Gomtinagar in Lucknow. PArk covers amazingly area of land with greenery allover. There is cememted large size water pond where one can have boating facility also after paying a reasonable amount. In the morning, there are people for morning walk and in the evening families are there to spend their evening with family members. There is one of tha largest flag of India which can be seen from kilometres. "
Dr_Ram_Manohar_Lohia_Park,Khilesh C,5.0 of 5 bubbles,Sep 2020,Best park in Lucknow,"It is a charmingly lovely park with so many fragrant flowers, trees and plenty of grass and a long walking track along the perimeter.  A small part of the area is also a synthetic track which is great for walkers and joggers. Size wise, Janeshwar Mishra park is larger but this park is more beautiful.  "
Dr_Ram_Manohar_Lohia_Park,bienu,4.0 of 5 bubbles,Jul 2019 • Friends,Lush Green Lohia Park in Lucknow,"Didn't expect it to be so big, green, neat and clean. If you love your morning walks, jogs or just be there, Lohia Park is a great place to be in. It is very natural with a variety of flora and fauna. I could see Kalp Vruksh also. Take out time to spend some quality time there, carry your laptop to record memories..."
Dr_Ram_Manohar_Lohia_Park,amars777,4.0 of 5 bubbles,Jun 2018,Beautiful park in the middle of city,A huge park with variety of trees Located in the middle of city gives the citizens well deserved lung space. The park is very well maintained. Need more restaurants in the park.
Dr_Ram_Manohar_Lohia_Park,FANOUT,4.0 of 5 bubbles,Feb 2019 • Friends,Green Lungs,A well laid out public space.....parking your car though is a bother..winters / spring(now) is  the best time to visit
Dr_Ram_Manohar_Lohia_Park,rsraghavan6,5.0 of 5 bubbles,Apr 2018 • Business,Good,One of the best place for leisure and to lose calories.A proper green space at the heart of the city. Very clean surroundings. Proper drinking water and clean toilet facilities built at regular intervals inside the park.Sitting benches available. Located at a proper location.
Dr_Ram_Manohar_Lohia_Park,SAURAV C,5.0 of 5 bubbles,Dec 2018 • Family,Great place for those who wants to be refreshed in the Morning,Great place for those who wants to be refreshed in the Morning. Be there to know what it means to wake up early morning. Good Place Good People with lots n lots of activity.
Dr_Ram_Manohar_Lohia_Park,592abck,3.0 of 5 bubbles,Mar 2018 • Family,What a park,"This is memorial park for a great leader. Neat and clean, maintained and not crowded. Parking could be an issue."
Dr_Ram_Manohar_Lohia_Park,Sudhir S,4.0 of 5 bubbles,Nov 2018 • Couples,A niceplace for morning walk,A well layout park with multiple tracks for walking.There are 2 synthetic tracks a open jim and a number of activities for children.Park has number of trees including some rare trees like parijat .There are a numerous birds ducks etc.
Dr_Ram_Manohar_Lohia_Park,vsrinet,4.0 of 5 bubbles,Nov 2018 • Solo,Amazing Oasis of Greenery and Fresh Air,"This is a huge park ,situated centrally in Gomti Nagar,the poshest area of Lucknow.Very well connected and an excellent place for a peaceful walk,jog,meditation ,use of swings,by children and adults,alike.There is a vast variety of green trees,making it denay covered by green foliage,protecting the visitors from harsh sunlight,and providing much required fresh air.The park has sufficient security staff and the security is fool proof ,even after dusk.There are clean and well maintained wash rooms,unlike other parks.Processed water is also available.Children just love the swans in in the po d and the vintage railway steam engine on display.Strongly recommended  for park lovers."
