Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mapusa_Friday_Bazaar-Mapusa_North,Durga P,1.0 of 5 bubbles,Sep 2022 • Family,"Overrated reviews, nothing but local fruit and meat market","Nothing interesting, few fruit, fish, meat  stalls. Lower class clothes from Rs 100 - 300. Lower middle class shops.AVOID. "
Mapusa_Friday_Bazaar-Mapusa_North,Mamata,4.0 of 5 bubbles,Aug 2022 • Couples,"Mapusa Market , Goa cultural visit","This my 25th year of visiting Goa and in every visit we go to Mapusa market. For 2 wheelers , parking is never an issue as you can find some slot in any of the bear by lanes. The market is always over crowded. It is still set in rows and reasonably  segregated with clothes, fruits, fish, speciality products etc. Apart from stall there are many proper stores inside the market. If you take interest in cooking Goan food , it’s worth the visit . The dried spices are cheap and good quality , tirphala, dried mango slices, kokum, coconut oil is what I buy from hawkers. Fruits are cheaper and you can buy it for your consumption during the stay. The pickles and masala / curry powders are very good. Eg xacuti, Malvani, fish curry powders. Conconut oil sold in buskers bottles is very good for health . It’s almost like virgin coconut that you can use for head massage, boy massage etc. From the shops  inside the market , we buy wholesale  of beers , port wines   Casews, mango papad , reachado masala etc . I buy from Braganza shop. Francis bakery sells the really good quality tea cakes. There are many though. Check out the pics. If you have passion  for local culture, food do pay a visit. Do a little research on Goa food to understand better the products and it’s use."
Mapusa_Friday_Bazaar-Mapusa_North,Maneesh2700,2.0 of 5 bubbles,Jun 2022,"Mapusa Municipal Market, Goa -- Not for Visitors","This market must be good for the locals, we found it overcrowded and less of value for our time. Car parking was a chaos in this area and it simply drove our interest out of this place"
Mapusa_Friday_Bazaar-Mapusa_North,Hooray H,5.0 of 5 bubbles,Dec 2019,For the adventurous,"It is a bit of history & it is fascinating how many different products are for sale, s worth the trip but don't go when it's hot, it's not for the faint-hearted.There are many traditional cafes too. Beware of the little gaps in the pavements; that's where the giant rats live.They love markets- so much for them to eat!"
Mapusa_Friday_Bazaar-Mapusa_North,Gazo1963,4.0 of 5 bubbles,Feb 2020 • Couples,Very Busy,"Well worth a 20 rupees bus from Candolim . Loads of stuff for sale , some of it incredibly cheap . Don't be afraid to barter with the sellers , they start at a high price expecting to be knocked down , just remember , if they were not making money they would not sell it you ."
Mapusa_Friday_Bazaar-Mapusa_North,kat23uk,3.0 of 5 bubbles,Feb 2020 • Couples,Packed!!!,"Although i enjoyed walking around this market i dont think the word packed can describe it well enough. So many people coming and going, buying and selling. Im glad i went to experience it but probably wouldnt go again "
Mapusa_Friday_Bazaar-Mapusa_North,Alan,4.0 of 5 bubbles,Jan 2020 • Family,Excellent place for a Friday,Mapusa market my favourite Friday market.Its a must visit .The locals come and sell their homemade preperation from all over Goa.
Mapusa_Friday_Bazaar-Mapusa_North,Sain govekar,4.0 of 5 bubbles,Jan 2020 • Friends,Visit to the local Mapusa market in goa,"The area is just so crowded, there is everything available to buy, ranging from fruits, vegetables, goods, spices, fish, dried fruits, sweets etc. The market is a place where u can get whatever u wish for because whatever u wish for you get at a second and at a reasonable price. There is also a bus stand which makes travelling much easier."
Mapusa_Friday_Bazaar-Mapusa_North,foodeegypsy,5.0 of 5 bubbles,Dec 2019 • Couples,Mapusa Friday Market,"This is the weekly market held every Friday around municipal market. You get everything here including Goan spices, homemade sausages, fish with marsala ready to cook, fruits, vegetables, sweets, cloths etc. Must visit when in Goa. Easily accessible by local buses as it is next to Mapusa bus stand. It will be there till 7pm from morning."
Mapusa_Friday_Bazaar-Mapusa_North,sg2300,3.0 of 5 bubbles,Dec 2019,"Fruits, flowers and everyday items   फल, फूल और रोजमर्रा का सामान","This Goa market is a traditional market. It sells vegetables, fruits and everyday items along with local products. Many varieties of dried fish to betel nut are available in this market. In this tightly packed market, nothing special was visible to tourists.गोवा का यह बाजार एक परम्परागत बाजार है। यहां स्थानीय उत्पादों के साथ ही सब्जी फल और रोजमर्रा की जरूरत का तमाम सामान बिकता है। सूखी हुई मछली से लेकर सुपारी की कई किस्में इस बाजार में मिल जाती हैं। तंग रास्तों वाले इस बाजार में सैलानियों के लिए कुछ खास दिखाई नहीं दिया।"
Mapusa_Friday_Bazaar-Mapusa_North,Ross .,4.0 of 5 bubbles,Nov 2019 • Couples,Open all week,"Friday is when locals bring in their produce, but it is busy all week.One end, near the bus station, is clothes, etc, but as you go through there are all sorts of goods, a flower selling section, fruit, veg, spices, chillies, cashews, fish and meat.In recent years a hall has been built for the veg market and another for the fish.A great improvement.An interesting morning can be spent without feeling ripped off, esp if self catering.Xavier’s a must for home made snacks and hot or cold drinks."
Mapusa_Friday_Bazaar-Mapusa_North,ATHIRESORTS,3.0 of 5 bubbles,Oct 2019,It's ok - just OK,"I'm not one to fuss about local markets and crowds, but this was just very badly organised with stalls everywhere and no pattern or logic to them. There were rotting vegetables all over the pathways, scooters trying to get through where just two people can cross one another and it left me with a bad, claustrophobic feeling. I won't go again and I won't recommend it to any of my family/friends either. "
