Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Plaza_Premium_Lounge_Domestic_Departures,AmodPune_India,1.0 of 5 bubbles,Jan 2023 • Family,Pathetic,Housekeeping staff cleans the floor while people are eating. They don’t care to request travellers to wait or finish the meals. We were having dinner and the staff lady was rushing to clean the floor. The housekeeping team started putting chairs on the tables. This looked to be the end of day operations. The staff was eating the food kept for travellers. Most of the food items were cold and no heating was being maintained. My next flight was after 6 hours but I was told that the lounge can  be used only for 2 hours. This was new for me. It’s Pathetic and I couldn’t see any supervisor with whom I could chat. Plaza premium definitely needs to upgrade the quality.
Plaza_Premium_Lounge_Domestic_Departures,Winnia,1.0 of 5 bubbles,Jan 2023 • Family,Arrogant Receptionist,"I just came out of the lounge all furious on the receptionist who was a nutcase, didnt seem to understand simple English and above all spoke rudely.I told her to kindly contact the Indigo helpdesk to help me in taking my mother who is a senior citizen to the boarding gate.The wheelchair assistance guy had left us at the lounge since we had a 4 hours layover.Before leaving he said that I need to initimate lounge receptionist and she would connect with Indigo helpdesk and arrange for the assistance.When it was time ,I went and told this receptionist that my mother is seated on the wheelchair and that if she could connect with the Indigo helpdesk for continuing the assistance till the gate, she noded her like an idiot...After sometime when nobody came ,I went back and reminded her while she was fidgeting with her cellphone and she was like we dont provide this service; To which I said this is ridiculous because if you didn't,you should have told that to me the first time.She had the audacity to tell me ""How much has it been since you first came, I didn't tell you then, but I am telling you now"".I AM REALLY DISSAPOINTED WITH THIS KIND OF ATTITUDE THAT TOO FOR REQUESTING FOR SERVICE FOR A SENIOR CITIZEN. SHOCKED TO SEE SUCH BEHAVIOUR FROM THE RECEPTIONIST.Requesting the Plaza lounge management to please take action against such arrogant staff.Winnia Furtado9833512787"
Plaza_Premium_Lounge_Domestic_Departures,rajiv_thatsme,1.0 of 5 bubbles,Dec 2022 • Family,Horrible,Pathetic lounge with rude staff. No wifi available. No proper bottled water for international passengers. And very basic amenities.
Plaza_Premium_Lounge_Domestic_Departures,Keith,1.0 of 5 bubbles,Dec 2022 • Family,Worst lounge,"This lounge is expected to cater for those travelling business internationally and domestically, but didn’t have any food, drinks or Wi-Fi. When asked why nothing was available “new owner arrives in a couple of days!”Floors filthy and staff sleeping on toilet floor.Worst lounge experience ever!"
Plaza_Premium_Lounge_Domestic_Departures,Deepankar Mitra,1.0 of 5 bubbles,Dec 2022 • Solo,Hyd airport lounge management to be change immediately. Worst in India.,"At 7.30 pm today , lounge personal at hyd airport lounge said it's closed because food is over ... I mean seriously... How can it be managed so bad... Can the management look into it plz. It's sooo waste.... Action should be taken related to this."
Plaza_Premium_Lounge_Domestic_Departures,drvivekx,1.0 of 5 bubbles,Dec 2022 • Business,Poorly being managed.,The lounge was closed when we arrived. We were told the lounge will open at 12:30 when lunch starts. When the lounge opened there was atleast a crowd of 40 people waiting for card to get swiped and getting unmanageable. And only one person to swipe . Later after 15 min 1 more arrived. The water dispenser did not have hot water . No soft drink- machine out of order. No tea in tea coffee dispenser.
Plaza_Premium_Lounge_Domestic_Departures,Amit Rathour,5.0 of 5 bubbles,Aug 2022,Good lounge,Good lounge but always crowded . Good sitting area for a longer wait time and comfortable seating . The menu is repetitive if you are traveling frequently might not enjoy the menu.
Plaza_Premium_Lounge_Domestic_Departures,Rahul2604,3.0 of 5 bubbles,Nov 2022 • Solo,Good lounge but crowded,"Only lounge at RGIA domestic departure,its big with respect to many other lounge in India still remains crowded during peak hours.As most lounge in India only allowed 3 hr before departure but if having more layover can swipe card multiple times and use.Food selection was good,there is a bar also with payment basic,only lounge in India having smoking zone inside."
Plaza_Premium_Lounge_Domestic_Departures,GLOBALSEAS,5.0 of 5 bubbles,Nov 2021,refresshing,refreshing in the lounge when we have too much of time to connect a flight .... good food and we can rest and relax ...
Plaza_Premium_Lounge_Domestic_Departures,DipuKV,3.0 of 5 bubbles,Sep 2022,Crowded,"The Plaza Premium Lounge at Hyderabad, just like its counterpart in Delhi, gives you the same feel - crowded to the hilt. While the spread when I visited was good, limited seating options and long lines diluted the overall experience."
Plaza_Premium_Lounge_Domestic_Departures,Akshay Sharma,3.0 of 5 bubbles,Aug 2022,An average lounge with a Premium mentioned in its name,This lounge though named Premium offers an average service compared to the ones at Delhi/ Mumbai airports. The seating arrangement is cramped and the check-in experience is very poor. They need to improve the seating arrangement which makes the whole area quite cramped.
Plaza_Premium_Lounge_Domestic_Departures,Ankur Borwankar,5.0 of 5 bubbles,Aug 2022,"Excellent food, comfortable couches","Out of the dozen or so airport lounges I've been to in India, this one is by far the best. Comfortable seating, runway facing couches with plush footrests, delicious lunch, live food counter, and polite staff.Lunch included soup, salads & beans, daal & rice, a vegetarian starter, one vegetarian and one chicken main course, a live dosa counter, and a dessert. All of these were fresh and worthy of compliment on a pedestrian Tuesday afternoon. My only gripe is there were no rotis on the menu. It does get crowded around mealtime but I found a two-person dining table without having to wait.A small bar serves alcohol at a charge with separate seating, coffee machines dispense good cappuccino, and there's also a soda fountain with 4 or 5 varieties (PepsiCo, not Coke).A smoking room is inside the lounge, adjacent to the bar, so there's no need to lug your cappuccino across the airport. The room is small but clean and maintenance staff was sweeping it thrice every hour during peak rush.The staff is warm and all the travellers I encountered were friendly as well. Much more genial than the dour, reserved types one finds in Delhi.I was told there are two lounge areas, this review is for the domestic Plaza Premium lounge on level 2.- ANX SCORE CARD -Food: 5/5Service: 5/5Ambience: 5/5VFM: N/A - VERDICT -Definitely worthwhile stopping by. An even sweeter deal if you have complimentary lounge access."
Plaza_Premium_Lounge_Domestic_Departures,kc_dude,3.0 of 5 bubbles,Jun 2022,Not at all impressive,"Dirty, crowded and very few food options. They need more people to clean general area or tables. International side is much nicer."
Plaza_Premium_Lounge_Domestic_Departures,Arvind Kumar Yerram,4.0 of 5 bubbles,Jan 2022,Useful place,Good place offering multiple cuisine options at a very good taste. Obviously unlimited quantity and good service. Multiple options for drinking and great place to rest.
Plaza_Premium_Lounge_Domestic_Departures,rd07,4.0 of 5 bubbles,May 2022,Too crowded!,Area facing the runway is best for the view and offers best chairs. Very good variety of food and beverages and very hospitable staff.  
Plaza_Premium_Lounge_Domestic_Departures,Abhay Mehta,4.0 of 5 bubbles,Mar 2022,Good Lounge but difficult to locate,The lounge is good and providing good south Indian dishes in the breakfast. But the location is not good which makes one difficult to locate.
Plaza_Premium_Lounge_Domestic_Departures,Gurus49,5.0 of 5 bubbles,Feb 2022,Helpful and adequate,"Good food, courteous and helpful staff.  Adequate place for wheelchair maneuvering also.  Clean bathrooms."
Plaza_Premium_Lounge_Domestic_Departures,Aditi Daga Patwari,5.0 of 5 bubbles,Jan 2022,relaxing,A relaxing place with good food away from the din of the airport gates. Unfortunately due to covid the wellness center was closed
Plaza_Premium_Lounge_Domestic_Departures,Santosh1959,2.0 of 5 bubbles,Nov 2021,Its overcrowded and a very poor quality food,The food is of a very poor quality. The spread is very limited. Do not go there if you have a better option.
Plaza_Premium_Lounge_Domestic_Departures,srk-rk,3.0 of 5 bubbles,Nov 2021,Hyderabad Airport Lounge,Lounge ambiance is good. Service is OK. The lounge is generally crowded. Food is average. Overall an average experience.
Plaza_Premium_Lounge_Domestic_Departures,shekher Khandelwal,1.0 of 5 bubbles,Nov 2021,"The Premium plaza was dirty, chaotic and useless food. The service was poor too",the domestic Premium Plaza was pathetic and poor. The food served is below expectation. The sitting was dirty and one has to form the queue to fight for food
Plaza_Premium_Lounge_Domestic_Departures,Varun D,3.0 of 5 bubbles,Oct 2021,Not good.,a- First the Lounge is pretty small when compared to the rush on Airport.b- The dinner served is just to small for the spread expected and charges taken.No Indian Breads served.
Plaza_Premium_Lounge_Domestic_Departures,Shravan kumar,5.0 of 5 bubbles,Oct 2021 • Friends,Excellent,"Really I liked soo much how they value and respect the passenger especially Chef Jithender reddy,Nagaraju,Kishore Yadav really I have a great occupancy with all this guys and good deliver to us and they are best Chefs which I found from all lounges and I appreciate there work which they delivered to us.The taste of the food is Soo smooth and so Delicious with the taste."
Plaza_Premium_Lounge_Domestic_Departures,srikanth,5.0 of 5 bubbles,Dec 2020,Student,Seriously it was so good to have a great time here I just made my day here for waiting in plaza Premium lounge especially chef.N jithender  reddy Chef. NagarajuGSO  G .Kishore Yadav I just have a great occupancy With these guys in the great delivery of their food and everything has made made a great time to spend over five feel like they are the best luck do you mean that clients to be happy want to wait for the flight and departure thank you
Plaza_Premium_Lounge_Domestic_Departures,Sumit Singh Gandhi,5.0 of 5 bubbles,Aug 2021 • Friends,Average Experience,I had high hopes for this place. The steak was under-seasoned. The menu didn't match the one on their website. I was not very pleased to find out that the coffee wasn't fair trade. This place deserves its very average rating.
Plaza_Premium_Lounge_Domestic_Departures,Sunil KHURANA,5.0 of 5 bubbles,Aug 2021 • Friends,Awesome,"Service given by the mentioned staff was so good . Thank you do much  Sivadarshini , yagchin, pretty mehata"
Plaza_Premium_Lounge_Domestic_Departures,Ganga Venkat,5.0 of 5 bubbles,Jul 2021 • Couples,Wonderful,Everything is fine.Highly hygienic premises and healthy food. Hospitality also Good. Service provided by sivadarshni.
Plaza_Premium_Lounge_Domestic_Departures,kelvin.f,5.0 of 5 bubbles,Jul 2021,Saviours! ,"Great experience! They were a saviour to me on the day when I was hungry and there was nothing on Hyderabad Airport available from 930 pm onwards.Though I had difficulty finding them at first, but then they were great.Great service quick and speedy and great staff! "
Plaza_Premium_Lounge_Domestic_Departures,Yugandhar K,5.0 of 5 bubbles,,Excellent service and good food,The staff is very courteous and helpful and the place has a nice view of the runway and ther is a good buffet  with a wide selection.The toilets and showers are well maintained .Overall its a good experience and makes you forget about the wait
Plaza_Premium_Lounge_Domestic_Departures,Biren,5.0 of 5 bubbles,,Good Lounge,They took time to let me & wife in but lounge is ok and staff takes care of you.. Good food was served. Overall satisfying experience
Plaza_Premium_Lounge_Domestic_Departures,Ranadive,5.0 of 5 bubbles,Jul 2021 • Solo,Dinner Experience,It was pleasant experience and staffs service  was awesome.staff mr.sajin server the purpose and the dinner too enjoyed well.everyone should experience the new premium lounge facility.Enjoyed it👍👍
Plaza_Premium_Lounge_Domestic_Departures,Krishnan V,5.0 of 5 bubbles,Jul 2021,Good Ambience and Food,Good Ambience and Food. Covid protocols maintained.  Spacious Lounge. Due to Covid menu is limited and set but tasty.
Plaza_Premium_Lounge_Domestic_Departures,Ashwin Vemuri,5.0 of 5 bubbles,Apr 2021,Plaza Premium Domestic Departure Lounge,"Apt Location, Quiet Atmosphere Overlooking the Parking Bays & Tarmac. Excellent Distanced Seating, Well Laid Out Locations for Liquids, Buffet, Changing Rooms, Toilets and Shower Areas."
Plaza_Premium_Lounge_Domestic_Departures,Ramu A,5.0 of 5 bubbles,Apr 2021 • Solo,Awesome,"Dear Guest,

Thank you very much for your great review in regard to your recent stay at Plaza Premium Lounge. Nothing would please us more than receiving compliments from our guests and this is what keeps us take pride in our work
Once again thank you for the review and it was and always will be our pleasure to welcome you back to serve you to our best.

Thanks and Regards
Raghav Goud
Deputy Lounge Manager"
Plaza_Premium_Lounge_Domestic_Departures,Jayant,4.0 of 5 bubbles,Mar 2021 • Business,Great,"Dear Guest,

Thank you very much for your great review in regard to your recent stay at Plaza Premium Lounge. Nothing would please us more than receiving compliments from our guests and this is what keeps us take pride in our work
Once again thank you for the review and it was and always will be our pleasure to welcome you back to serve you to our best.

Thanks and Regards
Raghav Goud
Deputy Lounge Manager"
Plaza_Premium_Lounge_Domestic_Departures,Ramu A,5.0 of 5 bubbles,Mar 2021 • Solo,Good Hospitality.,"Had a wonderful time. Amazing hospitality, nice breakfast and lunch. Overall its awesome...Thanks to the staff"
Plaza_Premium_Lounge_Domestic_Departures,srinivas b,5.0 of 5 bubbles,Mar 2021 • Solo,Excellent,"Dear Guest,

Thank you very much for your great review in regard to your recent stay at Plaza Premium Lounge. Nothing would please us more than receiving compliments from our guests and this is what keeps us take pride in our work
Once again thank you for the review and it was and always will be our pleasure to welcome you back to serve you to our best.

Thanks and Regards
Raghav Goud
Deputy Lounge Manager"
Plaza_Premium_Lounge_Domestic_Departures,Ramu A,5.0 of 5 bubbles,Mar 2021 • Friends,Excellent service,"Dear Guest,

Thank you very much for your great review in regard to your recent stay at Plaza Premium Lounge. Nothing would please us more than receiving compliments from our guests and this is what keeps us take pride in our work
Once again thank you for the review and it was and always will be our pleasure to welcome you back to serve you to our best.

Thanks and Regards
Raghav Goud
Deputy Lounge Manager"
Plaza_Premium_Lounge_Domestic_Departures,Anil Sharma,5.0 of 5 bubbles,Feb 2021 • Solo,Excellent Staff and lovely hospitality,Service was good and it was provided by Ms. Preeti Mehatha at hyderabad launge at 1.30pm. Over all good
Plaza_Premium_Lounge_Domestic_Departures,Ramu A,5.0 of 5 bubbles,,Excellent service,"Dear Guest,

Thank you very much for your great review in regard to your recent stay at Plaza Premium Lounge. Nothing would please us more than receiving compliments from our guests and this is what keeps us take pride in our work
Once again thank you for the review and it was and always will be our pleasure to welcome you back to serve you to our best.

Thanks and Regards
Raghav Goud
Deputy Lounge Manager"
