Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Indira_Gandhi_Planetarium,Virus King,5.0 of 5 bubbles,Oct 2019,Very Interesting place to visit in Lucknow,"Indira Gandhi Planetarium or India Gandhi Nakshatrashala is a famous planetarium in Lucknow, which displays interesting items."
Indira_Gandhi_Planetarium,Reyan11,4.0 of 5 bubbles,Nov 2018 • Friends,Saturn shaped,"It has state of the art projection system. Very small fees. Fountains , multiple shows - attractions here."
Indira_Gandhi_Planetarium,durham05,3.0 of 5 bubbles,Jul 2019 • Solo,Impressive building,"This is an impressive building design, made to imitate the planet Saturn, but showings do not start until 1pm and run hourly through the afternoon. Sadly I was too early to see a show."
Indira_Gandhi_Planetarium,niya27,4.0 of 5 bubbles,May 2019 • Solo,Awesome building ,"The building of the Indira Gandhi planetarium is having a shape of Planet Saturn. The ticket is very cheap, just 25 Rs for a show. Both Hindi and English shows are played there. "
Indira_Gandhi_Planetarium,aarkpandey,4.0 of 5 bubbles,May 2019 • Family,Planets and satellites,"It was nice to visit Indira Gandhi Planetarium at lucknow with my grand kids. They gathered knowledge about our scientists like Aryabhatt, Varahamihir etc. along with ISRO, PSLVs, GSLVs and various Indian satellites which were depicted in a circular gallery before the main entrance.During the show, brief description and positioning of various planets with their changing position in different seasons were well explained. Surroundings are also well maintained."
Indira_Gandhi_Planetarium,kushBans,4.0 of 5 bubbles,Jan 2019 • Friends,Try it out !!,A good visit for the people who are really into the astronomy. Bulk of information and nice views can be seen.
Indira_Gandhi_Planetarium,592abck,4.0 of 5 bubbles,Mar 2018 • Family,Study science,"This place is good for kids who wants to study planets and stars. Also, there is a small cafeteria here."
Indira_Gandhi_Planetarium,Hedonist_Surya,4.0 of 5 bubbles,Aug 2017 • Friends,Nice place for young learners.,Various helpful and knowledge gaining stuffs are availible here at the display section which mostly attracts kids.The best part of whole was the laydown 360° space tour. but specify your choice english one is better.
Indira_Gandhi_Planetarium,Rasheedur Rahman Shihab,5.0 of 5 bubbles,Mar 2018 • Solo,Best one,Indira Gandhi Planetarium is the best Planetarium in the entire Uttar Pradesh. The only one which I have visited.
Indira_Gandhi_Planetarium,Aloy M,4.0 of 5 bubbles,Oct 2017,A Celestial Experience Descaled!,"The visit is limited to the Space show only, which is actually very enlightening and good. The institution is poorly maintained and very less time is allowed to observe the exhibits that are displayed in the outer waiting room. The behavior of the accessory staff is very poor and totally non co operative. "
Indira_Gandhi_Planetarium,umesh_12,5.0 of 5 bubbles,Feb 2016 • Family,Learning Centre,Any body can visit the place......Spend 2-3 hours with children...My children enjoyed very well......you can feel that you are in space...
Indira_Gandhi_Planetarium,Nivesh A,3.0 of 5 bubbles,Sep 2015 • Family,Very interesting,Very interesting building from outside.Building looks like planet sapturn from outside but inside it has got regular shows of planetarium which are there in all the planetariums.Quite Boring actually
Indira_Gandhi_Planetarium,lotusdiamond,4.0 of 5 bubbles,May 2016 • Family,Story of Galaxy !!,The story of universe is depicted in very nice way. Very good place for young children to understand the story of our Galaxy. Comfortable seats and well maintained area.
Indira_Gandhi_Planetarium,travellerasr1407,5.0 of 5 bubbles,Apr 2016 • Family,I loved this Planetarium,"Though it may not be very neat and clean but I loved the presentation and seating arrangements, thanks"
Indira_Gandhi_Planetarium,Sundeepgupta,4.0 of 5 bubbles,Mar 2016 • Business,Good for understanding universe.,This place many be good options with growing age children have a lot of question in their mind about planet and universe. This is a good place to visit.
Indira_Gandhi_Planetarium,Nishant K,5.0 of 5 bubbles,May 2015 • Family,good,"experiences on every visit different ,,,looks like its getting upgrade from the sky above every night"
Indira_Gandhi_Planetarium,Arpit141,4.0 of 5 bubbles,Nov 2015 • Friends,Great experience,"The Planetarium is in unique Saturn shape with visible five rings. The diameter of the Planetarium is about 21 meter and it rests on a platform, especially designed to provide an idea of crater formation of celestial bodies.Overall a great experience to visit this place"
Indira_Gandhi_Planetarium,manoj k,4.0 of 5 bubbles,Jul 2015 • Friends,worth for school going Kids,it is very interesting for school going kids. they can learn a lot. demo can be seen by them about our  solar system
