Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Phoenix_United_Mall,Aalim19,5.0 of 5 bubbles,Apr 2021 • Family,Nice mall and very large parking space,Good mall experience . Very clean and hygienic. Great elavators. Well branded shops. Large parking space. And good area of food court
Phoenix_United_Mall,AMAN WADHWA,4.0 of 5 bubbles,Sep 2019 • Family,Nice place,"Place is superb, you can easily visit there , all type of transportation available, metro, bus, taxi.fun zone and food court are superb."
Phoenix_United_Mall,Excursion14135774336,4.0 of 5 bubbles,Jul 2019 • Friends,Movie Time,Good Atmosphere And Ambience....But still requires more space for food court and places to relax more
Phoenix_United_Mall,Harish,4.0 of 5 bubbles,Jun 2019 • Family,Must visit,"Nice place to visit, good for shopping,various brands available with a wide area for food court available."
Phoenix_United_Mall,tickettoamoment,5.0 of 5 bubbles,Mar 2019 • Solo,I love to do shopping ❤,"I visited here about 100 times 😋😋This place is near by, with easy transport facilities. The best shops here are Allen solly, pantaloons,globus,global desi,w for women and lots more. I love to do shopping alone it wod take to 4 to 5 hrs to see each and every store of it. Sandals from stelitos are really good. The best thing of Phoenix is pvr shows. Love to visit here again and again. ❤ "
Phoenix_United_Mall,neena1230boss,5.0 of 5 bubbles,Dec 2018 • Family,Food court,The food court is awesome and i loved its design... The are enough to fill someones fodder and the delicious good.I highly recommend to visit Phoenix United Mall and its food court...
Phoenix_United_Mall,Sidhart rajpoot,5.0 of 5 bubbles,Nov 2018 • Friends,Chill,the place is very good for time pass and chill out i was gone to see movie 2.0 the place is very good must visit
Phoenix_United_Mall,Singh744,5.0 of 5 bubbles,Nov 2018 • Friends,Shopping 🛒 Mall,"I always love the place, There are many top brand like CK, Indian Terrane, New, Titan, Lee, Reebok and many more. FOOD court is Awesome."
Phoenix_United_Mall,ajay,5.0 of 5 bubbles,Oct 2018 • Family,Good ,Good very nice good too see such a mall in lucknow so near to the airport would like praise all the staff doing wounder job in helping customers like me 
Phoenix_United_Mall,Harsh V,5.0 of 5 bubbles,Sep 2018 • Friends,Amazing place,The mall has the great under ground parking mall has five level phoenix is the best to chill out time with go to see movie in PVR which is on five floor this is the best place to chill out some time with our love must visit
Phoenix_United_Mall,div106,5.0 of 5 bubbles,Dec 2017 • Family,Shoppers paradise,Phoenix mall is truly a shoppers paradise . All the TOP Brand’s are available under one roof . The best time to visit is the sale time when u can grab the best deals .
Phoenix_United_Mall,Hasan Khan,4.0 of 5 bubbles,May 2018,Good one,It's one of the best malls of Lucknow. Good for clothes shopping and have a good selection of outlets.
Phoenix_United_Mall,2110aman,4.0 of 5 bubbles,Mar 2018 • Family,"Great mall. Having all sort if things. Shopping, PVR, all food stuff. In short package of entertainment.",Wonderful clean environment. Parking space in enough. Shops are well maintained. Site for entrainment.
Phoenix_United_Mall,shahbaz h,4.0 of 5 bubbles,Mar 2018 • Couples,Awesome place to visit,"It was awesome, we had a lot of fun.... We play games we eat quantity food, we saw beautiful great decorative things, we losten a peaceful music... It was a complete package of fun.. must visit once..."
Phoenix_United_Mall,shiza784,4.0 of 5 bubbles,Feb 2018 • Family,Casual Trip,Nice mall.. gud 4 shopping n movies.. Nice 4 children.. food court is gud and spots court is awesum..have variety of games for children as well as 4 adults too
Phoenix_United_Mall,Rasheedur Rahman Shihab,5.0 of 5 bubbles,Feb 2018 • Friends,Lucknow - Kanpur Road Mall,"This mall is on the Lucknow - Kanpur Road, hence it is usually visited by the travellers between the two cities for having meals. It is also very near to the Lucknow Airport."
Phoenix_United_Mall,kamal_innovaa,5.0 of 5 bubbles,Jan 2018 • Family,one of best mall,"what a mall,very good approach with plenty of parking in many basement level.Over all very well decorated and show rooms are very huge like Pantloons with food court and PVR."
