Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sanghi_Temple,chandrasekhar g,4.0 of 5 bubbles,Nov 2022,Peacefull temple place,"Lord balaji templefar away from hyderabad city, from hyathnagar , frequently autos will be available.RTC buses will available only in specific timings. I have reached L B Nagar metro --> then take auto/rtc bus to hyath nagar bus stand ---> autos will be available directly to sanghi temple.Own vehicles should pay parking fees. Prasadam will available but we have pay fees.temple canteen also available.overall its good to spend some time in a day."
Sanghi_Temple,soumyadevanaboina,4.0 of 5 bubbles,Sep 2021,Peacefully located Away from Congested City,"Peaceful environment, good to visit and spend time. Must visit Balaji temple, many movie shoots happen here. "
Sanghi_Temple,Vikas Singh,3.0 of 5 bubbles,Sep 2021,Go for the Parrot fortune tellers,"Located on back side of Ramoji film city, the only reason to come here is for the great views from the top and the parrot fortune tellers who sit near the entrance gate."
Sanghi_Temple,Surya Katakam,5.0 of 5 bubbles,Aug 2021,Peaceful Atmosphere near by in City,"Sanghi temple is located in Sanghi Nagar which is back side of the Ramoji Film City. The temple complex is located on the top of Paramanand Giri Hill's, which is @ 35 km away from Hyderabad. Raja gopuram can be seen from several kilometers away.This temple is built in Cholla Chalukya style of Architecture, in the year of 1991. Construction took place 18 months to complete. This temple is developed and maintained by Leading Industrial group of Sanghi. Presently this temple is managed by Mrs Anita Sanghi of the Sanghi family.Kshetra Palak of this temple is lord Anjaneya who's temple is at the foot of the Hill which is located right of the main Entrance.Presiding Deity lord Venkateshwara inside the sanctum is 9 feet tall and is same as the one at Tirumala. Right side to the main temple is Padmavathi Amma temple who is main goddess of this temple. Ashta Laxmi temple is situated little back side between these two temples.  Lord Rama temple is located besides Main temple in the back side line. The temple of Lord Vijaya Ganapathi is next to Srirama temple. Karthikeya temple is located left to the Ganesh temple.Residing on the left of main deity is Lord Shiva who is seated on a lotus. standing next to Lord Shiva is Shakti Swarupini Kamalambhika. Further away is the temple of lord Durga and Nava Graha Mandapam is there in open place which is near Durga temple.There are two ways to reach this temple one is steps way which is very inclined and moderately difficult to climb and other route is Ghat road which is for vehicles to climb on top and there is parking facility available at the end of this small distance ghat road.Temple Timings: Morning 08:00 to 01:00; Evening 04:00 to 08:00 (Mon-Fri Day)Morning 08:00 to Evening 08:00 (Sat, Sun day & Holidays)"
Sanghi_Temple,Mutukuloju Pranay,2.0 of 5 bubbles,Apr 2019,Temple,Once upon it is a devotional area.good ambiance.good number of shootings of the movies. now it has become park for many of college students. kindly temple authorities should look into it
Sanghi_Temple,Bhaskar D,5.0 of 5 bubbles,Feb 2020,Complete Peace of Mind,"One of the great temple to be around. Perfect location, mesmerizing view, a true holy feelings. Very nicely maintained."
Sanghi_Temple,sunil,4.0 of 5 bubbles,Dec 2019 • Friends,Serene place,The temple is located at hill. Peacefulness prevails in entire premises but the only con is that the steps are not well built.
Sanghi_Temple,TE K,4.0 of 5 bubbles,Nov 2019 • Family,Devotional,"This is very famous temple in secunderabad and the dirty here is lord Venkateswara. He is very powerful, coming to the temple it is calm and beautiful located nearly 20 km from the lb near. It is one of the must see location"
Sanghi_Temple,sree143in,4.0 of 5 bubbles,Jun 2019,lord venkateswara,"Sanghi temple is very famous in Hyderabad very big area built, peaceful will feel you after swamy darshan."
Sanghi_Temple,anil19584,4.0 of 5 bubbles,Jan 2019 • Family,Serene atmosphere,Nice place to be in the evenings. Have sufficient parking place. Premises are neat. Great views and peaceful atmosphere. Most of the movie shootings take place here
Sanghi_Temple,Lpr @SrivariSevak,5.0 of 5 bubbles,Jul 2019 • Friends,Very peaceful divine experience.,"It looks similar to Tirumala. What a peaceful place. It's about 20 km distance from Lb Nagar. Sanghi Temple, The main deity here is Lord Balaji, Sri Venkateswara Swamy.One would feel the essence of the temple once they stand near to the main grabhalaya. You would feel as if you were in Tirumala.The temple timings are 8am-12pm and 4pm-8pm. You can also perform Archana there. The Duration in between each Archana is 1hour. You can also have darshan of Lord Shiva and Lord Ganesha, Lord Murugan, and Lord maa Durga there. It symbolizes no difference between Lord Shiva and Keshava. You will experience the divinity at temple premises. The best time is to visit in the early hours of the morning and evenings. Plan accordingly and enjoy the experience. Shubham.                       Om namo venkateshaya."
Sanghi_Temple,sai dudapaka,5.0 of 5 bubbles,Mar 2019 • Friends,top of the god,Temple placed amidst thick greenery on top of the hill.This is about 30 kms away from the city on a hill-top and offers beautiful view
Sanghi_Temple,Pavan K,3.0 of 5 bubbles,Aug 2018 • Couples,Good place to visit for long drive,Placed in outskirts of city and connected very close ORR . This will be ideal place to visit . However in recent past maintenance of temple have gone down . Also beware of monkeys snatching food from our hands 
Sanghi_Temple,Nagesh Eco Ventures,3.0 of 5 bubbles,Oct 2018 • Family,On top of the hill.,"Temple placed amidst thick greenery on top of the hill. used to visit here often when I was working at Ramoji Film City, Hyderabad."
Sanghi_Temple,Vikram,3.0 of 5 bubbles,Oct 2018 • Business,A temple on the hill top away from city,This is about 30 kms away from the city on a hill-top and offers beautiful view. This was built by the rich Sanghi family and they have their industry close by. Best to visit either early morning or in the evening. There are temples dedicated to each God inside the complex and it is nice. Some people even visit this place after their Ramoji film city tour. 
Sanghi_Temple,LostMySelfTraveling,5.0 of 5 bubbles,Apr 2019 • Family,It's an awesome and peaceful temple away from all the disturbances,"It's very nice and I peaceful temple that you must visit whenever you go to Hyderabad. We used to visit this atleast once in three months. But now it is after a long gap I visited this temple. It's very peaceful, calm and serene. We used to come with our family member but  mostly with room mates and friends. It is close to Ramoji Film City. One of the most popular place in Hyderabad.The temple has continuous steps that when you see for the first time you get scared. But you can manage if have the habit of climbing steps.* It's not to scare you just to inform. These are not many steps. Hope they must be approximately 25 to 40 steps.Thank the management they built a pipeline to hold while climbing the steps.Once you go to the top you will enjoy 3 or 4 temples with white washed and a well maintained lawn between and infront of the temples. It looks so beautiful.You must visit this temple atleast once if you like peace. These temples look more beautiful in the evening light.You will have more buses from Dilshuknagar. "
Sanghi_Temple,ramesh,5.0 of 5 bubbles,Apr 2019 • Family,The picturesque temple oh Hyderabad,The temple is located on a hill top at the outskirts of the city. The preceding deity is Lord Venkateswara. The temple looks very great and peaceful.
Sanghi_Temple,TravellingReddy,5.0 of 5 bubbles,Feb 2019 • Family,An attraction near to Ramoji Fim city,If plan of RFC is on minds then its prudent to have this temple covered as well. The most shot location in tollywood movies for any temple sequence. Looks nice and is on a small hillock. 
Sanghi_Temple,siva j,4.0 of 5 bubbles,Nov 2018 • Family,Overrated in terms of beauty,"The Lord Venkateswara temple, obviously serene and divine like any other Indian temple. But in terms of maintenance and beauty this temple is pretty overrated for a non-hyderabadi like me."
Sanghi_Temple,SRIKAKOLAPU,5.0 of 5 bubbles,Dec 2018 • Couples,nice and peaceful,This temple gives us a pleasant feeling and people usually visit it in weekends more than normal days.Must see 
Sanghi_Temple,venkat k,5.0 of 5 bubbles,Aug 2018 • Friends,Shooting spot,"Located far from the, you can find this Temple in many of the Telugu movies. Located on hills. Good to visit"
Sanghi_Temple,MSR,4.0 of 5 bubbles,Aug 2018 • Family,"Sanghi Temple, HYB","A serene place developed and being managed by prominent business family “Sanghi”, a temple complex located on top of a hill “Paramananda Giri” built in early 1990s. This temple complex can be reached via Hyderabad- Vijayawada highway. This place is popular destination where numbers of movies were shot.One can reach by climbing steps as well as by road. The gopuram of this temple can be seen from very far place due to strategically located on a hill. Especially spending at this place at evenings is memorable. But, being a secluded place needs personal transport and public transport is limited until main road only. "
Sanghi_Temple,Sateesh,5.0 of 5 bubbles,Nov 2018 • Family,Sanghi Temple,Sanghi Temple is a pleasant place to visit. Most of the Telugu films are going to shoot there.It is a very good place to get Your mind peace.I hope to visit again next time
Sanghi_Temple,Devaa,4.0 of 5 bubbles,Feb 2018 • Friends,A hilltop temple!!!,Visited this place on my way to Ramoji film city. Its beautifully located on the outskirt of the city nestled on a hilltop. The white temple is visible from far of.Lots of people visit the place in weekend.The view from the temple top is very scenic.
Sanghi_Temple,pvrkaushik,4.0 of 5 bubbles,Jan 2018 • Friends,Beautiful,This place is situated on hilltop.. Beautiful land expanse. Mostly shootings happen here whenever temple scenes are shot... Little away from city
Sanghi_Temple,kurukuntla raviteja,5.0 of 5 bubbles,Jul 2018 • Friends,Sanghi,Sanghi Temple is located near sanghi Nagar there is beautiful place to wive form there most of the Telugu film are going to shoot there it is good place to enjoy
Sanghi_Temple,SRC4297,5.0 of 5 bubbles,Oct 2018 • Business,Pleasant place,Pleasant place to visit and for Darshan. The temple is located on the top edge of hill which makes you to feel getting fresh air. I guess afternoon 1-3 is closed as lunch break.
Sanghi_Temple,Daniel T,3.0 of 5 bubbles,Jul 2018 • Solo,Old times favourite,"When we grew up in Hyderabad, Sanghi temple was like a pilgrimage to visit. Its a one-day visit back then. But with the transport facilities this day, you can visit this place very easily.Few movies scenes are also filmed here. Famous for married couples & families to visit for worship."
Sanghi_Temple,Dilip kumar,5.0 of 5 bubbles,Jun 2018 • Friends,Best temple,This place has got its own natural appearance which makes it to shoot many films here.Best place to get your mind peace.
Sanghi_Temple,sravan s,4.0 of 5 bubbles,Jan 2018 • Friends,lord balaji,one of the famous temple which is situated in the outskirts of city. people comes here for having a peaceful mind. the nature is also very beautiful.
Sanghi_Temple,ramakrishnabanoth3,5.0 of 5 bubbles,Aug 2018 • Friends,Pleasant one-Devotional place,"A very silent and calm place where many God's are there.Due to less rush ,you can have a good experience of devotional feel and spend time in the temple.Visit this temple with family on Vacation."
Sanghi_Temple,shivaraikod,4.0 of 5 bubbles,Aug 2018 • Friends,Temple in every other movie,Located on a small type of hill is especially popular for movies as any movie which has a shot in ramoji is shooted here.P.S Tollywood
Sanghi_Temple,panii2015,5.0 of 5 bubbles,May 2018 • Couples,Devine place,One of the best temples in Hyderabad. Nice experience to travel from Hyderabad to Sanghi which is located outskirts. Wondered while visiting this place for the first time as we have seen many times n movies.
Sanghi_Temple,chandrasekhar g,4.0 of 5 bubbles,Sep 2017 • Family,Lord balaji temple,Located far away from hyderabad city.Many stair steps to get the darshan of lord balaji.RTC buses are available from hyderabad city.Movie shooting will take place at sangi temple.
Sanghi_Temple,Trending T,4.0 of 5 bubbles,Mar 2018 • Friends,One day great visit outskirts,This place is located outside of the town but it has very good peace fulness and this place has also been ready to take many movies and also must visit place.
Sanghi_Temple,karishma S,4.0 of 5 bubbles,Jul 2018 • Family,Good one,"Very beautiful temple with mostly all God's and goddess. Very beautiful scenes around the temple, very calm place to meditate and relax. Lots of monkeys here, overall good place for Darshan, not much rush on regular days. Take your own food if you have small kids. "
Sanghi_Temple,VishuMittoo,4.0 of 5 bubbles,Oct 2017 • Family,Long drive,This place is good to be with your entire family including pets. There are a lot of monkeys to welcome you and they do not expect anything from you is the best part. We used to visit here with our pet and thankfully there were no restrictions.
Sanghi_Temple,kalyan kumar g,4.0 of 5 bubbles,Jul 2017 • Business,nice visit,"Sanghi Temple is a nice visit, nice temple, one of the famous temple in hyderabad, we have to knows about historical places"
Sanghi_Temple,idea614354,4.0 of 5 bubbles,May 2018 • Solo,Lord Venkateswara,This is fully build with white marbel stone. good and nice place. lord venkateswara here gives darshan to all.
Sanghi_Temple,rkmanchi,4.0 of 5 bubbles,Mar 2018 • Family,Beware of the monkeys. A bit out the way unless you are visiting Film City,"Earlier there was a way to get to the temple through Film City. That’s been stopped now which probably tells you that the temple is gaining in popularity.Having said that, the temple needs better upkeep. The water in the taps at the entrance often runs dry. Can’t do much about the monkey menace too I guess. I firmly believe it’s the people who are causing it by the constant feeding and pampering. With some donation, you can get to go inside the sanctum sanctorum for a Darshan. The idol of Lord Venkateswara is well adorned and the Pooja is performed well.In summer the stone floor can get very hot to walk on so please be wary. Don’t carry any food and if you are carrying water please be wary of the monkeys. The temple is atop a hill but there is ample parking. "
Sanghi_Temple,Uttam17,4.0 of 5 bubbles,Jan 2018 • Friends,Film City Temple,"Very good temple to view near RFC, most films are taken in sanghi temple. nice place and peace with full of trees"
