Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Mac Machado,5.0 of 5 bubbles,Oct 2022,excellent,Amazing church. very pretty altar and side walls have unique tiles. photography is not allowed in church.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Arjun G,5.0 of 5 bubbles,Sep 2022,Amazing Church in Old Goa,"Visited this special location in Sep 23 and had an amazing time. The grounds around the church are beautiful and well kept. Lovely photo opportunities. Once inside the church, it is steeped with history. I would recommend a tour guide as it helps one to understand the background and context more. There is a very famous ""Miracle Cross"" situated inside the church. It is said it is the last cross that Jesus was crucified on. Whether this is true or not, I do not know. However, I felt in awe of being near the cross and paid my respects by doing a prayer. The ""Bom Jesus"" church is also located nearby and some restaurants and shops doing good food and wonderful souvenirs"
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Steven K,5.0 of 5 bubbles,Apr 2022 • Friends,Go,It Is a nice part od history. You Would like it to visit this church. You definitely should go there
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Prescy Dias,5.0 of 5 bubbles,Jul 2022,"Beautiful, Artistic and Rare Church in Candolim, North Goa.","If you happen to visit Candolim, in North goa, do visit Church of Our Lady of Hope. It was rebuilt in the 16th century.  Just like the other churches in goa, this church too has beautiful altars, but there is something different about it , its style, the bell towers or the beautiful  picture work inside in blue, which is simply mesmerising.In 2013, the statue and  relic of Blessed Mother Teresa of Kolkotta was installed.Even to this day, this beautiful and serene church gives you a sense of peace and wonder at the artistic work done centuries ago and still not tarnished by time."
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Manish B,5.0 of 5 bubbles,Jun 2022,Beautiful Place,A very beautiful church at the main city. it was closed at the time we have visited. best place to click the picture and spend some time
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,tyagirakg,4.0 of 5 bubbles,Oct 2021,Site seeing to Church,Nice to visit this church during late evening and this was looking very beautiful in electric lights. very nice to watch this.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,ashishdeora123,4.0 of 5 bubbles,Mar 2020,nice,located near candolim beach its 14 km from panjim  built in 1560 opening hour 7 am overall nice to visit
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,ME & V,4.0 of 5 bubbles,Mar 2020,Our Lady of Hope,This is a quite substantial Catholic Church situated just outside of Candolim it is well frequented by local parishioners and is worth a visit 
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Ashok Tanna,5.0 of 5 bubbles,Mar 2020,Set against a beautiful backdrop of mountain,Beautiful and immaculate and a must visit if you are in Calangute or Candolim. One of the best spots for a selfie and away from hustle and bustle and the crowds.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,M K,5.0 of 5 bubbles,Mar 2020,Serine,"Hello everyone This is a place to visit when you want to escape the mayhem of Candolim & Calangute,  we spend a good couple of hours every week sat in this amazing church.It's tranquil, serine, and very cool on a hot day, you meet some very nice people here. All looking for peace and quiet. A place to contemplate your thoughts. And To sit and absorb the history of this church, give generously when you leave it's worth a couple of hundred Rups . MK Wales"
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,NARAYAN CHATTERJEE,5.0 of 5 bubbles,Feb 2020,Goa sight seeing by Lemon Tree Amarante Beach Resort,Excellent preservation . Very well laid out and guidance. great history of the past well brought by the Guides. good shop
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Mayank G,4.0 of 5 bubbles,Feb 2020,Nice visit to Church of Our Lady Of Hope,It's a really nice to visit to Church of Our Lady Of Hope. Its very peaceful place and located at very central area of Goa.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,saurabh2800,4.0 of 5 bubbles,Dec 2019,beautiful place if you are fond of photography...,"the place is good if you like photography (according to me), otherwise it is a normal church. many bollywood movies like Josh, Mujhse Shaadi Karogi and Aashiqui 2 are shot around this church."
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Amrendra Kumar,4.0 of 5 bubbles,Sep 2019 • Couples,Nice place to visit,Nice and peaceful place. Must visit when you come here. Place is in middle of the town and you can reach easily here by any mode of transport.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Prabhat Maurya,5.0 of 5 bubbles,Sep 2019 • Couples,Peaceful place,Loved it..the peaceful atmosphere was giving an eternal satisfaction...and the current rainy weather gave more Beauty to the place and it's surroundings. Must visit place if you a peace lover.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Damayanti T,4.0 of 5 bubbles,Aug 2019,Peaceful Old Chruch,Visited as suggested by Toursit Officer from Tourist Office.  Calm & Quite old church. Very peaceful ambience.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,M6K5S,5.0 of 5 bubbles,Aug 2019 • Family,Beautiful & serene,"Lovely church. Bang in the middle of Panjim & just a walking distance from 18th June road, the main area for shopping,  eating & entertainment."
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,rpsw2007,4.0 of 5 bubbles,Nov 2018,Visit to church,"This church is in goa India, in a village called candolim, this. Church is very nice to visit , spend some time looking around"
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Hooray H,4.0 of 5 bubbles,May 2019 • Family,Beautiful Old Church,Mass on Saturdays at 5pm in English.My Mother in law loves it.All that pomp & splendour.Parking available but taxi is best.No service in English during the summer holidays.
Church_of_Our_Lady_Of_Hope-Candolim_Bardez_North,Vayu43,3.0 of 5 bubbles,May 2019 • Couples,Mid sized Church,"A decent church - simple structure - not too many visitors , can give a miss . . It is is in the same compound as the Museum and one can visit both"
