Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Srinidhi_Joy_N_Joy_Resorts,WondererGuy,4.0 of 5 bubbles,Jun 2019 • Friends,Variety of Water Games,I visited Srinidhi Joy N Joy Resorts with my family.Its full of Greenery and they have variety of water games to enjoy.
Srinidhi_Joy_N_Joy_Resorts,SRIKAKOLAPU,4.0 of 5 bubbles,Sep 2018 • Couples,decent,"They have decent pool ,water games. Maintenance can be better.Food is not great and service is not great as well"
Srinidhi_Joy_N_Joy_Resorts,Travel Enthusiast,5.0 of 5 bubbles,Apr 2019 • Friends,"Enjoy The Holiday Outing, Very Economical Resort","Very good experience, very good place for spending with family OR Friends. 1. The greenery was nice and pleasant. 2. Water play area And Rain Dance was awesome 3. Food was good. 4. More things/equipments Are Being Added."
Srinidhi_Joy_N_Joy_Resorts,neha,3.0 of 5 bubbles,Dec 2018 • Family,Good experience,"Srinidhi Resorts - a perfect holiday getaway near Hyderabad.I have been here for day outing with family and we all had so much fun here.This resort has a lot of greenery and is spread over 20 acres. It offers various indoor/ outdoor games, kids playpan and water games for entertainment.Availed discount on dayouting package from UPto75.com"
Srinidhi_Joy_N_Joy_Resorts,idea614354,4.0 of 5 bubbles,Jan 2019 • Friends,Water PArk,"WAter rides, rides, and pools, park nice time spend place in holidays with kids. they must enjy all the rides here."
Srinidhi_Joy_N_Joy_Resorts,mail2mathews96,5.0 of 5 bubbles,Sep 2018 • Friends,Srinidhi Joy N Joy Resorts,Srinidhi Joy N Joy Resorts is an affordable resort it a budget friendly resort like to inform that a small water park
Srinidhi_Joy_N_Joy_Resorts,pravallikaa2016,3.0 of 5 bubbles,Dec 2016 • Family,Good for kids only,"To surprise they didn't accept cash even after 3months of demonetisation, and good enough for kids only, safety features are not quite a good in rides as no one watching. Of course rain dance is pretty good"
Srinidhi_Joy_N_Joy_Resorts,Pride H,5.0 of 5 bubbles,Sep 2016 • Friends,Affordable Getaway Resort In Hyderabad ,"We were a group of 32 people so we have opted for a package with food n amusement n hitea in the evening,resort is nestled among greenery into peaceful calm entertainment destination..its   Very near to Hyderabad on Warangal highway "
Srinidhi_Joy_N_Joy_Resorts,uttamb2014,4.0 of 5 bubbles,Jul 2016 • Family,Good place for weekened,"The resort was good at Ghatkesar road, around 30-35 km from Hyderbad City. A small resort with decent water games and greenery. Good for a weekend trip."
Srinidhi_Joy_N_Joy_Resorts,phvillage,5.0 of 5 bubbles,Dec 2015 • Friends,Best Day Outing In Hyderabad,"Good Place To Spend Time with Your FriendS or Family admist mother nature ...far away from tensions,Sound & Air pollution ...Many Activities are their to try your hands on..."
Srinidhi_Joy_N_Joy_Resorts,JagadeshAnne,5.0 of 5 bubbles,Sep 2015 • Family,Mind Spinning with laugh and Fun we had,it is a all - inclusive fun oriented resort suitable for all age group .... All Stay here is memorable i still remember the fun we had here ...plethora of activities we've done from swimming pools to water games to rain dancing to fun dance in lawns to great room of indoor games followed by outdoor sports ..surely best suggested for teenagers also as it is has quite reasonable fare.
Srinidhi_Joy_N_Joy_Resorts,444lennyd,5.0 of 5 bubbles,May 2016 • Family,Best place for day Outing,This is a must visit place full of greenery just in outskirts of Hyderabad..has best rain dance facility and water park is good too ..their are lot of activities to try your hands on 
