Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Monkey_Temple,Joe,2.0 of 5 bubbles,Jan 2023 • Friends,Over rated,"We saw lots of good reviews about this temple, however the best bit was the views walking to the temple. It’s one of the dirtiest landmarks I have seen in India and despite it saying it was free entry online it cost to go when there is very little to see. If you want to see a monkey there’s more on your walk to the temple than in it, but there’s plenty of monkeys around India anyway. If you’re in this area I wouldn’t go past the viewpoint to look over the city."
Monkey_Temple,kierfly,5.0 of 5 bubbles,Dec 2022,Monkey Man Rohit,"What a spectacular place to visit. And a wonderful tour guide like Rohit is a must. Monkey Man Rohit is a great guide and will help you understand the temple and engage with the monkeys in the best way. Thank you, Rohit!"
Monkey_Temple,Federico,5.0 of 5 bubbles,Oct 2022 • Couples,A hidden gem and a must-see in Jaipur!,"A genuinely beautiful place: the experience of walking through the temple while be surrounded by monkeys is absolutely unique.Strongly recommend to climb up the hill to the Sun Temple for a breath-taking view of Jaipur from above.Sadly, the entire site is heavily polluted, which is a pity considering how beautiful it is."
Monkey_Temple,MTischendorf,4.0 of 5 bubbles,Oct 2022 • Solo,A bit shabby but worth it,"The place is pretty run down with lots of garbage lying around. Nevertheless it's worth a visit.  Scenery is nice, and the Monkeys are friendly as long as you don't get too close to them. Priests will try to get a donation from you. Entry fee is currently 250 Rupees including photography. A sunset spot with a great view over Jaipur is nearby (15 minutes walk)."
Monkey_Temple,Richard,5.0 of 5 bubbles,Oct 2022 • Couples,Monkey temple with monkey man.. worthy :),"Monkey temple was amazing experience.. Thanks to monkey man, who live there. Thanks to him we can feed them with safety.."
Monkey_Temple,Cathygreg3,1.0 of 5 bubbles,Mar 2022,Dont bother going,"It was really sad to see what would usually be a beautiful place in the state that it is in now.  The place is not being maintained anymore and they have actually closed it off and stopped you going near the water.  It is really dirty, rubbish everywhere and the water is very bad.  I would not even bother going out to see it and pay the money for it until at least it can be fixed up a whole lot."
Monkey_Temple,Katie&Sébastien,2.0 of 5 bubbles,Oct 2021 • Couples,The pictures are different than the reality ,Not well maintained! Poor welcome with just a pushy donation request after the entrance payment. The monkeys are far from the place we observe them.
Monkey_Temple,Rahul Saini,5.0 of 5 bubbles,Jan 2021,Monkey Thieves :),Its quite calm place. I visited there on Dec'2019. It is also known as galta ji temple. It has a lake where you can take bath as well. 
Monkey_Temple,zorrothecat,5.0 of 5 bubbles,Aug 2020,Great day out,Large complex but a slice of life and not too many foreign tourists (pre covid March 2020) Need to get taxi or tick tuck to get there as a bit out of town. I took  tuck to one of the city gates and walked over the hill approaching from the back as it looked ok on google maps but it was mainly a  stony walking path and took me  a little while but lovely views. 
Monkey_Temple,Lidia B,5.0 of 5 bubbles,Feb 2020,"Peace, quiet and monkeys","The Galta Ji Monkey Temple in Jaipur is a place where you can feel the real silence. The monkeys are very sociable. You can easily feed them and watch how they manage during feeding. There are a lot of monkeys in the temples themselves, but just go lower to see the whole view of the city from one side and meet the little creatures. The complex of temples causes that man begins to contemplate the surrounding beauty in silence."
