Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Nehru_Planetarium,Sani V,5.0 of 5 bubbles,Dec 2022 • Family,Must visit!,"Amazing place, well maintained and well presented. Must take your kids at least once if not regularly (they keep updating the shows). The guides are very knowledgeable and willing to answer questions beyond the regular script. The information and visuals provided in the show makes us realise how overwhelming the universe is. Indeed a thought provoking place not only for kids but also for adults. Shows are available in multiple languages and can be booked online or on the spot (they only offer limited seats online, rest is on the spot but you may see a long queue there.)"
Nehru_Planetarium,AM,5.0 of 5 bubbles,Oct 2022,It was truly an out-of-the-world experience for just 150rs !!,"*It's going to be a long review. Visited the Mumbai Planetarium with my 4.5-year-old daughter. It was the first time for both of us. It started with me calling the inquiry number to confirm the timings, the person who attended the call and the gentleman at the ticket counter was really considerate and even helped us understand how to use the time we spent inside the auditorium well.He even guided us to visit the museum situated right opposite, till it was time for the show. It was amazing, so massive and gorgeous but we couldn't cover it entirely and had to leave midway for the show.The show presented by Mr. Rathore was impressive from the very beginning, he knew very well how to keep his audience enthralled throughout the show and his calm voice just made the show perfect. The main show is just exceptional from the way it was structured to the way it was presented using gorgeous high-quality videos and slides that were the best, making the audience go ""wow' almost every 5 mins.Trust me, if it's your first visit you won't remember much of what you hear informatively but you will most certainly keep visiting it visually and maybe be lucky enough to revisit it in dreams just as my daughter did. We came home with tons of pictures.It was beyond words!! My daughter is already planning her next visit and has started reading more about space ever since.All the staff, including the security guards, and the attendant at the canteen were polite and helpful and the place is very clean and well equipped with all the necessary facilities. Eagerly waiting to plan another visit on a Sunday soon for planet viewing through a telescope. A single visit is just not enough :)It was truly an out-of-the-world experience just for 150rs !!"
Nehru_Planetarium,Mayank G,4.0 of 5 bubbles,Dec 2021,Nehru Planetarium- To understand our planet,This place is one of the good place to visit to understand the science and space of this universe . Very informative and knowledgeable for students and children.
Nehru_Planetarium,Mandar D,5.0 of 5 bubbles,Jun 2022,Best experience for kids,This is exceptional experience for kids (Even adults if you have not seen). Purchase ticket and you can park your car in museum for free. Because of Indoor you can go any day rain or shine. Tickets are not that expensive. Shows are offered in 3 languages however it is beyond language. Any language you attend will be enjoyable.
Nehru_Planetarium,jojo,3.0 of 5 bubbles,Nov 2021 • Family,"Need better service,","Re opened after the pandemic on 9th Nov 2021. Although the ticket counter was supposed to open at 11 am it was late by  45 minutes and gave manual ticket instead of computer ticket. Expecting  deligent services at the digital age. Saw the English show at 3 pm and was very informative. The  information exposed showing the various development odf Scence and Astronomy. Also known as Discovery of India , being inaugurated in 1977 by Indira Gandhi was located near Haji  Ali in Worli. Having famous educational scientific programme the audience can watch stars and galaxies during daytime.Grand building of Nehru Science Centre is nearby. It is closed on Mondays."
Nehru_Planetarium,Rani75,5.0 of 5 bubbles,Jan 2021,Kids paradise,Kids love this place..lots of informationneat cleanthey have taken care of hygienemaintained well
Nehru_Planetarium,Uru,5.0 of 5 bubbles,Jul 2019 • Family,Nehru planetarium,It is the best place to visit....we enjoyed a lot there...we got lot of information from there ....new technology n all was about to know ....information about geography and past history......it was really fuj enjoyable and knowledge full trip . I would like to visit again there
Nehru_Planetarium,israr mansuri,5.0 of 5 bubbles,Feb 2020 • Solo,Nice,Nehru planetarium is one of the interesting place in mumbai .great place it was .located in worli area I love the place .its all about science .I love the all interesting monument
Nehru_Planetarium,Sunny Butalia,4.0 of 5 bubbles,Jan 2020 • Family,Visit to Nehru planetarium,"Had been with kids, kids below 5 years are not requiring a ticket for the show. Also note that the tickets are booked in advance. The show is informative but small kids won't understand much. The models of satellites rockets or planets on display can be seen before you enter the dome theater."
Nehru_Planetarium,YPS,5.0 of 5 bubbles,Aug 2019,Learning about planets,"The planetarium has been making learning Astronomy a pleasant experience. The programmes are aimed at inspiring students. These includes Science quiz contest, Astro-painting, Science elocution, Astro-poetry and Astro-quiz competitions. Must visit to this nice place."
Nehru_Planetarium,trip planner,2.0 of 5 bubbles,Dec 2019 • Family,Need to be upgrade content,"Show does not found worth as there many things to show, but there is no change in content from my childhood, Quality of sitting is also not improved from many years"
Nehru_Planetarium,Radha I,5.0 of 5 bubbles,Oct 2019,Good place to visit,"It is a very good experience especially for children of all ages. The exhibits in the adjoining building are very good. The sky theater is a fantastic experience. They have shows in various languages, including English. It is an incredible experience for younger kids. The wieght machines corresponding to weights on various planets is a big hit with children."
Nehru_Planetarium,KeKu,3.0 of 5 bubbles,Oct 2019,Could have been much better,"This was my 3rd visit to the Planetarium. The first two were in my childhood and this one was with my son. I had fond memories from the childhood visits but this time, it was tad boring. In fact, I felt like sleeping while watching. My son also got bored after the initial enthusiasm. With such a good setup, the show can be made more interesting and informative, is what I felt at the end of the show. Apart from the show, there are few interesting things to see in the planetarium. But, it is usually crowded. And the parents, these days, are interesting in taking photos and selfies of their kids rather than reading the information, so you lose the interest and patience after some time."
Nehru_Planetarium,Himanshu Bhatt,5.0 of 5 bubbles,Oct 2019,very interesting for science lovers,if your are interested in scientific exploration than its a perfect place for both kids and adults where you can explore the various instruments with lots of fun learning activities. 
Nehru_Planetarium,Riteshdelhi,1.0 of 5 bubbles,Oct 2019 • Family,"Faulty equipment, sub standard projection","We visited and purchased entry ticket only to be finding on door that 20% of projection is not working. Actually only half of the projection area was having video, apparently 1 projector was not working. The projection quality was bad, the projection was not even focused, looking blurry. Not expected in this age. Overall there service deserved not more than 20-30 bucks. Poor not worth a visit."
Nehru_Planetarium,Naresh1936,4.0 of 5 bubbles,Mar 2019,Very interesting for star gazers,"The planetarium, situated in the heart of South Mumbai in Worli, is ideal for astronomy enthusiasts. It provides excellent opportunities for both serious students as well as hobbyists."
