Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sanjay_Gandhi_National_Park,BalkrishnaShroff,5.0 of 5 bubbles,Jan 2023,Worth seeing !!,"This beautiful national park spread over 103 square kilometers is the only one in the world located within a city. Geographically it is about 20% of entire Mumbai. It has got many recreational activities. One can go for jungle safari, trekking or see the historical Kanheri caves about 6 km from the main gate. It is advisable to take a guide which is provided by forest department who manages the national park. One has to park the cars outside and then can walk or take a bus or private taxi inside.Don't miss it if you have not seen it..."
Sanjay_Gandhi_National_Park,Venky63,3.0 of 5 bubbles,Jan 2023,Sanjay Gandhi National Park-not easy to get into,"Today was my first visit to the Park, even though I have lived in Mumbai for many years. I planned to get Kanheri caves but overall it was a disappointing experience. a)It is easy to get to the Park itself on the WE Highway. b)But getting into the Park is another story! You have to park your car and either walk many kms inside or you have to take a BEST bus. Or you have to cycle your way. I couldn't do both with an injured foot.c)There not enough buses as the queue is a long one at all times. d)There is an alternative I found out later of taking some van taxis. Its not fair to allow them when passengers can't take their cars. e)The entry fee of 85/- and parking charges of 242/- are not reasonable.The park authorities must find another alternative of having multiple parking spaces at various points in the park. That way one can get to a point and then choose to walk around.Overall, unless you want to walk 6+ kms or cycle on a hot day(which it will be on most days in Mumbai) there are no easy options."
Sanjay_Gandhi_National_Park,Kirsty N,5.0 of 5 bubbles,Dec 2022,Private one day tour of the park,"So.... as a foreign visitor, there seem to be two ways to visit the park, and they are completely different experiences and require different levels of organisation. You can just turn up, in which case you can enjoy the large recreational area near the Borivali Gate, which has a pretty lake with boating, gardens, a Cat Orientation centre, an introductory Interpretation Centre, etc (quite good, especially for children). You can then get the local bus further into the park, for the 7km trip up to Kanheri caves, a complex of about 100 Buddhist caves in the hills. You don't need a private car to do this! At weekends however the bus queues are long, so go during the week. Or, you can hire a guide for a half day or day, in which case you can actually walk one of the several trails through the park. We would highly recommend this. You shouldn't do this without a guide. The crucial thing to understand is that the great majority of the park is truly a reserve, and it's large: about 100 sq km. There are about 50 adult leopards in residence, plus all the other usual residents, snaky and otherwise. They need peace, and the public needs to be kept safe.Hiring the guide was the real challenge, as the park's website was down, but we cracked it. You need to book through the NIC (Nature Information Centre): again the website didn't work (they make you work for this!) so we tracked them down on Facebook. We communicated with a gentleman called Samarth. who arranged our guide. For a full day, this cost 2,500 rupees per person, paid in cash on the day.We would highly recommend the full day. We met our guide Naman at 8am and spent the morning walking the Kanheri Trail: 8am is a little late for birds though we did see some, but Naman's knowledge of trees, plants, forest ecology, geology, animal scat (poo to you and me) and calls, was excellent. We found ourselves following a line of leopard scrapes up through the woods, and finally came out across from the caves. Just below the caves are pretty gardens and a ""canteen"" where we ate early lunch. Basic Indian snack/breakfast food, but delicious.In the afternoon, Naman turned from a nature guide to a cultural one, and did a fine job of guiding us around the cave complex. Well worth seeing, and go right to the top above the caves too, to get a view of the whole park. You will find yourself on the top of a huge lava dome, in the middle of the remains of a massive and ancient crater (approx 65 million years). Mumbai is on the edge of the Deccan Traps (look it up... remarkable)After the caves, we visited the recreational area, and then our day was done, by about 4.30. It's a long day and you need a certain amount of energy, but we're in our 60's/70's and did fine. Naman was the perfect guide, adapting to our pace, checking that we were ok, and entertaining us with stories: lovely company.SGNP is a remarkable phenomenon: a functioning very large  wildlife reserve in the middle of a megacity: it's beautiful and needs funding, so go!"
Sanjay_Gandhi_National_Park,Avinash B,2.0 of 5 bubbles,Dec 2022 • Family,Not worth to bisiy,Parking charges for 4 wheelers is 220 Rs and entry ticket for adult 77 Rs is not worth to visitThe lion safari and mini train are shutdownTo have tiger safari 103 Rs ticket is for adults as extraTo go to kaneri caves there is bus arrangement where 13 rs per head is charge oneway Boating inside is available on chargeable basisAgain at Kaneri caves you need to pay separately Why so much charges don’t understand Inside there are no restaurants We don’t feel one should pay around 200-250 per head to visit here to see 2 tigers
Sanjay_Gandhi_National_Park,Revanth Kumar K,5.0 of 5 bubbles,Nov 2022,A family picnic spot,"It is a good family picnic spot with gardens, caves and etc. A day can be well spent. Bicycle riding is enjoyable with kith and kin."
Sanjay_Gandhi_National_Park,Chinnu_lg,5.0 of 5 bubbles,Jun 2022 • Friends,Nice trip,SGNP is a huge national park located in borivali one of Mumbai suburban stationYou will get bus rickshawAnd it takes 10-12 min by walkEntry fee ₹35 per personBus safari is availableKanheri caves is main attractionOne of the famous ancient caves in western Ghats after Ajanta cavesMany waterfall during rainy seasonBoating also availableYou will not get any foodSo take your own food or snacksIf possibleWear some shorts with pair of shoes
Sanjay_Gandhi_National_Park,Diya Patel,5.0 of 5 bubbles,Jan 2022 • Couples,Lovely place to Visit in Mumbai,"One of the must visit place for every mumbaikar . Excellent atomoshpher, wildlife to see around the park."
Sanjay_Gandhi_National_Park,Saxena,5.0 of 5 bubbles,Jan 2022,Must Visit Place in Mumbai,"Sanjay Gandhi National park is best place to spot the birds, so many things to explore, being a filmmaker we are very frequent visitor."
Sanjay_Gandhi_National_Park,Priyanka9987,5.0 of 5 bubbles,Dec 2021,Must visit with children,"We stay close to the National Park and celebrated our daughter's 5th birthday here one morning. Most of the activities are available only on weekends so do check out before you go there. The park opens for normal public only at 8am, so don’t go in too early. The weekly off is on Monday for SGNPPlan: Included a butterfly trail and Tiger & Lion Safari (added bonus was the boating activity)Butterfly Park: We started from our homes at 7-7.15am as the butterfly trail starts after 8am. The butterflies need sunlight to flutter and fly about. So, we reached SGNP to meet our intern who took us into the auditorium for a 30min info session on butterflies. Given, it was a winter morning – the sun still wasn’t bright and out, so we had our breakfast boxes first and then headed for our simple / short 1 hour trail across the park. We saw lots of butterflies on our trail, and they were so attracted to the rattlepod plants. We saw the common crow, common tiger, striped tiger, blue tiger, great orange tip, common emigrant, zebra blue, lots of moth caterpillars, ladybugs, Jerdon’s baza, etc. The children enjoyed walking in the small pathways and seeing so many butterflies. An easy route around the park that can be enjoyed by adults and kids. After finishing the trail at 10am, we cut the birthday cake and headed to the Lion and Tiger SafariLion and Tiger Safari – a  short bus ride to see caged Lions and tigers. While the lions were sleeping under the sun, the tiger came and gave us a majestic ramp walk before it went inside. Good for children to see animals 1st hand, but more a 1-time visitBoating – they have 2 seater and 4-seater boats that you can take out in the Dahisar River for a 15-20 minute ride. Its fun for the children to enjoy the boating activityOverall, we had a lot of fun and the children didn’t want to return home even at 12pmI would also recommend exploring the Shilonda Trail with children. It’s a trail for 1.5 hours with a break near a lovely stream. Such a lovely way to explore nature for them by looking at different plants, trees, bird calls, butterflies, crabs, spiders, ants and their hill formations, etc."
Sanjay_Gandhi_National_Park,Reshma Shetty,4.0 of 5 bubbles,Oct 2021 • Friends,Must do in Mumbai,Cycling inside SGNP post monsoons is sheer delight! It gets a little crowded sometimes. So best to go early mornings. But the entire trail leading right upto Kanheri caves is a sight for sore eyes.
