Tourist Attraction,Name,Rating,Date and criteria,Title,Review
College_Street_Boi_Para,shaveta,5.0 of 5 bubbles,Oct 2022,"If you have the energy, go for it. Stock your books.","The places has changed & become much more crowded from when I last visited it many years back. If you have the energy to rummage your way through narrow footpaths, please visit & pick up books at very cheap rate. You can visit some old stores such as Dasgupta & co., for legacy sake. If you're interested  in reading english translations of Bengali literature you can find that too, just ask for it.There are stalls on footpaths as well as proper bookstores. "
College_Street_Boi_Para,Hamza Hasan,4.0 of 5 bubbles,Sep 2022,Largest Book Market in Asia,If you live in Kolkata and need books - hands down the best place. No online website can give a better deal. Bargaining Skills are must here
College_Street_Boi_Para,The_Crimson_Corpse,2.0 of 5 bubbles,Aug 2022,Didn't find what I was looking for,"Didn't find any Western comics in college street from publishers like Dark Horse, Image, IDW or DC/Vertigo. There were no Japanese mangas either.I tried many bookstores near the coffee house (including those shops that sells foreign books) but didn't find any international comics from publishers i mentioned above.I tried looking for a few Non-Fiction books as well by international authors who specialized in particular subjects ... but there was nothing in college street.The only place that has a decent collection of western books are online shopping sites.College street bookstores needs to change with time. They should have a good collection of the following -1) international novels, 2) international comics (including TPB and Omnibus editions),3) non-fiction books dealing with pathology, world history, world religions, paranormal research and various other topics. If they fail to have these in their stock, then they should at least procure them from the west on customer's request and also keep us updated with tracking information, refund, delay in delivery and other such things via phone or e-mail.Its 2022 and they should import books from overseas, just like amazon does for their Indian customers."
College_Street_Boi_Para,Montse,5.0 of 5 bubbles,Apr 2022,very good experience,I had a very good explanations from my guide so the visit was better than I expected. It's a very good experience
College_Street_Boi_Para,SubhankarAD,4.0 of 5 bubbles,Nov 2021,So many Book shops together at College Street,"If there is a book available it is available here. Only on rare occasions I found some books were not available. But to be noted that if one or two book sellers are not able to find your book, then it will mostly not be available in the market. No point to go and search in every shop. Recently after Covid19 struck, life has become a bit difficult for the Sellers. availability of books also affected. If a certain book is not available, it can be searched at the old books' market just across the street, but need to check out the condition of the book before buying. "
College_Street_Boi_Para,SOHAM D,5.0 of 5 bubbles,Oct 2021,Wonder Of Kolkata,"It's not a bunch of book stalls, not an area surrounding by collages, but a feelings. You must feel an another type of Goosebumps, when you walk. You feel the essence of Kolkata, The 200 years old ""Presidency University"", ""The Coffee House"" and lots of love."
College_Street_Boi_Para,Raktim G,5.0 of 5 bubbles,Dec 2021,ethos of kolkata,"brings back all those memories of old-world kolkata, when it used to be Calcutta. a lot has changed but still one can locate quite a few things which were fascinating in those days, 30 years ago."
College_Street_Boi_Para,Abdullah Shahed,5.0 of 5 bubbles,Dec 2020,Dream come true,After reading more than 300 books of Ananda Prokashoni and more visiting this place was a dream come true. 
College_Street_Boi_Para,Brigadier Tushar Roy,5.0 of 5 bubbles,Dec 2020,Nostalgic Trip,"After my retirement, we visited this Street after decades. Trip was the memory lane. We visited iconic Coffee House where we had their signature dishes. Overall good experience. To & fro travelled by famous Tram. Great!!"
College_Street_Boi_Para,racehorse2021,5.0 of 5 bubbles,Apr 2020,a walk to memory lane,"you want to experience buy any types of books, stand and free reading from footpath shops, coffee house, small road side famous eateries like kalika chops and also check out precedency collage...pls visit this legacy place where all people visit to buy or search any book including second hand sells"
College_Street_Boi_Para,Rana Ganguly,4.0 of 5 bubbles,Feb 2020,College Street - The hub of education.,"The history of College Street dates back to the British era.  Within a span of 1 sqare kilometer there are more educational institutes than anywhare else in India, including Hindu School, Hare School, The Calcutta University, Precidency College (now University). Medical College, the very first Medcial College in Asia, Sanskrit College, Goenka Collge of Commerce and Business Administration, Seth Soorajmal Jalan Girls College, City College of Commerce. There are more than 2000 Bookstalls, selling all kinds of Books. This is probably the largest and the oldest books market in India, Dasgupta and Co. Pvt Ltd is the oldest among them, books used to be supplied from here to as far as Kabul to Rangoon.  Boasts of some finest eateries, including Indian Coffee House, Dilkhusha Cabin, Putiram, Ghosh Cabin besides Canteens and choiciest Street Food.  In the center is the College Square Swimming Pool."
College_Street_Boi_Para,Pritam Bhattacharjee,5.0 of 5 bubbles,Dec 2019,Simply the best.,The largest wholesale / retail book market in Asia. There is no such book which you will not get here. Also the discounts offered are the best. This place is just heaven for all book lovers.
College_Street_Boi_Para,Sea Dweller,3.0 of 5 bubbles,Feb 2020,Many book dealers and many destroyed buildings ...,"College Street is a long street in central Kolkata. It stretches from Ganesh Chandra Avenue Crossing in Bowbazar area to Mahatma Gandhi Road crossing. Its name derives from the presence of many colleges (Presidency University, The Sanskrit College and University, City College of Commerce & Business Administration to name a few). Housing many centers of intellectual activity especially the Indian Coffee House, a café that has attracted the city's intelligentsia for decades. Kolkata’s historic College Street is India’s largest book market, lending it the endearing nickname Boi Para – ”Book Town”.     Unfortunately, at present, there are more completely destroyed buildings."
