Tourist Attraction,Name,Rating,Date and criteria,Title,Review
DLF_Promenade_Mall,Vedansh,5.0 of 5 bubbles,Jul 2022,One of the best malls in Delhi,"A must see modern attraction....great architecture and best thing - it's not awfully crowded like Select Citywalk mall in Saket! Good place to roam, shop, eat on a Sunday evening."
DLF_Promenade_Mall,Bhanu Pratap Singh,5.0 of 5 bubbles,Apr 2022,First Time Experience,"That was my first-time experience at Promenade Mall. I found the outlet of almost every brand and a good interior with huge space. Their parking was like icing on the cake. They have the authorized parking of PARK+, which saves much time while driving through the mall."
DLF_Promenade_Mall,raginikshitij,4.0 of 5 bubbles,Oct 2021 • Family,Nice,This mall has stand alone stores. Decent eating joints and a food court. Try avoiding on weekends.The mall is simple in design and attracts crowd who are specifically there for shopping from specific store or to eat.
DLF_Promenade_Mall,832vgs,5.0 of 5 bubbles,Jan 2021,Shoppers' Paradise,"DLF Promenade Mall located on  Nelson Mandela Road at Vasant Kunj is a Shoppers' paradise.  It houses the most famous brands in fashion, apparel, food, foot wear, entertainment etc. It contains Marks & Spencer, Fabindia, Meena Bazar, Adidas, Reebok, Archies, BIBA, Mother Care, Levis, Lacoste, Nike, UCB to name just a few.  Their food court is awesome and has Haldiram, McDonald, Dominos; in addition to find dining restaurants such as Nandos, TGI Fridays’ etc.  In addition to the above, there are Salons, Opticals, Electronic Shops, Medical Stores and so on.  The Mall is beautifully decorated during festive occasions.  As we stay close, we meet most of our needs there."
DLF_Promenade_Mall,Shirin,5.0 of 5 bubbles,Dec 2020,Great Place.,The Place was amazing I've been there for so many times. Shopping hub for all the shop lovers. Very attractive. Food is also Good.
DLF_Promenade_Mall,sanjayvora45,4.0 of 5 bubbles,May 2019,High end,Mall is big in area and i found it attractive. However overall shops are from high end brand having expensive items.Mall also having some good restaurants as well.Well maintained and clean.
DLF_Promenade_Mall,NewDelhi1000,4.0 of 5 bubbles,Feb 2020 • Family,"Well maintained, with many food options and all major clothing brands.","This mall is a pleasure to shop and eat in , since it’s never too crowded and is spread out in multiple floors. Apart from the valet parking( to help you park) one can browse and shop around (without being pushed around by other shoppers) and then eat in any of the food joints above."
DLF_Promenade_Mall,AjayBhal,5.0 of 5 bubbles,Mar 2019 • Couples,Big and Beautiful.,It’s a big and very beautiful mall. I have been there twice and I feel like visiting there again and again. Amenities are great and there a lot of shops. One can never feel tired or board while hanging around.
DLF_Promenade_Mall,anewmoon,4.0 of 5 bubbles,Feb 2020,Nice Mall with better crowd!,I have visited DLF Promenade Mall several times and it has it's charm till now. Best brand and best place and better people visiting! When in Delhi do visit this mall for sure!
DLF_Promenade_Mall,Ashok Gupta,4.0 of 5 bubbles,Dec 2019 • Family,Good place to hangout,"Went to DLF promenade mall for shopping with family and kids. Huge variety of shopping Stores, brands and food outlets"
DLF_Promenade_Mall,Sagar Gupta,4.0 of 5 bubbles,Dec 2019 • Couples,Nice mall with good Shopping variety,Went to DLF promenade mall in South Delhi with my wife for shopping and have a dinner. Ita a Very big mall in terms of size and has a huge variety of all luxurious brands of clothes. Food court area is also nice with variety of food outlets and many options 
DLF_Promenade_Mall,sawhneysaab,4.0 of 5 bubbles,Jul 2019,Expensive!,This is one of the most hifi and expensive malls in new delhi. You'll find almost every fashion brand's outlet.
