Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Majorda_Beach-Majorda_South,vikram13dutt,5.0 of 5 bubbles,Jan 2023 • Family,Serene,It’s a beautiful clean beach in South Goa.There are few good shacks and also water sports options here. Not much crowded beach. Road to the beach is lush with greenery. Very limited Parking area so it can be a bit of problem sometimes.
Majorda_Beach-Majorda_South,Sheri G,4.0 of 5 bubbles,Dec 2022 • Solo,Nice Beach Overall,"Nice beach for swimming....very mild waves.Only problem is finding plastic and other bits of trash on the beach and in the water...tragic,  but seems to be everywhere in India, unfortunately...."
Majorda_Beach-Majorda_South,KeKu,5.0 of 5 bubbles,Sep 2022,Excellent Beach,Excellent beach with soft sand and a low slope. Less crowded. Can go for a long walk along the beach and enjoy with partner/family/kids
Majorda_Beach-Majorda_South,FOODIECRAZY2016,5.0 of 5 bubbles,Jul 2022 • Family,Quite beach in South Goa,"We had a great time at Majorca beach, it was our first time in goa during monsoon and it turned out be a great experience with family, beach is quite and peaceful no vendors to bother like other beaches in goa, strongly recommended if you are in south goa"
Majorda_Beach-Majorda_South,PT_ND,5.0 of 5 bubbles,Nov 2021 • Family,"The ideal, textbook beach. Cleanest too.","The best and the cleanest beach in Goa. The waves are less turbulent here and the beaches spic and span. The shacks are less and also quite clean. If you are in Goa for the love of beaches and the tranquility that it offers, this is the beach to be in."
Majorda_Beach-Majorda_South,Purva K,5.0 of 5 bubbles,Mar 2021 • Family,Beautiful and Clean,Beautiful and quiet beach and most importantly very clean! The shacks were nice with friendly hosts. A good beach to spend time if you are in the area. We stayed at Alila Diwa which was just 500 meters away and the hotel provided regular shuttle buggies to go to the beach and come back.
Majorda_Beach-Majorda_South,Abhishek S,5.0 of 5 bubbles,Jan 2021 • Friends,"Nice , Clean and Peaceful Beach of South Goa","If you want your space, peace and meditate yourself then Majoda Beach would be a great option for you.Also it is less crowded and I loved it."
Majorda_Beach-Majorda_South,Suyash Jain,3.0 of 5 bubbles,Jan 2021,Smaller beach in South Goa,This is a small beach located right next to Alila Diwa.It gets a bit crowded during sunsets and morning hours.
Majorda_Beach-Majorda_South,JE Dolphy,4.0 of 5 bubbles,Dec 2020,South Goa Beach,This also another of Goa's south coast beaches. A quiet beach and nice place to spent your time but okay .
Majorda_Beach-Majorda_South,Doctor B,5.0 of 5 bubbles,Nov 2020 • Family,"Majorda beach South Goa Clean, Beautiful and Safe Beach with World famous beach shack MISHMAR","Good Food, Good Service MISHMAR Beach Shack with free sunbeds,Clean toilet,free wifi,free drop to the hotel or guesthouse for the customers.Serves Indian,Goan, Chinese, Continental Food.Open from 8.oo am for breakfast ,Serves Lunch and Dinner till late late night.Candle light dinner right on the beach. Serves Veg and Non Veg food.Serves fresh Seafood.(Lobsters,Crabs,Mussels,Squids, Pomfret,Kingfish,Red snapper, Seabass, Tiger prawns,King prawns.Music, Karaoke ,Dance on the beach.Place for Birthday celebration,Party's, Engagement. Camilo Fernandes  is the owner of Mishmar beach Shack He is very Helpful person.His contact no is 0091-9822155154 you can reserve the table or sunbeds .Have a Wonderful holiday."
Majorda_Beach-Majorda_South,Harry,5.0 of 5 bubbles,Feb 2020 • Solo,Majorda Beach,"I have been going to Majorda and Utorda for over 25years. I was in Majorda from Febrauary to End of June 2020. The beach is very clean and you can walk from here to Colva. Many shacks on the way. Good walk in the morning and you can see fishermen and boats landing on the beach. Dolphins are a regular site .Beautiful sun rise and sunset . During lockdown ,the beach was dirty , which is understandable. I would recommend this beach .             I would also recommend a small resturant at the crossroads of Rainbow corner . The buses run from this corner. This is a local resturants for the locals and don't see any tourists. The name of the resturant is Prakash Resturant. It has limited menue,  but the food is delicious and very cheap. Well worth a visit or have a takeaway.  Resturant is family run. Mother and sons."
Majorda_Beach-Majorda_South,john b,4.0 of 5 bubbles,Jan 2020,lovely beach,A short distance walk from the village is this beach beautiful sand and is kept very clean and several good restaurants who will supply sun beds 
Majorda_Beach-Majorda_South,Geet123456,5.0 of 5 bubbles,Jan 2020,Clean beach with less crowd,"We had a great time here. If one is in north goa, Majorda is the closest in the south of Goa to visit. We had all Nepali guys who owned the shacks. Food was good and reasonably priced. We were given place (beds) on beach to rest & towels complimentary. Beach is clean and sea is good to swim."
Majorda_Beach-Majorda_South,upasana,4.0 of 5 bubbles,Dec 2019 • Family,Good one,It's a very clean and calm beach.It's very close to Colva beach and benaulim beach.Very less crowded only foreign crowd could be seen.Limited water sports are there.
Majorda_Beach-Majorda_South,Srinivas S,5.0 of 5 bubbles,Dec 2019 • Family,Peaceful beach with decent shacks in south Goa,"For all the uninitiated, there are two sides to Goa. One is the vibrant, boisterous, party-in-the-air, market filled North Goa. The other is the quaint, idyllic, time stuck, unaffected-by-tourism, beautiful South Goa. If you have picture of Goa in mind as the one with yellow painted houses situated on a narrow lane that leads to a quite beach lined with palm trees then look no further and head to south Goa. We stayed at Majorda in south Goa which is a beautiful village with all the above said attributes of South Goa. The beach has few shacks and we used couple of those during our stay in Majorda. The sea is safe for kids and the shacks serve the necessary food and drinks to keep you going for the day. There were water sports options too and against those were good.There is Utorda beach which is on the same stretch as Majorda if you want to try that. The shopping options around Majorda is limited.Do bear in mind that if you are visiting off season or other than peak season (which is either December until mid Jan), then you may want to check in with the hotel guys ahead if the shacks would be open.Other than that this place is highly recommended."
Majorda_Beach-Majorda_South,Manish Sarraf,3.0 of 5 bubbles,Dec 2019,Enjoy the loneliness and peaceful time at the Beach,Enjoy the loneliness and peaceful time at the Beach as it is less crowded when most of popular beaches are over crowded
Majorda_Beach-Majorda_South,Temps10,4.0 of 5 bubbles,Dec 2019 • Couples,Lovely beach,"Lots of dogs on beach but not bothered by them. Plenty of places to eat. And a great idea of free beds, towels and shade."
Majorda_Beach-Majorda_South,kamod,5.0 of 5 bubbles,Dec 2019 • Family,Perfect for a secluded getaway,It's a beach away from the crowd .. calm.. peaceful.. and has a large land area .. very clean ..shacks offer food and drinks.. 
Majorda_Beach-Majorda_South,ashish_hm,4.0 of 5 bubbles,Nov 2019 • Couples,Nice and clean beach,The beach is clean and offer very high tide.. There are water sports option but beware of the water sports as some of them are not very trained and could not control the ride due to high tide as a result of which we fell in water along with banana boat and bumpy ride boat although they promised not to take us for a dip as we did not want but they could not control and we felt drowned at one stage. The parasailing was good and found to be safe. 
Majorda_Beach-Majorda_South,VDParkhe,4.0 of 5 bubbles,Nov 2019,Semi Clean beach and less crowded,Early morning and sunset are good times to visit Its relatively less crowded and peaceful as compared to North Goa beaches
Majorda_Beach-Majorda_South,Vishi_25,5.0 of 5 bubbles,Oct 2019 • Friends,‘Neat n Clean’,"Hey readers!!So, before starting..if you are fond of neat ,calm and clean beach this is a best beach..along with that water sports and beach shacks are too available!! Yes! this beach is in south side ..and roads are pretty complex..So just refer ‘Maps’...other wise their is small location for parking as well as few restaurants are also there ...If you are willing to have food in proper restaurants you can enjy that too!!!..I am just sharing few pics..hope so u’ll enjy them...So be safe and keep exploring!!😊"
Majorda_Beach-Majorda_South,Karin S,5.0 of 5 bubbles,Oct 2019 • Couples,A nice relaxing day,"This beach is clean with excellent swimming,bars and restaurants but no crowds. I’d come back here in a heartbeat. "
Majorda_Beach-Majorda_South,Iffi9j,4.0 of 5 bubbles,Oct 2019 • Family,Visit to Majorda beach,"It's a beautiful,calm and peaceful beach.You can see small fishes swimming in the water.If you are visiting south goa i would suggest you visit this beach.But ""the most important thing to keep in mind"" there is no pay and use changing rooms/baths."
Majorda_Beach-Majorda_South,DEEPAKPIYU,3.0 of 5 bubbles,Sep 2019 • Couples,Soapy water and no public toilets. ,"I am not sure, but I think the water near the shore was a bit soapy/foamy (wherein the foam was getting accumulated as if it were some chemical or oil has entered the sea water). Beach is a bit far from the mainland. There are no public toilets anywhere near the beach. So, this beach is good only for people staying at beachfront hotels. "
Majorda_Beach-Majorda_South,Femida W,5.0 of 5 bubbles,Jul 2019 • Couples,Peaceful place to chill out...,One of the best beach in south Goa...Its clean and crowd less environment.. best place to chill out... cool environment refreshes mind and gives good feeling... I recommend to go and visit..
Majorda_Beach-Majorda_South,suhel nagarsenker,5.0 of 5 bubbles,Aug 2019 • Friends,Nice clean beach in South goa,Decently clean beach in South Goa.  Pretty close from the airport.. not too many shacks on the beach.. but over all a nice place to visit.. away from the cattle crowd at Colva beach
Majorda_Beach-Majorda_South,meenakshimuthusamy,5.0 of 5 bubbles,Jul 2019,Nice place,The place is very nice to spend time.It is very beautiful and nice place to visit.Very natural and good with the beach sand.
Majorda_Beach-Majorda_South,Shreya Sharma,5.0 of 5 bubbles,Jun 2019 • Couples,Good sandy beach,The beach is famous for the blue waters which is full of white sand. The beach is quite popular with city crowd.
Majorda_Beach-Majorda_South,take,5.0 of 5 bubbles,Mar 2019 • Solo,Clean beach ,Very clean beach. I want to visit there again. And food at beach is also good. I drunk lots of beer.
