Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Aarupadai_Veedu_Temple,niluanu,4.0 of 5 bubbles,Feb 2022,Serene Temple,"Located on the seaside in Besant Nagar, this clean and peaceful temple has shrines for all six abodes of Lord Muruga (Kartik). The temple is generally not too crowded and is very convenient for the elderly or differently abled"
Aarupadai_Veedu_Temple,ravi_vee,5.0 of 5 bubbles,Aug 2021,Visit all 6  major shrines of Lord Murugan(Karthikeya) in one place,"Nice, clean well maintained temple located on the seashore of Besant Nagar less than 2km from Elliots beach and just about one km from Ashtalakshmi temple.  It has shrines for all 6 abodes of Lord Murugan (Karthikeya) in one location.  Worth a visit.  My preference is to go there during non-festival time to have a peaceful darshan.  Festival days see crowds."
Aarupadai_Veedu_Temple,Sud D,5.0 of 5 bubbles,Aug 2019,Modern Murugan Temple,Modern Murugan temple. Pays tribute to the six abodes of Murugan that are situated in different parts of Tamil nadu. Nice. temple.
Aarupadai_Veedu_Temple,iamsvs,4.0 of 5 bubbles,Aug 2019,All forms in one temple,"THis temple for Lord Muruga has all his forms from the six arupadai veedu temples in one place.  It is really helpful for devotees as they can see all his different forms in one temple.  However, normally murugan temples are in a hill / hillock, this is on level ground, access is easy for elderly people as a result.The temple is well maintained and clean.  The evening we went there were very little crowds and we could have a relaxed darshan."
Aarupadai_Veedu_Temple,Arun,5.0 of 5 bubbles,Dec 2018,Famous temple in Chennai located near beach,All six famous Lord Murugan forms in one place; Arupadai – Six houses of Lord Muruga are present here.The temple is located on the shores of Besant Nagar Beach and it is a spectacular view of beach from the temple. You will find the temple with calm and peaceful surroundings.
Aarupadai_Veedu_Temple,Karpagavalli,5.0 of 5 bubbles,May 2018,One of famous temple in the city,This houses six temples dedicated to lord murugan and those those six temples were the replicas of the famous six temples of the lord murugan in tamilnadu.and so the name arupadai veedu koil.
Aarupadai_Veedu_Temple,AKTHAKUR,5.0 of 5 bubbles,Feb 2019 • Family,ALSO VISIT KUBERA TEMPLE ONE OF ITS KIND IN INDIA AT VANDALUR CHENNAI,"I have already written a review of this temple in the besant nagar beach section.The temple which i want to mention is the kubera temple the only kubera temple in india.Shree Lakshmi Kubera temple Kuberan Koil Main Road, Rathinamangalam, Vandalur ,Tamil Nadu 600127Phone: 094440 20084timings morning - 5.30 am to 12 noon evening - 4 pm to 8 pmThere are 108 forms of parvati temple next to the temple , also kali and shirdi sai baba temple next to the kubera temple.unique temple very divine must visit.little far from chennai but recommended as you will not find kuber temples anywhere in india"
Aarupadai_Veedu_Temple,K V K,4.0 of 5 bubbles,Aug 2018 • Solo,Shore temple,"This shore temple is well maintained. It is very clean and neat. The idols are beautifully maintained. The idillyic location helps us to concentrate and make us feel one with God. It leaves us with a highly satisfied feeling. If you wish to meditate, this is an ideal location."
Aarupadai_Veedu_Temple,plpalani,5.0 of 5 bubbles,Dec 2018,Well maintained beautiful temple,"There six separate temples with in the complex for six abides of Lord Murugan...Swamimalai, Thiruprunkundram, Palani Thor Solis, Tiruchendur, Palani and Thiuttani.Today there was Raj’s Alankaram for Palani Murugan.Apart from Murugan there are Sannidhi for New York Varasiddhi Vinayahar, Eswar and Navagraha.Very well maintained and peaceful temple"
Aarupadai_Veedu_Temple,yy m,4.0 of 5 bubbles,Oct 2018 • Family,Arupadai veedu in 1 hour,"Wanted to view the temple after watching alamelu aachi  video on you tube at 11 AMto find the temple closed at 11 . From the closed gate it appears to be spread out on a large area and seems to be maintained clean.For those who are lucky enough to get in , it appears that all the 6 Veedus  of lord Murugan can he vidited in an hour let alone a single day."
