Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Lokhandwala_Complex_Market,Lokhandwala Buzz,5.0 of 5 bubbles,Jul 2022,The Oxford Street of India,"If you are in Mumbai, you definately pay a visit to Lokhandwala Market, high fashion street, great options of food, clothings, top international brands, celebrities, high profile crowd, high rise bldgs, and not to forget lokhandwala market is one and only in the world, especially come during diwali the entire strecth of market is decorated with lights a must experience."
Lokhandwala_Complex_Market,MANCHIMASTER,4.0 of 5 bubbles,Jan 2022 • Friends,Food inn good food,Food inn at lokhandwala Market a good moghlai food place. Whilst visiting be careful duplicate name foodbinn have come up also
Lokhandwala_Complex_Market,Shreya,5.0 of 5 bubbles,Nov 2021,SUch a fun market,Amazing place to shop  for jewelry .You can go to shops like One loveShimmerGlitterWhatsupand some shops near the first cross lane opposite Mc Donalds
Lokhandwala_Complex_Market,saggyboss,5.0 of 5 bubbles,Mar 2020 • Family,Good market,"Very good quality products at a budget price.  Has huge selections of food, barista coffees and plethora of fashion."
Lokhandwala_Complex_Market,Arun S,4.0 of 5 bubbles,Dec 2019 • Family,It’s huge,"It’s a pretty large market with variety of option across clothing, shoe, bags and many more. Quality to be checked before buying. You have to be choosy and careful of what you buy"
Lokhandwala_Complex_Market,sharjeelcool,5.0 of 5 bubbles,Nov 2019 • Friends,Good,By far one of the best places to go shopping in Mumbai and I will definitely recommend you to each and everyone who loves to shop
Lokhandwala_Complex_Market,Kesha,4.0 of 5 bubbles,Oct 2019 • Friends,Good,Very nice place to go for shopping with friends .Excellent place to shop . must visit once.just love it.
Lokhandwala_Complex_Market,Narendra K,5.0 of 5 bubbles,Oct 2019 • Solo,For shoppers,You will find everything here... From clothes to electronics to household appliance to gift shops..just everything! Great place to shop and yes! McDonalds must visit and society store's sugarcane juice something you cannot miss!
Lokhandwala_Complex_Market,Xerxes R,4.0 of 5 bubbles,Sep 2019 • Couples,Excellent shopping and vibes,"Loved the feel of the place. Yes and it can be and was crowded but hey thats Mumbai for you. My wifr shopped a lot we good god bargains, even popped in to the smaller market in the bylanes and were pleasantly surprised. We got lucky with no rains else this  could be tricky.Plan your visit look around for bargains enjoy your shopping."
Lokhandwala_Complex_Market,Tour171240,2.0 of 5 bubbles,Jul 2019 • Friends,Great for shopping but very dirty streets,Lokhandwala Market draws many shoppers and is popular among young people looking for cheap clothes. It gets crazy crowded on weekends. The narrow road has heavy traffic with cars and autorickshaws honking angrily all day. The food stalls do brisk business in the evening and people park the cars outside these stalls creating a chaos for everyone. These food stalls and their patrons create a pile of thrash that keeps growing and spreading as the day progresses.
