Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,ABDESH,5.0 of 5 bubbles,Nov 2022,32 FEET POWERFUL ANJANEYAR BLESSING DEVOTEES,"This temple is located in Calm and clean place. The Bhaktha Anjaneya temple at Nanganallur in Chennai is known for bestowing better health to the devotees. The idol of the central image is 32 feet in height making it one of its own kind.Sri Rama, Sri Lakshmana and Seetha with Sri Anjaneyar, Sri Vinayagar, Sri Raghavendra and Sri Krishna with his consorts Bhama and Rukmini are also here. Prasadam is provided. You may reach by bus(on particular timings), trains, autos or cars from airport quickly. You can contribute to the construction of the Golden Chariot, which will also be funded by the Tamil Nadu government. You could also try, Many restaurants,shops in Nanganallur are providing good quality products (delicious vegetarian foods, traditional sweets, coffee, and handicraft items)."
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,KARTHIKb87,5.0 of 5 bubbles,Jan 2020,Anajaneyar temple Chennai Nanganallur,This is one of must visit temple in Chennai for Anjaneyar who is presiding deity at 32ft height. Its only anjaneyar highest in chennai & Tamil nadu. Even across India in none of temple Anjaneyar is not with 32 ft height as main deity. This is first temple to install Automatic lift to reach top of idol for making abhishekams /bath and alankarams . We can even get clear darshan from outside of temple itself due to 32 feet height of idol.Initially temple is started and managed  by Private trust and only on recently in last 3 years temple taken over by TN Govt Hindu religious and endowment department.This temple had also had deities of  Ram seetha with lakshman and  Krishna.This temple had separate goshala and conducting lot of sevas in temple for which we required to make pre-book.
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,T. Gowrisankar,5.0 of 5 bubbles,Jan 2020 • Couples,Hanuman temple,Very calm and nice temple with wheel chair facility.The hanuman statue is 18 ft height.well maintained Must visit.
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,Passport648127,5.0 of 5 bubbles,Jul 2019,AN IMPORTANT ANJANEYA  TEMPLE IN CHENNAI,"This is at Nanganallur , a suburb of Chennai.As the name indicates , the deity is a very tall Hanumanji , .Always a good crowd of devotees , many of them come regularly.There are smaller shrines , too ,for Sri.Rama , Sri Krishna and Sri.Ganapathi.An atmosphere of tranquility prevails, Good help from priests and volunteers,;  well connected by train and buses.Please do worship here . He will take care of your worries.Srinivasan sundar"
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,Vivekanandan S,3.0 of 5 bubbles,Nov 2019 • Family,Worship ,Wonder full temple to visit. Good and supportive team. You can have a very good Darshan. Neatly arranged 
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,Merwin D,5.0 of 5 bubbles,Aug 2019,Nice place,Good place to visit on any time. Had a nice time here and found some peace alone. Would definitely recommend to all. 
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,reubenranjanfern2017,5.0 of 5 bubbles,Jun 2019 • Business,Divine Place.,A very holy and sacred place. Very clean and well maintained place. Offered my prayers and do visit this place.
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,Deadman17,5.0 of 5 bubbles,Apr 2019 • Solo,Divine Blessings,One should visit this temple whenever one is in Chennai. The place is divine and a visit to the temple satisfies the soul and provides one with peace and solitude. there is limited parking space nearby and hence one may need to walk the last portion. Better bargain with the vendors selling flowers and garlands before purchasing.
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,TravellingSands,4.0 of 5 bubbles,Jun 2019,Must Visit Temple in Chennai,"This is a temple where the presiding deity is Lord Hanuman, the ardent devotee is Lord Shree Ram. The 32 feet tall monolithic granite idol mesmerizes devotees. One can access this temple by alighting at Nanganallur Road metro/Palavanthangal local train station and catching a Tuk Tuk."
Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,Raguram R,5.0 of 5 bubbles,May 2019 • Friends,"Towering Hanuman, awesome experience","I have been there many times earlier, taking time to pen in a few words about this temple. This temple is bang in the middle of Nanganallur.  There are many temples around in this area and this one being the most famous. The lord is towering and has a very soft and kind demeanor. You take one look and you feel that he is there for you. The atmosphere around is all devotion. You have multiple sannadhis, There is no Hanuman without Rama, so you have Rama, Lakshmana and Sita and then you have Venugopala. As you go around in a pradakshina, you can see them and pray. The prashad offering is as you exit the temple.Wear Modest clothing, No Camera shoots, no mobile phone usage (you can carry). The place is neat and well maintained. No designated parking, so better to park in adjacent lanes or colonies around. Overall, great temple. Do not miss.."
