Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Rabindra_Bharati_University_Museum,sucharitadaslbc1,4.0 of 5 bubbles,Nov 2019,Nice Place,Nice place to visit there with friends or others members. There atmosphere is very good to visit there.
Rabindra_Bharati_University_Museum,adityainc,5.0 of 5 bubbles,Jan 2020,Great place to visit,The museum is one of the finest in the city which offers great collection of literary stuff which must be experienced.
Rabindra_Bharati_University_Museum,SRIKAKOLAPU,5.0 of 5 bubbles,Apr 2019 • Friends,dedicated to rabindranath tagore,This is one good museuem to learn about Rabindranth tagore the nobel laurete for literature .We can know about him over here.Entry fee is 20 rupees and photos can be taken inside with a cost
Rabindra_Bharati_University_Museum,Amolak Rattan K,5.0 of 5 bubbles,Jan 2019 • Friends,You find this Museum is dedicated to Rabindra Nath Tagore,This is an attraction where you will find lot of information about Great Noble Prize Winner Rabindra Nath Tagore. It is well kept and students are happy to give you a guided tour. Must visit.Governor Amolak Rattan Kohli 
Rabindra_Bharati_University_Museum,abhi0804,4.0 of 5 bubbles,Feb 2018 • Family,Displays original paintings of Rabindranath Tagore,It helps students in highest education in various disciplines of Humanities and Performing Arts. Some archival documents contained by this museum include Personal lettersFirst edition booksBooks on TagoreClippings on TagoreBazar paintingsLiterature of the House and outstanding personalities of the 19th and 20th centuriesRecords of songs in the voices of exponentsPaintings both in Indian and Western style and the Anglo-Indian school respectively and traditional schools of Bengal district
Rabindra_Bharati_University_Museum,Enamul13,4.0 of 5 bubbles,Feb 2018 • Solo,Historic ravindra university visit,It’s a replica of shanti niketan. Those who don’t have time to see shanti niketan can see it.It’s also built by poet Ravindra nath.Also you need ticket to enter inside & to take picture of it.
Rabindra_Bharati_University_Museum,csserious2,5.0 of 5 bubbles,Nov 2017 • Couples,Pilgrimage for lovers of literature,"We visited the museum while on a short trip to Kolkata. It has been one of the memorable trips ever, getting to know the novel laureate poet up so close, his works, his trips, and his contribution to humanity. The museum holds so many exhibits surrounding Tagore's life that the visit gets elevated to a pilgrimage, helped us to explore our own depths and awareness of mind."
Rabindra_Bharati_University_Museum,PRRM,5.0 of 5 bubbles,Sep 2017 • Family,Must visit for art lovers,"great place exhibiting Tagore Family's work primarily of Nobel laureate Rabindranath's. This is Tagore's house, so one can feel the grandeur of old times. "
Rabindra_Bharati_University_Museum,GOHABSGO1984,5.0 of 5 bubbles,Aug 2017 • Solo,Very happy with my visit.,It was a fascinating visit as a foreigner who has never heard of this man.  Take the time (2 hours) to get to know him inside this museum.
Rabindra_Bharati_University_Museum,shanta816,5.0 of 5 bubbles,Dec 2016 • Friends,A memorable experience with Tagore,"Since childhood I am a big fan of Rabindranath Tagore. I visited Rabindra Bharati Museum in 3rd December 2016. It is one of the most memorable and wonderful experience in my life. I went there in morning and spend almost all day there. The Museum is a big one and very well organized. If you want to know Tagore better you must visit his birthplace. this museum is very informative also. It is Rabindranath's ancestral palace, his birth and death place. if you are in Kolkata and a fan of Kobi Guru you must go there."
Rabindra_Bharati_University_Museum,Dev1972,5.0 of 5 bubbles,Nov 2016 • Solo,Icon of India's place- must see,"India's first Nobel laureate, Rabindranath Tagore was born here in his ancestral place. Its now been converted into a museum with galleries devoted to different stages in lifetime of the laureate and his near ones. There are sections devoted to different countries where  Tagore visited. The displays offer a peek into the facets of Tagore's life at different times. Must visit to understand Tagore, though it is a little cramped in space and the location is not exactly the best or tourist friendly."
Rabindra_Bharati_University_Museum,Shomoyboss,5.0 of 5 bubbles,Aug 2016 • Solo,Where Tagore lived,"As a fan of Tagore i felt great while visiting this place. Pictures, documents, information about him just made this place unique from Silaidaha and other places where he lived or visited. They've a ticket system, for foreigners 50 rupees. "
Rabindra_Bharati_University_Museum,Adnan Raihan,5.0 of 5 bubbles,Jul 2016 • Family,A surprising Heritage in Kolkata city,"A huge building spread in a big area, this the house where Rabindranath Tagore lived and died. It has many rooms filled with his photos, art works, writings and a few of his possessions, as well as those of his family. The displays give a good general view of his life and work. I had visited his propreties at Silaidaho (BD), Bolpur(IN) all are almoset same . Open time: 1030 - 1630 Closed MondaysEntry Fee: 50 rupees (foreigners), 10 rupees (Indians)"
