Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ram_Niwas_Garden,eesaw,5.0 of 5 bubbles,Feb 2019 • Solo,Albert Hall Museum  Ram Niwas Garden Jaipur Rajasthan,"I have been to Jaipur more than 10 times & this was the first time I visited the Albert Hall Museum located part of the Ram Niwas Garden......it was by chance as I was t the Hawa Mahal when some locals mentioned that I should visit it.  Walking almost 3 kilometers from the Hawa Mahal, I reached the Albert Hall......I was totally mesmerized by the scale of the museum & the spectacular LED lights bathing the facades of the building in a rhythmic change of colours.  This is a must visit location when in Jaipur."
Ram_Niwas_Garden,Umang A,4.0 of 5 bubbles,Sep 2018 • Couples,Great place,"This is located in the heart of city and house of many attraction e.g. bird house,zoo, albet hall, ranvindra manch and food court."
Ram_Niwas_Garden,Ethelberga H,3.0 of 5 bubbles,Nov 2018 • Couples,Visit Early When it is Quiet,"We enjoyed looking around these gardens of 33 acres made by Sawn Sing Ram in 1868. They have recently been renovated, so the tropical house did have some cacti in and some large leafed plants but no information. The gardens were only reasonably maintained and none of the many beautiful water fountains or pools were operating. Some good topiary. Beware of beggars pestering you especially young ones being sent by their elders hiding behind trees."
Ram_Niwas_Garden,durham05,4.0 of 5 bubbles,Jul 2018 • Solo,Beautiful gardens,These are the garden set around the Albert Museum. Well worth exploring. Found them to be well maintained. Take care as there are a lot of homeless people in this area. I didn't have a problem beyond I felt uncomfortable at times walking around on my own..
Ram_Niwas_Garden,Regina.K,1.0 of 5 bubbles,May 2018 • Couples,Not worth it.,"Expected beautiful exotic gardens.  This place was overgrown & dilapidated.  The gardens were overgrown & unkempt. Plants were dead. No flower garden. Main fountain had no water. 40 rupees to get in is cheap, but don't waste your time."
Ram_Niwas_Garden,Aadhes,4.0 of 5 bubbles,Feb 2018 • Couples,Green Garden but crowded,This is situated near the Albert Museum. If you have some time it's worth moving around in this area. In the evenings and weekends it is fully occupied by the locals.
Ram_Niwas_Garden,Verchasv,5.0 of 5 bubbles,Feb 2018 • Friends,Play area live cricket and football,"The Ram Niwas Garden is located in the year New Sanganeri Gate, Jaipur the all over area are covered by Nagar Nigam to provide the facilities of parkings who visits city area, Dharam Niwas Garden attachment Ravindra Manch theatre, the play area is attached of the Ram Niwas Garden. "
Ram_Niwas_Garden,Sweta P,5.0 of 5 bubbles,Feb 2018 • Friends,Great Garden,"It is in the heart of the city and a very great garden, its large place and kids and everyone can enjoy a lot, almost everything is reachable from here."
Ram_Niwas_Garden,Puneet D,4.0 of 5 bubbles,Feb 2018 • Couples,Good time spend,"Centrally located park near to Albert museum, full of greenery all around.It is well maintained and also has fountains.It opens until around 8 in the evening and illuminated by lamp posts which gives an awesome feeling.One thing I liked the most was the formation which birds were making while flying in bunches. And the sound of bird chirping and water fountain made the mood."
Ram_Niwas_Garden,gastronaut_11,4.0 of 5 bubbles,Dec 2017 • Couples,Just delightful,Not far from the Old Town this public park is large and interesting. Well utilised it reminded me of some of the Royal Parks in London.
Ram_Niwas_Garden,Dhanpatraj D,4.0 of 5 bubbles,Jul 2017 • Family,very nice garden,Nicely improved and maintained. Good pavements and parking facility. Good to visit in mornings and evenings Well located in the city center surrounded with other attractions
Ram_Niwas_Garden,harishjangir9,4.0 of 5 bubbles,Aug 2017 • Friends,Near to ajmeri gate,It is near to ajmeri gate ...situated in the heart of the city at JAWAHAR LAL NEHRU MARG... awsm place to visit 
Ram_Niwas_Garden,shanupce137,5.0 of 5 bubbles,Jul 2017 • Friends,Spend quality time with Friends and Family,"Ram Niwas Garden is a great place to take rest and spend time with your family and friends. This Garden is situated middle of the JAIPUR. Albart Hall Museum, Zoo, Ravindra Rang Manch all are here. "
Ram_Niwas_Garden,Paridhi7392,5.0 of 5 bubbles,Jul 2016 • Couples,Oldest garden,Ram Niwas garden is oldest garden in Jaipur. This is beautiful garden in middle of the pink city.must go.
Ram_Niwas_Garden,kamakshi2015,3.0 of 5 bubbles,Feb 2017 • Solo,Past the glory days !,Ram Niwas Garden was at one time in fifties was a green lush and best lived garden of Jaipur but now it is sad reminder of the past days . This was well spread out garden over years has slowly shrunk - making the way for the public and the public concrete car parking . The major thourough fare with heavy traffic  going around Albert Museum and running thru this park now mars the beauty of this park . There are horse rides and the evening charming eats around this areas are attraction for the families with kids .Still some place have the patches of greenery are joys of the city . The occasional flower beds are still there . No entree fee . 
Ram_Niwas_Garden,Om Joshi,4.0 of 5 bubbles,Mar 2017,Museum and Zoo,One should the place for archeaology Museum and Zoo. It has a one of the attractive place for tourists. British architecture and a attraction to see the heritage.  
