Tourist Attraction,Name,Rating,Date and criteria,Title,Review
St_Mary_s_Church,Hooray H,5.0 of 5 bubbles,Dec 2019,Must see!,"A little piece of England here since 1680!Remarkable. Layers of history before your eyes.Well maintained. Peaceful.There is a cafe in the square behind the fort that does excellent Madras coffee.Unfortunately, w missed the Rafael Painting.Have to visit again."
St_Mary_s_Church,SingaporeGirl,5.0 of 5 bubbles,Feb 2020,"Like a good book, ignore the cover and look inside","You will want to walk slowly throughout this church and read the eulogies and memorial plaques to understand why you should not miss visiting this historic colonial church in Chennai. Regardless of your background or faith, you can not help but be touched by the fickleness of history in who survived and thrived and those who died, whether in battle or of disease, whether in their 20s or 60s. It is an extremely moving experience that anyone who is interested in the colonial history of India and for that manner, all of Southeast Asia for many fell in service in Burma, Malaysia and other lands, should not miss."
St_Mary_s_Church,Dwightcr,4.0 of 5 bubbles,Jan 2020,Church from the 1600's,St. Mary's Church is  located within the grounds of Fort St George.  The church is the oldest the oldest British building in India.  It's plain inside but ozzes history.
St_Mary_s_Church,AURELIO L,3.0 of 5 bubbles,Dec 2019,nice church,"i think that the colonian churches are very interesting and can teach so much to us,st mary cathedral is nice but not so so important go if you have time"
St_Mary_s_Church,Praveenop,5.0 of 5 bubbles,Aug 2019,The oldest Anglican Church in Asia,The St. Mary's church is one of the oldest church in India and Asia. Mr. Elihu Yale ( who started the Yale University in US) was married here when he lived in Chennai. Also this place has a masterpiece Raphael in its hall. Yes !!! an original Raphael masterpiece . I did not believe it until I saw it .
St_Mary_s_Church,Valavanur Natar... K,5.0 of 5 bubbles,Jul 2019 • Solo,A DETAILED WRITE UP ON ST MARY'S CHURCH IN FORT ST GEORGE CHENNAI,"St Mary's in Fort St George, Madras - An  Oldest Anglican Church If one is a visitor to Chennai from any part of the world or India,  it surely will be worth their while to visit this historical Anglican Church built inside fort St George,  the Seat of Power fir  the Government of Tamil Nad,  even today.St Mary's in Fort St George, Madras was consecrated in the year 1680 which makes it one of  the oldest Anglican church in Asia ,with very important historic significance in the evolution of Chennai or Madras .Sadly history tells us that  during the 3-year occupation of Fort St George by the French 1746 - 1749 , it was put to use as a water storage .The church is within Fort St George , a fort built by the British  as a  secure trading post and  completed in  1653 and then gradually kept expanding  to its present size and then went  on to become and remain the seat of the state government even today .. The church was built with private contributions, with  East India Company,  who developed the  fort , and on its own had no part in its Construction actually.  Streynsham Master 1640 - 1724,  was appointed governor  in 1678 after spending number of years with the Company based in Surat on the west coast of India .Soon after taking up the appointment in January 1678 he determined, entirely on his own initiative and without reference to London Office ,  that the settlement needed a proper church. Until then divine services had been held in the largest room in the fort, the  common room, which served as a chapel besides being put to other uses. Master and his colleagues in council contributed about half of the 800 odd Pagodas raised that is  about 400 sterling pounds in those  days and  Elihu Yale, a Merchant on the Company's rolls contributing  15 Pagodas. Rest came mostly from other Merchants in the Company's service. William Dixon was the  Chief Gunner of the East India Company's Madras Establishment and also an  Engineer  to the Army .The Governor instructed him to build the church. East India Compaany later did contribute to its  construction .The church was 80 feet by 56 feet when  originally built with  the separate tower added  sometime later and conjoined to the old church built by Dixon . The church resembles a  fortified structure to meet the security needs of those days and  St Mary's church almost finished as a bomb proof structure with over 5 ft thick walls having a  vaulted roof of 4 ft thick maximum and 2 ft minimum.Its  window shutters are about two foot wide ang more than 6 ft height .When the French bombarded   Madras in 1746, the church was  one building in the fort,  to come through unscathed. The French did manage to damage the steeple though , when they attacked again in 1758 but that was not built by Dixon, since the tower was added only around  1701 and a spire in 1710.Dixon, first  castellated the parapet and  never  used wood in the structure  to render it fire proof in the event of bombing.The interior looks beautiful although the exterior is  squat looking as a fortress should ..It has a nave with two aisles and a gallery at the far end from the altar. The roof  is vaulted with rose ornaments in relief on the curved ceiling with classical touches .The church itself derived its name Since construction commenced on 25th March 1678, My Lady Day, so it came to be christened as  the church of St Marys and consecrated on its completion on  Thursday, the 28th of October 1680. The Fort had had a Chaplain on its establishment since 1676 and the incumbent in 1680 was Richard Portman. He obtained  a special licence from the Bishop of London to consecrate the church with Streynsham Master assusting him .Being the oldest Anglican place of worship in whole of  Asia and it is  therefore associated with a number of events  in British Indian history .This  is what makes this church so special, in addition to its construction and its charming interior.The church now maintained by ASI of India still maintains a register, which is continuous since its 1680 inception, well  preserved and the volumes from 1680 to 1819 are loaned to the Fort St George Museum, a stone's throw away from the church and certainly worth a visit. A copy in thick vellum of the original register, copied in the 18th century, is on display inside the church and all original records from 1819 onwards are also available in the church for inspection, .which I did nor personally see.The credit of first entry goes to the marriage of Elihu Yale to Catherine Hynmers, on 4th November 1680,  and within a week of the original consecration with the Governor, Streynsham Master, giving away the bride. The lady was the widow of Joseph Hynmers, a Member in Council and friend of Yale, who had died in April of that year and David Yale, the son of Eli and Catherine Yale, is buried in the original churchyard, having died in 1688. Yale went on to become Governor of Madras between 1687 - 92   later endowed a building after his name in the college which later came to be called Yale University,  from his personal earning as a trader.The most famous marriage recorded in the church register is, of course ,that of Robert Clive to Margaret Maskelyne, 18t February 1753. The painting in the  alter is  by George Willison 1741 - 97 , a Scottish artist, who came out to Madras in 1774  with  the patronage of Muhammad Ali, Nawab of the Carnatic, who  himself  ane to be based in Madras by this time. St Mary's church in thii  Fort  deseves to be presented to the world for its rich heritage and history of British in India .Its heattening to lnow  it is under the very good care of the Church of South India and the maintenance is being taken care of by ASI ,India This church in my view takes its place of  pride in the historu  of Chennai."
St_Mary_s_Church,JulietheCruiseDir,4.0 of 5 bubbles,Jun 2019 • Business,Lovely church with some misspelled English in stained glass windos,"Lovely cathedral in white, and reportedly one of the oldest Catholic Churches in Tamil Nadu.  Older Mary statue carved in wood.  Several of the wooden idols and stained glass had English writing including one that said “see my heart an mercy to you all”. Second or third language even for the craft people who made.  "
St_Mary_s_Church,Karpagavalli,5.0 of 5 bubbles,May 2018,inside the fort,"This church is inside the fort and the building itself speaks of its British age ,hope this is one the early churches built by them in India, still can be better maintained as it houses lots of history of the city and it's people."
St_Mary_s_Church,SteveS1970,4.0 of 5 bubbles,Feb 2019 • Couples,Lovely church,A lovely old church within Fort St. Goerge.very historical with a lot of memorials to British Regiments who fell in the wars on the walls. A very old wordly church that is worth a visit if you are passing.
St_Mary_s_Church,Ukienomad,3.0 of 5 bubbles,Jan 2019 • Friends,Don’t go out of your way ,"A lovely church near Fort George that is beautiful on the inside and outside. It has beautiful stained glass windows. We were able to view two weddings while we were there with women coming in with their colorful saris. It made it worth while to stop into this church. And in the back Of the church don’t miss St Thomas tomb, one of the original 12 apostles. "
St_Mary_s_Church,Timothy L,4.0 of 5 bubbles,Jan 2019 • Solo,Historical Church,Very old church with history of Portuguese and British influences over the centuries. Quiet and reflective escape from the noises of Chennai
St_Mary_s_Church,Peter B,4.0 of 5 bubbles,Jan 2019 • Couples,Must see if westerner visiting Chennai,Interesting and historical church within the grounds of Fort St George. Apparently the oldest Anglican Church East of Suez.  Lovely quiet gardens around the church as well as interesting historical artefacts and monuments inside.
St_Mary_s_Church,Charles_and_Susan,3.0 of 5 bubbles,Oct 2018 • Couples,OK but closed,"We visited here as part of our tour of the Fort St George. It looks good from the outside but unfortunately it was closed when we went, Sunday afternoon. We're told it's the oldest Christian Church in India."
St_Mary_s_Church,Komator,3.0 of 5 bubbles,Aug 2018 • Couples,Average church,"St Mary's church is inside Fort St George. The church is nice, but nothing exceptional. If you're in the area and you visit Fort St George, it's worth the visit, but that's it."
St_Mary_s_Church,Paul Henry,5.0 of 5 bubbles,Sep 2017,A historical delight,This is a rare experience. The premises are very well maintained. The atmosphere there literally transports you back 200 years and over.
St_Mary_s_Church,Jeannie2207,3.0 of 5 bubbles,Nov 2017 • Couples,A pretty church with a lot of history. ,"Now completely surrounded by hustle and bustle of a busy city, this once delightful church has sadly become a shadow of its former self, but it’s still interesting to visit and get an idea of how the city and community was in the 19th century"
St_Mary_s_Church,scud56,5.0 of 5 bubbles,Mar 2018 • Couples,Historic old church with a really nice ambiance,"To find St Mary's church (and the Fort George museum) you now need to get through the significant security around the Chennai administration complex that has taken over this whole area of the old fort. Hence, there may be a large queue to navigate - the police may help you queue jump if its obvious that you are a tourist rather than someone seeking to go into the administrative buildings.Once at the church the shift in ambiance is palpable and its worth spending some quiet reflective time just wandering around and taking in the history of the place and the many lives are referenced there in the plaques and gravestones."
St_Mary_s_Church,Issac0616,5.0 of 5 bubbles,Apr 2017 • Business,Oldest pipe organ in Chennai,Don't miss to visit this church located inside St.George Fort. Plan for a day when there is no TN assembly proceedings to avoid the crowd and minimal security checks. Must visit in Chennai. One of the oldest church built bY British people. Don't miss to see the Oldest pipe organ in Chennai. Old cemetery of Bristish era can be found nearby. Antique look and building atmosphere takes you to the Bristish time when you read the epitaph of many officers buried here.  
St_Mary_s_Church,ARedRose,4.0 of 5 bubbles,Jan 2018 • Friends,Beautiful Old Church,"I enjoyed the peace and quiet of this little church that seemed somewhat neglected.  Apparently Clive of India is buried here, but I could not find his grave or any reference to him in the church.  Probably the best part of the Fort but you can walk around and see older parts, very run down with lots of rubbish about"
St_Mary_s_Church,David H,3.0 of 5 bubbles,Feb 2018 • Friends,Beautiful interior ,You can include a visit to St Mary’s with a visit to the St George Fort Museum.They do not seem to encourage visitors on Sundays.Entrance is free.
St_Mary_s_Church,Lovetotraveldubai,2.0 of 5 bubbles,Feb 2018 • Couples,Waste of time,Only interesting because it’s reference to British officers and governors in whose honour there are few plaques and reliefs. Church is dingy and unloved.
St_Mary_s_Church,Somil A,4.0 of 5 bubbles,Dec 2017,Church only for CATHOLIC community,"i visited this church on 25/12/17 with my wife. It was nicely decorated with LED's, flower and toys. Very neat and clean church. it was around 8 PM  father started evening prayer and after finishing prayer he came down and start giving 'PRASADAM' to people . All who so ever present in church stood up in a single line and wait for his turn.to my surprise father is not giving prasadam to everybody. i noticed the same from long distance however don't know what is happening exactly. when me and wife reached to father he asked prasadam (sweet, holy water or whatever) is only for catholic so he cant give to us. this happened with many people there and everybody was shocked how come a priest can do this kind of behavior with the children.otherwise good place for prayer."
