Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Taj_Falaknuma_Palace,naveen k,5.0 of 5 bubbles,Jan 2022,Live in a historic palace,A historic palace converted to a hotel. They still have kept a significant part of the palace as it was in the bygone days. Excellent food and Sufi singers
Taj_Falaknuma_Palace,skychaserCalgary,5.0 of 5 bubbles,Oct 2022,Beautiful,We visited this lovely hotel and the grounds and topped off our visit with a tour of the place and then finishing off with High Tea which was excellent.
Taj_Falaknuma_Palace,Shikha132,5.0 of 5 bubbles,Oct 2022 • Family,Live life king  size,"Falaknuma meansLikeHeaven .. and truly each moment spent here is Blissful.. the grandeur , the opulence the lavishness ofThe palace will stun you .. the palace has a lot of  European influence so you can see mesmerising paintings, decor,  fromThe windows to ceiling everything breathtaking . Thank you TAJ for the wonderful hospitality)( which make you feel like a nizam ) for  giving an Opportunity to experience this  wonder .. Thank you Abdul Sam for amazing culinary experience ! Our celebration was made special because of u. Heart felt thanks ! Hoping to relivingThis experience again soon .Fellow travellers each penny spent here is worth ."
Taj_Falaknuma_Palace,DrQuresh M,5.0 of 5 bubbles,Sep 2022 • Friends,Very expensive - worth every Rupee; Superlative staff,We were 5 couples all between 60-70 years . It rained throughout but the rooms were comfortable and the staff went out of their way to make us comfortable . It would be helpful if the lighting was improved in the outdoor areas and the lobby. Also a well defined walking track would be an asset as they own property of 300 acres but the staff were clueless about where I could take my morning walk for an hour!
Taj_Falaknuma_Palace,ljolsen12,5.0 of 5 bubbles,Aug 2022,Wonderful place to visit!,The royal arrival with carriage and roses was such a great experience. The tour was amazing. The tour guide did a great job of telling the story of the palace!
Taj_Falaknuma_Palace,Yukti,5.0 of 5 bubbles,Jun 2022 • Friends,A magical night,Our experience was majestic - felt like royalty with the carriage ride and dinner then live music. Food was specific to our dietary needs. Plz take care of such historic properties for future generations to enjoy.
Taj_Falaknuma_Palace,anirban73,5.0 of 5 bubbles,May 2022,A Royal experience,"Built in 1893, owned by Nizam of Hyderabad and now the Taj group, a heritage hotel. Ypou walk down history, with a royal treatmengt the moment you walk in. Located on a hillock, 2000 feet above sea level, you can have a grand view of Hyderabad. The staff are extremely courteous. One must book in advance, with 50% advance payment for dining. There are 2 main restaurants, Ada (Indian) and Celeste (Italian). A one hour tour of the palace is conducted by the staff of the hotel, explaining the history of the palace and all the rooms in the palace. No doubt the dinner is expensive (almost Rs 7000 per person including taxes for a 4 course menu), but its worth it, along with the tour that you get. Its a memory that you will cherish forever. The staff in Ada, where we had dinner was excellent, courteous and helpful. They go out of the way to make sure you are comfortable. Hats off to the Tata group for reviving this unused palace since 2010."
Taj_Falaknuma_Palace,Nikki,5.0 of 5 bubbles,Mar 2022 • Family,Swimming pool and the gym,Swimming pool and the gym and awesome dinner and breakfastThe trip was interesting and inspiringThe hotel is awesome than Wayne mansion
Taj_Falaknuma_Palace,Kellia H,5.0 of 5 bubbles,Feb 2022,My favorite place to visit,I come to the palace for dinner every time I come to Hyderabad. It is a must see. Always get the royal welcome and take the horse carriage up and get showered with rose petals as you ascend the stairs. Take private tour and dine over beautiful views of the city. 
Taj_Falaknuma_Palace,anshu74,1.0 of 5 bubbles,Jan 2022 • Friends,Birthday party gone wrong,"Our experience at the restaurant we visited was absolutely something that came as somewhat of a shock to us...we were a group of 4 and had made an advance payment Rs.6000 per head for dinner.We ended up paying Rs.5200 per head because we complained about the food so were offered a 20% discount.To be fair ,the gentleman who was at the restaurant tried his best to salvage our meal...we were offered free mocktails(sugar laden coloured water) and free desserts...but the food was absolutely not TAJ standard or what we have come to expect of it.. food was tasteless..the vegetarians and the non vegetarians were equally disappointed...it was a forgettable evening...was there to celebrate a birthday but it will be a birthday we will remember for all the wrong reasons...there was no email ( we left our email id along with our comments  ) to explain this...not TAJ at all ..."
Taj_Falaknuma_Palace,Anil S,5.0 of 5 bubbles,Dec 2021,Family holiday ,"Amazing hotel, palace restored to its full glory.Excellent service, staff treat the guests like royalty. Mr. Qayoom at reception, Mr. Nasir & Mr. Sudhakar at the restaurant looked after us really well. I would rate the service higher than any hotel I have ever stayed. Rooms are clean, spacious and very comfortable. Would highly recommend this hotel and would love come again.The pool also looked very nice though we did not get to use it."
Taj_Falaknuma_Palace,shekher Khandelwal,5.0 of 5 bubbles,Nov 2021,THE DREAM VISIT,The food and service was excellent and the total experience mesmerizes.  The Taj hospitality is par excellence. Well one has to shell out more to experience all this.
Taj_Falaknuma_Palace,Shagun S,5.0 of 5 bubbles,Sep 2021,A really memorable day @ Taj Faluknuma - the High Tea was an experience par excellence,The drive to this place was torturous  - we were staying near Tank bund in the city - but once we were on the property it was a magical experience!! An absolute must do in Hyderabad!
Taj_Falaknuma_Palace,Malcom J,5.0 of 5 bubbles,Sep 2021,Hi tea,The hi tea is incredible. There is a horse carriage to pick you followed by tour of the Palace and an unlimited fare of snacks with tea.
Taj_Falaknuma_Palace,Ramchandra Naik,5.0 of 5 bubbles,Apr 2021,Family Visit to Celebrate a Function,One of the finest palaces in India. The menu offering provides a very royal feeling. Food is great and the service is truly outstanding!!!
Taj_Falaknuma_Palace,Charles Dulles,5.0 of 5 bubbles,Feb 2021,Royal experience,We had the hi tea here. Transported to the days of Nizams! The spread was amazing and service was excellent. Expensive but worth it. 
