Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Shilparamam_Cultural_Society,Bhaskar_10,4.0 of 5 bubbles,Dec 2022,Promoting Indian Craft: good exposure to craftsman and customers,"Visited on 28th December 2022Entrance Fee is INR 60/- per adult and INR 20/- per childThere was a theme based exhibition going on in ShilpaRaman till 31-Dec'22 and the crafts on display included kalamkari, Orissa Ikat, Gujarat Patola, Macrame from Bengal, Wood Craft, Bhagalpuri, Indore/Maheshwars, Leather products amongs many others.The quality of products on display showcased the rich and vivid talent of the crafts of India and prices ranged from couple of thousand to more than hundred tousand depending of the products.The visitors included mostly families while some youngters (seemingly college students) also visited in groups and interacted with teh craft-people.Very well designated place with paid parking and is a must viist while in Hyderabad.The only challange is the exit gate of the parking being too far, the visitors have to walk into teh parking to get into their vehicle and many could be seen walking along the incoming vehicle which is dangerous. If the management can look into a viable solution it will be appreciated."
Shilparamam_Cultural_Society,Vaishnavi_g,4.0 of 5 bubbles,Sep 2022,Very interesting place for those who love culture and heritage,"If you are renovating your house and interested in art collection this is a good place to visit. From sarees, shawls, wooden crafts, ethnic fashion wears, traditional painting and crafts you get them all here. You have museums and village settings you can enjoy.  "
Shilparamam_Cultural_Society,Mayank G,5.0 of 5 bubbles,Nov 2021,Lovely Place to shopping and enjoy,"We visited this place with minimum expectation but it turned out one of the best place to visit, shopping, enjoying and hang out with family and friends . You will find her art, culture, music and various handlooms . Lovely place"
Shilparamam_Cultural_Society,Gurus49,5.0 of 5 bubbles,Feb 2022,Artistic Place,A quaint place that exhibits local artisans and their wares. The place is perfect to buy rustic items.
Shilparamam_Cultural_Society,Ranjan Alu,5.0 of 5 bubbles,Oct 2021 • Friends,Great place ,"Good place , love to visit again and again , thank to team who have planned this project , love the culture program , ai request everyone should visit once ."
Shilparamam_Cultural_Society,Suman@620,4.0 of 5 bubbles,Jul 2020 • Couples,Anniversary celebrated place,We celebrate our 15th Wedding anniversary at that place.me & my wife had great time with shopping &food stall.thr r lot of hand craft meterial to purchase with reasonable price.
Shilparamam_Cultural_Society,Fairy,4.0 of 5 bubbles,Nov 2020 • Family,Indian Ethnic Crafts Village,"Shilparamam is an Indian ethnic crafts village. A good place to spend a leisurely evening and fulfil your desire of shop till you drop, on Indian ethnic handicrafts. They have a large display and sale of handicrafts from artisans from across the country. One can find handmade pottery, metal craftwork, ethnic outfits, sarees from Banaras and other South Indian states, handbags from Gujarat, embroidered patchwork runners and cushions, crochet outfits and bags and lots more. The shopkeepers don’t have any fixed rates, and there is a lot of bargaining going around the shops, which makes one feel if they have actually paid a reasonable price. One thing one must keep in mind here while purchasing is that these artisans don’t earn much sitting here all year long. We must be reasonable while bargaining with them. Most times they do quote random exorbitant prices, which is not fair too. So it is ultimately at the customers’ discretion if they want to buy it or not. Just compare prices in other stall before making a purchase. The place is mostly well maintained, and one can move around leisurely shopping and enjoying the village themed ambience. There are lot of food stalls, but we have never tried any of those as the hygiene is questionable at the stalls. The food stalls in particular are not maintained very well. They are just filthy. You may choose to visit this place in the evening to avoid the sun and heat, as the place is sprawling and expansive and totally open to air. On Sundays they have some beautiful ethnic performances in their open air amphi theatre, which are a treat. It is truly refreshing to see these performances to actually enjoy the true milieu."
Shilparamam_Cultural_Society,TravelbuggIndia,5.0 of 5 bubbles,Nov 2019,Beautiful evening chilling spot,Shilparamam is a cultural park cum shopping area for experiencing different cultures of India and to shop handicraft products from the different corners of India. It has an entry ticket and it is a fun place to roam around in the evening.
Shilparamam_Cultural_Society,Abhishek S,5.0 of 5 bubbles,Jan 2020,Handlooms and Shopping,This place is one of the greatest attractions specially women who love shopping.From apparels to furniture all you can find here that to ethnic and cultural.It also has a man made lake for boating and a waterfall.You can take photos here.It also has good options for snacks
Shilparamam_Cultural_Society,richagoel15,3.0 of 5 bubbles,Feb 2020,nothing exclusive but good stuff,"It is a nice place with a traditional feeling. The food within the campus is quite affordable. If you have been to delhi hatt then this will be a disappointment, but still it is worth a visit. There are mini exhibitions going on inside. you can get mehandi on your hands and there is a small pond inside too. "
