Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Salt_Lake_Stadium,Kaushik D,5.0 of 5 bubbles,Dec 2019,Great Stadium,"The biggest stadium in India (for a few years, of the world) - in terms of seating capacity! It has been the scene of countless epic Kolkata derbies - East Bengal vs. Mohun Bagan, ever since it was built. Great atmosphere when the stadium fills out. Recently it hosted the final of the FIFA U-17 World Cup (2017). That tournament brought in lot of upgrades in terms of infrastructure - seats for everyone (even 10 years back, when, as college students we went for the derby matches, seating mostly was on the steps). Went to the VIP area with family members (senior citizens) and found very good amenities - clean toilets, and even a complimentary dinner."
Salt_Lake_Stadium,Kushal D,4.0 of 5 bubbles,Feb 2020,Visiting HISL game in the Salt Lake Stadium in Kolkata,"Ther Stadium is all renovated and looked great. Problem is in getting there. No clear directions for anything - if you are from out of town, you will be lost. No directions to parking, box office location or individual gates posted anywhere. It's a huge place, so not have good directions posted is a problem, especially if you are from out of town."
Salt_Lake_Stadium,milinddesai,5.0 of 5 bubbles,Jan 2020,Went to see historical - Mohun Bagan vs East Bengal,"Went to see historical - Mohun Bagan vs East Bengal Football match with over 63,000 people. Highly recommended to go there if there is the Boro Match."
Salt_Lake_Stadium,adityainc,5.0 of 5 bubbles,Dec 2019,Small stadium,The salt lake stadium is a small stadium in the bidhan nagar area which is mostly famous for the football matches.
Salt_Lake_Stadium,Sushanta De,4.0 of 5 bubbles,Aug 2019 • Solo,Vivekanda Yuva Bharati Kriangan (Stadium),"My first unique experience was to attain opening ceremony of Russian festival in India. The skill and coordination was unique. This year opening, semi final and final matches of Asia's oldest Football match were held at this stadium."
Salt_Lake_Stadium,Sunita,5.0 of 5 bubbles,Nov 2019,Green-grass and clean galleries,"Also, known as Yuva-Bharati Krirangan, this place appealed to me a lot, due to the lush-green grass, the well-maintained seating arrangement in  the gallery and the vibrance during the football match."
Salt_Lake_Stadium,Shreya Sharma,5.0 of 5 bubbles,Nov 2019,A small stadium,The Salt lake stadium is a small stadium maintained by the local kids which is a must visit if you are a cricket fan.
Salt_Lake_Stadium,moogul818,5.0 of 5 bubbles,Nov 2019,Wonderful Sports Complex,"Salt Lake Stadium, officially known as Vivekananda Yuba Bharati Krirangan (VYBK), is a multipurpose stadium in Bidhannagar (Salt Lake), Kolkata, with a current capacity of 85,000.It has a grass football pitch and two practice pitches inside the stadium. It is the largest stadium in India by seating capacity. The stadium was inaugurated in January 1984. The stadium post its recent renovation is a treat for sports persons. The roof of the main stadium  is made of metal tubes and aluminium sheets and concrete. The pitch lighting is mounted on the roof rather than the usual mast. There are three electronic scoreboards and control rooms. The stadium is situated approximately 10 kilometres to the east of the Kolkata downtown and is well connected. It will soon have its own metro station. The stadium has a hotel inside (Stadel), which has two restaurants. The  Hyatt Kolkata has a common boundary with the sports complex."
Salt_Lake_Stadium,iamArnabPal,5.0 of 5 bubbles,Aug 2018 • Couples,The best stadium,The biggest stadium and the best n India and Asia I can proudly say. Location is fantastic. So are the amenities available here. Ample parking space is there outside the premises also.
Salt_Lake_Stadium,sahaavijit1993,4.0 of 5 bubbles,Jan 2019 • Friends,Heritage of Kolkata,"This is the largest stadium in India by seating capacity. At the time of FIFA under 17 world cup the stadium was renovated & got a new look after renovation.The stadium is easily accessible by road, as it lies on the Eastern Metropolitan Bypass & metro station which is 5 min walking distance from the stadium is expected to start running within a month.If you are a football lover or love sports then you will love this place for sure. "
Salt_Lake_Stadium,SabyasachiPal,4.0 of 5 bubbles,Apr 2019 • Solo,One of the large stedium in Asia,Salt Lake stadium is one of the large stadium in Asia. Many international matched were played in this stadium along with various national level matches and naturally this is a favorite destination for sport lovers.
Salt_Lake_Stadium,Ankita D,5.0 of 5 bubbles,Jan 2019 • Family,HUGE,This stadium is so huge and grand. i was awe struck.Visited here only once but will definitely visit again
Salt_Lake_Stadium,Zinia F,4.0 of 5 bubbles,Feb 2019 • Family,Grand,That is the only word I can describe the stadium with - how grand and big it is.I only saw it in passing and had an overlooking view from not so far.
Salt_Lake_Stadium,Poulomi S,4.0 of 5 bubbles,Jun 2018 • Friends,Green,"A clean, well maintained place. There are green fields for atheletes to practice and there are running tracks"
Salt_Lake_Stadium,Milind P,5.0 of 5 bubbles,Feb 2019 • Family,Great facility in Kolkatta,"Went for a morning stroll. Fantastic facilities, jogging track, athlete area, tennis academy . A great place for Kolkatta sports fraternity"
Salt_Lake_Stadium,Soumyajit Saha,5.0 of 5 bubbles,Jul 2018 • Friends,Football Arena of Kolkata,"It is one of the largest football grounds in India. Here I-League, ISL and other big league matches are held. Kolkata Club teams are Mohanbagan and Eastbengal. They play on this ground and the ISL home team from Kolkata is Atletico de Kolkata. People can reach here by bus as metro has not yet started."
Salt_Lake_Stadium,Amolak Rattan K,5.0 of 5 bubbles,Dec 2018 • Friends,A World Class Stadium and very well maintained,"It is a real treat to watch a football match at this Stadium. After FIFA World Cup Junior Championship, this Stadium was upgraded and has maintained all the norms of International Standard. Every facility is worth admiring. In Kolkata it is a must visit attraction.Amolak Rattan Kohli Former Governor of Mizoram"
Salt_Lake_Stadium,ankan146,4.0 of 5 bubbles,Nov 2018 • Family,WORLD CLASS STADIUM,NEARLY 70000   SEATING  CAPACITY)  FOR ALL INTERNATIONAL/national    football  matches.   track nd field  in  heart of city  (salt lake area)   huge flood lights.  and cozy  seats . largest  in india.            all modesof transport easilyaccessible with  5star  hotels like  hyatt/itc sonar  nearby  .  science city museum / multiplexes also  nearby.      ( giv helpful vote--iflike my post.)
