Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Buddha_Statue,Xavier D,4.0 of 5 bubbles,Dec 2022,Buddha statue,The statue is situated at the middle of Hussain sagar. It is illuminated at night and looks more beautiful.
Buddha_Statue,OctOriental,4.0 of 5 bubbles,Nov 2022,Colourful at night,An identifier of Hyderabad. The Buddha statue in the middle of the lake is accessible by ferry. At night it is illuminated in multiple colours. You get 10 minutes to hang out there and take pictures before your ferry returns to base. 
Buddha_Statue,Abhijit Naik,5.0 of 5 bubbles,Oct 2022 • Family,Masterpiece,It's amazing to see this beautiful statue built in the centre of the lake. The changing lights in night time make it a must to visit place in your Hyderabad trip. 
Buddha_Statue,Vaishnavi_g,3.0 of 5 bubbles,Sep 2022,It was Ok,"Visit to Buddha statue in the middle of Hussain Sagar lake was Ok Ok kind. You can visit once and spend few mts  there. The carvings in the front are done meticulously. But looks like the sculptors either were not given enough time, or were not interested, as the carvings on the other three sides didnt have a proper finishing. Overall it was Ok. And you can visit once. "
Buddha_Statue,Mayank G,4.0 of 5 bubbles,Nov 2021,Good Place for boating and Hangout,This  huge Buddha statue located in the center of Hussain Sagar lake and central attraction of this place you can reach by boat and take a photographs over there. 
Buddha_Statue,Abhay Mehta,4.0 of 5 bubbles,Mar 2022,Prefer to go in the evening,The standing statue of Lord Buddha in the mid of Hussain sagar lake gives a very good view. You can enjoy the place by taking a boat.  I will recommend you to go in the evening for better experience and enjoyment.
Buddha_Statue,Awadesh Sharma,4.0 of 5 bubbles,Jan 2022 • Solo,Peace of mind,"An architecture marvel this tallest Buddha statue in India is  carved out from a single piece of rock Due to less space , I would not recommend you to go in peak hours i.e just before Dawn & on Sundays too Beautiful place And indeed peace of mind achieved"
Buddha_Statue,harish.s,5.0 of 5 bubbles,Mar 2021 • Business,Great,Absolutely amazing...But the best time to visit is November to jan...In march it starts to get hot and humid..Better to visit in early morning or just after sunset
Buddha_Statue,Sunil,4.0 of 5 bubbles,Jun 2019 • Friends,Crowded palce,The place is very famous for Buddha statue and the water lake. Usually this palce is highly crowded and its advised to plan accordingly 
Buddha_Statue,Kaushik G,4.0 of 5 bubbles,Jun 2019 • Family,Beautiful giant statue,A giant statue of Lord Buddha is located on an island in the middle of the vast Hussain Sagar Lake and we had visited the same during our sightseeing in Hyderabad. We had gone in the evening and the giant statue was lit up in different colors creating a visual treat. There were small fountains in front of the statue and everyone was busy clicking pictures and selfies with friends and family.
