Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kalikambal_Temple,sumathik78,5.0 of 5 bubbles,Aug 2021,Mesmerizing,Lost in the bazaars this temple is stunning. Its a great piece of architecture and has a serene ambience 
Kalikambal_Temple,Padmapriya Gopalakrishnan,5.0 of 5 bubbles,Sep 2021,My Second home-Its My Darling Amma,"Feel Amma's presence and soul here.I call it my second home, her smiling and loving face will make you melt and will make sure you forget all your worries,pain and sorrow here. She is love, she is bless, she is happiness, she is Amma"
Kalikambal_Temple,Sud D,5.0 of 5 bubbles,Aug 2019,Very Ancient Temple,This is situated between two busy streets in downtown Chennai. The surroundings are a bit chaotic but the temple is special. Ancient  and beautiful.
Kalikambal_Temple,Ananth 727499,5.0 of 5 bubbles,Sep 2019 • Solo,Powerful ambal temple of chennai,"This temple is considered as the most powerful Ambal temple in Chennai..People from many parts of Chennai have their regular visit to this temple, to have their darshan and get blessings of Mother ..It is also said that Chatrapathi shivaji had his darshan in this temple ..He also gave his sword as a gift to this temple..Many VIPs come regularly to this temple ..There is also a powerful prithyangira Devi sannithi in this temple at the entrance itself..Don't miss this temple .."
Kalikambal_Temple,KARTHIKb87,5.0 of 5 bubbles,Jan 2020,Famous Amman temple in Chennai,"It's famous old temple in Chennai near Madras High court/Chennai beach station. Temple ambal is powerful and will fulfill all our prayers. It's says that kalikambal is another form of Kanchi Kamaatchi. It was said to be built in 1678 by Shivaji, the Maratha warrior and the founder of the Hindawi-Swarajya in the 17th century,   Temple is located in Thambi chetty Street a prominent financial street at Georgetown  which is walkable at 15 mins distance from high court or Chennai beach suburban station,5 mins from Mannady Metro station.Its must visit temple in chennai"
Kalikambal_Temple,%FastFlyer,5.0 of 5 bubbles,Jan 2020,Tight squeeze,Here during the holiday Pongol. Thousands of local tourists. Visitors are restricted to marked routes.
Kalikambal_Temple,jivpriya1101,5.0 of 5 bubbles,Nov 2019,Very peacefull,This is the first time i visited this temple. It's very big temple and most of all very very peaceful after went to this temple. Will definitely go again if got the chance.
Kalikambal_Temple,Sunitha Shenoy,4.0 of 5 bubbles,Nov 2019,Temple amidst all the rush,"This temple is in Thambu chetty street which is located near the commerical place for wholesale. You would get anything and everything around this place at a great price. Despite all that chaos outside when you enter the temple you won't feel even a bit of it. The temple gets a bit crowded on the days special for devi, but on other days its manageable."
Kalikambal_Temple,LostMySelfTraveling,5.0 of 5 bubbles,Dec 2018 • Couples,It was an awesome Hindu temple in Parry's area,It was really nice Hindu temple located in the Parry's area near mint Street. This is the first time I visited this temple. It's big and very famous temple. Everybody must visit the temple when u visit Parry's area.
Kalikambal_Temple,KVG55,4.0 of 5 bubbles,Oct 2019 • Solo,Religious pilgrimage,"Temple recommend by Chennai based colleagues, as an ancient and popular temple. The great Indian warrior king. Shivaji Maharaj prayed  here incognito  in 1627.The festival Season added a unique dimension to the visit. The main idol was open to public view. Was fortunate to witness a live dance performance of temple students of Bharat Natyam. It is Indian opera..beautiful and artistic to behold.Spent a spiritually gratifying hour.Left for traditional Tamil dinner at my favourite local restaurant."
