Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jorasanko_Thakur_Bari,Lovely,1.0 of 5 bubbles,Feb 2023,Terrible behaviour of the security guards and staffs,"It was a horrible experience. I  am very disappointed with the behaviour of the security guards today when we visited the museum. As following Rabindranath Tagore's writing since childhood. I waas excited to visit here after travelling from all the way from Darjeeling.The behaviour of the museum's security guards and staff was so rude that I refused to even enter the museum. It was difficult to navigate the museum so by mistake we entered a gate where there was no notification or barricade of ""NO ENTRY"", the security guards screamed and insulted us thrice even after we politely apologised to them. After that they also asked for our mobile phone to check the gallery , we co-operated and showed them, but even after then they insulted us in front of the public over there. They have no rights to touch our phone and go through our phone's gallary. They have absolutely no manners to talk to a women.I have been to other museums in Kolkata and heritage site, never faced this issue. I would never recommend my friends and acquaintances to come to this place and get insulted by their manerless security guards.Who is going to compensate my time and effort?"
Jorasanko_Thakur_Bari,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,A peek into the life of Tagore,Tagore's house served as a nerve centre of the social and cultural life of Bengal in the 19th and early 20th century.
Jorasanko_Thakur_Bari,Lubaba S,2.0 of 5 bubbles,Nov 2022 • Friends,Rabindranath did not know that I would visit...😔,"It was my long cherished wish to visit the house of Bishyokobi in Kolkata, alas he did not know that I would come one day, so that he made the rules flexible for the visitors. It is a goverent-run national property, which has heritage value. Rabindranath, himself is not a property of India but he belongs to all bengoli speaking nationalities. The national anthem of Bangladesh is wrote by him, so we own him, we  him. I was surprised by the behavior of the staff, to dishonor the emotions of the visitors. They just throw out us by telling that taking  picture of the name of the house is not allowed even from a distance!I was soo disappointed and i hppe authority provide some training to the staff on behavior change communication skill."
Jorasanko_Thakur_Bari,shaveta,4.0 of 5 bubbles,Oct 2022,Don't miss this.,"DON'T SKIP THIS.  This is a government maintained property. Surprisingly,  most of staff there  are polite & encourage you to come again, unlike most govt tourist spots you get to see."
Jorasanko_Thakur_Bari,Let's Go Sightseeing,5.0 of 5 bubbles,Jul 2022,A sense of nostalgia,"The name itself is romantic & evokes a sense of nostalgia. Jorasanko Thakur Bari is the ancestral house of the Tagore family. Rabindranath Tagore was born, lived & died here.Jorasanko Thakur Bari is a priceless heritage remnant. It’s constructed in the typical Bengali style. You will love the bright green & red facade! The Museum within, commemorating the life of Rabindranath Tagore, is called the Rabindra Bharati Museum.Apart from the entry ticket (INR 10), there is an INR 50 ticket to use mobile cameras within the premises but do note – photography inside the Rabindra Bharati Museum is prohibited.The Museum comprises galleries related to Rabindranath Tagore & to the Tagore family. In the galleries related to Tagore, you’ll find his possessions, photographs, sequence of events leading to his illness & last days, his relations with countries like China, Hungary, Japan & the USA.In the galleries related to the Tagore family, you’ll find family ancestry & photographs, Bengal School paintings, & Tagore house portraits. You can do justice to the Rabindra Bharati Museum only if you’re ready to invest at least three hours.As you tour the Museum, there are security guards who guide you on the right path & ensure there’s no noise/ unruliness. A couple of galleries had captions only in Bengali, making it difficult for non - Bangla speakers to understand."
Jorasanko_Thakur_Bari,ilina m,5.0 of 5 bubbles,Feb 2022,Heritage museum,"The entire mansion is open to public for a nominal fee, camera fee is additional. Very well maintained, spotlessly clean and a haven of peace. Visitors are expected to talk in whispers and the artefacts inspire awe. The China Gallery is remarkable. Do read the displayed writings and information."
Jorasanko_Thakur_Bari,Natalie1204,5.0 of 5 bubbles,Mar 2021 • Family,Well maintained ,I did manage a couple of photos and a glimpse from the outside. The grounds look compelling and are well maintained. It’s been shut through Covid though and we couldn’t get in. It’s definitely a place I do want to explore when it reopens though 
Jorasanko_Thakur_Bari,racehorse2021,5.0 of 5 bubbles,Apr 2020,A legacy to visit,"I visited this place at-lest 3-4 times and loved this place after reading "" sei somoy"" by sunil gangopadhaya. You need to spend at least couple of house to understand the legacy of this family on bengali culture. They maintained property well, though there are scope of improvements. Pls check if it's open after the covid"
Jorasanko_Thakur_Bari,Mander Mukherjee,5.0 of 5 bubbles,Jan 2020 • Friends,Jorasanko Thakurbari - Legendary poets home,Located in the northern fringes of the city of Kolkata is a place where Rabindranath Tagore was born.the place has magnificent collection of artefacts that are related to Tagore clans and especially Rabindranath Tagore. A very peaceful and clean place. A must visit for anyone coming to Kolkata. 
Jorasanko_Thakur_Bari,Mrudula,5.0 of 5 bubbles,Apr 2019,nice architecture,Jorasanko Thakur Bari is famous for it's architecture and sculpture depicting old age constructions.
