Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Agrasen_Ki_Baoli_Leamigo,David D,5.0 of 5 bubbles,Jan 2023,An ancient step well in Delhi,"This is a step well that is said by some to date from very ancient times. In its current form however it dates from the time of the Delhi Sultanate. The step well itself is quite large and visually very impressive. There are some ruined buildings near it, and the overhanging tress are often filled with parrots."
Agrasen_Ki_Baoli_Leamigo,Woodstag,4.0 of 5 bubbles,Oct 2022,New Delhi Stepwell,Agrasen Ki Baoli is an historical and huge step well situated in New Delhi area near our Claridges Hotel location. Great architecture to admire and relaxing place to sit for a few moments.
Agrasen_Ki_Baoli_Leamigo,Satish C,4.0 of 5 bubbles,Oct 2022,Stepwell in heart of Delhi,Place to visit for those interested in architecture / history. This is not a huge stepwell compared to those in Rajasthan or Gujrat but one of the few remaining in and around Delhi. We visited on a Sunday but with intermittent showers the place was not crowded. Suggest getting dropped off or walking as there's no parking facility and this is on a very narrow street.
Agrasen_Ki_Baoli_Leamigo,Lakshmi Biradar,4.0 of 5 bubbles,Oct 2021 • Solo,"Stepwell with 100+ steps, one time visit place", Agrasen Ki Baoli is a  wide historical step well in New Delhi. It is very located very near to Connaught Place. It was originally built by the legendary king Agrasen. It is open daily from 9am to 5.30pm. Various Bollywood films such PK starring Aamir Khan and Sultan starring Salman Khan. It was also featured in the 2017 Sridevi thriller Mom. This step well had 100+ steps. Weekends it will be too crowded.  
Agrasen_Ki_Baoli_Leamigo,Hến M,5.0 of 5 bubbles,Aug 2022 • Couples,Beautiful place,"There was a “wow” reaction when you first see this paoli. It’s really beautiful. The architect is photogenic and incredible. The day I came is rainy, not crowded so it brought me the calm and nostalgic feeling when I visited. No tickets needed and they open at 9 AM."
Agrasen_Ki_Baoli_Leamigo,Ambarish2012,5.0 of 5 bubbles,Jun 2022 • Family,Little gem ,Most tourists do not know of this place. But it is not just a beautiful place but also an architectural marvel.Quite close to Jantar Mantar. So try to include it in your Sightseeing of Delhi
Agrasen_Ki_Baoli_Leamigo,Surya Katakam,4.0 of 5 bubbles,Apr 2022,Believed that this Baoli is build during Mahabharata time,"This is well maintained Well which was used to store the water during those olden days. Nothing much to see here other than photography. Best part of this place is it is well maintained step well with mesmerized architecture surrounding all 4 sides.Most of the tourists visit this place for photo shoot and nothing much here to see. if you don't have time better you can skip this place. This is on parallel road to Jan path and near to all main tourist spots so it will not take much time to you to reach this place. There is no parking place near this place so please note the same if you are travelling with your own vehicle.Interesting Facts about this place:1. A Baoli means Stepwell in Used language of North India. It is believed that this was commissioned by King Agrasen around 3000 BC and is renovated in 14th Century by the Agarwal community.  It is step well commissioned by Agrasen hence it is called as Agrasen Ki Baoli. 2. This is a 60 meter long and 15 meter wide step well having total 108 steps located near Jan path road. It also has three levels and each of them has nice architecture side walls3. This location is famous for Bollywood Movie shootings. PK, Sultan, Jhoom Barabar Jhoom and Mom are some of the famous movies which are having this place in some scenes.4. Archeological Survey of India is protecting this Monument. In total there are 14 Baoli's in side Delhi which are survived and now protected by Archaeological Survey of India. Out of those 14 Baoli's this is the one which is most visited and well maintained one.Visiting timings:All 365 days from morning 09:00 am to  Evening 05:30 pm"
Agrasen_Ki_Baoli_Leamigo,Legend H,5.0 of 5 bubbles,Mar 2022 • Friends,Amazing accent monuments ,"Amazing nice & quaint tourist attraction. It'll be peaceful with no people around if you reach here early before 9 am becouse after many n many people are here. At most, you can get some quiet time here. But, there are better places to get some peace. So, to be honest, it's not worth the time if you are a backpacker. "
Agrasen_Ki_Baoli_Leamigo,Praveen K,5.0 of 5 bubbles,Sep 2021 • Friends,Unique utility archaeological site,"This place is in situated near cannuaght place, thus it is very assesible by  all modes of transport.  Parallel road to Janpath , besides KG Marg. It is situated in the by lanes and a fine motorable road takes you there. There is no parking but ad there is no other market or residential colony one can trickle down by walking, bike and other vehicles to make a visit. The place provided you serene environment and immediately takes you the past. You also left amazed at the to type utilities built by our previous generations who were appreciative both of societal needs and culture as well"
Agrasen_Ki_Baoli_Leamigo,A Choudhury,4.0 of 5 bubbles,Feb 2021 • Friends,Old Step Well,"Located near Connaught Place, it is a step well used to store water in those days. It is basically flocked by couples and young people. Many movie sequences have been shot here. Not recommended for people who have a problem with climbing steep steps. There is no entry fee and photography is permitted."
Agrasen_Ki_Baoli_Leamigo,skagarwal74,5.0 of 5 bubbles,Feb 2021,Great treat to watch,"Actually named ""Ugrasen Ki Baoli"" is a great treat to watch and not known to many people. The place is not far from India gate or Jantar mantar and one must visit this small place just for its uniqueness  and photography.The place is not spreadout. Rather there are steep stairs where one can sit and relax. There is no entrance fee here."
Agrasen_Ki_Baoli_Leamigo,K S,5.0 of 5 bubbles,Jan 2020 • Couples,Must visit,If you're in Delhi and want to see something mind-blowing then please visit this place. It's close to cannaught place. Thanks to our tour guide we were able to see this marvelous monument.
Agrasen_Ki_Baoli_Leamigo,Tissa.travels,4.0 of 5 bubbles,Feb 2020,14th century well,"14th century well in New Delhi, not too far from both India Gate and Connaught Place. Nice architecture and a great place to escape the busy city and get out of the sun."
Agrasen_Ki_Baoli_Leamigo,Anjan Sengupta,4.0 of 5 bubbles,Feb 2020,A hidden gem....,Not all people visiting Delhi have an idea of this hidden place. This is located at the heart of Delhi very near to Cannaught Place and can be reached in 10 minutes from there with an auto rickshaw. The design of this step well is very unique and it feels like entering a fort when you start going down the steps. This is an ideal place to sit and relax with family and click some memorable pictures..
Agrasen_Ki_Baoli_Leamigo,MONA .,4.0 of 5 bubbles,Jun 2019,"Mystical ""Agrasen Ki Baoli""",It is noted to be one of the most haunted destination in India Built By King Agrasen during the time of Mahabharata.Its a step well lined by 108 steps and paranormal activities experience differs from person to person.Due to its Mesmerizing Architecture Many Bollyhood  shooting has been done in this Location.
Agrasen_Ki_Baoli_Leamigo,Vikas Singh,3.0 of 5 bubbles,Dec 2019,Step well in heart of New Delhi,"It is named after the legendary king Raja Agrasen (or Raja Ugrasen) of Agroha, who also happens to be the founder of Agarwal community. It measures 60 m in the north – south direction and is 15 m wide, and is made of rubble masonry. On the south west corner of the Baoli is a small mosque. The mosque is approached by a triple arched entrance but the arch on the southern side has long collapsed, along with the portions of the ‘whale back’ roof. Three of the four red sandstone pillared columns, that supported the arches, stands to this day. On the northern end of the Baoli is the circular well, measuring 8 m in diameter. The top of the well is covered with an iron grill preventing people from falling. The well is connected to the rectangular passage by shafts.On the southern side is a flight of 108 steps descending to the base of the Baoli."
Agrasen_Ki_Baoli_Leamigo,Brun066,5.0 of 5 bubbles,Sep 2019,A wonderful mixture of utilitarian purposes and refined aesthetic solutions.,"Even before my trip to northern India I knew about the existence of ""baoli"", or stepwells, as a characteristic of this part of India, plagued by seasonal drought. I had in fact heard about it from an architect friend who had visited many of them, and had illustrated their features to me.Therefore, at the time of my visit to Delhi, I didn't miss out on this baoli, so central, relatively close to Connaught Place.It is relatively recent, compared to the average period of construction of the baoli (which would have been documented since the second century AD), dating back ""only"" to the fourteenth century.It certainly doesn't have the monumental, breathtaking grandeur of basins such as the Abaneri or Patan baoli. Unlike the latter, it's in fact long and very narrow: qualities that contrast with the depth of it, and make it almost a disturbing ""crack"" in the earth, in which you descend to the bottom with apprehension (not recommended for those suffering from claustrophobia).I started from this visit full of admiration for the wonderful mix that this work (as well as other similar ones) presents between utilitarian purposes and refined aesthetic solutions."
Agrasen_Ki_Baoli_Leamigo,AZCasualTraveler,5.0 of 5 bubbles,Nov 2019,Interesting Centuries Old Architecture,"In India, it has been estimated that there are about 100 of these centuries old ""Step Well"" structures - where well water was once obtained by simply walking down the ""steps"" to the water's edge.  The Agrasen Ki Baoli - Leamigo Step Well is probably the most famous of the India ""Step Wells"" - there have been several Bollywood movies made at this location.  This Well is also centrally located in New Delhi.The architecture of this ""Step Well"" is impressive for such an ancient structure and it is very nice to look at and take in the thought of how many people in the past had made the trip down the Steps just to get water for their daily lives.  Interesting!"
Agrasen_Ki_Baoli_Leamigo,Ayushi Dixit,3.0 of 5 bubbles,Feb 2020 • Family,Dissappointed ,"Well , i was rather dissappointed after visiting this place. But what can you expect? Itz a well and a well that beautiful is worth it right ?But i expected it to be big like other monuments in delhi. "
Agrasen_Ki_Baoli_Leamigo,Mike X,5.0 of 5 bubbles,Mar 2020 • Friends,Nice break ,"Free, easy to find and beautiful. If you're not visiting any other stepwells in India, for sure give this a shot. Mostly locals. "
Agrasen_Ki_Baoli_Leamigo,Mohit,3.0 of 5 bubbles,Feb 2020,Average. Good for a short visit. Free entry. Suitable location.,"There nothing much to see or experience here. The best part of the monument is that location. It's a convenient 10 minutes walk from CP. Also there is no entry fees for the monument. There are three levels with long stairs in the middle. Unfortunately, the access to different levels is restricted. Although it does not stop people to go to these levels for pictures but please be an educated traveller and not cross the makeshift barricades to access the levels.Baoli is a rajasthani word which means a well with staircases and that's what this place is. There is a well at the bottom of the steps. The steps are pretty steep as some places so if you have any knee problem then avoid getting down as it would be difficult to get back up. This place is also a hub for pigeons who like to defecate on tourists and there has been no attempt made to counter that problem. Seems the government of Delhi and ASI does not care much about this monument.Overall, you may spend 15 minutes to half an hour here. Take a couple of pictures and back to your merry way. I am really not sure why this monument is considered as a ""hidden gem"". There is no gem here honestly."
Agrasen_Ki_Baoli_Leamigo,Roshni S,5.0 of 5 bubbles,Feb 2020 • Solo,A hidden gem in the heart of Delhi,"Surrounded by modern buildings located on Hailey Road, the Ugrasen ki Bauli is a great place for tourists and to hang around. But the steps are plenty and steep so come wearing proper footwear."
Agrasen_Ki_Baoli_Leamigo,suzirosie,5.0 of 5 bubbles,Feb 2020 • Solo,Nice place to visit ,I stopped here for a quick visit on my way to Connaught Place. It's not a big sight but architecturally I think worth a look at. It's nicely maintained and you can take some good photos if you get there early when it's less busy.
Agrasen_Ki_Baoli_Leamigo,RicherTrips,5.0 of 5 bubbles,Jan 2020,Worth a short stop,"In our itinerary, we had scheduled a visit to a huge and famous step well, Chand Baori, but our local guide recommend to make a short stop in this one. It was a surprise to find this archeological site in the center of Connought Place, surrounded by buildings. For a start, this well origins are lost in time. Nobody knows when it was constructed.  Our guided pretended it was 2 thousand years old, but it was rebuilt on the 14th century."
Agrasen_Ki_Baoli_Leamigo,JP F,3.0 of 5 bubbles,Feb 2020,A place to see,A little unknown but interesting site in Delhi.  It was a way to see a step well (old time sewer ) with amazing architecture .  Climb the steps if you can
Agrasen_Ki_Baoli_Leamigo,Elvin D,4.0 of 5 bubbles,Dec 2019 • Solo,Awesome,"I went there by 7.30am .It was not much crowded, very nice to take photos . Slowly crowd started to form. Must visit place if you are in Delhi"
Agrasen_Ki_Baoli_Leamigo,Gidons51,5.0 of 5 bubbles,Feb 2020 • Friends,Surprisingly Beautiful attraction to visit shortly ,This is a very nice old fountain that 140 stairs Lead down steeply to get the water . Surprisingly how impressive this is . Built in the 15 century to fill the water needs at that time . Take a few minutes to visit . No entry charge . 
Agrasen_Ki_Baoli_Leamigo,markeric,5.0 of 5 bubbles,Jan 2020 • Couples,A little hidden gem.,This place wasn’t on our radar but our taxi driver suggested it and we were very glad he did. You won’t spend long here but it’s very interesting and tucked away where you wouldn’t otherwise know it was there.Definitely worth putting on your ‘to see’ list!
Agrasen_Ki_Baoli_Leamigo,lemotka,5.0 of 5 bubbles,Dec 2019 • Solo,Hidden gem ! ,"It is a step well , but what a step well ! If you stay in Central Delhi , this is literally a walking distance from Connaught place ! Grab a tuk tuk and visit it ! Serene and simply amazing ! "
Agrasen_Ki_Baoli_Leamigo,namit1707,4.0 of 5 bubbles,Dec 2019,Stepwell,"Sitiuated in the heart of capital of india its an ancient well, its a great place to visit by ancient architecture lover and historical lover. Take extra care if youare travelling with kids and senior citizens. The structure is well built. The entry to this place is free and the entrance doesn’t  gives you a clue, what are youabout to see inside, the road is bit congested where the entrance of this monument is there. Its an offbeat place in delhi which is not known to most of the people.This place is also having metro connectivity, 5 minutes walk from Barakhamba road metro station."
Agrasen_Ki_Baoli_Leamigo,macedonboy,5.0 of 5 bubbles,Dec 2019,Stepwell,"The Agrasen ki baoli is a stepwell near Connaught Place of all places. Despite being devoid of decorations, the architecture of the stepwell is interesting, especially for it’s photogenic qualities. The top 3 levels and walkways and niches arranged around the side of the well, while the lowest level doesn’t have these features.The well is worth visiting when in Delhi, especially as it’s only about a 15 minutes walk south of Connaught Place."
