Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Nehru_Park,Ramesh,5.0 of 5 bubbles,Feb 2020,A nice colourful and green environment for family and children.,It is a well maintained flawless park with all colour flowers blooming in glory and very soothing and stress busting.
Nehru_Park,vamsi,4.0 of 5 bubbles,Feb 2020 • Couples,Best park for winters,Good place for outing in DELHI winters. Bonus is well maintained Flora and lots of Rose flowers. Hope the parking is sorted well but it’s available. Recommended to take all picnic things to have full fun.
Nehru_Park,Tarique S,3.0 of 5 bubbles,Jan 2020,Delhi's just another green lungs,"Nehru Park is a fairly large green area in Delhi. Good place for Joggers and Yoga enthusiasts. A pretty decent playground for kids and youngsters. It also turns out to be a good place for picnic during winters. Well maintained flowerbeds, artificial fountains and mature trees makes it a pleasant place for relaxing.Important Info:1. Free Parking is available outside the park.2. Hawkers selling ice creams, chips, cold drinks etc can be found outside the park.3. Weekends are comparatively more crowded.4. Public Convenience available inside the park"
Nehru_Park,Sonya Deep kaur,5.0 of 5 bubbles,Jan 2020 • Solo,"Good place for walking, jogging and running. ","If you are in Delhi and looking for a place to relax, walk, jog or even run with a little less feeling of being polluted then perhaps nehru park might bring a smile to your face. The park is clean and green! You can even get a few miles if exercise in! This place in around the embassy area so home to a lot of expats as well. There is an open air strength training gym which seems to be guarded by the four legged making sure you loose those extra pounds 😊"
Nehru_Park,Renu2,5.0 of 5 bubbles,Dec 2019 • Friends,Nehru Park,"I had been to Nehru Park as a child on school picnics but after that it just became  place that one passed by but never entered. A few days back a few friends decided to visit the park and we had so much fun. It is one of the few places where you can get away from the hustle and bustle of Delhi.  It has something for everyone. There is a track to run on. There are lovely plants, trees, flowers, rockeries and undulating lawns. There are benches to sit on. We also saw vendors selling tea and coffee inside the park. The park covers a large area and therefore never feels crowded even when there are multiple school groups that are there on picnics. I recommend this park highly. It really will rejuvenate the jaded and tired urban dweller in you. "
Nehru_Park,TheCreatist,5.0 of 5 bubbles,Oct 2019,Very well maintained,"Its a beautiful, perfect green oasis in the middle of the hustle bustle of Delhi. Located in Chanakyapuri, its a great place to come with your family or friends. Kids will love it. So will health enthusiasts. Good place for a picnic."
Nehru_Park,Madhulika L,4.0 of 5 bubbles,Oct 2019,Something for everyone,"This vast park stretches all along one side of the diplomatic enclave in Chanakyapuri, and is one of the biggest landscaped parks in Delhi. There are several gates scattered along both sides of the park, so you can enter (some gates have designated free parking inside, others do not) wherever you wish. Entry is free. Inside, the space is a mix of areas: there is a jogging track, lots of walking paths, wide lawns which are dotted with picnickers during good weather, groves of trees, and more ‘wilderness’-like sections, where the tree cover is more dense. There are hillocks, some with statuary or installation art, others with easy climbing walls for children. There are benches scattered around here and there, and ice cream carts parked near the gates. The best thing about Nehru Park is that because it’s so huge, a lot of activities can be held simultaneously without people getting in each other’s way. The last time we visited, we wandered through only about a quarter of the park, and came across two musical groups rehearsing, one dance group practicing, and several people picnicking—as well as a cricket match in progress near a rope bridge which spans one wide ditch. None of these people were even within sight of each other; it’s a great place, therefore, to go for a large picnic—you aren’t likely to have trouble finding space!The park also hosts some interesting concerts, food festivals, and other events during the autumn and winter, which mostly command an entrance fee for the event itself. One last tip: if you’re a tree lover, do take the time to visit Nehru Park. It has some stunning trees, including some magnificent silk cottons, an unusually robust stand of chir pines (which actually bear cones), some beautiful groves of Bismarck palms, red cassias, and more. For a good cross-section of Delhi’s most representative trees, Nehru Park deserves a mention alongside Sunder Nursery and Lodhi Gardens."
Nehru_Park,Shobha,4.0 of 5 bubbles,Aug 2019 • Family,Had fun,The garden is beautiful and is clean . One can visit with family and friends . I came here with my husband and kids . We visited here in evening .
Nehru_Park,Vibhu,5.0 of 5 bubbles,Aug 2019,Best maintained park in Delhi,"Nehru Park is nestled in the midst of Embassies in the VIP area of Chanakyapuri in Delhi. One of the best-maintained parks in the city, it boasts of varied flora and attracts people of all ages. It's best suited for morning/evening runs or walks (have unpaved and paved tracks for both), yoga sessions, family and children's outings. It has ample parking space and a pictursque lake as well with ducks and some other animals."
Nehru_Park,SangeetaAnand,4.0 of 5 bubbles,Sep 2018 • Family,Nehru Park,"This huge expanse doubles up as a picnic spot, exercise track, walk trail & generally a place to get the kids. Its great during the day in winters and evenings in the summer.There's parking for convenience and lots to explore given its acreage. It's a lung of the city. Very well maintained it's also popular for events."
