Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Vikram_University,Gdj,4.0 of 5 bubbles,Jan 2020 • Solo,Vikram university ujjain,"Most famous university in malwa area of mp.varrious departments on university campus.unvivesity covers ujjain ratlam agar malwa,mandsour,neemuch districts colleges."
Vikram_University,Gdj,4.0 of 5 bubbles,May 2019 • Solo,Vikram university,"This is most famous and single government university in mp malwa region.this university covers ujjain,mandaour,neemuch,r atlam,shajapur,agar malwa districts colleges."
Vikram_University,Himanshu Bhatt,5.0 of 5 bubbles,Apr 2019 • Couples,Ujjain's own university.,"Its a govt university named with maharaja of ujjain ( vikramaditya )situated with large lush green campus several collages , staff quarteres and hostels are situated inside the university campus"
Vikram_University,rathod2017,5.0 of 5 bubbles,Oct 2018 • Family,Vikram University,"The University, located on Dewas Road, was established in the year 1957. It plays a major role in promoting the literary and cultural activities of the city. This university has a nearby park, called Vikram Vatika and is a beautiful place to sit back and relax."
Vikram_University,Karpagavalli,5.0 of 5 bubbles,Nov 2018,Not a tourist place,The place is a study place named after the famous king vikramadhithyan Nothing to do for tourists we were told.
Vikram_University,akankshacoolgirl,4.0 of 5 bubbles,Sep 2018 • Solo,Very Old university,Vikram University dedicated to King Vikramaditya is a very old university and offers a wide ranges of graduation courses.
Vikram_University,BafnaShashank,4.0 of 5 bubbles,Oct 2017,A very old University with 89 streams,"This is a graded as ""A"" by NAAC, India. I just went there to explore the courses & have a campus visit. I was amazed by the rich history associated with it & how vast & multiple streams are available with it."
Vikram_University,Yogeshsukhwal,5.0 of 5 bubbles,Aug 2017 • Solo,Feel good to be here again. ,"I had my graduation from here, several years ago. During my visit to ujjain, I decided to have a chance to meet my old faculties here. My experience was to good. I heartily welcomed. University has developed in many terms."
Vikram_University,Vikas Singh,4.0 of 5 bubbles,Jul 2016 • Solo,Peaceful and quite environment,"One of the first university to have been established after independence in 1957, the university offers courses in wide range of subjects including archaeology."
Vikram_University,perplexed_soul,4.0 of 5 bubbles,Aug 2015 • Solo,Trendsetter,This university offers renowned and a wide variety of courses in its curriculum. This university could etch a name for itself if it goes in the right direction. Great place to learn and good faculty members too.
Vikram_University,Khatrisunil2013,5.0 of 5 bubbles,Feb 2016,Seat of knowledge,One among oldest universities of india which is regaining its reputation and offers variety of versatile courses with support of qualified faculty. I am proud of being alumni of this university .
Vikram_University,girishanjhim,5.0 of 5 bubbles,Dec 2014,A great Knowledge centre,Many of my friends and colleagues are still into education line. I also did my PGDHRM from this University
Vikram_University,VivekRastogi,4.0 of 5 bubbles,Aug 2015,Named on King Vikramaditya,"One of the great and old university of Middle India, Named on King Vikramaditya. Once headed by the great poet Shivmangal Singh Suman. University offered many courses."
Vikram_University,vasundhara_12,3.0 of 5 bubbles,Aug 2014,A nice drive to and around!,"If you are in the city of Ujjain, make sure you drive around the universities areas.The university circle, is great to walk around in at any time of the day (beware of the midday heat though!). The adjacent Kothi road is perfect to drive on, especially on a warm sunny evening or a cool night and grab some roasted peanuts or pani puri to wrap up a perfect evening!"
Vikram_University,Ameet_Pathare,4.0 of 5 bubbles,May 2015 • Solo,3000 year old university of Ujjayini...,"One of the oldest ancient learning seat of India,Ujjayini rose to promience when Guru Sandipan moved here from Kashi.The university is named after Gupta king Vikramaditya."
