Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Diwan_e_Aam_Hall_of_Public_Audience,DP1066,4.0 of 5 bubbles,Mar 2020,An impressive Hall!,"Located in the second courtyard of the Amber Fort, the Hall of Public Audience has two rows of columns each topped by a elephant-shaped capital.  This is where the Maharaja used to address his subjects."
Diwan_e_Aam_Hall_of_Public_Audience,SalimM,4.0 of 5 bubbles,Dec 2019,Public hall,Diwan-e-Aam or Hall of public audience is a large hall. There are two rows of pillars supporting the structure. The top of these columns have elephant shaped structure and galleries with lattice work. The hall is open on three sides. The king used to sit in the hall and listen to the queries of common men. This hall is famous for its mosaic glass works.
Diwan_e_Aam_Hall_of_Public_Audience,Memoirs-Sachin,4.0 of 5 bubbles,Sep 2019,Hall for the citizens of the state,The Diwan-e-Aam Hall of Public Audience is a section in the Amber Fort where the King would address the public. It is a huge courtyard providing panoramic view of the village downhill.
Diwan_e_Aam_Hall_of_Public_Audience,reubenranjanfern2017,5.0 of 5 bubbles,Aug 2019,Nice place.,This place is a major attraction and acts a hall for groups of people. This place has  historic meaning.
Diwan_e_Aam_Hall_of_Public_Audience,Prathamesh Sawant,4.0 of 5 bubbles,Nov 2018 • Solo,Hall for the subjects!!,"The counterpart to Diwan-e-Khaas, this is the hall where the royals would meet the subjects and listen to their queries/complaints."
Diwan_e_Aam_Hall_of_Public_Audience,Amolak Rattan K,5.0 of 5 bubbles,Jan 2019 • Friends,You experience Royal giving audiences to the common citizens,This is the place where Maharaja of Jaipur heard common citizens grievances and redressed them. On the walls you will see impressive paintings of all the Maharajas. You must go see for your convenience.Amolak Rattan Kohli Former Governor of Mizoram
Diwan_e_Aam_Hall_of_Public_Audience,rjpriyanka,3.0 of 5 bubbles,Sep 2018 • Couples,City palace,This is one of the major attractions of the city palace of jaipur. Located at the heart of city. This hall was used for public meetings.
Diwan_e_Aam_Hall_of_Public_Audience,Umang A,4.0 of 5 bubbles,Sep 2018 • Friends,Royal hall,This hall located in city palace was dedicated for public meetings during dynasty rule in Jaipur ....
Diwan_e_Aam_Hall_of_Public_Audience,rjpriyanka,3.0 of 5 bubbles,Sep 2018 • Friends,City palace...,This one is also located inside the royal city palace... This hall was used to conduct public meetings... Life sized paintings of rulers are displayed here.
Diwan_e_Aam_Hall_of_Public_Audience,Kaushik G,4.0 of 5 bubbles,Dec 2017 • Friends,Beautiful hall inside City Palace,"During my vacation in Jaipur, I had visited the beautiful City Palace complex and this marble floored courtyard called Diwan-e-Aam is located between the armory and the art gallery within the complex. This was the hall of public audience where king used to hear grievances of common people. We saw here 2 giant sterling silver vessels which holds Guinness World record as world's largest sterling silver vessels. One can also see beautiful crystal chandeliers hanging from the ceiling.Entrance ticket for City Palace is priced at 130 Rupees for Indians and 500 Rupees for foreigners and also there is a special ticket of 2500 Rupees which gives special access to private rooms in the Chandra Mahal with a personal guide."
Diwan_e_Aam_Hall_of_Public_Audience,Jaroslaw Kaczmarski,5.0 of 5 bubbles,Jul 2017 • Friends,Where the old meets temporary,"Go there if you want to see how these all old building were furnished and set up. This is a very unique place, where you can see it. Very recommended."
Diwan_e_Aam_Hall_of_Public_Audience,ashrafazrol,5.0 of 5 bubbles,Apr 2018 • Friends,At the center of the city palace,"This place provides historical understanding of the royal Jaipur kingship. I has multitudes of impressive architecture and decoration. There are also exhibition of historical royal artifacts, attire, and garments. Weapons are also on display. There are many corners of the palace worthy of Insta-pictures."
Diwan_e_Aam_Hall_of_Public_Audience,Umang A,3.0 of 5 bubbles,Jul 2017 • Friends,Royal...,The city palace gives you glipms of royal era of Rajsthani/ erthwhile Rajlutana.. hire a guide to learn about many old facinating stories...
Diwan_e_Aam_Hall_of_Public_Audience,Smrutirekha,4.0 of 5 bubbles,Dec 2017 • Friends,Part of the City Palace,The name defines the place. One can see the canons standing with pride and elegance and the antiques are worth a picture to be clicked with. This is part of the City Palace tour. There is a large vessel made of Brass which is worth a click. In the old times this was used to fetch water water from the Ganges for the Palace. Its a good place overall.
Diwan_e_Aam_Hall_of_Public_Audience,Ricardo B,4.0 of 5 bubbles,Mar 2018 • Friends,One of the features of the palace,"The Jaipur city palace is pretty magnificent and this is one of the nicest features. In the style of the Mughal public audience building, one of the highlights is the huge silver jars in the main entrace"
Diwan_e_Aam_Hall_of_Public_Audience,Manish Sarraf,3.0 of 5 bubbles,Feb 2018 • Family,Site included in City palace tour,"The place is in mid of palace having big silver jars, old guns decorated in sun pattern. Nice to get clicked with antique items."
Diwan_e_Aam_Hall_of_Public_Audience,Sweta P,4.0 of 5 bubbles,Feb 2018 • Friends,Royal at its Best,"Lots and lots of stories are there for this place, the name itself feels Royal and things also feels the touch of Royal, great to visit."
Diwan_e_Aam_Hall_of_Public_Audience,Prabal G,5.0 of 5 bubbles,Feb 2018 • Family,Beautiful and airy,Two big silver vessels make it stand apart. Beautiful arches and pillars inside it. This is the place where the king would meet general public and sort out their matters.
Diwan_e_Aam_Hall_of_Public_Audience,MAYANKBIGDELHIFOODIE,4.0 of 5 bubbles,Jan 2018 • Couples,loved it,this muesum is worth going loved itwe can see our cultureold era of kings queenhow they used 2 dressplayfightlive old era
Diwan_e_Aam_Hall_of_Public_Audience,TravellingSands,4.0 of 5 bubbles,Nov 2017,World's largest Silver Vessels on Display,This artistic hall of public audience is an airy building with numerous arches and a mosaic flooring. The highlights of this hall are the two huge silver urns which the Kin used to transport the Holy water of River Ganges on his trip to England.
Diwan_e_Aam_Hall_of_Public_Audience,jonahNJ,4.0 of 5 bubbles,Oct 2017 • Solo,Home of the enormous silver urns,"This Hall of Public Audience is similar to other Halls I visited while traveling through northern India. There were the ornate pillars that the ornate arches. However, in this Diwan e Aam, there were two large silver urns which are reportedly the largest of their kind in the world. There were also displays of swords. However, a special treat I had was watching a man demonstrate how turbans are wrapped as headwear. I was surprised to learn that the cloths used for turbans can be as long as 7-9 yards. This was the highlight of my brief visit to this Diwan e Aam."
Diwan_e_Aam_Hall_of_Public_Audience,Moiz H,4.0 of 5 bubbles,Oct 2017 • Solo,Meeting place,"Diwane e aam is a meeting place for common people, in old days rulers hear common peoples cases here."
Diwan_e_Aam_Hall_of_Public_Audience,cg2792,4.0 of 5 bubbles,Sep 2017 • Friends,Lovely area of the city palace,Really lovely and relaxing area to walk around in the city palace. Few indoor exhibits available too which I wish they would have allowed photography inside as postcards do not do it justice!
Diwan_e_Aam_Hall_of_Public_Audience,karthikeya r,4.0 of 5 bubbles,Feb 2017 • Family,Special meeting place of the kings,Diwan-e-Aam was a meeting place for special people from the king's court. Important meetings were organized here in the olden days.
Diwan_e_Aam_Hall_of_Public_Audience,kamakshi2015,5.0 of 5 bubbles,Nov 2016 • Family,The mesmerizing royal court of audience for general meetings !,"Any one coming to jaipur generally comes to Amer Fort and this place is the first which comes in the view ! It leaves one spell bound by its history and the architectural Beaty . The work on the round shaped pillars and the huge hall is open on all sides with beautiful work on the ceiling ! A true reflection of the bygone era . The Mughal influence is very visible here . The entry fee for the Fort visit is heavy but , it is different pricing for Indians / non Indians visitors . The visit to the from here forts starts here . Would advise to have an experienced guide approved by the govt . "
Diwan_e_Aam_Hall_of_Public_Audience,VIPIN_GOEL_TP_Impex,4.0 of 5 bubbles,Oct 2016 • Couples,Meeting place for common people with the Rulers,Rulers of Jaipur State listen to the grievances of common people here in the City Palace. The concept name 'Diwan-e-Aam' is originated from Mughals.
Diwan_e_Aam_Hall_of_Public_Audience,Satyendra Garg,4.0 of 5 bubbles,Sep 2016 • Family,"Diwan-e-Aam used to be place where meetings with common people were held. It is there at Red Fort, Amber and City Palace",As distinguished from Diwan-e-Khas which was for the special people Diwan-e-AAm was for the common people. The Royalty used to meet common man at this place. You find this at Red Fort and so also at Amber Fort. The Rajputs of Jaipur drew their inspiration from the Mughals and named their important establishments on Mughal pattern. At Amber you find beautiful Diwan-e-Aam and so also at City Palace which was also called Sabha Grih. At city palace there are two massive elegant single stone elephants at the entrance of Diwan-e-Aam and at Amber the Diwan-e-Aam is on beautiful sandstone pillars. Diwan-e-Aam were the places of public festival celebrations and public meetings.Spend sometime to understand the nuances of places where common meetings and important meeting were held. Visit to these places is to familiarise with Mughal art and culture which was adopted by those Rajputs who aligned with them.
Diwan_e_Aam_Hall_of_Public_Audience,Arghya Das,4.0 of 5 bubbles,Feb 2017 • Friends,Diwan-e-Aam (Hall of Public Audience) – A historical place in City Palace of Jaipur,Diwan-e-Aam (Hall of Public Audience) was the place where the Maharajas of Jaipur used to hear and decide the grievances of his people.  It is also called “Sabha Niwas”. This audience hall is famous for its beautifully ornamented flowery ceilings and the two large elephants at the entrance which are made with a single marble rock.
Diwan_e_Aam_Hall_of_Public_Audience,Gavin R,3.0 of 5 bubbles,May 2016 • Couples,Within the city palace,"If you visit the City palace of Jaipur you can visit, this place too, Its nice, its historic, and thats about it. If your sent quite into history you can skip it and just see the rest of the palace."
Diwan_e_Aam_Hall_of_Public_Audience,Paridhi7392,5.0 of 5 bubbles,,City palace,Diwan -e- Aam hall is also city palace part.this hall is very beautiful.must see this.its architecture is nice.
Diwan_e_Aam_Hall_of_Public_Audience,Alok Kumar A,2.0 of 5 bubbles,Nov 2016 • Business,Waste of Time and Money,Not worth to go such a distance just to see a very small section of History. Indian tourist are not allowed in most of the City palace area.
Diwan_e_Aam_Hall_of_Public_Audience,princ512,5.0 of 5 bubbles,Jan 2017 • Friends,Interesting place,"This place was a meeting area for general public, all issues of public were addressed here by the wajir. One can only imagine how the proceedings were used to happen at this place. It is the first main hall, when you enter the paid area of Amber Fort."
Diwan_e_Aam_Hall_of_Public_Audience,Suzzanna2014,5.0 of 5 bubbles,Mar 2017 • Solo,A walk to the ancient life,"The place is pretty good as it takes you to the lifestyle of the royal family. There is a full collection of armoury, ancient clothing and pictures. There is also the dining room, kitchen setup (with real utensils that were used then) and a place with puppet show (must watch and pay him good money- he does a good job but hardly gets money). It's a an amazing place altogether."
Diwan_e_Aam_Hall_of_Public_Audience,Prabhs13,3.0 of 5 bubbles,Feb 2017 • Family,Main attraction of City Palace Hall,The main usp of visiting City Palace is Diwan-e-aam Hall. Various portrays of kings has been placed and well preserved to this date.
Diwan_e_Aam_Hall_of_Public_Audience,Eileen E,5.0 of 5 bubbles,Feb 2017 • Couples,not to be missed,"Wonderful site, best seen with a guide, since the Indian culture is so unique, an explanation is most useful."
Diwan_e_Aam_Hall_of_Public_Audience,bubbles080,4.0 of 5 bubbles,Jan 2017 • Couples,museum,well presented museum documenting all the past maharajahs of India with portraits and furniture where public audiences with ministers took place
Diwan_e_Aam_Hall_of_Public_Audience,gourmetclub,5.0 of 5 bubbles,Feb 2017 • Family,"Wow, the way the royalty lived !!",The City palace has the Deewane Aam open for most public viewing. However you can pay more and visit special areas. The open courtyard displayed the silver urns which were used to transport the holy water for the king to Britain were spectacular. The museum display was also intriguing and the main hall  with the portraits of the various kings was a little dull though systematic. The jewellery outlet within the premises  had a rich display. An in- fort cafe was nice though very expensive. A guide might be handy to bring in the local flavour. 
Diwan_e_Aam_Hall_of_Public_Audience,drn85,4.0 of 5 bubbles,Jan 2017 • Couples,Diwaan-e-aam architectural excellence...,Diwaan-e-aam Hall of public audience is a part of the city palace located in jaipur. Everyone will visit this place on your trip to city palace. There is an entry fee for the city palace and students will get concession once you submit your identity cards. Credit cards are also accepted. The most important attractions nived there are the red thrones and the huge chandelier kept over there. We can click some nice pics over there. Except that there is not mucj yo explore in this area. Altogether it's a must visit place for the travellers in jaipur.
Diwan_e_Aam_Hall_of_Public_Audience,jitendra g,5.0 of 5 bubbles,Oct 2016 • Family,Nice place to visit,It is very nice place to visit with friends and family as well. but don't expect to much with this place.
Diwan_e_Aam_Hall_of_Public_Audience,Rumples,4.0 of 5 bubbles,Dec 2016 • Couples,Beautiful Hall,"This large hall -- part of Jaipur's City Palace Museum -- features two red thrones placed together; a huge, mostly red carpet; and a massive chandelier. Architectural details include double rows of marble columns and scalloped arches. The area is roped off, so we joined a long line of people who shuffled around it for a better look. No photography is allowed.Though I enjoyed looking at the space, I found the the walls around the edges to be more interesting. They featured miniature paintings and sculpture.We visited in the late afternoon on a weekday in December when most of the City Palace that is open to the public was crowded. There may be less visitors early in the morning or at other times of the year."
Diwan_e_Aam_Hall_of_Public_Audience,ranjana c,4.0 of 5 bubbles,Dec 2016 • Business,nice,"All part of Amber Fort. reaching the fort was very time consuming since the road was narrow and traffic hold ups occured despite being a one way street- the  parking at the fort seemed to be the problem. but the entire fort is very nice. Hearsay was that residents of Sirmaur, HP, get to get in free since the Rani is from Sirmaur, but that was not so!! Anyway  the gardens, the restoration work on the walls that was in progress was amazing.good excursion , all in all."
Diwan_e_Aam_Hall_of_Public_Audience,jaiprakash1202,4.0 of 5 bubbles,Dec 2016 • Business,Diwan-e-Aam (The royal feel),"i was so happy to see this place as this looks exactly to watch was shown in the movie ""Jodha Akbar"". Its really giving the royal feels and proud moment of witnessing the greatness of our historical past."
Diwan_e_Aam_Hall_of_Public_Audience,Baarish,4.0 of 5 bubbles,Dec 2016 • Friends,Impressive Hall,This is the first structure one comes across as one enters the gate of amber palace.The pillars are restored but one can have a good idea of the beautiful original carvings by looking at the cornice of each pillar.
