Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Colaba_Causeway,Acineto,4.0 of 5 bubbles,Jan 2023,Busy area,"The causeway just really busy with newer shops as well as a street market and plenty of restaurants. It is quite an experience since the place is very packed with stalls on either side of the footpath, so pedestrians have a narrow path to go in either direction. The road is quite busy, but some people were walking on the street side, but you do lose the experience.The stalls sell a variety of items like clothes and accessories to pans and fruit. The shops are also accessible if you're able to get through the crowds to the store entrances.There are plenty of things to experience around here and worth a visit if you're in the area, particularly if you have come from the Gateway of India."
Colaba_Causeway,DipuKV,5.0 of 5 bubbles,Jan 2023,Lovely,Was in the area for dinner. Walked around the lanes. Vibrant atmosphere. Heritage feel. Options aplenty for entertainment.
Colaba_Causeway,Pradeep S,5.0 of 5 bubbles,Oct 2022,Heart of the city,A great place to hang out. Just the place to get a feel of this town. Many interesting and historical place to see.
Colaba_Causeway,Sandy_JSR,4.0 of 5 bubbles,Aug 2020,Vibrant,"Colaba Causeway is a commercial street, and a major causeway or land link between Colaba and the Old Woman's Island in the city of Mumbai. It lies close to the Fort area, and also close by many Mumbai's famous landmarks like, the Gateway of India and Taj Mahal Palace & Tower. The place is famous for various shopping options including cheap, street clothes to fashionable shops, this lane offers everything. One can stroll through the footpaths and window shop for clothes, shoes, purses, jewelry etc. It also has several restaurants. The place is generally crowded in most of the time and a good place for some interesting photo ops."
Colaba_Causeway,Rani75,4.0 of 5 bubbles,Jan 2021,Shopping Hub,"Good place for shopping lovers.Bargaining can be done,u get lovely stuff.I love shopping at this place"
Colaba_Causeway,SHIV KUMAR D,5.0 of 5 bubbles,Nov 2019 • Business,Lovely place with lovely people around,"Take a stroll and you will have the first hand glimpse of Lively Mumbai... lovely place to dine, shop and make memories"
Colaba_Causeway,SalimM,3.0 of 5 bubbles,Dec 2019,Popular area,"Colaba Causeway is the heart of Mumbai. The buildings in this area date back to the time of the British rule, which gives a tranquil and peaceful old-worldly vibe. Some of the most popular restaurants of Mumbai can be found here. However, Colaba Causeway is most famous for its shopping centres. You can everything here, including clothes, antiques, home décor, electronics, jewellery, furniture, accessories, perfumes and handbags. And you can get all these at throwaway prices too! There are also some boutiques and high-end shops here. Visiting Colaba Causeway should be on everyone's itinery when visiting Mumbai.  The pavements are packed with stalls selling everything you can imagine. Then there are the shops. You can hardly move. Oh remember to bargain."
Colaba_Causeway,WatfordNeil,5.0 of 5 bubbles,Jan 2020 • Solo,Fascinating street. Great and busy place to look around. ,Fascinating street. Great and busy place to look around. Lots of market stalls selling all sorts of interesting goodies. Barter hard if you are buying anything. 
Colaba_Causeway,Nisha,5.0 of 5 bubbles,Feb 2020 • Solo,Nice,Colaba causeway is mumbais one of the nice place to hang out it's lovely sea look market and very cheap and cloths shopping there such a lovely shopping there
Colaba_Causeway,Nazneen K,3.0 of 5 bubbles,Feb 2020 • Friends,Cheaters,Tye street is good for shopping but they sure fleece you as there is.no standardization of prices. Bargaining is a must. Foreigners are always quoted much much more
