Tourist Attraction,Name,Rating,Date and criteria,Title,Review
K_D_Singh_Babu_Stadium,Aditya,4.0 of 5 bubbles,Feb 2020 • Family,Enquiry for cricket admission,Koi Please Batayaga  Ki Cricket-admission Start Hua Ya Nahi ? Please Help! I Am from faizabad Want To Cricket Admission
K_D_Singh_Babu_Stadium,abs0110,4.0 of 5 bubbles,Oct 2019,Biggest sport facility in Lko,One of the best places for sports in Lucknow. Good facilitlies for swimming and badminton. near to metro station as well.
K_D_Singh_Babu_Stadium,niya27,3.0 of 5 bubbles,May 2019 • Solo,Near Metro station ,A metro station is named on this stadium. The stadium is big with good sitting capacity. No match was there when I visited there in the afternoon. You can skip this place. 
K_D_Singh_Babu_Stadium,Harsh V,5.0 of 5 bubbles,Nov 2018 • Family,Awesome,The stadium is very big and good place for youngest to improve their skill the ground are well maintain must visit place
K_D_Singh_Babu_Stadium,Amit M,4.0 of 5 bubbles,Apr 2018 • Solo,Well maintained stadium,Visited the stadium while on the way from Hazratganj to Chowk. The stadium is mainly used for state level games and is well maintained. Not much to see there but if have some extra time then only visit.
K_D_Singh_Babu_Stadium,Rohit T,4.0 of 5 bubbles,Jun 2018 • Family,Lucknow's epic stadium,"Named after hockey wizard KD Singh Babu, this stadium has witnessed quite a few hockey matches and Sheesh mahal cricket and is the training ground for youngsters. These days the entrance is in a mess due to metro construction"
K_D_Singh_Babu_Stadium,Susej B,3.0 of 5 bubbles,Feb 2018 • Couples,One of The Oldest Sports Stadium at Lucknow,"The stadia is having a grass turf and a multi pitch including athletics, hockey, football, handball and cricket pitches a basketball court too inside the stadium.Outside the stadium premises are various other sports pitches and grounds like Tennis, Volleyball, Basketball etc with a roller skating rink.There also exists a Badminton hall and an Olympic sized Swimming pool.This however is not a tourist spot in any way !"
K_D_Singh_Babu_Stadium,Rasheedur Rahman Shihab,5.0 of 5 bubbles,Feb 2018 • Solo,Nice One,K. D. Singh Babu Stadium is one of the very few sports stadiums in Uttar Pradesh's Capital. It is also a famous landmark in Lucknow.
K_D_Singh_Babu_Stadium,Sandeep V,5.0 of 5 bubbles,Feb 2018 • Solo,Great,"The stadium was established in 1957 and it is located near the busy Hazratganj area of downtown Lucknow, in the heart of the city. it has a seating capacity of 25,000 and does not support floodlights for day night matches. The stadium is also the home ground for UP Cricket Team.[4] The stadium hosts domestic competitions regularly. Several International and national field hockey matches have been played here, now stadium is also used for domestic and few international cricket matches. The stadium is also sometimes used for association football games, like the District Football League matches of Lucknow. In 2012, the tournament was won by Sahara FC after defeating White Eagle Club. UP Policeand Sunrise Club made it to the semi-finals that year, at the Dilkusha Grounds."
K_D_Singh_Babu_Stadium,sun_abhay,3.0 of 5 bubbles,Feb 2017 • Family,OLDEST SPORT STADIUM OF LUCKNOW CITY,"Located in heart of city , the stadium is an iconic structure named after legendry hockey player Late  Sri K D Singh Babu ji, though it is a place of all kind of sports facilities but having poor maintenance and criticised for political interference and poor management. "
K_D_Singh_Babu_Stadium,PD1059,4.0 of 5 bubbles,Nov 2017,went to register my son in basketball in KDS Babu stadium,The staff is very cooperative and fee etc was deposited in SBI bank nearby. The coach Madam was extremely nice and was constantly working with players to improve their game. We nee many more stadiums in Lucknow like this
K_D_Singh_Babu_Stadium,Dryogendranath M,4.0 of 5 bubbles,Jul 2017,"Visit toK.D.Singh Babu Stadium, Lucknow",This stadium is the oldest sports complex of Lucknow situate in Hazratganj. National and International events are being organized  round the year.
K_D_Singh_Babu_Stadium,Vibhu S,5.0 of 5 bubbles,Apr 2017,this is centre of Lucknow city,"This is a very old place which of the name of KD Singh Babu Stadium authorised by UP government. This is having all type of sports like swimming , cricket,basketball, table tennis and etc"
K_D_Singh_Babu_Stadium,Stupid E,5.0 of 5 bubbles,Jul 2017 • Friends,Awesome stadium,Great Stadium for playing cricket. KD Singh babu stadium is in hajratganj. This is a Awesome  stadium for sports.
K_D_Singh_Babu_Stadium,rockzzM77,3.0 of 5 bubbles,May 2017 • Solo,Good for cricket practice,"This stadium is good for cricket practice, having experienced coach. Many boy's from city come here for cricket practice."
K_D_Singh_Babu_Stadium,agarwalshubhangi,4.0 of 5 bubbles,May 2017 • Friends,Nice stadium,It is a very famous stadium of Lucknow. A lot of sports can be played here. Its location is also accessible easily.
K_D_Singh_Babu_Stadium,Faraz,5.0 of 5 bubbles,May 2017,Nice Stadium For Sports Lover,Love to play cricket here and love to watch football and other games. This is a good stadium for cricket lovers.
K_D_Singh_Babu_Stadium,Rohit C,3.0 of 5 bubbles,Feb 2017,oldest stadium of city,it is the oldest stadium of the city named after famous hockey player K D Singh Babu. it has honored for the training of players like Mohd. Kaif and others. it has all sport lovers felicities but need more focus of Govt or other bodies for development 
K_D_Singh_Babu_Stadium,kalpajeetbhattachary,4.0 of 5 bubbles,Feb 2017 • Solo,"K. D. Singh Babu Stadium, Lucknow",K.D. Singh ‘Babu’ Stadium is named after the legendry hockey Olimpian K. D. Singh. He is known among sports persons as Babu saab.  This is the main stadium of Lucknow located in the heart of city near Hazratganj and very near to the banks of Gomti river. An  one stop place for sportsmen & sports lovers of the city. This stadium is famous for hosting international Hockey Matches &  the famous All India Sheesh Mahal Trophy & Sir Frank Worrel Trophy for cricket also. It’s a beautiful stadium with a capacity of around 25000 spectators.
K_D_Singh_Babu_Stadium,sujatapant,3.0 of 5 bubbles,Jul 2016 • Friends,"good stadium ,better maintenance would help","this stadium is named after the famed hockey player sh.k.d.singh .now it is a good center for hockey,cricket,swimming,t.t,kickboxing,and for training in physical fitness .parking is available .wish it was better kept."
K_D_Singh_Babu_Stadium,anupsingh2494,5.0 of 5 bubbles,Aug 2016,With My Team,Nice ground for Playing cricket we have match on that and we feel nice green grassy ground and pitch.
K_D_Singh_Babu_Stadium,Shubham Gupta,5.0 of 5 bubbles,Aug 2016 • Family,Nice stadium,"Last week i visited this stadium , it is big stadium , i like this place for spending time , and watching matches."
K_D_Singh_Babu_Stadium,Saurabh M,5.0 of 5 bubbles,Oct 2016 • Family,KD sing babu stadium,Name of this stadium is behind the hockey player Dhyan chand. it is located in hazrat ganj at the bank of river Gomti
K_D_Singh_Babu_Stadium,Dharmendra S,4.0 of 5 bubbles,Aug 2016,Nice stadium,Good stadium but not fit for international matches. My cousin brother used to practice in this stadium. I went in this stadium 4-5 times. 
K_D_Singh_Babu_Stadium,P N M,4.0 of 5 bubbles,Feb 2016,Very Good,It is situated near Clark Awadh hotel . It is the oldest stadium of Uttar Pradesh in Lucknow.It has Badminton Stadium also & Swimming pool.
K_D_Singh_Babu_Stadium,Manvendra77,3.0 of 5 bubbles,Dec 2015 • Solo,Good option in Lucknow for cricket,"K.D. Singh babu stadium in not very well suited to Lucnow, but good as compared to other stadium in city."
K_D_Singh_Babu_Stadium,DhirajJurno,5.0 of 5 bubbles,Jul 2016,KD Singh Stadium located in the heart of city,KD Singh stadium is the main stadium of Lucknow city located in the heart of city near Hazratganj and very near to the banks of Gomti river. A one stop place for sports lover of the city. Witnessed many national players playing around its field and nets. 
K_D_Singh_Babu_Stadium,Dev1972,2.0 of 5 bubbles,Aug 2015 • Family,Poor stadium,The place used to host some popular tournaments... was popular with cricketers.... but now it is in decay. Nothing of worth is conducted here
K_D_Singh_Babu_Stadium,Paras M,5.0 of 5 bubbles,Jun 2016,Great Place,Great place for cricket and different other sports its the heart of lucknow for sports lovers you can see a lot of rush in the stadium everyone playing at evening time
K_D_Singh_Babu_Stadium,Himanshu T,4.0 of 5 bubbles,Feb 2016,World Class Stadium for Cricket/Hockey,This place is famous for hosting international Hockey Matches. Though one test has been played b/w India nd Pakistan in the inaugural series between two countries
K_D_Singh_Babu_Stadium,josehanks,2.0 of 5 bubbles,Oct 2015,Sports meet,"No facilities like stadium should've, zero maintenance, football & cricket mostly played here, cricket coachin' also done here."
K_D_Singh_Babu_Stadium,ASTHA G,2.0 of 5 bubbles,Jun 2016 • Friends,Just a Satdium..,this is just another stadium in the town which stays in a poor condition and hosts only sheeshmahal trophy. 
K_D_Singh_Babu_Stadium,satyendrachauhanin,5.0 of 5 bubbles,Mar 2016,Main sports hub of Lucknow,"K. D. Singh Babu Stadium is the main sports hub of Lucknow, 25,000 Capacity of this stadium, It's located near Hazratganj."
K_D_Singh_Babu_Stadium,tamsil90,4.0 of 5 bubbles,Jun 2015,Great,The ground well maintained but parking is not available. They should install flood lights for night matches.
K_D_Singh_Babu_Stadium,joshi_rajneesh1,5.0 of 5 bubbles,Aug 2015,good,good for playing all games....like cricket football vollyball and many other game if you wanna to play or learn then you can
K_D_Singh_Babu_Stadium,Atif M,2.0 of 5 bubbles,May 2016 • Solo,stadium in the city,its  stadium in the heart of city. but not been maintained well. nothing much to see there. can be avoided.
K_D_Singh_Babu_Stadium,Rishabh K,3.0 of 5 bubbles,Sep 2015,nice stadium,I visited this only one time but if i get free time i will try to go here because it is a very good place to see sports.
