Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Karol_Bagh,Bhanu Pratap Singh,5.0 of 5 bubbles,Feb 2022,Best Street Market,"Karol Bagh is one of the most expensive places in Delhi. Karol Bagh market is a bit crowded but must visit place for shopping lovers. You can find amazing street shops to buy good quality products at a minimum price.  If you are going to Karol Bagh by your car, then this might not be a good place for you until you find a professional parking space nearby. In my case, I use PARK+ parking which saves a lot of my time and stress."
Karol_Bagh,Mohammad Arif Malnas,5.0 of 5 bubbles,Mar 2022 • Friends,Karol bag mondy maket,Karol bag is shopping hub in new delhi area chep and best rate avilble in kb market Karol bag is shopping hub in new delhi area chep and best rate avilble in kb market
Karol_Bagh,Ricardo Corvo,4.0 of 5 bubbles,Dec 2021 • Solo,Nice,Very good for cheap copy brands. Need to bargain but be aware that there are soMe fixed prices.For jeans try the tank jeans road
Karol_Bagh,wanderor1986,3.0 of 5 bubbles,Dec 2020 • Solo,crowded market,"always very crowded market , in the evening its more crowded. better to come by metro getting parking is difficult here."
Karol_Bagh,Hotel Ramhan Palace,5.0 of 5 bubbles,Jan 2020,central market about shopping,very famous in students as latest wearable dresses are available in cheap rates. it is up to you to deal. rich family ladies park their cars in parking zone and come here for shopping because you may get highest quality clothes at a very cheap rates.
Karol_Bagh,NafeeTA,4.0 of 5 bubbles,Jan 2020 • Family,Cheap shopping,"This is an excellent place if you're looking to get some shopping done at very inexpensive prices. The Karol Bagh market is right next to the metro stop, so it is easily accessible via metro from a range of destinations in Delhi. The market offers clothes, shoes, jewellery, street food and electronics. This is a must visit if you are living close to this area or close to any accessible metro station."
Karol_Bagh,SalimM,3.0 of 5 bubbles,Dec 2019,Shopper paradise of sort,"The famous Ajmal Khan Road is in this well known part Delhi. More pleasant and less maddening than Chandni Chowkh. The street is lined with shops selling clothes, electrical good, household goods, and plenty more. It is not crowded so you can enjoy the walk and meander onto the side streets. Lots of options for street food if that is what takes your fancy."
Karol_Bagh,Papun Mohanty,4.0 of 5 bubbles,Jan 2020 • Couples,The place to go to for any types of clothes be it branded non branded,"The market has meena bazaar, branded shops and mall alike. You get all types of stuff here including branded and non branded. There are lots of street vendors so you can put your bargaining skills to a test. I would suggest to take precautions as the market is crowded and you could be a victim of petty thefts. "
Karol_Bagh,JamieJW,4.0 of 5 bubbles,Dec 2019 • Family,Great Wide Shopping Street,"Nice shopping area right off the Karol Bagh blue metro stop.  Lots of shops and restaurants to choose from.  When we visited the market the area was not too crowded, giving us a chance to wander around the various alleys and shops.Had dinner at Kitchen With a Cause, nice idea and good food.So many shops to choose at this market and a total different feel from Chandi Chowk. Fun evening."
Karol_Bagh,Vinesh R,5.0 of 5 bubbles,Dec 2019,Nice Shopping Experience,"If you are looking for some nice bargains, and have time on your hands, please visit this market. You are bound to pick up some nice ones. Hone up your haggling skills to get the best deals. The variety on offer is really huge. My wife & I spent several hours in here, browsing & buying at leasure."
