Tourist Attraction,Name,Rating,Date and criteria,Title,Review
National_Art_Gallery,gupreen,5.0 of 5 bubbles,Aug 2019,Raja Ravi Varma and many originals,"For the art lovers, this place is a must go! There are several wonderful paintings, all original pieces! You can keep admiring at your peaceful length of time! Unfortunately the sculpted masterpieces are totally out of bounds for public. You have to admire them from the gallery above. But the paintings make up for this. The original British era paintings, modern art and above all - the original Raja Ravi Varma paintings!BTW, the entrance itself is passed by a structure so lovely and majestic with a beautiful door! Although, it is only the side building where the beautiful art pieces are located. There is a small collectibles shop. Also worth a visit if you are looking out for some steals. Overpriced though :)"
National_Art_Gallery,AURELIO L,4.0 of 5 bubbles,Dec 2019,it s a must,"i have no idea about how much rooms of this museum you will be able to see,the main problem is that so much rooms are closed and it s not possible to see them ,but this is an interesting museum where you will be able to see indian art "
National_Art_Gallery,MarkfromtheIsland,2.0 of 5 bubbles,Nov 2019,Review of the bronze gallery - main museum is closed,"So the main museum here is closed because nobody noticed the roof was leaking till all the art was damaged.  That pretty much sets the stage for why I rated this poorly.The bronze gallery has some beautiful work in it but it's marred by a total lack of care.The ground are all dug up for some renovation work.  That's understandable.  But dumping loads of gravel across the walking paths isn't.  Having a gallery with the air conditioning out and not expected to be working for 60 days isn't.  Allowing a large group of elementary school children to roar around screaming while other visitors are trying to see the sights isn't.  The display and display cabinets being full of dust both inside and outside isn'tGet it together here.  These are historical artifacts, not the contents of your aunt Karen't garage."
National_Art_Gallery,Karpagavalli,5.0 of 5 bubbles,Jun 2019,Has to improve the maintenance,The building was built by the British during their period here but now is a museum. The place is so vast with 6or7 building s each exhibits the old era products and sculptures and all.
National_Art_Gallery,KANewYork,4.0 of 5 bubbles,Mar 2018 • Couples,Local art,"Entry tickets can be bought adjacent to the main gate from where you enter. Different rates for Indians and foreigners. If you want to take pictures you can pay extra. The complex contains many buildings. Many were closed or in the process of renovation. The anthropology section was open partially.. just a couple of rooms on the ground floor displaying weapons. The highlight was clearly the Bronze gallery with some pieces dating back to the 9th century AD. Most are forms of gods and goddesses. The large nataraja or dancing shiva statue from Tanjore is the the one whose copies are sold everywhere in India from small trinket sized to large show pieces. No photography was allowed in here.The complex has lots of shade from a large number of trees, so it’s relatively pleasant walking in here as compared to the city streets."
National_Art_Gallery,Nigel G,4.0 of 5 bubbles,Jan 2018 • Solo,Nice Selection of Art,"The National Art Gallery is within the National Museum compound. I was thoroughly confused here when I arrived regarding the ticketing and by the advice given by my driver. You buy your ticket at the ticket office. There is NO ticket for the National Art Gallery - it is only a National Museum ticket which covers all six houses of the complex. That's the first mystery solved. Second - why do I need to go to Gallery 1 - Mogul Architecture if I want to see the art - that's because you need to activate your ticket there and if you want to buy a camera pass that's where you get it from for R250. Now you are free to go anywhere and in any order. Did unit 1 as I was there then moved the the Art Museum in building 6. It's very messy as there is much renovation going on. You are told to disregard the no photography signs if you have purchased the camera pass.Arrived at building 6 and the lower floor was all about handicraft and models etc. True art on the two upper levels. I had heard this Museum has an excellent presentation on holograms which is on the 2nd floor but unfortunately this was closed. So the art collection - as you enter some examples of officials of the British Colonial Administration. Not of much interest to me. Moving on nice ethnic art of all sorts. You can see the influence of Picasso for example in works by Narasimma Murthy - very impressive. Excellent portrait of Gandhi by KV Vaidayanathan - Father of the nation - a great tribute. Some mogul art paintings . Excellent collection but less than excellent lighting. As it goes, not too many attendants in the museum so I chose to alter the lighting if I wanted to take photos - of course returning it to the original position afterwards. Excellent collection. - disappointed upper floor was closed but I guess it was being renovated. Book shop in buildings 1 and 6. Parking - anywhere you can find. "
National_Art_Gallery,Travelbug291,5.0 of 5 bubbles,Oct 2017 • Solo,Well Worth a Visit,"A somewhat confusing place if you didn't have a guide to direct you. Several galleries, the most fascinating of which was the Bronze Statue Gallery. Interesting to see the same deities interpreted from different ages. Photography is limited in some areas which is disappointing."
National_Art_Gallery,Amjith S,4.0 of 5 bubbles,Jul 2017 • Solo,Many titles should be given to the different buildings which house different things for different ages too,I reached there by an ola cab the driver was very interactive when i told him my drop in spot he asked me there  is nothing much to see over there. But i didn't lose my hope i took a pass and actually I was unaware of where to go I wandered there finally I spot a sign board showing direction I entered the first building and I thought its over but it wasn't there are many such buildings I feel hard to find those its better to go with our friends because we get bored watching all those stuffs which should be understood. there photography is prohibited but I managed to take some.
National_Art_Gallery,Partha C,4.0 of 5 bubbles,May 2017 • Couples,Must see place in Chennai,"It is within Government Museum, separate building.   Huge collection of paintings, Art work, Sculptures. It is a must see place in Chennai."
National_Art_Gallery,Nuno V,4.0 of 5 bubbles,Feb 2017,Wonderfull Surprise,In a very large city with not so many cultural and art interests the National Art Gallery is a wonderful surprise (even if many of the collections awere closed). Bronze sculpture gallery is fantastic!
