Tourist Attraction,Name,Rating,Date and criteria,Title,Review
St_Paul_s_Cathedral,iti_94,5.0 of 5 bubbles,Dec 2022,majestic white structure,"This is a must visit so decided to visit it on 24th morning ,went inside and sat for a few moments.The inside is full of information .There is nice parking inside for a fee of Rs 50.we had a nice time visiting the cathedral"
St_Paul_s_Cathedral,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Spectacular,"Located across the Birla Planetarium, the Cathedral is the seat of the Diocese of Calcutta. The cornerstone was laid in 1839, while the rest of the building was completed in 1847. Said to be the largest church in Kolkata and the first Anglican cathedral in Asia, it was also the first new-built cathedral in the overseas territory of the British Empire. The edifice stands on Cathedral Road on the ""island of attractions"" to provide for more space for the growing population of the European community in Calcutta in the 1800s. The architectural design is ""Indo-Gothic"", which is a Gothic architectural style designed to meet the climate of India. Following the 1897 earthquake and the subsequent massive earthquake of 1934, when Calcutta suffered substantial damage, the cathedral was reconstructed to a revised design. The cathedral complex has a library, situated over the western porch, and a display of plastic art forms and some other memorabilia."
St_Paul_s_Cathedral,David M,4.0 of 5 bubbles,Nov 2022,Interesting,"Not as grand as the great cathedrals of Europe, but still a good example of Victorian churches including the stained glass picture windows. Much different to most of the buildings in india. "
St_Paul_s_Cathedral,shaveta,4.0 of 5 bubbles,Oct 2022,serene & well maintained.,you can club this with victoria memorial & birla planetorium as they locaed next to each other. enjoy some street food outside. english show at 6 pm at birla planetorium is the last show of the day. you can also buggy rides from victoria memorial at late evening/night.
St_Paul_s_Cathedral,KNKD,5.0 of 5 bubbles,Aug 2022 • Couples,"Quiet, historical and reverential.","Just across from the Victoria Memorial this was one of my favourite places in Kolkata. Separate sections for men and women are available for those wishing to sit and supplicate in the quiet grandeur of this beautiful church. Memorial plaques around the church  (inside) of passed on parishioners are endearing. There is a little stand outside the church from where one could pick prayer books, mugs etc."
St_Paul_s_Cathedral,Let's Go Sightseeing,5.0 of 5 bubbles,Jul 2022,Magnificent!,"Saint Paul’s Cathedral is an Anglican Church & was the first of its kind within the erstwhile British territory, outside of Great Britain. The cathedral was damaged twice in earthquakes.Lighter bricks were used to build the Cathedral but these bricks also could withstand extreme temperatures & natural disasters. After paying an entry fee of INR 10, I walked down to the white facade which looked absolutely magnificent.The moment I laid my eyes on the tall structure, my jaw dropped at its surreal appearance. The interior has a high ceiling, carved pews, frescoes & reliefs. A number of the memorial reliefs were dedicated to soldiers & officers of the British Army who had fallen in the two World Wars & other battles.Seeing the chiselling of marble done so finely was a treat to my eyes. I wish I could have clicked a few pictures but photography was prohibited inside."
St_Paul_s_Cathedral,maddy,5.0 of 5 bubbles,Dec 2021 • Solo,The white church in the crowd,The architecture is fantastic standing tall among the high-rises and the race track . Though I went before Christmas the people were busy making wrapping paper and floral decorations. I made some quick sketches of the front and back area . The church organ is melodious and well kept. Go and visit art lovers.
St_Paul_s_Cathedral,Anjan Sengupta,4.0 of 5 bubbles,Mar 2021,Leagcy left by the British..,This Cathedral was built by the British as the first Cathedral built in their overseas territory more than 150 years agao. This Cathedral still carries that legacy and you can sense the same in its magestic architecture and the peaceful evironment around it. This is located in the heart of Kolkata just adjacent to Birla Planaterium and a must visit if you have 3-40 minutes.
St_Paul_s_Cathedral,Sivakumar Sethuraman,4.0 of 5 bubbles,Sep 2021,Calm & quiet and volumes of history,"Went on a Monday morning. Entry is Rs 10. It was very calm & quiet and extremely well maintained on the side. Sad that they didn't allow to sit down and pray quietly, but allowed to stand however long you wanted. "
St_Paul_s_Cathedral,sanju_222323,4.0 of 5 bubbles,Apr 2021,a glimpse of old civilization and architecture,"It is very easy to find this church as it is located near the Victoria Memorial, another prominent landmark in Kolkata and just beside Birla Platnorium.beautiful architectural church in Kolkata and is famous for its Christmas midnight mass. It is one of Kolkata’s most beautiful churches and sees thousands of visitors every month. The construction of St. Paul Cathedral of Kolkata began in 1839 and was completed in 1847 at the southern end of the Maidan.It took eight years to build the Cathedral and cost almost five lakhs to build. From homes to shops, a glimpse of old civilization and architecture can be seen even today. Even today many buildings here carry the signature of Gothic, Baroque, Roman, and  architectural style"
St_Paul_s_Cathedral,Bhaskar_10,4.0 of 5 bubbles,Feb 2021,Landmark Area,"Visited on 11th Feb 2021Placed in a landmark area with Birla Planetarium and Victoria Memorial in walking distance this is a must visit place.History and the place gives you the a feel of its time.Maintenance has scope of improvement.A picture place for photographers both during day time and evening, this is a must visit place.There is an entry fee of INR 10/-- to enter the cathedral while for outside park access it is free."
St_Paul_s_Cathedral,The Shots Of My Life,5.0 of 5 bubbles,Mar 2020,"Magnificent Cathedral, an epitome of peace","Located at the heart of the city, the cathedral is a magnificent colonial style structure. The white walls, the coloured glass windows and the Indo-Gothic architecture makes this place one of the most visited ones on a trip to Kolkata. The mass halls and the altar is peaceful and one can enjoy a little slice of solitude here. The gardens are well maintained and the complex also comprises of a library and some museum artifacts.If you want to know more about some magnificent places in Kolkata, check out my blogs on Kolkata. Link to my site is given on my profile."
St_Paul_s_Cathedral,Barbara A,4.0 of 5 bubbles,Jan 2021,A great architectural structure,This place is a great architectural structure with a European feeling. The space is corded off so there was no place to say prayers.
St_Paul_s_Cathedral,Mander Mukherjee,5.0 of 5 bubbles,Dec 2019 • Family,Magnificent Church ,The St. Pauls Cathedral is one of the most important tourist landmarks of Kolkata. An important place of worship for the Christian community of the city was built by the British in the 19th century. It has a large compound with gardens. 
St_Paul_s_Cathedral,sucharitadaslbc1,4.0 of 5 bubbles,Dec 2019,Nice Place,Nice place to visit there with friends or family members.There atmosphere is very good to visit there.
St_Paul_s_Cathedral,Arun K,4.0 of 5 bubbles,Dec 2019 • Couples,Stunning Gothic Cathedral !,"The stunning gothic cathedral built in eighteenth century to accommodate Calcutta’s growing European community that time , is the largest in east India. With intricate architecture, glass windows & turrets, the church is considered as city’s most beautiful cathedral. For visitors, some souvenirs are available in a gift shop at the exit gate of church .Awesome structure, Worth visiting ."
St_Paul_s_Cathedral,ShallineeR,5.0 of 5 bubbles,Feb 2020 • Family,Historical Church,"Although the church is a little old and may need some restoration, it is immensely beautiful and calming. Take your time to read about the church and its history when you step inside. Lovely. "
