Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Bandstand_Promenade,ankur kandoi,2.0 of 5 bubbles,Oct 2022,bandra banstand,"we did not like this place..it was very very dirty..the place is not well maintained.. else, its a beautiful place.."
Bandstand_Promenade,Ganesh_R,2.0 of 5 bubbles,Jun 2022,Crowded and downmarket,"It may be great place for locals, but its crowded, dirty and avoidable. If you have been to beaches dont venture here as its rocky."
Bandstand_Promenade,Yogesh L,4.0 of 5 bubbles,Jan 2022,Good place to hangout,Good place to hang out - lot of people come with family and flock the place specially in evening it gets crowded.Can enjoy cool breeze of the sea.
Bandstand_Promenade,Sandy_JSR,4.0 of 5 bubbles,Feb 2021,Popular Hangout Place,"The Bandstand Promenade, also known as Bandra Bandstand is around 1 kilometer long walkway along the sea on the western coast of Mumbai, in the neighborhood of Bandra. It is a popular hangout spot, a jogging track and a park. Bandstand is a popular tourist destination in Mumbai and surrounded by nearby residence of several Bollywood celebrities. There is hardly any sand beach here, instead the sea is full of rocks, which is visible during low tide. The place is visited by several tourists and locals for hangout and hence lively."
Bandstand_Promenade,dr ganapathi bhat,4.0 of 5 bubbles,Jan 2021 • Family,""" Good view""",Grand area. Long stretch. Nice beach. Quite safe. Small eateries. No entry fee. Posh area. Several film superstars on the other side. Go in the evening before 8 pm 
Bandstand_Promenade,MOHD MOHSIN,5.0 of 5 bubbles,Jan 2020 • Friends,Bandstand  :- Mumbai ,"Bandstand is very popular place in Mumbai, Maharashtra IndiaIt's situated infront of Bollywood Superstars Shahrukh khan House (Mannat).People from every corner of Mumbai visit here to enjoy the moments, Bandstand is lover point of Mumbai.It's now landmarks place in Mumbai. This place always occupied with Tourists who gather to see Shahrukh Khan."
Bandstand_Promenade,Ratul_Neogi,5.0 of 5 bubbles,Dec 2019 • Solo,Finding solitude,"The coffee shop on the promenade gives an amazing view. I can spend hours sipping coffee and reading a book. Sometime early morning is a great, before the crowd comes in during the day."
Bandstand_Promenade,mbalajicool,4.0 of 5 bubbles,Jan 2020,breathtaking bandstand,"The place is very beautiful to take a stroll in the early mornings and evenings.  the place is well maintained and it gives you real peace of mind and bliss.  it gives you a WOW FEELING.  a must place to visit during your Mumbai visit,"
Bandstand_Promenade,Anika S,3.0 of 5 bubbles,Dec 2019 • Friends,"Not very clean ,though quite popular.","Bandstand is a popular hangout for students ,locals and tourists.The celebrity houses are an attraction.Taj Lands end is also located nearby.Personally I found it quite dirty and there was a stink also .I was wondering how they have not managed to clean it up till now with so many famous people staying nearby.However it is a picturesque place with a nice view of the sea ,in December the evening was quite pleasant.I think Marine Drive is much better and clean ."
Bandstand_Promenade,Celia G,3.0 of 5 bubbles,Nov 2019 • Friends,Morning stroll ,"If you are staying in Bandra, this is a nice boardwalk along the beach for a walk. Many beautiful plants along the way. Locals washing in the ocean water. Some impressive mansions on the beachfront. "
