Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ranganatha_Temple,Cyrus,5.0 of 5 bubbles,Jul 2022,One of best Balaji Temple in Chennai ( local name ranganatha perumal temple ),"Very nice place in hill top. No road till top but not too many steps to take.Very good place to visit, I am not orthodox kind of person still I like this place very much as its on hill top. This place is little far from regular Chennai traffic and not very far from city as well.This place have two Balaji temples, one is at bottom and other one is on hill top and the hill top one called as ranganatha perumal temple."
Ranganatha_Temple,@TraveLover,4.0 of 5 bubbles,Jul 2022 • Friends,Very nice dharshan at hill top,"Very enchanting and a mountain view of nice landscapes around western side of Chennai. On the mountain Shri Ranganath Swami give dharshan in a reclined position. Aadisheshan bed and at foot side he has boomadevi, mahalaxmi and Brahma at top. Feel like seeing him again and again. But you need to do hiking of around 150 steps. At the foot hill we have another temple where thiruneervannar. One of the speciality here is all type of perumal, nindra perumal - Thiruneervannar. Kidantha perumal-st the top of the hill. Amarntha perumal- narasimha perumal at the side of top temple."
Ranganatha_Temple,Bala Tripura S,4.0 of 5 bubbles,Jul 2019 • Solo,Twin temples of Lord Vishnu,There are 2 temples in this place.First one is neeravarna perumal temple at the bottom of the hill where Lord vishu idol is in standing position.There is a separate temple for Goddess.Other is on top of the hill where Lord vishnu is worshipped as ranganatha and idol is in sleeping posture.We need climb at around 200 steps to reach the hill
Ranganatha_Temple,Karpagavalli,5.0 of 5 bubbles,Apr 2019,vishnu temple,The village is near chennai and is at foot hill of tiruneermalai.there is a temple at the foot of the hill and also one uphill which is easy to climb and a view from the top is mindblowing
Ranganatha_Temple,Narayanan V,5.0 of 5 bubbles,Mar 2019 • Family,Thiruneelamalai--A Great Tetra Avathar,"The village of Thiruneermalai near Pallavaram is important to Vishnu devotees as ancient temples of this deity are located here.. It is also called as Nadu Naatu Srirangam and is one of the 108 divyadesam.At the base of Thiruneermalai hill is a temple for  Neervanna Perumal who is in a standing posture. The temple atop the hill which can be reached by climbing about 250 steps, and many elders also climb with spirits easilyThe main one is for Lord Ranganatha, reclining on the serpent Adisesha and facing South with  Sridevi and Bhudevi  Thayaars near the feet. The other deities on the hill-top are  Trivikrama (seen in the walking pose), Narasimha (in the seated posture) and Goddess Lakshmi, enshrined as Ranaganayaki Thayar, the consort of Ranganatha.In the base temple there is a slogan "" Narayanan ingu ninraan irunthaan nadanthaan kidanthaan"" implies Lord vishnu lives here in four poses.An important feature of Thiruneermalai is that Vishnu is seen here in four poses — standing (as Neervanna Perumal), seated (as Narasimha), reclining (as Ranganatha) and walking (as Trivikrama or Ulagalanda Perumal). While the procession deity (utsava murti) in most Vishnu temples is generally worshipped in front of the main idol, in the hill-top shrine, only the large central deity is seen and His processional idol Azhagia Manavalar is inside the temple at the foothills.Moolavar (Nadandhaan) – Thrivikraman ( Vamana) seen in standing posture facing east.Reminding the Vamanavathara (Dwarf incarnation), the Lord is in the walking order asking where to place his third step after measuring all the worlds in two steps . The left leg is lifted up to shoulder level unlike in Kanchipuram and Tirukoilur where it is the right leg lifted to 90 degrees .Moolavar (Irundhaan) - Saantha Narasimhan seen in seated posture facing east.Considering the appeal of boy Prahlada who was afraid of his fury, the Lord appears in a calm and pleasant mood as Shantanarasimha and also as Balanarasimha. (There is a small moolavar with prahaladha kept in front of the main lord about 1 foot tall) The lord is welcoming bhaktas with the left hand and the right hand shows abayam Yesterday when I visited the temple there was chariot pulling of Neervannaperumaal along the neighbouring streets.People celebrate this event welcoming Neervannaperumal by decorating their house front side with Rangoli along the streets.The local residents celebrate the event with light music and giant speakers renting the air.This temple is a divyadesam and also a swayambhu kshetram.I noted this event in my calendar with a hope to visit the temple again next year on the same day. You can also see lot of flights flying very close to the hills."
Ranganatha_Temple,Karthik R,4.0 of 5 bubbles,Feb 2019 • Family,Divya Desam temple,"Shri Rangantha Temple at Thiruneermalai is on the 108 Divya Desam temples. The temple has 4 sanctums of Lord Vishnu as Perumal. One in the base of the hill and 3 over the hill in 3 different postures - Standing, sitting and reclining positions. It takes around 1 to 1:30 hours for relaxed visiting of all these sanctums, climbing up the hill and down. The steps are not so steep and elders can climb with patience.Parking area is available without parking fee. Small shops are available all around."
Ranganatha_Temple,SubashSL,4.0 of 5 bubbles,May 2018,A Divyadesam you cannot miss,"At the outset let me inform that you need to visit the temple at the bottom of the hill (Neer Vanna Perumal, Nindran (standing pose) before climbing the hill to visit the ""Svayambu Shrine"" (reclining pose) where you'll also see the lord in Irundan (sitting), Nadanthan (walking) and Kadandan (crossing) poses. The temple is easily accessible from the GST Road near Pallavaram. Actually in Google Maps it looks very close to the Kundrathur Murugan temple too and so you can plan to visit both these temples in one go. The steps aren't many or very steep but do carry water as they can run you out of breath, particularly in hot summer. Watch out for monkeys though they aren't much of a bother here at this temple. On Sundays the temple is open for longer durations than other days. "
Ranganatha_Temple,Sivalingam Sankar,5.0 of 5 bubbles,Dec 2018 • Family,Thiruneermalai Ranganatha Neervana perumal,"Visited this holdy divya desam in chennai, have to take left in chrompet pallavaram flyover parallel to new chennai silk road to Thiruneermalai road. You can see the hill temple where ranganathar recide. This temple is of 2 parts above the hill is ranganthar with 2 devis in lying portion (kidantha kolam), in inner sutrupraharam you can see thiruvikramar with 2 finger showing 2 measure and one hand with 1 finger asking another measure for mahabali. Very divine sculpture, another rare sculpture is narasimhar(sitting posture-eruntha koolam) with 2 hands and calm posture. After visiting hill temple can see the below neervana perumal temple, where there is standing porture(ninra koolam). You can plan to visit in a calm rush free days. During month of karthigai till vaikunda ekadesi the idols are kept with partial close since they do thailakappu."
Ranganatha_Temple,plpalani,5.0 of 5 bubbles,Dec 2018,Divya desam,"This temple is in two parts. There is one Perumal temple at the foot hills of the small hill.. here apart from thayar, Ramar and Andalusia Sannidhi are also there.While climbing the hill just after few steps there is Hanuman temple. On the hill top Perumal gives darshan in three posture... lying, standing and sitting.One of the 108 Divya dreams."
Ranganatha_Temple,harleen_sethi,5.0 of 5 bubbles,Oct 2018 • Family,Holy place to visit,"Ranganatha Temple is an amazing Hindu temple in Thiruneermalai, a suburb of Chennai. Please visit for peace and calmness of mind. You will feel the holy presence of god and abundant blessings.A brief intro as told by the template priest: Sthalathipadi (presiding deity) is Neervanna Perumal, all utsavams (Celebrations) are for Lord Ranganatha. The complex is in two parts one at the base of the hill for the Staladhipadhi Neervanan (Ninran-Standing Posture), housing shrines of his consort Animamalar Mangai thayar, Kalyana Ramar and Andal. Shrine for Anjaneya (Hanuman) is to the right as one climbs up to the hill shrine. The temple complex up the hill has three shrines for Lord Ranganatha (Kidanthaan – in reclining posture), Trivikrama (Nadanthaan – in walking posture), Lord Narasimha (Irundhaan - sitting posture) and a Shrine for Ranaganayaki Thayar (facing East). It is a double prakaram(outer courtyard) temple. The Garuda shrine faces the Lord. The view from the top of the hill is wonderful."
