Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Juhu,MOHD MOHSIN,5.0 of 5 bubbles,Jan 2020 • Family,Juhu Chaupati ,"Juhu Chaupati and Juhu beach is same.Juhu Chaupati where you get so many food stall and this food stall serves so many delicious food like Pavbhaji, Chowmein, Pizza, Pani-puri, Sevpuri, papri Chat, Ragda Patti, faluda, kala khatta, and many more.Usually people visited to Juhu Chaupati to feel relief from hectic schedule or work & enjoy evening with family and taste out some delicious Street food. I visit with family and I tried out pani-puri, dahipuri, chana masala, 3 types of faluda, Pizza, Hakka noodle, Pavbhaji & sweet (Meetha) Pan."
Juhu,David D,4.0 of 5 bubbles,Mar 2020,Good place to visit,"We booked to stay 3 nights, in Juhu Beach from 3rd to 6th of March, at Treebo Tryst Royal Garden.We chose to stay in Juhu for its proximity to the Airport, less than 20 minutes away. Also a short tuk tuk ride to Santacruz where we picked up the train to Chatrapati Shivaji Terminal (CST) in the heart of Mumbai. Only 20 Rupees, return and 35 minutes away.There are a number of interesting features around Juhu, the Chatrapati Shivaji Monument, the Gandhi Statue, the Mermaid statue, Friends Cross Juhu Shrine and Juhu Beach.The Food Stalls on Juhu Chowpatty are renown for their delicious street food.During on stay we had dinner in different styles of restaurants, Tap Resto Bar, Grandma's All Day Cafe and Aroma on the Rocks Restaurant. There was a good Starbucks, on Tara Road, about 15 minutes walk from our hotelThere is a small Airport by Juhu Beach, small aircraft and helicopters could been seen arriving and departing.We also visited Bay View Bar (Citizen Hotel), overlooking Juhu Beach, for a beer and to watch the Sunset.All of the restaurants, attractions and other items mentioned in this review are reviewed separately on Tripadvisor."
Juhu,Hitesh S,4.0 of 5 bubbles,Sep 2019,Sand Beach,"very nice to see sun set, walk, jogging, walking, big beach, no sea sport activity, sea is not good for swimming for longer time, nice to spend time."
Juhu,Nikhil P,4.0 of 5 bubbles,Sep 2019,One of the most famous areas in Mumbai,"One of the most popular areas in Mumbai ,and expensive one too. It is home to famous landmarks of Mumbai like Prithvi theatre,  Iskon Temple , juhu chowpaty,etc. Indian Cinema’s super star Amitabh Bacchan also resides at Juhu. It’s a must visit place for anyone coming to Mumbai.  More importantly its one of my favourite places for early morning runs ."
Juhu,Pratik1310,5.0 of 5 bubbles,Dec 2018 • Couples,Childhood memories,Juhu is the place we used to visit from childhood.  Best time to visit is during morning and evenings.  Nice breeze to njoy the walk.  En route visit Amitabh bunglow as well which is a very famous landmark.  Have some chat on the beach and just relax.  A must visit. 
Juhu,Cosmopolitan816716,4.0 of 5 bubbles,Apr 2018 • Solo,Another time a great visit,I like this place very whenever I come here I stay in the Juhu Hotel which is recommended for everyone. I surely visit the Juhu beach.
Juhu,Manish B,5.0 of 5 bubbles,Sep 2018 • Solo,Amitabh Darshan @ Jalsa,"The Legend of Legends, Shri Amitabh Bachchan, comes out at his Jalsa Gate in the evening around 5:30pm to 6:00pm for few seconds every Sunday if he is in Mumbai."
Juhu,Rekha C,5.0 of 5 bubbles,May 2018,Juhu,"Juhu has many places of attraction including beach,ISKCON temple,many bollywood film stars live in this place."
Juhu,rvpmumbai,3.0 of 5 bubbles,Apr 2018,Beautiful Area - Average Beach.,Beautiful Suburb of Mumbai. Beware -- on weekends it gets extremely crowded. Nice long beach - but cant handle the crowds--weekends avoided. The beach is cleaned twice a day -- but alas - poor civic sense prevails much like all tourist spots in our City !!
Juhu,Mr. Himanshu Sinha,5.0 of 5 bubbles,Apr 2018 • Family,"Very Posh, Clean and very very Beautiful","This area is always taking money, One of the posh area in Mumbai, the house of many Bollywood Superstars.You will see many stars roaming here, This place is very very clean, I like the place a lot.From here the view of the beach is awesome, you go and see the sunset. OMG it's so beautiful, I fell in love with this place."
Juhu,Brit07,4.0 of 5 bubbles,Dec 2017 • Family,Juhu Beach - A Surprise Element,"In earlier years whenever I visited the beach of Juhu, I found it filthy, stinking and dirty. But surprise awaited me when I was there in December 2017. It so reminded me of my childhood days with its cleanliness, stalls in a better shape with hygiene maintained. I had given up visiting the place because of its filthiness but now, would definitely be revisiting often."
Juhu,cool_satchmo,2.0 of 5 bubbles,Sep 2017 • Friends,Crowded and filthy beach,"Juhu beach used to a beautiful stretch of sand in the good old days. It is now overcrowded, especially in the evenings and on the weekend. Also the water is quite polluted and not recommended for swimming. The beach also tends to have a lot of litter strewn all over. Therefore, avoid visiting here"
Juhu,SarfarazSyed,4.0 of 5 bubbles,Oct 2017 • Couples,"Where land, sea and Sky meets","Juhu beach is much sought after tourists attraction in Mumbai and corporation is doing everything possible to keep it clean.Evenings are pleasant and you may spot a celebrity or two. A walk along the beach is desirable but you may come across filth, stench and garbage as Mumbai throws its rubbish in sea.The place has no. of eateries but be careful as you gotta have strong immunity to withstand the bacteria. Mumbai has learnt to deal with it, seldom you hear falling sick of this food.With all that said, how can you not visit Juhu. This shows you the spirit of Bombay which lets you to be yourself in the maddening crowds, the sound of sea and breeze that lets your imagination fly higher and higher. "
Juhu,vinayraichur,4.0 of 5 bubbles,Feb 2017 • Couples,Posh area,One of the most posh area of MumbaiMany celebrities stay in JuhuMany hotels and lounges are there in Juhu facing the sea.
Juhu,Ed S,5.0 of 5 bubbles,Jun 2017 • Business,Best area in Mumbai ,"I used to stay in colaba but after having bad experiences with some hotels and because colaba is slightly far from where I work, I decided to stay in Juhu. Juhu beach is pretty, many good restaurants clubs shopping and malls are around. Juhu is also near airport to avoid traffic. I find Juhu is the best area for business people in Mumbai. "
Juhu,nikhilfoodiee,5.0 of 5 bubbles,May 2017 • Friends,beache !!,Juhu beach is the best place to hangout with your friends and family ! The best time to visit is in evening especially.Most of the crowd you will find on friday and saturday. Do check out the eatery shops located on the beach.
Juhu,Prem D,5.0 of 5 bubbles,Apr 2017 • Friends,Outstanding cafe BBC,"One of the best cafe in town,good food with great smiling service,tacos was the perfect selection by the server Rahul,this place is always busy,friendly service we love to be at this place "
Juhu,268yusufn,4.0 of 5 bubbles,Jan 2017 • Friends,JUHU,"Its always awesome to visit juhu area anytime of the day. Juhu is at his best. I love beach and the area is surrounded by many awesome restaurant, Coffee shop and Ice cream shop etc . No can forget about  Sir BIG B Bungalows. Its one of the posh area of Mumbai."
Juhu,brijeshmh,5.0 of 5 bubbles,Dec 2016 • Friends,Cool place!,"It's really a cool place to be in Juhu scheme or Juhu beach. There are a lot of beautiful bungalows & houses in Juhu scheme. There's a lot of greenery too. On Juhu beach there are a lot of stalls like pav bhaji, ragda pattice, dosa, Idli, gola, ice cream & hawkers selling channa zor garam, chatpata chana & nariel pani (coconut water). It's a treat to walk on the beach alone or with friends or a romantic walk with your spouse. There is a belt of 5 star & 7 star hotels next to the beach. A must see place for visitors."
Juhu,thatzamit,4.0 of 5 bubbles,May 2016 • Friends,Nice,"One of the busiest area in Mumbai. Very good restaurants are present here. Often crowded, this place is worth visiting."
Juhu,jojo,3.0 of 5 bubbles,Sep 2016 • Family,Restoration and redevelopment of Juhu and  Beach,"One of the posh localities of Mumbai with beach, hotels, temples, airport, gardens and celebrity residences  has become congested and  lost its natural beauty due to commercialization. It is better to note the planned efforts of restoration and redevelopment  of the beach  to keep clean ensuring the  public with  refreshing air and  natural environment."
Juhu,Sulaiman,4.0 of 5 bubbles,Aug 2016 • Solo,Good enough,I visited this area many times. It is good and have some things to do. The bad things about it is disorganizing and crowd in addition to cleaning
Juhu,Rajveer Raju,4.0 of 5 bubbles,Jul 2016 • Friends,Hiking Holiday,"First time visiting this place we can all enjoy fresh air, fresh water, enjoy the benefits of being outside and seeing wildlife."
Juhu,percyvakil,3.0 of 5 bubbles,Apr 2016 • Solo,Residential area by the sea,"Many years ago Juhu was different. Cottages and bungalows by the sea and relatively quiet.Now it's a crowded residential area. There are still a few of the old bungalows, though many have given way to apartment blocks.Juhu has a few good hotels and restaurants in the area and of course the popular Juhu beach (not the ideal swimming beach though). The beach and it's vicinity get very crowded on the weekends."
Juhu,Swetha P,4.0 of 5 bubbles,Feb 2016 • Friends,Beach,The review here is only for the food which we get on the beach. The chat : pav bhaji was excellent and the Gola was amazing as well. Forget the hygiene for a bit and jus go for the food.
