Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Fort_William,pilgrim_gsa,4.0 of 5 bubbles,Nov 2022,A peep into the British Era Relic of Kolkatta's Gem,Kolkatta's Hidden GemIt was a memorable historical visit going for a heritage walk tour in Fort William organised by the Eastern Command that takes you on a guided tour to the permissible areas within the fort .The walk is brilliantly led by an army man giving description of the historical places within the fort .Highly recommended ...the walk organised every Sunday Mr.Kunal Guha who assists in this walk be contacted :98308 81885Not to be missed for history buffs .Apart from the British era relics there is Vijay Samarak commemorating Indian Soldiers who died in  various wars led by  the Eastern Command.We need to pay respects to our fallen soldiers who never returned home .
Fort_William,rayrest,5.0 of 5 bubbles,Apr 2022 • Couples,Mountains galore,Great base for the ben nevis mountain range or just a hike or two. Wherever you seem to look there is a mountain. Plenty of attractions to see as well. 
Fort_William,HappyTraveler,5.0 of 5 bubbles,Mar 2022,Fort William,"This place is not open to tourist, its the eastern command headquarters. Militarized area. only service personal have access."
Fort_William,Parwathi H,4.0 of 5 bubbles,Jan 2020,Fort William,Fort William is basically the old fort constructed by the British. However now it is the name given  to the general area where the Army is stationed. We visited the old fort and found it interesting with many vintage cannons on display.
Fort_William,Saurabh Karmakar,5.0 of 5 bubbles,Feb 2020 • Solo,Vacation,Travel through history. The fall and rise of Bengal. Lots of historical data stored in one location.
Fort_William,Mrudula,5.0 of 5 bubbles,Apr 2019,Fort of Kolkata,"Fort William is a fort built in Kolkata and this was named after Fort William III, it depicts the early age of British "
Fort_William,cdrdixit,5.0 of 5 bubbles,Sep 2019,a peep back into the days of royalty,"Managed to drive around the historic Fort, which must have been the pride of yesteryear's, must experience places. The stay in the old colonial style of majestic constructions, wide aisles, high roofs, solid structures and fabulous architecture is undoubtedly beautiful ."
Fort_William,Smudge McLean,1.0 of 5 bubbles,Oct 2019 • Couples,Fort William is horrible,Visited Fort William today with my husband and dog. High street is awful. None of the cafes are dog friendly. We could only find one pub that was dog friendly. Had decent coffees but their nachos at about £6 were appalling. Very small and everything was out of a tube. Views are lovely but will never visit the town again
Fort_William,Gp Capt R K D,4.0 of 5 bubbles,Dec 2018 • Couples,Memorable,"Visited Fort William with my family and relatives.Fort William has a number of remarkable historical sites. The Fort is well maintained by the Army. Apart from numerous guns, cannons there are a number of buildings which have a grand architecture. The Library now was erstwhile St Peter's Church.Kitchener House is a worth while visit. The Museum has a vast collection of medieval and  modern war history exhibits."
Fort_William,Amolak Rattan K,5.0 of 5 bubbles,Dec 2018,One of the oldest and best maintained forts,This is now headquarters of the Eastern Command of the Indian Army. The place is well maintained and witness to many historical events for the last over two centuries. A must visit destination for any tourist and visitors to Kolkata.Governor Amolak Rattan Kohli 
