Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Elephanta_Caves,Acineto,5.0 of 5 bubbles,Jan 2023,Interesting History,"The boat to Elephanta is located directly behind the Gateway of India in Colaba. I brought my ticket in line while waiting for the boat. I came quite early on a Sunday morning (0930) so it wasn't too busy at the wharf or on the island. The boat ride was interesting as people were feeding the gulls but was quite long, about an hour.A wasn't planning on getting a guide when I arrived but one latched onto me. It cost 3000 rupees for the tour. The entry into the village and into the caves was on top of that, about 600 Rupees total. There is a toilet in the village which also was paid.I probably would have enjoyed walking around by myself to explore the island without the guide. However, having him there was interesting since I was able to learn about the history of the island and the caves. I was also able to learn more about the culture and the meanings of the different carvings inside the cave. There are monkeys on the island so be wary in case they snatch things from you. I also did learn that they close on Mondays to that the island villagers are able to stock up for the week. I was also informed that it is less busy during the weekdays.The village area has plenty of souvenir stalls as well as restaurants. They are present from the wharf to the top of the caves area so there are plenty of opportunities for both. They were a bit sketchy with lunch though since I ended up paying for lunch for myself and my guide without prior knowledge. The place did get really crowded as I left. The wharf area was packed so it was a little difficult getting around. I did try the train on the way back to the boat, which was a novelty. Be aware that there are two companies that work the boats, show your ticket to the people in charge so that you return to the right place.Overall it was an interesting way to spend half a day learning about the history and culture of the area. It could potentially be a day trip if you were planning on exploring the whole island and having a picnic."
Elephanta_Caves,Michelle D,5.0 of 5 bubbles,Jan 2023 • Couples,Excellent tour guide,"Manoj is the best guide ever AND very talented photographer. Taught me a few tricks with my own iPhone! Full of interesting information, but not too much! 😉 Highly recommend requesting this guide. Made a great trip for us, recommended good food, and was nice and slow for us walking up all of those steps. Would request him again in one second."
Elephanta_Caves,Muthoni K,5.0 of 5 bubbles,Jan 2023 • Solo,Heartfelt trip and loaded with informative history...,History preservation at best.I got a guide courtesy of the review that was made by a couple on this site they recommended him he is such a great gentleman and a great guide. To visit the caves one needs a guide as there are no writeups there. I loved the boat experience and the history of the place it was worth the visit as much as I was contemplating..If you need a guide I totally recommend him his number is +91 98704 73673 he is called chandrakant.He made my visit to the caves very memorable. I did a solo trip ..
Elephanta_Caves,Happy King,4.0 of 5 bubbles,Dec 2022 • Family,Great 1/2 Day trip from Mumbai but ferry ride process is challenging,Well preserved monolithic cave temple with inspiring sculptures. Highly suggest to get a local guide to walk you through the site - well worth it.  Be prepared to pay a 15x entrance fee if you’re not an Indian citizen (aadhar card or passport proof required if you’re challenged). The ferry ride from Mumbai Gateway of India has a lot to be desired.
Elephanta_Caves,Andrew D,2.0 of 5 bubbles,Dec 2022 • Solo,Average,"I have seen quite a number of cave temples in India such as Ajanta, Ellora and Badami—I have to say that Elephanta is my least favorite so far.Out of the 5 main caves, only Cave 1 is truly great. The other ones are mixture of good to plain. Near the cave entrance, there is a Cannon Hill point which is a plain hike offering little sceneries under a hot sun (even in the early morning).I also took an off-the-beaten hike through one of the mountains towards Cave 6, which again offers no meaningful reliefs with poorly-maintained pathways.Seeing that it took 1 hour per way to get there, I am not thrilled with the overall experience. I am glad I went there to tick off another UNESCO World Heritage Site, but I am not planning to return a second time."
Elephanta_Caves,Apolonia70,3.0 of 5 bubbles,Oct 2022,"Ferry boat, mini-train and 120 steps to fisrt cave","The main reason I scored average for this tour was that it needs endurance to do this tour.  We arrived at the ferryboat to be told there was a delay.  My guide did some negotiating and managed to get us on board the first ferry to depart. It was delayed because security was tight - some dignitary was visiting the island. We were the only ferry boat to depart until after another 1.5 hrs. Lucky.  The ferry trip is good because you get great views back to the city - Gateway to India and the Taj hotel and city skyline. Lots of small boats add colour. There are also large commercial ships, tug boats and the Indian navy.  A massive oil refinery and pipelines stretch out to sea as is the newly being constructed highway system joining another part of the mainland.  It is impossibly long. Once you reach the island and disembark at the jetty - you have the option to walk or ride the mini-train. Hot and humid so the train a logical choice. Endurance is needed to reach the caves - 120 steps of various height and surface demand constant focus and persistence. it would have been less arduous if there was better airflow. The stall keepers had erected blue plastic shades over their stall and the steps so it made things even hotter and more steamy. I was determined to climb all steps and refused offers to be carried up in a 2-4 man sedan chair.  I did climb up and down all of them.  The first main cave is an example of religious figures telling the story of Shiva and other gods/ goddesses. It was cooler in the cave and not too many tourists. I dint visit the other caves or areas - by then I was too dehydrated. Thankfully a stall was selling fresh lime soda and I drank 2 glasses.  This visit was tough for me at over 70yrs of age - so perhaps for younger and more able persons this would not have been their experience. Basically - I am glad I visited and even if you have seem other similar sites - there is always something new to learn. If nothing else the photo ops from the boat make it worthwhile."
Elephanta_Caves,77cjk,4.0 of 5 bubbles,Dec 2022,Need to do at least once when you visit Mumbai,"What a spectacular site to see these caves!   There are a number of guides that harass you on your way in - we didn't partake.  The walk through the caves takes only 30-45 minutes.  The ferry journey from Gateway of India to Elephanta island takes 1-1.5 hours each way.  The degree of trash while you walk from the jetty to the caves is off putting.  There are a number of stalls selling souvenirs, drinks, food on your way up/down from the jetty.  The gimmicky train from the jetty to the stairs is unnecessary."
Elephanta_Caves,Neelam Rawat,5.0 of 5 bubbles,Nov 2022 • Friends,One of the best trip,I have been there in 2009 when I was in college.We were group of friends and initially I thought it will be boring place for old age or history lover but I was wrong.This was a one of my favorite place as for reaching there you need to take a boat or something and that makes your trip more memorable and beautiful !!Also when you reach there you feel very peaceful as it's a bit away from city and less crowded !!I would love to visit again as it's been I long time and I really wanna take a break from a fast forward life and it's actually a good place to change your mood !!
Elephanta_Caves,Sudhendra D,5.0 of 5 bubbles,Nov 2022 • Couples,Excellent,"The place is worth visiting. You need to trek about 45 minutes after reaching steamer. No need to carry any food or snacks, lots of hotels are available.If you take a guide, you can get lot of information."
Elephanta_Caves,mausumee,5.0 of 5 bubbles,Dec 2021,Elephanta Caves.,"It was a great experience going by a Launch leaving from the Gateway Of India. From the jetty, had to walk about a kilometre and climb up a considerable number of steps to reach the caves. Though much of the carvings have been destroyed with the course of time and maybe also by invaders as these carvings depict Shiva/nataraj, the remnants speak of the rich culture and heritage of India. Quite a touristy place where the road is lined with shops selling street food and souvenirs. While on our return journey to the jetty, we took the quaint toy train and the journey was fun as the small carriages rattled their way amidst the bay water on both sides. The whole day was a bit tiring but it was indeed much fun. Visitors to Mumbai should not miss this place.By the way, all basic facilities are available at this spot. The launch leaves frequently every half hour and the ticket is Rs.250/="
