Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mani_Bhavan_Gandhi_Museum,Smartwings,5.0 of 5 bubbles,Dec 2022,Visited with Mohammed from Showcase India Tourism Company,"it was a wonderful visit with Mohammed sharing his knowledge about Gandhi and india's freedom struggle made us really go back in time and feel the same, https://www.tripadvisor.in/Attraction_Review-g304554-d19386948-Reviews-Showcase_India_Tourism_Company-Mumbai_Maharashtra.html"
Mani_Bhavan_Gandhi_Museum,Apolonia70,4.0 of 5 bubbles,Oct 2022,The house where Gandhi developed his strategy,A leafy high end residential area and nice to drive around to admire expensive real estate. nestled here is the house where Gandhi began his campaign of peaceful resistance.  If you are a history buff and want to see part of history then this is worth visiting. A plaque outside identifies the place.
Mani_Bhavan_Gandhi_Museum,jojo,4.0 of 5 bubbles,Nov 2021,Simple living,Discovery of Mahatma in the true spirit and hence experiencing his presence by visiting the historical place having many belongings and books and the environment itself. As a museum it was properly maintained and of course it is a must visit of every Indian.
Mani_Bhavan_Gandhi_Museum,Wen-D K,5.0 of 5 bubbles,Jan 2020 • Couples,A New Perspective on Gandhi,"It was an honor to be able to visit this bungalow that was Mahatma Gandhi's Bombay house from 1917-1934, now converted into a museum in his memory. Besides the plain spartan room, there are pictures of events from his life. One is able to gain a real sense of Gandhi and India's struggle for independence."
Mani_Bhavan_Gandhi_Museum,Jennifer C,5.0 of 5 bubbles,Feb 2020,Engaging and impactful,"I visited the museum on the Mumbai Like a Local Tour with Mumbai Magic. It was impactful to see the room where Gandhi stayed, and the extensive dioramas were an excellent way to to learn or relearn the history of his life. The facility is not large, and is definitely worth a visit either during or outside of a Mumbai tour."
Mani_Bhavan_Gandhi_Museum,samjo2486,4.0 of 5 bubbles,Aug 2019,good place for history enthusiasts,good place. Specially named after india's father of the nation. Has a variety of articles from the independence period including charkhas. a lot of depictions of those times are displayed here. also a lot of competitions for students are held here. not a very big museum but a good place to visit.
Mani_Bhavan_Gandhi_Museum,Alice L,4.0 of 5 bubbles,Oct 2019,Enlightening,"The museum is an old two-storied building where Mahatma Gandhi stayed when visiting the city during a period from 1917 to 1934. It was from here where he initiated many of his philosophies of nonviolence, and launched his movements. It was interesting to see the room that Gandhi occupied and his trademark spinning wheels as well as the Terrace where he was arrested on January 4, 1932. I enjoyed the Picture Gallery which gives glimpses of Gandhi in Mani Bhavan and important events in his life."
Mani_Bhavan_Gandhi_Museum,springbank,5.0 of 5 bubbles,Jan 2020 • Couples,Ap great museum dedicated to a great man,"It is the beautiful historical place. Mani Bhavan beliggende på Laburnum Road nær babulnath politistation. The Mani Bhavan Gandhi Sangrahalaya is a house in South Mumbai where Mahatma Gandhi lived for 17 years between 1917 and 1934. The house has been turned into a museum and library. The latter contains amongst many books, a collection of books that once belonged to Gandhi. The upper two floors are museums space detailing bothi his life and his role in the Indian struggle for independence."
Mani_Bhavan_Gandhi_Museum,whereamI2day,5.0 of 5 bubbles,Mar 2020,Has to be seen.,We saw The Mani Bhavan on a whistle stop tour of the City with Linda Tours ( brilliant).We called in here briefly but got a wonderful sense of the place and learnt a lot in a short space of time. Seeing  the room Gandhi lived in for 8 years is akin to seeing the cell occupied by Nelso Mandela on Robben Island.There is a fascinating exhibition on the top floor and some very interesting exhibits that make you think and want to learn more. An example would be the letter to Hitler that Gandhi wrote.There is a WC in the building and it costs 10 rupees to go in.
Mani_Bhavan_Gandhi_Museum,igolfCA,4.0 of 5 bubbles,Mar 2020,Gandhi’s house is now a museum,"Mahatma Gandhi lived here between 1917-1934. Many important things in his life happened while he was here, one of them being his historic fast in 1921. His cherished ideals of truth and non-violence were what he taught the nation while he was here.The first floor of the house is comprised of the library which has more than 50,000 books by and on Gandhi and Gandhian thought and also has an auditorium which shows films and recordings of his speeches at certain times.The second floor has two main sections. The first is the living quarters of Gandhi, and the second is the picture gallery and mini figure tableaux depicting his life.The museum is small and can be seen in about an hour. Interesting and informative."
