Tourist Attraction,Name,Rating,Date and criteria,Title,Review
B_M_Birla_Planetarium,Vikas Singh,5.0 of 5 bubbles,Sep 2021,Space and Undersea travel experience,"The show starts only if there are 15 people. So it is advisable to first visit the science museum. In case the no of people wanting to see the show is 15, the security guards in the museum will tell you. You can they buy the ticket, watch the show and return to the science museum to complete your visit. This way you will optimize your time.The show changes. When we were there they were showing a film on Mars. One of the first planetariums in India it gives you a great space travel feel. After the show you move on to a different room where you see a 3D film on underwater corals.Not much of space travel fan, we enjoyed the underwater 3D show more."
B_M_Birla_Planetarium,Kaushik G,3.0 of 5 bubbles,Jun 2019 • Friends,Nice show,We had visited Birla Planetarium during our sightseeing in Hyderabad. Tickets are priced at 100 rupees per person and there are shows in English and local languages at different times of the day. From the parking lot one has to walk up an inclined path to reach the Planetarium building at the top. We enjoyed the beautiful architecture of the building and the show about planets.
B_M_Birla_Planetarium,Praveen K,4.0 of 5 bubbles,Jan 2020,science centre,"This place has science center and planetarium. The shows of planetarium are rarely done due to   few visitors. The science center has interesting  working models, old camera which is as large as truck. Interesting dynosaurus park, doll museum and precious exhibits. The various models of isro satellites are also on display"
B_M_Birla_Planetarium,TravelbuggIndia,4.0 of 5 bubbles,Jan 2020,Planetarium,Birla Planetarium has a beautiful show which is enthralling. It is a good activity to enjoy with kids.
B_M_Birla_Planetarium,Krishna Sandeep Siram,5.0 of 5 bubbles,Mar 2019,Worthy Place,It gives some good information regarding Galaxies and the experience could not be explained in words.Simply its a complete visual treat for all the age groups who are very much interested in Science
B_M_Birla_Planetarium,Debasis N,4.0 of 5 bubbles,Dec 2019 • Family,Nice place for family and young kids,Its a nice place for young kids and family to have an idea about our solar system and to have a feel about indian space research. Overall worth visiting the place. 
B_M_Birla_Planetarium,Shalini N,3.0 of 5 bubbles,Oct 2019 • Family,Not the best planetarium ,"The Planetarium cum Museum is very huge.. lots of exhibits are there related to various subjects.. However,  the planetarium show can very well be avoided. The charges for the show is exorbitant and its not exactly a sky show. I would rather call it a slide show, for which don't need a dome shaped planetarium but a normal white scree projector is enough.  This is not how a planetarium show should be, given the fact that it is known to be one among the best planetariums in the country. The exhibits are all in working condition and very informative.."
B_M_Birla_Planetarium,OMKAR PAGADALA,5.0 of 5 bubbles,Dec 2018 • Family,Birla Planetorium,When I went to this Planetorium. I have learned about the basic details of Planetorium. This located near Birla Mandir Temple.
B_M_Birla_Planetarium,sree143in,4.0 of 5 bubbles,Oct 2019,Science center,Birla Planetarium is near to birla mandir which is in banjara hills hyderabad. it is a science center. 
B_M_Birla_Planetarium,Ajit A,4.0 of 5 bubbles,Oct 2019,Worth visiting,We went there in the evening and it took some time to find it out since the local auto driver also didnt knew the location. We booked the evening 7.30 pm hindi show ticket and before that saw different museums. Dinosaur museum was good with a big skeleton of a dinosaur on display. The museum on ISRO was very inspirational as we can see the models of different rockets and satellite kept on display.The space show was excellent inside the big dome theater as it provides a lot of information and at the same time beautiful to watch. The entire place is worth visiting with kids.
B_M_Birla_Planetarium,rggg,5.0 of 5 bubbles,Oct 2019 • Family,So much to offer,Please don't go in there just for the planetarium. This place offers so much more than that. 1. Science museum - interactive experiments... Not only good for your kids but for adults as well2. Dinasourium - one of the biggest fossils found in India are placed here3. A section dedicated to mangalyan and chandrayan 4. Art gallery which features works of some well known painters like tyeb mehta 5. 3D show 6. Planetarium 7. IEEE section8. Museum which has manuscripts of ramayan written on leavesPlease buy a jumbo ticket which comes at 260 and enjoy all this. You will require atleast half day for all this. 
B_M_Birla_Planetarium,jainms,5.0 of 5 bubbles,Mar 2019,Science museum,Lot of interesting facts and students can gain good knowledge about the facts of ancient times. Quite a few shows are good about how science works.
B_M_Birla_Planetarium,Mr_Andy_UK,4.0 of 5 bubbles,Aug 2019,Reasonable planetarium show worth combining with visit to Birla temple,"Enjoyed the planetarium show in English - one of a couple that day with the remainder in Telegu and Hindi.  There was also a 3D show about marine life in the Barrier Reef which was a nice add-on.  Unfortunately there wasn't time for us to take a look at the science museum, but the short walk across from the Birla temple to the planetarium was worth it for that alone."
