Tourist Attraction,Name,Rating,Date and criteria,Title,Review
St_John_s_Church,MW46Jackson,4.0 of 5 bubbles,Feb 2020,Clean Toilets Open to the Public and Free,"The architecture is interesting.  The history is important,  and visiting the graves around the church is quite informative.  But the nice toilets was a wonderful gift to any stressed visitor to Kolkata."
St_John_s_Church,Sea Dweller,5.0 of 5 bubbles,Feb 2020,It is the third oldest church in the city.,"St. John's Church, originally a cathedral, was among the first public buildings erected by the East India Company after Kolkata (Calcutta) became the capital of British India. It is located at the North-Western corner of Raj Bhavan, and served as the Anglican Cathedral of Calcutta till 1847, when the see was transferred to St. Paul's Cathedral. Construction of the building, modelled on St Martin-in-the-Fields of London, started in 1784, with Rs 30,000 raised through a public lottery, and was completed in 1787.      Currently, the church is undergoing restoration."
St_John_s_Church,EJR19,5.0 of 5 bubbles,Jan 2020 • Couples,Outstanding restoration,"We couldn’t believe the transformation of a rather rundown, albeit deeply historical, church into a really exquisitely maintained church. The restoration isn’t finished but already the white and gold shows what a fine building it was and is. And the gardens are beautifully kept with the best flower beds I have seen in India since the Shalimar Gardens in Kashmir (albeit on a rather smaller scale!) Do go and admire the way in which Kolkata is, yet again, starting to value and care for its history. Well done all those responsible at St Johns. "
St_John_s_Church,Mitesh,5.0 of 5 bubbles,Dec 2019 • Business,Nice one,It is a splendidly well-maintained structure that draws history and architecture buffs for its uniqueness and ancient features.
St_John_s_Church,Simon C,3.0 of 5 bubbles,Dec 2019,Black Hole Monument in th Gardens,The main reasin for visiting is to see the Blakck Hole Monument that was moved to the gardens some years ago. The church itself while historically important is rather plain inside and out. It does house a painting with an intersting stroy to tell but apart from that it is on ordininary side. 
St_John_s_Church,746ballfamily746,5.0 of 5 bubbles,Jan 2020,History Lovers,"This church is a must visit stop for History lovers. Tombs of Job Charnock (founder of Koplkata) and Admiral Watson, plus the memorial to the Black Hole of Kolkata were highlights. The meeting room of Warren Hastings was also able to be visited. Apart from these, the church itself and the grounds were lovely! Don't miss this stop! "
St_John_s_Church,denmother62,5.0 of 5 bubbles,Jan 2020,The stained glass ... wow,"A cynic stated that religion is advertising for a product that doesn't exist ... but when you see such beauty, the tenderness of the dedications, one thinks ... should I believe the cynic?"
St_John_s_Church,Suvendu Halder,4.0 of 5 bubbles,Dec 2019 • Friends,A lovely place to visit,"Location: in a busy area of the city. If you go on a Sunday or other such public holiday, it’s an easy drive. Parking: dedicated sufficient open parking at the rear of the church. Maintenance: except for some parts, it’s quite well maintained. Is quiet and peaceful even though hemmed in by buildings. Toilets: at the rear of the groundsA lovely place to go to. A lot of history of the city. Please note that this is a place of worship. Please do enjoy the solitude and history of the place."
St_John_s_Church,Shreya Sharma,5.0 of 5 bubbles,Dec 2019,Nice little church,The St John church at Kolkata is a fully functional nice little church where regular prayers are offered.
St_John_s_Church,adityainc,5.0 of 5 bubbles,Dec 2019,Worth visting,The St Johns Church is one of the oldest church in the city which still maintains its tradition and heritage.
