Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Malabar_Hill,Sandy_JSR,4.0 of 5 bubbles,Mar 2021,Upmarket Residential Neighborhood,"Malabar Hill is a hillock and posh residential neighborhood in Mumbai. It is the home to several business tycoons, film personalities and Govt Official, prominent landmarks include the Governor and Chief Minister’s Bungalow. It also houses Hanging Gardens, Jain Temple, Banganga Tank etc.  The Hanging gardens is a perfect place for a leisurely stroll. Further, viewing gallery in Kamala Nehru Park provides and nice view of Nariman Point, Marine Drive, Chowpatti Beach etc. with telescopes."
Malabar_Hill,CarBazaarCab,4.0 of 5 bubbles,Jul 2021 • Friends,Very nice place in Mumbai,This place is best picnic your empty time to fresh mood. We also go Sunday morning at place very enjoyable our time and Mumbai best place
Malabar_Hill,igolfCA,4.0 of 5 bubbles,Mar 2020,Nice view!,"Our guide told us about the view from here. We went to a new building/tower that had a viewing platform on the top with telescopes. It had not been open for very long. You have to walk up about three floors to get to the platform and then go outside.We could see well and the view was very nice of the water, sand, and the Queen’s Necklace. We didn’t use the telescopes, but they are there if you want to use them. No charge to go up the viewing tower."
Malabar_Hill,oldiesontherun,4.0 of 5 bubbles,Jan 2020,Wide ranging views.,"It is lovely to be so high up and see the city from a different angle. The beach below used to be filthy but  the sand is now visible and looks good, shame elsewhere wasn't so clean."
Malabar_Hill,seeker_here,4.0 of 5 bubbles,Feb 2020,Good View,There are a few places where you can enjoy a good view of the city of Mumbai and Malabar Hill is close to top of this list.
Malabar_Hill,westphillyboy,3.0 of 5 bubbles,Jan 2020,Nice view of the city,"Nice city view, but we also had nice view from hotel. Not a lot to the hanging gardens. Just OK in my opinion. If on a tight time schedule, I would probably skip this one."
Malabar_Hill,Krishna Kumar,5.0 of 5 bubbles,Oct 2019,best hill view,"this I also one of the best places to visit in Mumbai,.. best hillside view and the street food available is awesome.. I like the trip"
Malabar_Hill,Vilaas,5.0 of 5 bubbles,Oct 2019,Always So nice to visit this place,As you move in from the Nepean sea road to the Malabar hill areawhich is consdiered to be one of the post areas.You pass by the Hanging gardens and see the chowpatty beach in the near distance.The Queens necklace is totally captivating in the night.
Malabar_Hill,MM0130,4.0 of 5 bubbles,Oct 2018,It is OK,"There are some decent views from this spot.  It was nothing outstanding but I would classify it as just ""ok"""
Malabar_Hill,romeer s,5.0 of 5 bubbles,Jul 2019 • Family,The Queens Necklace.,"the reason i end up going to Malabar Hill, is to visit the Shoe garden and to stand and see the beautiful Queens Necklace from the Top, situated at the highest region of Mumbai from where you can see Chowpatty Beach and Nariman Point"
Malabar_Hill,JumboMumbai,4.0 of 5 bubbles,Feb 2019 • Solo,Opulence personified,The long and winding roads.. leading to this hillock where all the opulence of South Mumbai is visible in pomp and splendor.. Most of the rich and famous are here so also top brass of the government.  Good place for a refreshing walk through 
Malabar_Hill,meena1981,4.0 of 5 bubbles,May 2019 • Friends,beautiful place,"It is a hillock in southern Mumbai.It is a very famous place of Mumbai where all VIP live. So we can say it VVIP residential area.Here the government guest house Sahaydri, the Chief Minister of Maharashtra's bungalow, the official residences of VIP state officials, the famous Hanging Gardens, the Jain Temple and Banganga Tank etc.are situated.It is also a residential area."
Malabar_Hill,NIDHI A,4.0 of 5 bubbles,May 2019 • Friends,Beautiful scape,This place is just so beautiful... the sea is right there... old buildings and pavements.. gives an oldworld charm to the place... love it!
Malabar_Hill,Hitesh S,5.0 of 5 bubbles,Apr 2019 • Family,AS name suGgest  its on Hill,"Hill  has majority residentail building, they havs few aprk on it, for roaming around, jogging, nice view from the top, its has sea view, some road side food."
Malabar_Hill,Larry C,4.0 of 5 bubbles,Apr 2019 • Friends,Night view,Lovely spot to see the lights of Mumbai. Not far from a family park frequented by young couples and families enjoying the cool of the evening 
Malabar_Hill,VRAMESH,4.0 of 5 bubbles,Apr 2019 • Family,View from the Hill,This area is very scenic.Malabar Hill is a green patch in southern Mumbai.At the top of Malabar Hill is the Hanging Gardens in Mumbai. One can have the majestic panoramic views of the city from the Hanging Gardens.
Malabar_Hill,01tw1969,4.0 of 5 bubbles,Apr 2019 • Couples,Very pretty,At the top of Malabar Hill is the Hanging Gardens in Mumbai. Beautiful views and a small peaceful garden that has been taken care of. It’s sitting on top of massive water tanks so everything looks well watered and alive.
Malabar_Hill,mnrkrishnan,4.0 of 5 bubbles,Nov 2018 • Family,Mesmerising view of the beach and skyscrappers,The beach and the sky scrappers view from this Malabar Hill is amazing. In the hanging garden evening time can be spent with family.
Malabar_Hill,docross534,4.0 of 5 bubbles,Mar 2019 • Couples,Magnificent views,"A visit to Malabar Hill is a must, and provides majestic panoramic views of the city from the Hanging Gardens."
Malabar_Hill,Anne N,5.0 of 5 bubbles,Feb 2019 • Friends,Worth a visit,"It is well worth going up the hill, the views are amazing.  It gives a real view of the city skyline."
Malabar_Hill,Dakshujain,4.0 of 5 bubbles,Mar 2019 • Solo,Evening walk,"Verdant Malabar Hill is an upscale residential area known for the Hanging Gardens, a hillside park with sea views and hedges sculpted into animal shapes. At the Walkeshwar temple complex, Banganga Tank is a sacred pool with 12th-century origins. Other sights include the ancient Babulnath Mandir temple, reached by climbing over 100 steps, and Babu Amichand Panalal Jain Temple, embellished with intricate carvings."
Malabar_Hill,ELLlady,5.0 of 5 bubbles,Jan 2019 • Friends,glad we got up the hill this time,"We did not have to visit Malabar Hill 3 years ago but arranged to do so this time. Loved drive to area, park, views and drive past biggest mosque, hindu, and jain temples."
Malabar_Hill,Penwyllt,4.0 of 5 bubbles,Feb 2019 • Couples,Great view over the bay,"Close to the Hanging Gardens and a park with the strange structure of a large shoe, a little like the old woman who lived in a shoe. This is a popular destination for a view over the bay."
Malabar_Hill,ImVishu,5.0 of 5 bubbles,Aug 2018 • Friends,just like birds eye view,one of the place from you can see the areal view of the mumbai city you an see the birds eye view.its near to hanging garden and kamla nehru park and that bot house so bundle of places to visit so don't skip this one still its far from main city like mumbai central..
Malabar_Hill,kalex15,5.0 of 5 bubbles,Feb 2019 • Couples,Beautiful Place!,"Malabar Hill has a very interesting history. The name seems to have been derived from the pirates of Malabar, who used to attack the booty loaded ships of the Portugese. As the Malabar Pirates were infamous, the name stuck to the pirates around this place. They used the high hill as a lookout point for scanning the sea. Now the place is a very upmarket residential area, supposed to be one of the most expensive in the World!"
Malabar_Hill,Himanshu Bhatt,5.0 of 5 bubbles,Jan 2019 • Family,Amazing..Green Place,"First thing u notice about this place is full of Greenery , its one of the premium location of mumbai.. where u fine sea shores , parks and full of natural ambiance , u also fine lots of vintage buildings with unique architecture one can enjoy the night walk and day walk around this place."
Malabar_Hill,Nikhil P,5.0 of 5 bubbles,Feb 2019 • Solo,a quite place in noisy mumbai.,"One of favourite places to run in Mumbai due to its elevation, breath taking views being offered for sea and girgaum chowpaty, hanging garden and very less traffic to deal with. More over, its less noisy as compared to rest of Mumbai. A quiet place in noisy Mumbai."
Malabar_Hill,jesal1r,3.0 of 5 bubbles,Jan 2019,Malabar Hill,"Malabar Hill is the location of the Walkeshwar Temple, founded by the Silhara kings. The original temple was destroyed by the Portuguese, but rebuilt again in 1715 by Rama Kamath, and by 1860, 10 to 20 other temples were built in the region. Mountstuart Elphinstone built the first bungalow in Malabar Hill while he was Governor of Bombay, between 1819 and 1827. Raj Bhavan, the official residence of the Governor of Maharashtra, 'Varsha', which is the official residence of the Chief Minister of Maharashtra, 'Glenogle' the official residence of the General Manager of Central Railway are located here. there is a cremation ground that sits near the sea which is home to the samadhi shrines of several famous Indian saints."
Malabar_Hill,mikelapsley,5.0 of 5 bubbles,Jan 2019 • Couples,Wonderful views over Mumbai,See where the parsees leave the bodies of their dead to be eaten by the black kites.  Sounds morbid (you won't see any bodies) but it makes a fascinating story. A wonderfully peaceful location in the city overlooking the chaos below.
Malabar_Hill,charoos,4.0 of 5 bubbles,Jun 2018 • Couples,Top residences,"Malabar Hill is one of the two top hills in south Mumbai, both being posh residential localities. The other being Cumballa Hill. The Malabar Hill houses some of the richest industrialists. It provides excellent view of the Arabian Sea. It also has two public parks, namely, The Hanging Gardens and the Kamla Nehru Park."
Malabar_Hill,Rumi Sarkari,4.0 of 5 bubbles,Dec 2018 • Couples,One of the quiet areas...,A high end property area where one can find luxury apartments & villa's with exclusivity. But the area is also congested with traffic due to compact road network.
Malabar_Hill,Nirja,4.0 of 5 bubbles,Jan 2019 • Couples,Posh Mumbai locality,"Malabar hill was originally a hill, surrounded by sea view, now all Multi-storey buildings are there with some old heritage bungalows. Hanging gardens & Kamala Nehru Park are situated here. It's beautiful place to live but extremely expensive."
Malabar_Hill,HelpfulAngel,3.0 of 5 bubbles,Dec 2018 • Friends,Average view - not much in our opinion,"The area is coveted by the locals as a very expensive area. But to travelers who have traveled the world nothing much to look at. You can visit the observation deck to admire the Arabian sea from there. At most 15 minutes is enough to look at the ""Queen's necklace"" - Mumbai locals boast about this famous site. When you compare it to the skyline of Hong Kong - you say ""what that's it! Beyond the busy street, there is a public park, which has been created on a filled lake. At the edge of a pink-painted building, there are deceased Parsis prepared for burial on the tall towers by Vultures. Whether this place can be regarded as an attraction is a matter of opinion. We weren't impressed."
Malabar_Hill,USCKaboom,4.0 of 5 bubbles,Dec 2018 • Couples,Great views of Mumbai,Malabar Hill affords great views of Mumbai’s southern skyline. We enjoyed our drive there. The new viewing point has telescopes to view better. 
Malabar_Hill,Worldtraveler,5.0 of 5 bubbles,Dec 2018 • Friends,Hotel Donatello in Rome,"We loved this hotel!  The front desk staff were welcoming and friendly.  Simon was extremely helpful!  We would ask him for advice and did what ""Simon said.""  He never let us down!  The hotel is beautiful, clean, and quiet. We enjoyed our balcony.  It is conveniently located and within walking distance to many places or the metro. We always felt safe. Great value for the money.  Would definitely come back."
Malabar_Hill,Mathew M,5.0 of 5 bubbles,Dec 2018 • Friends,Mathew mugo,"3 days holiday  took drinks at gourmet bar by novotel . came to drink coffee and beer at GB bar with tang-kwa and  tiw  ,the service was very good"
Malabar_Hill,Sharon W,5.0 of 5 bubbles,Dec 2018 • Family,Great spot for a photo,This is a lovely park.  Apparently Mumbai takes it green space very seriously  This is a great spot for taking a photo with the city in the background.
