Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Bombay_High_Court,TenBaylor,5.0 of 5 bubbles,Sep 2022,Bombay High Court,"We walked passed during an architect walk where we met a friendly English student who gave us a personal tour, thanks Saatish!"
Bombay_High_Court,Twinkle Sonar,5.0 of 5 bubbles,Jul 2022,HIGH COURT BUILDING,It was great experience here must visit this place in mumbai. knowing about law court and rules helps to serve better in life.
Bombay_High_Court,Albert Y,5.0 of 5 bubbles,Jun 2022,Fascinating architecture,A wonderful combination of styles taken to the extreme. Gothic forms mixed with romanesque and indian touches.
Bombay_High_Court,K Bharucha,4.0 of 5 bubbles,Nov 2021 • Couples,A walk through Bombay High Court,We did the Bombay High Court Heritage Walk with our guide Rupali D'souza from the Directorate of Tourism. Rupali was a great guide and took us through the history of the Court and pointed out the architectural details as we walked around. The tour was informative and worth doing. My only grouse is that photography was not permitted within the premises. Would have loved to take photographs of the architectural details.
Bombay_High_Court,igolfCA,4.0 of 5 bubbles,Mar 2020,Interesting architecture,"Still used as a functioning courthouse and worth seeing for it’s Colonial architecture. It was built by the British as many of the similar buildings here were. Grounds are fenced off, but it can be viewed from the outside."
Bombay_High_Court,lislander,4.0 of 5 bubbles,Feb 2020,Beautiful architecture,Nice old building and it's fun seeing all the advocates rushing to court dates all dressed in black and white. Remnants of the British system.
Bombay_High_Court,oldiesontherun,5.0 of 5 bubbles,Jan 2020,A beautiful building.,"The architecture here is absolutely beautiful, a mixture of cultures and in Mumbai fairly well maintained."
Bombay_High_Court,seeker_here,4.0 of 5 bubbles,Feb 2020,Colonial Building,You can visit the Bombay High Court (from outside) just to marvel at the amazing colonial architecture.
Bombay_High_Court,Aadhes,5.0 of 5 bubbles,Aug 2019,Majestic Colonial architecture,"This is one of the great buildings constructed by the British still being used. This was built about 160 years ago and still functions as per the original purpose it was built. On working days it is very crowded and busy with lawyers and litigants. If you are fond of Colonial buildings, this is a must-visit. Since it is a functional courthouse be decently dressed."
Bombay_High_Court,Khmer14,4.0 of 5 bubbles,Nov 2019,Interesting architecture.,Very interesting building on architecture side.Located in the centre of Mumbai.Worth the visit and have a look around.
Bombay_High_Court,Vikas Singh,3.0 of 5 bubbles,Dec 2019,Architectural jewel,"City’s second largest public building, it was designed by John A Fuller. This iconic building features imposing turrets, large roof spans, sculptures symbolic of Justice and Mercy, aracaded corridors and a grand staircase that underscore its monumental scale. It Victorian Gothic building was opened in 1878."
Bombay_High_Court,Peach P,4.0 of 5 bubbles,Nov 2019,Lovely architecture,This is a beautifully designed building and should be visited to admire the great architecture dating back to colonial times.
Bombay_High_Court,njan45,5.0 of 5 bubbles,Nov 2019,Great Victorian Structure!!,This Gothic structure is one of oldest high courts established in India by the British. This 160 year old building is a major landmark in Mumbai.Public can enter and visit the various courts and also the High Court Museum.
Bombay_High_Court,macedonboy,5.0 of 5 bubbles,Nov 2019,A fantastic building from the time of the British Empre,"The Bombay High Court is a functioning court of law and one of the 3 original High Courts established by the British in the Victorian era. The building is a major landmark of the city and a nice example of Gothic revival. As with most courts, the building has a sculpture of Lady Justice atop the central tower where she stands on one of the octagonal towers while Lady Mercy stands on the other.A fantastic building from the time of the British Empire that would not look out of place as a palace."
Bombay_High_Court,Daithí Ó,4.0 of 5 bubbles,Nov 2019,A lovely building with incredible architecture!,"There are so many court buildings in Mumbai and even the name Bombay is a rarety, but this one has a viewing area close by to take photos. An artifact from the days of the British Empire, beautifully preserved and wort a visit."
Bombay_High_Court,Vilaas,5.0 of 5 bubbles,Oct 2019,In a Area full of Architectural Buildings,"One of the key buildings of Mumbai History & close to the Rajabhai towers,somewhat like the Big Ben.Very close to the Fort area & you can easily walk down to the Gateway f India.Also close to the Church gate station & the Bombay VT station.You can reach anywhere by train from these two points.Close to the Cricket grounds & Cinema theatres."
Bombay_High_Court,Dolly A,5.0 of 5 bubbles,Aug 2019,Still Standing Grand,"Did not get an opportunity to go inside, but the grand structure is mesmerizing and the surrounding landscaping is worth taking in... must visit if you are around in Mumbai "
Bombay_High_Court,Arvind Kumar Yadav,4.0 of 5 bubbles,Aug 2019,Nice big Building,Saw it from outside. One of the building in Mumbai with ancient structure. well maintained One of the tourist attraction
Bombay_High_Court,StephenMann,2.0 of 5 bubbles,Jun 2019 • Couples,Falling Down,"This is a fantastic building but really needs so TLC, lots of the windows on the upper floors have fallen out and the building really is looking quite bad, you are not aloud to walk around or even go past the gate, can only view from the street"
