Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mahalingapuram_Sree_Ayyappa_Temple,parayath,5.0 of 5 bubbles,Oct 2020,Clean and well run temple,"The temple has both Ayyappaswamy  and Guruvayurappan as the main deities.  Had excellent darshan.  All daily poojas, including the Ganapathi homam are performed daily.  Not crowded (probably because of Covid 19) and devotees are checked for temperature, hands sanitised.  Wearing a mask is compulsory.  The entire temple and its surroundings are clean and tidy. All rituals are performed as per malayalee tradition by priests from Kerala. "
Mahalingapuram_Sree_Ayyappa_Temple,anu_v,5.0 of 5 bubbles,Sep 2019,Holy temple,This holy temple is a great sight for anyone who believes in Lord Ayyappa. We drove to this temple after shopping for clothes in Madras mall. The temple is spacious and clean. The priest was talking to us gently and was happy to see us tourists in India. We were glad. 
Mahalingapuram_Sree_Ayyappa_Temple,Selva P,4.0 of 5 bubbles,Jun 2019,Divine place,"A kerala style temple in heart of chennai. This temple has guruvayur appan and lord ayyapan , the services are all done in kerala style and its very beautiful to watch. The place is pretty crowded and lacks parking spaces as it is in middle of a residential area. "
Mahalingapuram_Sree_Ayyappa_Temple,KCAjith,5.0 of 5 bubbles,Nov 2019,Spiritual upliftment,"This is a popular temple where people congregate to pray to their favourite deities, Ayyappan and Guruvayurappan. My interaction with this temple started around 38 years back. Those days there was only Ayyappan and a few other ""Upa daivangal"" consecrated. The temple has not grown in size physically, but has grown in stature and divinity over these many years."
Mahalingapuram_Sree_Ayyappa_Temple,Valavanur Natar... K,4.0 of 5 bubbles,Aug 2019 • Couples,"A REVIEW OF MY NEIGHBOURHOOD AYYAPAN TEMPLE IN MAHALINGAPURAM , CHENNAI","I present this review with devotion &  pride about my  neighbourhood  Mahalingapuram  Ayyappan temple .This  is a land mark temple for Lord Ayyappa although,  there are now temples dedicated to him in Anna Nagar ,R A puram and Nanganallur in chennai .In the late  60's and early 70's , there were no temple in  Chennai Metropolis  dedicated exclusively to Lord Ayyappa. Over generations  devotees to be estimated anywhere between 20 to 50 million each year , specially keralites , settled all over India and abroad  undertake an annual pilgrimage  to the Main Ayyapa  temple   in Sabarimala ,  situated on a hilltop amidst eighteen hills at an altitude of 480 m above sea level, surrounded by mountains and dense forests called Periyar Tiger hills reserve,  in pathanthitta district of KeralaState , South of India.The famous festival is Makara Villakku festival .This main temple is dedicated to the hindu celibate  diety, Lord  Ayyappan also known as Dharma Sastha.According to hindu mythology he isthe son of Lord Shiva and Mohini ,the feminine incarnation of Lord VishnuIts a rare temple due to the fact  that the traditions of this Sabarimala temple  is a confluence of Shaivism, Shakthism& Vaishnavism with other Sramana traditions .People before undertaking this pilgrimage, normally go through a period of strict penance and prayers meetings for 41 days abd  start the pulgrimage with an Irumudi or offering to the lord carried on their head  wearing  black clothes .During this period of prayers they maintain strict  abstinance from non veg food & alcohol.Devotees undertaking this pilgrimage  to Sabarimala Mandalam- Makaravilakku  seasons in Chennai  had to fend for themselves in the absence of any institutionalized service in chennai in those days of 60's & 70's .These Ayyappan Vilakku rituals,  associated with this pilgrimage  used to be conducted in several areas of the city as an annual feature and homes of devotees themselves  and in our neighbourhood it used to be conducted in the premises of a small  temple on Melpadi Muthu Naicken Street or in the precincts of Asalathamman Koil,  on North Mada Street in NungambakkamOf which Mahalingapuram forms a part.In 1967 a few  organizers, realising the need to have an institution to overcome the problems encountered by the devotees undertaking pilgrimage to this  Holy Hills, decided  to provide minimum facilities to them. Notable among them  being  Sarvasri P.B.Nair, R.S.Kaimal, K.V.Thankappan Nair, K.Bhaskaran, C.P.G.Nambiar, T.M.G.Kurup, V.S.Mani Iyer.Formation of a trust by them led to the realisation of the Mahalingapuram Bhaktha Samajam & the famous Ayyappan Temple built  in traditional kerala style architecture , as you see today standing tall.Now the temple also has sannadhis for Guruvayur krishnan ,Ganapathy, shiva & Parvathi , Murugan with his consorts Valli & Devasenai and Lordess Saraswathi.This temple is known for its very good upkeep & maintenance following strictly the rituals to specified in our Vedas and scriptures & while maintaining  perfect Timings forcall poojas and visting hours .  Annual poojas notable among them being the Vallakku pooja every year around Karthigai month Iis noteworthy .Traditionally this begins in the late evening , from the Shiva temple nearby on the main Road with  ladies standing in two rows carrying a lamp & begin a procession in front of Lord Ayyappa riding a chariot accompanied  by famous and loud Ketala Chanda music And fire works and it ends at the Ayyppa temple .I strongly reccommend visitors to Chennai to look up this  temple during their next visit to Chennai ."
Mahalingapuram_Sree_Ayyappa_Temple,balkivinod,5.0 of 5 bubbles,May 2019 • Solo,Worship ,I am visiting the temple for last 25 years and it ha both guruvayurappan and Ayyapan.  The temple has timing and need to stick to it. It is well maintained temple.
Mahalingapuram_Sree_Ayyappa_Temple,Karpagavalli,5.0 of 5 bubbles,Apr 2018,Famous ayyappan temple of the city,"This is one of the famous ayyappan temples in the city dedicated to lord ayyappan and has a separate sanctums for lord ganesh,lord narayanan and maligai amman.the place is define and well maintained"
Mahalingapuram_Sree_Ayyappa_Temple,Mega V,5.0 of 5 bubbles,Feb 2019 • Family,Deivine and Peaceful,The ambience of the temple is so good. I literally sat down for hours and meditated. Will definitely visit again if im in the city.
Mahalingapuram_Sree_Ayyappa_Temple,ganapathyex,5.0 of 5 bubbles,Sep 2018 • Family,Peaceful place in the middle of busy city,We've visited this temple multiple times. The temple is for Guruvayur appan and swami ayyapan. The temple is built in Kerala's architecture. Hats off to temple's admins who've installed cell phone jamers inside the temple.
Mahalingapuram_Sree_Ayyappa_Temple,Narasimhan G,5.0 of 5 bubbles,Sep 2018 • Solo,You should visit !!,Super templeOne more advantage is they do Homams at very humble costYou will be stunnedPrasad distribution is excellentadded attraction is the Guruvayoorappan temple adjoining this templeDont miss their Annadhan !!
