Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Tusharkanti,1.0 of 5 bubbles,Oct 2022 • Family,Very Bad and Poor Experience,The so called Pujari of the Mandir needs to first know how to worship mankind and the God. Very ill mannered person who does not know how to talk with visitors. He is more of a muscle man than a Pujari
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Sayani Mitra,5.0 of 5 bubbles,Aug 2022 • Family,Most Beautiful Temple near Kolkata,"Beautiful temple with huge area.. and perfect to spend one whole day with family and friends.. as they have their own canteen, washroom, parking area, and can arranged room for 3/4hrs if you wanna spend morning to evening in the campus. Bonus is- highly decorative architecture that's perfect for vlog or photoshoot."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Chandrani N,4.0 of 5 bubbles,Sep 2021 • Family,Nice place close to Kolkata,"Nice mandir in the outskirts of Kolkata. The premises is huge, well decorated. The temple is beautiful. Plenty of paid parking space is available."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Chaitali,4.0 of 5 bubbles,Mar 2020 • Friends,Auspicious decorations,"Outskirt from the city a beautiful place for finding peace. No camera, mobile is allowed inside the temple. Still decoration works are going on. A restaurant is there inside. Pure veg food are available. Very systematic. But quality of food needs to be improved."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Sunita,4.0 of 5 bubbles,Nov 2019,Divine Temple,"The temple's interiors are very beautiful, well maintained and I received blessings from the priest of this temple."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Uday Kumar H,5.0 of 5 bubbles,Oct 2019,Swaminarayan Temple Kolkata – Spiritual Place for Enlightenment,"Swaminarayan Temple Kolkata – Spiritual Place for EnlightenmentI visited the temple wife and daughter on 3 October while returning from Raichak. Before that we had been to Swaminarayan Temple, London in June 2013. Puja and Arti are structured at different times. It is better to visit the website •	Morning: Mangal Arti, Shangar Arti, Rajbhog Arti •	Evening: Sandhya Arti, Shayan Arti 8:30 pmSwaminarayan was born in Chhapaiya of Uttar Pradesh.Swaminarayan also were known by the names Ghanshyam Maharaj, Shreeji Maharaj, Hari Krishna Maharaj and Shri Hari. Swaminarayan was also known as Nilkanth.I felt some sort of illumination and developed insight while roaming in the temple. Visitors can stay booking accommodation from before. Bhog is distributed and system od linch Prasad is there.A shop inside is selling books on Swaminarayan Jee and variety of Puja articlesI took many photos but posting few of them."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Pritam,5.0 of 5 bubbles,Jul 2019 • Friends,Nice and peaceful place,This is a well decorated temple. All part of this template is well decorated and well maintained. It is very nice at evening time.
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Mona852015,5.0 of 5 bubbles,Oct 2018,Must visit,"A must visit place inside Kolkata. Its bit outskirts of Kolkata and the serenity, peace and beauty of this temple and surroundings just mind blowing. You will be feeling like to sit there for long without thinking anything. This temple has its own selling counter from where you can have good incense stick ( I bought that) also there is a reasonable restaurant."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Karpagavalli,5.0 of 5 bubbles,May 2019,One of the must see temples,"The architecture of the temple is so beautiful, the place is so calm,clean,well organised and divine. "
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,SRIKAKOLAPU,5.0 of 5 bubbles,Apr 2019 • Friends,peaceful and calm,Its huge adn this temple had great architecture and mobile phones and cameras need to be given outside before entering.We can get pictures with temple background
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Sruti,5.0 of 5 bubbles,Aug 2018,Went to Visit on my way to Diamond Harbour,Excellent place to visit. Excellent ambiance and environment will surely make one calm. Architecture is also great.
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,vipin k,5.0 of 5 bubbles,Apr 2019 • Couples,Beautiful temple Complex,Swami Narayan Mandir is about 25 km from the center of kolkata on way to Gangasagar.It is a beautiful temple complex and very peace giving..Excellent food available in the complex.. must visit
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Kunal_Bhowmick,5.0 of 5 bubbles,Jan 2019 • Friends,Akshardham temple of Kolkata...,"This temple has opened recently...maybe 3-4 yrs back...The temple is made and maintained by Swaminarayan trust...and is a copy of Akshardham Temple of New Delhi...The complex is huge...has a big garden...with fountains...the atmosphere inside the temple is very peaceful...The main sanctum is two floors high...the temple is made of Marblestone, Sandstone and Redstone...the upper floor has idols of various Gods...while in the lower level there is a Gold idol of Swaminarayan which is kept in a glass chamber...for visiting this part you need to shed 50rs...You need to take off your shoes to get in the main sanctum and there is a place to keep the shoes which is free of cost...There is a huge parking 🅿 space inside the complex...there is a big food court named Premvati where food is available at a very nominal fee...Also there is a store where some gift and cosmetic items are available..."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Amolak Rattan K,5.0 of 5 bubbles,Dec 2018 • Friends,You get peace and tranquility,An Architectural beauty worth admiring. This temple is an abode of peace and tranquility. You feel really blessed and relaxed. They serve good food also.Governor Amolak Rattan Kohli 
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,debasis005,3.0 of 5 bubbles,Dec 2018 • Family,Mixed feeling,I was bit disappointed to my first visit there. When I reached the temple it was closed at 2 pm and was scheduled to be opened at 3.30pm. I came with my family in my private car and  to wonder you can't enter the temple and park your vehicle till it was closed. I can understand if the temple for the idol is closed at least the premises can be kept open for the visitors to enter and wait inside. The complex was very big but visitors have to wait outside the temple at the side of the most dangerous highway you can ever find with buses driving on a suicide mode. I had to find a less safe place to park my car and waited for 1.5 hrs outside. This is pathetic management rule. Other than that no doubt temple architecture is definitely praiseworthy.Parking is not free btw.And a word of caution if you are coming in your own vehicle and you reached after temple is closed then be ready to wait outside at the most dangerous highway you can ever find.
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,nmjoshi,5.0 of 5 bubbles,Jun 2018,"Divine, Serene . . .","Don't miss the Arti. Two Arti's, One in the Morning and One in the Evening. Check for timings before you go. Away from the city, but worth going. "
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,Amrita D,4.0 of 5 bubbles,May 2018 • Family,Amazing Architecture,"Huge area with mind blowing architecture. Perfect time to visit is Evening(Summer)/Winter. Evening Aarti timing is 6.30All the Murti's are so beautiful.Lord Swaminarayan Murti made of Gold is on the ground floor.Outside food,Mobile are not allowed inside. You have to deposit mobile in Lockers available there. One store is there,sells BAPS products.There is a Canteen which serves good food like Dosa,idly,Pav vaji,Dhokla,Aloo bonda,Puri sabji,tea,coffee & many more in cheap rate.Its better to go by private vehicles or book a car. Free car parking facility is there. Only few public buses pass through this road."
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,VINAY S,5.0 of 5 bubbles,Sep 2018 • Family,Amazing peace,Its located outskirts of Kolkata.. but amazing temple with peacful environment and nice veg food in the food court...
Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.ht,aastha,5.0 of 5 bubbles,Dec 2017 • Friends,Good Place,The place is quiet and calm and very spacious. It is better to go in the evening after sunset. But the main problem of this place is that the communication is not that good. it's better to go by your own car and keep it waiting. Also the canteen inside is good and cheap.
