Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chaubis_Khamba_Temple,skdel2016,4.0 of 5 bubbles,Nov 2021,One of the place of worship at Ujjain,"It,s Devi sthan near mahakaal parking at mahakaal pahari area. The temple has 24 pillers so known as 24 Khambha. It has ancient architecture. People go their for offering Pooja as well as tantra jaap. Jai maa kaali. "
Chaubis_Khamba_Temple,Gdj,4.0 of 5 bubbles,Nov 2019 • Family,Mata temple in ujjain,Most famous mata temple in ujjain. Very old temple. On every navratri local govt administration do pooja there.
Chaubis_Khamba_Temple,Vipin Arora,5.0 of 5 bubbles,Oct 2019 • Solo,Beautiful Goddess temple,This is a very beautiful Devi temple just near Sri Mahakaleshwar temple . Very nice ambience and good devotion on display 
Chaubis_Khamba_Temple,Gdj,5.0 of 5 bubbles,Jul 2019 • Family,Hindu mata temple,Hindu mata temple near to mahakal temple.two devi murtis at there.there are 24 pillers on that temple.
Chaubis_Khamba_Temple,Himanshu Bhatt,4.0 of 5 bubbles,Oct 2018 • Friends,A small but unique temple with 24 pillers,As per name Chaubis (24)  Khamba ( mean pillers ) its a temple where 2 small temples located at entrance of the temple ( Mata temple ) and the whole premises stands on 24 pillers 
Chaubis_Khamba_Temple,Yogesh P,5.0 of 5 bubbles,Jan 2019 • Solo,Religious place,This was good but small temple. This was come in oldest temple of Ujjain. Chaubis khambha means twenty four pillars. Situated in centre of city.
Chaubis_Khamba_Temple,Karpagavalli,5.0 of 5 bubbles,Nov 2018,One of the guardians,"The temple houses the gods, goddesses and the guardians of the city of ujjjain which has a extordinary froNt arch with artistic carvings."
Chaubis_Khamba_Temple,Footprints727663,5.0 of 5 bubbles,Jul 2018 • Family,Immense Tranquility,I went to Chaubis Khamba Temple. The entrance showcases the images of guardian goddesses of the Temple - Mahalaya and Mahamaya with their names inscribed on the footsteps of the temple. This place is a must visit for the immense tranquility that it has to offer. It is great place to go.
Chaubis_Khamba_Temple,niya27,4.0 of 5 bubbles,Sep 2017 • Family,In ujjain city,This temple is near to Shri Mahakaleshwar temple. This temple is dedicated to two goddess - Shri Mahamaya and Shri Mahalaya.
Chaubis_Khamba_Temple,Maneesh12345,4.0 of 5 bubbles,Oct 2017 • Couples,1000 year old temple with 24 pillars,this is one of the oldest temple in ujjain with 24 pillars dedicated to choti mata and badi mataNear the Northern side of the entrance are two small temples dedicated to Mahalaya and Mahamaya goddess.
Chaubis_Khamba_Temple,Jagadish S,3.0 of 5 bubbles,Feb 2017 • Friends,nothing much to see,there are the ancient 24 pillars and a banyan tree. the temple has been created in the front which looks not a part of the pillars at all. on a busy street not far from the Mahakala temple
Chaubis_Khamba_Temple,yogindery,5.0 of 5 bubbles,Sep 2016 • Friends,Chaubis Khamba Temple,"Chaubis Khamba Temple situated in heart of ujjain. temple dedicated to 'chotti mata' and 'badi mata', we some friends blessing morning aarti Chaubis Khamba Temple.Chaubis Khamba Temple between some pillars."
Chaubis_Khamba_Temple,Bhupendra,3.0 of 5 bubbles,May 2016 • Family,Good sculpture but not the best,You can find it at the enterance of the ram ghatThere are two temples at the outside while inside ones the original place is left without maintenance.
Chaubis_Khamba_Temple,perplexed_soul,4.0 of 5 bubbles,Aug 2015 • Family,Soothing place,"It is a very old temple, dating back to the 9th or 10th century AD. As the name suggests this place is well known for 24 pillars. Worth a visit."
Chaubis_Khamba_Temple,rahulkumar1411,4.0 of 5 bubbles,Mar 2015 • Family,chaubis khamba temple,the speciality of this temple is that it made in 24 pillars with separate tomb.i like this holy place for peace of my mind.
Chaubis_Khamba_Temple,law_madhulika,5.0 of 5 bubbles,Oct 2015 • Couples,Chaubis Khamba Temple,Chaubis Khamba Temple is a captivating historical wonder dated back to the 9th or 10th century. The entrance showcases the images of guardian goddesses of the Temple - Mahalaya and Mahamaya with their names inscribed on the footsteps of the temple
Chaubis_Khamba_Temple,ankan146,5.0 of 5 bubbles,Jul 2015,rarest architecture 24pillar temple in the world.,"very rare temple  , deities(mother) placed on either side of passage,, evening arti is a  devotees delight.. temple has 24 pillars..rarest. architecture."
Chaubis_Khamba_Temple,Vikas Singh,4.0 of 5 bubbles,Jun 2015 • Family,Entrance to the Mahakalavana,"In olden times, Makakaleshwar temple was located in closed enclosure called Mahakalavana.. Chaubis Khamba was one of the four main entrance gates to this Mahakalavana. This two storied entrance supported by carved pillars on both sides was built during the Paramara period (11-12 CE) when the capital was shifted from Malwa to Ujjain. Remains of the old boundary wall can be seen nearby. Near the Northern side of the entrance are two small temples dedicated to Mahalaya and Mahamaya goddess."
Chaubis_Khamba_Temple,VivekRastogi,3.0 of 5 bubbles,Nov 2014 • Family,Chaubis Khamba Temple on Chaubis Khamba actually,Chaubis Khamba Temple is Actually on Chaubis Khamba. This is one of the very good and old architecture of Ujjain. If one is interested to see the old Architecture they must visit this temple.
