Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jaivana,Amit,5.0 of 5 bubbles,Dec 2022 • Friends,World's Largest Cannon of Ancient Era ,"Travelling with friends, I went to see the Biggest Cannon of the world that has its Abode at the Jaigarh Fort of Jaipur. The cannon has a barrel of 20.2 ft and weighs 50 tonne.  The cannon tears on a  a two-wheeled vehicle and the wheels are about 5ft in diameter. Apart from this, the vehicle also has two removable additional wheels for transport, their diameter is about 9 feet.The cannon has the capacity of being fed with 100 kg of gunpowder with 50 kg shell making it able to fire package load of 150kgs.The cannon was fired only once, with 100 kilograms of gunpowder, and when fired was claimed to have covered a distance of about 35 kilometres. It is said that the projectile fired from it made a small lake in Chaksu.As per the stories doing the rounds and being believed, the impact was so powerful that it actually lived to its words as Weapon of  Mass destruction. The loud noise created by the blow made people deaf and pregnant women suffered miscarriages. Seeing this destruction of large scale it was never used again.  But being a lethal weapon with immense power it was kept in the fort as a backbone. And the Royal family still gets it maintained every year and prays before it once a year by performing the Swastik Pooja. Must visit place as you explore Jaipur. Stay connected as I bring more stories from the Pink city of Forts - Jaipur. Fort timings : 9am to 5pm ticket price : Rs. 100 for Indians  Rs. 200 for foreigners"
Jaivana,Sanjay Malhotra,5.0 of 5 bubbles,Jan 2021,World's largest canon!!,It is the largest canon in the world. We had visited this site along with the family. It's really amazing to feel and see such a huge canon on the mountain top.
Jaivana,Anjan Sengupta,5.0 of 5 bubbles,Feb 2020,Magestic,This Canon is a Majestic piece of Art and Bravery. Its just awesome feeling to see it.A must to see thing in Jaipur. This was my second visit and I loved it.
Jaivana,abrahamsuji,5.0 of 5 bubbles,Jan 2020 • Family,Marvelous,Giant canon. Demonstrates the metalurgical knowledge of ancient Indian artisans. Must visit. Easy access. 
Jaivana,Vishal S,1.0 of 5 bubbles,Dec 2019 • Family,Worst fort of Jaipur..Nothing to see..,Worst fort...Please save money and most important your precious time..nothing to see except for dirt and trash...worst is tgat too see this dirt they take rs 70 per head...pls pls avoid this..
Jaivana,Shutterbug_Iyer,3.0 of 5 bubbles,Nov 2019,The biggest Cannon,"If you are visiting Jaigarh fort in Jaipur you are sure to see Jaivana, believed to be the biggest cannon in the world. It was cast by Maharaja Jaisingh II in 1720. Jai Singh II took a keen interest in developing armory and munitions. Perhaps he also wanted to impress his Mughal overlords. The gigantic proportion of the gun is quite impressive. But the size and weight itself would have been a weakness. It was (test) fired only once. Folklore has it that the 50 kg cannon ball traveled 45 kms. Ballistics experts reckon that it would not have been more than 5 kms. Definitely worth ticking the box if you visit Jaigarh."
Jaivana,Charvi_Shah,5.0 of 5 bubbles,Apr 2019 • Couples,Famous Canon in the World ,This is the famous and strongest canon in the world and it is located at Jaigarh fort I recommend this place who want to see the strongest weapon in ancient time.
Jaivana,Prathamesh Sawant,5.0 of 5 bubbles,Nov 2018 • Solo,The largest cannon now in Jaigarh!!,Jaivana was the largest cannon of the modern times and one of its speciality other than the humungous size is the ability to move it on wheels. Its simply huge!!
Jaivana,S B Khare,5.0 of 5 bubbles,Feb 2019 • Couples,The world's largest cannon,It is situated in Jaigarh fort. This cannon is another incentive to visit Jaigarh fort. Its size is quite impressive. What is also impressive is that it was manufactured in the cannon making factory situated in the fort itself. The cannon was fired only once in its lifetime.
Jaivana,S. Singh,4.0 of 5 bubbles,Apr 2018 • Family,"The Jaivana Canon , One of The Largest Canon","Jaivana, the world's largest cannon on wheels at the Jaigarh Fort in Amer, Rajasthan .Ticket - Applicable. Single Ticket is applicable for all Attractions , near JaiGarh FortIf you get Fine and proper Guide Then you have know lot`s of historical and interesting fact about this place . Before Hire Guide please clear That how much area he will cover and which monument will cover , otherwise they will left the monuments and take moneyIt`s Placing is little far one of the side in fort , Steep way , you go via walking or with your cab/ Vehicle and park near the canon . Parking Place is little narrow and steep / slope, so keep safe while ParkingMust Have - Cap/ HAT , Water Bottles , comfortable Shoes  The 50 ton cannon rests on six massive wheels, each 9 ft in circumference. The cannon is 31 ft long with a 20 ft barrel that can be raised or lowered by an 8 ft tall elevating screw."
