Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Hedavde_Mahalaxmi_Temple,prerna g,5.0 of 5 bubbles,Apr 2020 • Family,Peace ,"I the time of whatsup facebook instagram and many more social things, if you want to feel some real peace and happiness must visit this place. This the one of best temple i have visited. I have recently visited this temple again before lockdown and it's a magical feeling whenever i went their i feel a life with a something real something very good and peaceful as well as joyfull. "
Hedavde_Mahalaxmi_Temple,mbalajicool,5.0 of 5 bubbles,May 2019,Mahalaxmi - the power centre,The aura around the temple was so overpowering.  Its a must visit place for all travellers as the diety is very powerful and miracles happen.  The ambience is also good and so is the surroundings.  All in all a worth while place to go and be blessed and feel the bliss.
Hedavde_Mahalaxmi_Temple,KiritK,5.0 of 5 bubbles,Nov 2019,Jai Mata Di,The godess welcome all its devotees with open hands n blessings are always there for people who believe in Mataji 
Hedavde_Mahalaxmi_Temple,Kesha,5.0 of 5 bubbles,Nov 2019 • Family,Nice,Must visit this Temple Idol of Mahalaxmi is so nice just love this Temple must visit.its situated in town.
Hedavde_Mahalaxmi_Temple,Shobha,5.0 of 5 bubbles,Sep 2019 • Family,Felt spiritual here,"Felt peace and happy after visiting here . There are idols of Mahalaxmiji , Sarasvatiji and Mahakaliji . The mandir was full of rush . So make sure you have enough time when you come here to seek blessing of maa."
Hedavde_Mahalaxmi_Temple,saketshubham,4.0 of 5 bubbles,Aug 2019 • Family,Religious place for visit,"Feels very calm. Vehicles are not allowed near temple gate, so need to walk a bit. Overall very calming and relaxing place for paying a visit to Goddess Laxmi."
Hedavde_Mahalaxmi_Temple,592abck,3.0 of 5 bubbles,Jul 2018,Holy place,"This place is very famous in local people and always crowded. As the crowd is more in evening, go in mornings."
Hedavde_Mahalaxmi_Temple,J Jadhav,5.0 of 5 bubbles,Apr 2019 • Family,Holy place must visit,Hedavde mahalaxmi temple a very peaceful and spiritual place right on bank of river.The place is surrounded by trees. People in the vicinity of temple are very cooperative. Staff in the temple are very cooperative and helpful. The treatment for all divotis is same reach or poor. Once you step into the temple with a holy heart you are definitely going to experience positive changes into your life. It is a must visit place in true sense. Jaime Mata Di
Hedavde_Mahalaxmi_Temple,Ethelberga H,4.0 of 5 bubbles,Dec 2018,Beautiful Temple,We arrived by taxi on the Desai road to visit this famous temple. It is in a fantastic situation by the Arabian sea and is connected with the building of the Hornby Vellard. The doorway is magnificent in gold decoration and as you walk up the steps to the main shrine you see the 3 main goddesses with lots of jewellery. Mahalaxmi means goddess of wealth. There are a few stalls where you can make a donation for an offering of flowers or trinkets for the shrine. Very peaceful and beautiful.
Hedavde_Mahalaxmi_Temple,Ramya S,4.0 of 5 bubbles,Jul 2018 • Family,Divine,"Located close to a beach, Mahalakshmi temple is one of the most famous temples in Mumbai. The vibes of this temple are powerful."
Hedavde_Mahalaxmi_Temple,mkjain17,4.0 of 5 bubbles,Oct 2018 • Solo,Nice temple,Good places for devotees. Crowded during weekend. Beautiful statue of Mahalaxmi. Security around temple is good.thie place is not for photography lover. No entry charge.
Hedavde_Mahalaxmi_Temple,Tejashree V,5.0 of 5 bubbles,Oct 2018 • Family,Blissful ,"I visited this beautiful temple surrounded by nature ,this navratri.this temple is nearly 100 odd years old and the temple is on a beautiful mountain,this temple is open only on Fridays and auspious days of navratri and important festivals.The mahaprasad is available free for devotees and also u get the peace and tranquillity you get at the Mandir is amazing.Worth a visit ...jai Mata di"
Hedavde_Mahalaxmi_Temple,Nitin Joshi,1.0 of 5 bubbles,Oct 2018 • Family,Mandir hijecked by trusty,Today I went to Mahalaxmi temple at Hedvade after 20 years and was highly disappointed. Road to mandir is in poor condition. After using all driving skill reached mandir at 10am and found it was closed and all devotees were waiting since early morning. Mandir remains open on Only Friday and that also from 9.30 to 10.30 and 1.30 to 6pm. I waited till 11 am but it was locked and no one in temple has idea wen it will b opened. Regular visitor were complaining that there is no discipline on time and Pokhari opens at his will. I along with few ppl went to a small room where Poojary stays in temple but he was missing. In earlier days ppl use to get darshan without any problem but now trusty has made us commercialise by hijecking god and licking temple door without any information to public. Finally many ppl left their flowers on temple door step and left. 
Hedavde_Mahalaxmi_Temple,Praful M,5.0 of 5 bubbles,Sep 2018 • Friends,Mahalaxmi Darshan,I recently visited this temple and get blessed there. it was divine experience. temple located close to sea.
Hedavde_Mahalaxmi_Temple,neh0sonu,4.0 of 5 bubbles,Jun 2018 • Family,The famous Mahalaxmi temple lives to its fame,We visited the temple in a quiet environment. It was raining & weather was pleasant. In the backside is the sea where one can enjoy tea n snacks in the teashops over there.
Hedavde_Mahalaxmi_Temple,asis2015,5.0 of 5 bubbles,Feb 2018 • Family,Temple dedicated to the 'Goddess of Wealth',A must visit temple for people visiting Mumbai. Brings mental peace after siting for a while inside and absolutely calm atmosphere prevails inside. The architecture is of most traditional style and quite exquisite in its form. The complex is very splendidly decorated and adorns a 15 metre high Kalash.
Hedavde_Mahalaxmi_Temple,Mayur G,5.0 of 5 bubbles,Dec 2017 • Friends,Darshan,One of the holy place in MumbaiPeople comes here with there family n friends very nice temple In looks n everything if anyone visit Mumbai They has to visit once in this temple...
Hedavde_Mahalaxmi_Temple,vinodkhedkar,4.0 of 5 bubbles,Nov 2017 • Friends,Goddess Temple,This is a nice temple dedicated to Hindu Goddess Mahalaxmi. Very popular among devotees who comes here to pay their respect.
Hedavde_Mahalaxmi_Temple,SundeepVachhani,4.0 of 5 bubbles,Oct 2017 • Couples,Nice darshan ,A very old and famous temple. Worth visiting once when you are in Mumbai. Could be bit crowded at some of the times. Beautiful waves hit at the back side
Hedavde_Mahalaxmi_Temple,VBaheti,4.0 of 5 bubbles,Jan 2017 • Family,Nice place ,"It is one of the famous temple of Mumbai. I visited with my family members. We feel peace of mind. There are separate queues for men and women. The backside of the temple is surrounded by the the sea, a beautiful view. "
Hedavde_Mahalaxmi_Temple,UtkarshMaheshwari,4.0 of 5 bubbles,Jun 2017 • Friends,Tye popular Mahalaxmi temple,It's one of the famous visiting points of Mumbai. The idols are very attractive and gives I peace from within
Hedavde_Mahalaxmi_Temple,Archana K,2.0 of 5 bubbles,Apr 2017 • Friends,Casual visit,It is a religious place. People visit for their comitment to god. It is near haji ali . Pedar road is very  near.
Hedavde_Mahalaxmi_Temple,Rishabh V,5.0 of 5 bubbles,Oct 2016 • Family,One of the Best Temple To Visit In Mumbai,One of the best temple to visit in Mumbai The Mahalaxmi Temple is really so awesome place For Devotee's
Hedavde_Mahalaxmi_Temple,Aartichand,3.0 of 5 bubbles,Oct 2016 • Solo,Devotees from far and wide,"This temple is always full of devotees, tourists. People stand in long lines to go in with their families. Often the surrounding area is crowded as well. There are separate lines for men and women on days like dusheera.Once inside the temple is on the waterfront so often one can see the pigeons being fed by the kids."
Hedavde_Mahalaxmi_Temple,Milind200,5.0 of 5 bubbles,Nov 2016 • Couples,Spritual,Some reviewers are mistaken this place for Mahalaxmi temple in south Mumbai. Let me clarify this review is for Mahalaxmi temple in Hedavalde near Virar. 
Hedavde_Mahalaxmi_Temple,thrilladventure,4.0 of 5 bubbles,Jul 2016 • Family,Maaa...Mahalaxmi Maa...,One of the must visit place in Mumbai. Mostly crowded all days of week and many people are truely big time devotees for Mahalaxmi Maa..Do not forget the feed the pigeons at the entrance ...children jus love feeding the pigeons with chana...Must visit here
Hedavde_Mahalaxmi_Temple,Rajat Chakraborty,4.0 of 5 bubbles,Nov 2015 • Family,Packed with Devotees,"Being the oldest temple of Mumbai, I knew getting through would not be easier here. The temple is jam packed with visitors and there is limited room for movement. One needs to be careful when visiting here with children. Lot of pushing around when you are entering the main temple. Though one good thing is there is no thievery and you can be rest assured your shoes are not lost. Just leave it with one of the flower vendors when you buy the offerings. Do not forget the feed the pigeons at the entrance. Children would love it when hordes of pigeons peck food from their hands."
Hedavde_Mahalaxmi_Temple,thatzamit,4.0 of 5 bubbles,Feb 2016 • Family,Holy Place,One of the must visit place in Mumbai. Mostly crowded all days of week. Nice architectural building.
Hedavde_Mahalaxmi_Temple,gkt1401,4.0 of 5 bubbles,Feb 2016 • Family,The oldest temple in Mumbai,The Mahalaxmi temple situated in mumbai is very old and beautiful the atmosphere is very peaceful. This place is very crowded anyone who comes to mumbai visit this temple.
