Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Moti_Dungari_Temple,Anand D Nanavati,4.0 of 5 bubbles,Nov 2021,Ganesha temple near birla mandir,Its near to Birla mandir.  Same parking space with birla mandir.  We visited as this was near Birla mandir.
Moti_Dungari_Temple,kamakshi2015,5.0 of 5 bubbles,Feb 2022 • Family,The place to seek blessing,"This best known temple is in heart of the city . The Ganesh temple in this area of Moti Doongri is crowded  most of the time but the since the pandemic the protocol of mask , no offering of out side sweets and social distancing is strictly followed . The opening hours of temple from 5 am to noon and again in the evening are strictly followed . Generally people come here with invitation card of wedding , engagements and to do puja for their vehicles . the newly weds are brought here after marriage as a couple to seek blessings of the lord Ganesha . No entry ticket .no paring ."
Moti_Dungari_Temple,Devendra G,5.0 of 5 bubbles,Sep 2021,Ganesh ji temple,Moti dungari is a temple of ganesh ji and it is adjacent to birla mandir in Jaipur. I visit this temple whenever I visit Jaipur. The energy level in the temple is excellent. You feel instantly connected to the divine as you enter the temple.
Moti_Dungari_Temple,Sanjay Malhotra,5.0 of 5 bubbles,Sep 2021,Divine experience,I had visited the temple for the blessings of Lord Ganesha. I have old association with this temple as have been visiting this temple since 1970
Moti_Dungari_Temple,dillsefoodie,4.0 of 5 bubbles,Mar 2021 • Family,Mesmerizing Lord Ganesha Temple,"It's a very famous Lord Ganesha temple in Jaipur. Currently because of Covid, you can't take any prasad or puja items inside the temple. There is a prasad directly available which can be bought from priests inside the temple. The Lord Ganesha statue is quite magnificent."
Moti_Dungari_Temple,Sanjay Malhotra,5.0 of 5 bubbles,Jan 2021,Mesmerising Ganesha Temple!!!,"This is one of the oldest temples in Jaipur City. The residents of Jaipur city invites Lord Ganesha for any pious celebration in the family like weddings etc. Also while leaving Jaipur for the journey the devotees have blessings of Lord Ganesha before leaving and likewise when they return to Jaipur, they first take blessings and then proceed for their home."
Moti_Dungari_Temple,Pintya,4.0 of 5 bubbles,Nov 2019,Well maintained,"This Ganpati temple is comparatively small, but clean and well disciplined. It is famous among locals and worshiped for every new beginning. "
Moti_Dungari_Temple,TiddfullTalks,5.0 of 5 bubbles,Dec 2019 • Couples,Peaceful,"A nice and clean temple compound. Have a big sized Ganesh ji's statue. The compound has a shoe facility, parsad shops nearby, proper railing for demarcating crowd, security force outside, parking etc."
Moti_Dungari_Temple,Vaidehi J,3.0 of 5 bubbles,Nov 2019,Beautifull,The temple is located very close to Birla temple. The idol of Lord Ganesha is big. Temple is very old but well maintained.
Moti_Dungari_Temple,juvlemm,4.0 of 5 bubbles,Nov 2019,Ganesh Temple,"The temple is famous for fulfilling wishes. Devotees have put in threads in token of their wish. Hall is small, but the god is beautiful. "
Moti_Dungari_Temple,Chetan Shroff,4.0 of 5 bubbles,Oct 2019,God who fulfils wishes,"Moti Dungari is Ganesh temple and it is full of local devotees. The locals offer first invitation card of marriage to lord Ganesh. When they buy new car, they visit the temple to seek blessing of god. There is nothing spectacular about architecture."
Moti_Dungari_Temple,Vipin Arora,5.0 of 5 bubbles,Oct 2019 • Solo,Beautiful temple,"Very nice temple of Lord Ganesha ,in Jaipur. Very well managed and quite a rush of devotees on weekends . There is a temple dedicated to Lord Hanuman and Goddess Mata just nearby which too is a must visit "
Moti_Dungari_Temple,Sanjay Shaandilyaa,5.0 of 5 bubbles,Sep 2019 • Friends,Regards & Worship of Jaipur,This is one of the spritual place in Jaipur near Rajasthan university & Birla Mandir. Closes 1pm to 3pm after open until night. Whenever I come near around definitely come to Ganpati Ji...गणपति बप्पा मौर्या 👐👐
Moti_Dungari_Temple,Sanjay Kumar,5.0 of 5 bubbles,Aug 2019 • Couples,Memorable moments,"I am always interested to visiting a holy place where i can feel stress free life.During visiting at Jaipur with my wife we visited many Temple and we also visited this temple, temple decorated very well.Temple pujari Behivour so good, pujari ji Behivour very very good."
