Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chowpatty_Beach,Ananka Group,1.0 of 5 bubbles,Oct 2022,Sad,"It used to be fun, Please, just complete the construction work already, WE want our beautiful beach back."
Chowpatty_Beach,Pradipjiyog78,1.0 of 5 bubbles,May 2022 • Solo,Chowpatty Garbage Beach,@AUThackeray @mybmc @mybmcWardD @OfficeofUT @SwaachBharatLook at this garbage near Chowpatty beach.Aditya Thackeray as you are taking initiative in beautification of Mumbai this things should be prioritized.Littering in public places or in sea one should be charged hefty penalty
Chowpatty_Beach,Pradipjiyog78,1.0 of 5 bubbles,Sep 2021 • Solo,Not great experience at Chowpatty Beach,Chowpatty beach which is one of the most iconic beach where people from all around the world come to visit has been not kept well.Beach is littering with full of garbage on the beach as well as in the water.The whole strech from mafatlal bath to the end is filled with all kind of garbage from platic to glass bottles which also harms the marine life in the water. Strict penalty should be imposed for littering anywhere not only chowpatty beach.In that way the beach can also be maintained amd we can also maintain the iconic value of the beach amd the beautiful Arabian Ocean. Prime minister Swacch bharat Abhyan should be strictly followed as its always said that Cleanliness is next to Godliness.Appropriate authority BMC should take strict cognizant of this and appropriate action should be taken
Chowpatty_Beach,Sandy_JSR,4.0 of 5 bubbles,Mar 2021,Lively,"Chowpaity is a public beach situated along the Queen’s Necklace adjoining Marine Drive. The beach is known for its lip-smacking local street food like Pao Bhaji, Bhel Puri, Pani Puri, Kulfi-Faluda, Gola etc. at reasonable rate. The beach is also well-known for Ganesh Visarjan celebrations. Not a very long beach but with colorful lights, aroma of street food, calming sound of the sea waves, and attractive local market, the beach has a lively setting especially in the evening time."
Chowpatty_Beach,Rani75,4.0 of 5 bubbles,Mar 2021,Mumbai's attraction,"Chowpatty is never a missed for tourist. it's famous for its chat items like pani puri, pao bhaji, gola etc."
Chowpatty_Beach,Twinkle Sonar,5.0 of 5 bubbles,Feb 2020,well maintain and attractive place to visit,old place of mumbai the water place amazing place ever ..the pigeon home ...i visited this place in morning and the amazing water sounds and silent waves makes me happy and confident.....attractive place ..touristers must visit this place
Chowpatty_Beach,Er umesh,3.0 of 5 bubbles,May 2019,over crowded,The place is over crowded and people are not using dust bins .The local vendors are just trying to sell the products .NO hygiene maintained .Even Public toilets not seen.It dirty overall 
Chowpatty_Beach,Raj L,5.0 of 5 bubbles,Dec 2019,BOMBAY CHOWPATTY,"Old charm of BOMBAY, Chowpatty jaayenge, Bhel puri khaayenge. Worth a visit once a month with family and kids."
Chowpatty_Beach,Mahesh Kulkarni,5.0 of 5 bubbles,Dec 2019 • Couples,Girgaon chowpatty,"Girgaon chowpatty is the major attraction for kids n elderly as well. Also on the list of all tourist companies visiting Mumbai with their guests round the year.Having Nana Nani Park, Police Martyr Shri Ombale Sirs statue, numerous chaat shops, a police station to streamline unruly dudes, water sports outlet at 1 corner.Major attraction is Ganesh Visarjan every year providing immaculate security for the devotees ...It attracts the local folk with equal and intense pull.A must visit destination in Mumbai"
Chowpatty_Beach,BomiPardiwalla,3.0 of 5 bubbles,Jan 2019,Relax,"Go to the beach and carry water, and minimum baggage. Food is available from lovely stalls, and well maintained. Avoid Sundays and weekends or holidays. Adequate police protection. Go by bus or a cab."
Chowpatty_Beach,Kesha,5.0 of 5 bubbles,Nov 2019 • Family,Nice,Lovely place.just love it.huge beach its a beauty of Mumbai.must visit once.highly recommended must visit chowpatty beach.
Chowpatty_Beach,sumeshkhanna,5.0 of 5 bubbles,Nov 2019 • Family,Don’t go back till you visit chowpatty,An evening spent here doing nothing but man watching at the steps facing the sea is one of its kind experience. Eat your double butter pav bhaji followed by kulfi rabri faluda and then kala gola.now try to digest it by a long leisurely barefoot walk on cold and wet sand . Try the small kadak chai for your final digestive effort . Relax and go back and hit the bed ... skip your dinner .
